date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2001-01-16,3.75,3.75,3.75,3.75,3200.0,3200.0,0.0,0.0,3.75,"January 16, 01",0.0
2001-01-17,3.75,3.75,3.75,3.75,122800.0,122800.0,0.0,0.0,3.75,"January 17, 01",0.0
2001-01-18,3.88,4.13,3.88,4.13,167200.0,167200.0,-0.25,-6.443,4.04667,"January 18, 01",-0.06443
2001-01-19,4.19,4.28,4.19,4.28,59600.0,59600.0,-0.09,-2.148,4.25,"January 19, 01",-0.02148
2001-01-22,4.25,4.63,4.25,4.56,146800.0,146800.0,-0.31,-7.294,4.48,"January 22, 01",-0.07294
2001-01-23,4.5,4.78,4.5,4.69,76000.0,76000.0,-0.19,-4.222,4.65667,"January 23, 01",-0.04222
2001-01-24,4.63,4.63,4.56,4.56,560000.0,560000.0,0.07,1.512,4.58333,"January 24, 01",0.01512
2001-01-25,4.66,4.69,4.63,4.69,143200.0,143200.0,-0.03,-0.644,4.67,"January 25, 01",-0.00644
2001-01-26,4.63,4.64,4.63,4.63,82000.0,82000.0,0.0,0.0,4.63333,"January 26, 01",0.0
2001-01-29,4.63,4.69,4.6,4.68,262000.0,262000.0,-0.05,-1.08,4.65667,"January 29, 01",-0.0108
2001-01-30,4.68,4.68,4.59,4.65,339200.0,339200.0,0.03,0.641,4.64,"January 30, 01",0.00641
2001-01-31,4.68,4.76,4.68,4.69,326000.0,326000.0,-0.01,-0.214,4.71,"January 31, 01",-0.00214
2001-02-01,4.75,5.3,4.69,5.23,2556800.0,2556800.0,-0.48,-10.105,5.07333,"February 01, 01",-0.10105
2001-02-02,5.19,5.25,5.15,5.21,795600.0,795600.0,-0.02,-0.385,5.20333,"February 02, 01",-0.00385
2001-02-05,5.21,5.36,4.98,4.99,644800.0,644800.0,0.22,4.223,5.11,"February 05, 01",0.04223
2001-02-06,4.98,5.01,4.94,4.94,1338800.0,1338800.0,0.04,0.803,4.96333,"February 06, 01",0.00803
2001-02-07,4.93,5.0,4.91,5.0,1350400.0,1350400.0,-0.07,-1.42,4.97,"February 07, 01",-0.0142
2001-02-08,5.0,5.04,4.88,4.88,578800.0,578800.0,0.12,2.4,4.93333,"February 08, 01",0.024
2001-02-09,4.88,4.94,4.88,4.94,441600.0,441600.0,-0.06,-1.23,4.92,"February 09, 01",-0.0123
2001-02-12,4.94,4.94,4.83,4.83,327200.0,327200.0,0.11,2.227,4.86667,"February 12, 01",0.02227
2001-02-13,4.83,4.89,4.81,4.81,648800.0,648800.0,0.02,0.414,4.83667,"February 13, 01",0.00414
2001-02-14,4.81,4.81,4.77,4.77,135600.0,135600.0,0.04,0.832,4.78333,"February 14, 01",0.00832
2001-02-15,4.78,4.79,4.58,4.58,454400.0,454400.0,0.2,4.184,4.65,"February 15, 01",0.04184
2001-02-16,4.53,4.53,4.35,4.52,427200.0,427200.0,0.01,0.221,4.46667,"February 16, 01",0.00221
2001-02-20,4.52,4.54,4.45,4.52,1000400.0,1000400.0,0.0,0.0,4.50333,"February 20, 01",0.0
2001-02-21,4.52,4.52,4.48,4.52,443600.0,443600.0,0.0,0.0,4.50667,"February 21, 01",0.0
2001-02-22,4.52,4.54,4.48,4.51,623600.0,623600.0,0.01,0.221,4.51,"February 22, 01",0.00221
2001-02-23,4.53,4.68,4.5,4.61,1222800.0,1222800.0,-0.08,-1.766,4.59667,"February 23, 01",-0.01766
2001-02-26,4.63,4.78,4.63,4.75,1182400.0,1182400.0,-0.12,-2.592,4.72,"February 26, 01",-0.02592
2001-02-27,4.75,4.75,4.73,4.73,690000.0,690000.0,0.02,0.421,4.73667,"February 27, 01",0.00421
2001-02-28,4.73,4.75,4.71,4.75,326000.0,326000.0,-0.02,-0.423,4.73667,"February 28, 01",-0.00423
2001-03-01,4.73,4.73,4.68,4.68,155200.0,155200.0,0.05,1.057,4.69667,"March 01, 01",0.01057
2001-03-02,4.69,4.7,4.68,4.69,836800.0,836800.0,0.0,0.0,4.69,"March 02, 01",0.0
2001-03-05,4.69,4.76,4.69,4.75,402800.0,402800.0,-0.06,-1.279,4.73333,"March 05, 01",-0.01279
2001-03-06,4.75,4.78,4.7,4.7,610000.0,610000.0,0.05,1.053,4.72667,"March 06, 01",0.01053
2001-03-07,4.7,4.75,4.7,4.75,89600.0,89600.0,-0.05,-1.064,4.73333,"March 07, 01",-0.01064
2001-03-08,4.75,4.75,4.7,4.7,211600.0,211600.0,0.05,1.053,4.71667,"March 08, 01",0.01053
2001-03-09,4.7,4.7,4.68,4.7,269600.0,269600.0,0.0,0.0,4.69333,"March 09, 01",0.0
2001-03-12,4.7,4.73,4.66,4.68,106400.0,106400.0,0.02,0.426,4.69,"March 12, 01",0.00426
2001-03-13,4.71,4.71,4.61,4.61,671600.0,671600.0,0.1,2.123,4.64333,"March 13, 01",0.02123
2001-03-14,4.61,4.64,4.47,4.48,455600.0,455600.0,0.13,2.82,4.53,"March 14, 01",0.0282
2001-03-15,4.45,4.45,4.29,4.36,1160400.0,1160400.0,0.09,2.022,4.36667,"March 15, 01",0.02022
2001-03-16,4.39,4.45,4.34,4.34,402800.0,402800.0,0.05,1.139,4.37667,"March 16, 01",0.01139
2001-03-19,4.29,4.44,4.29,4.3,1173600.0,1173600.0,-0.01,-0.233,4.34333,"March 19, 01",-0.00233
2001-03-20,4.31,4.39,4.25,4.28,222000.0,222000.0,0.03,0.696,4.30667,"March 20, 01",0.00696
2001-03-21,4.28,4.3,4.06,4.16,135200.0,135200.0,0.12,2.804,4.17333,"March 21, 01",0.02804
2001-03-22,4.31,4.46,4.25,4.46,2125600.0,2125600.0,-0.15,-3.48,4.39,"March 22, 01",-0.0348
2001-03-23,4.48,4.58,4.48,4.58,757600.0,757600.0,-0.1,-2.232,4.54667,"March 23, 01",-0.02232
2001-03-26,4.61,4.63,4.57,4.63,207600.0,207600.0,-0.02,-0.434,4.61,"March 26, 01",-0.00434
2001-03-27,4.6,4.61,4.53,4.59,435200.0,435200.0,0.01,0.217,4.57667,"March 27, 01",0.00217
2001-03-28,4.58,4.6,4.46,4.46,420800.0,420800.0,0.12,2.62,4.50667,"March 28, 01",0.0262
2001-03-29,4.45,4.45,4.33,4.33,535200.0,535200.0,0.12,2.697,4.37,"March 29, 01",0.02697
2001-03-30,4.33,4.63,4.33,4.63,1308800.0,1308800.0,-0.3,-6.928,4.53,"March 30, 01",-0.06928
2001-04-02,4.6,4.6,4.43,4.45,685600.0,685600.0,0.15,3.261,4.49333,"April 02, 01",0.03261
2001-04-03,4.45,4.5,4.36,4.5,192800.0,192800.0,-0.05,-1.124,4.45333,"April 03, 01",-0.01124
2001-04-04,4.46,4.5,4.44,4.5,606000.0,606000.0,-0.04,-0.897,4.48,"April 04, 01",-0.00897
2001-04-05,4.5,4.53,4.48,4.53,629200.0,629200.0,-0.03,-0.667,4.51333,"April 05, 01",-0.00667
2001-04-06,4.52,4.74,4.5,4.71,476000.0,476000.0,-0.19,-4.204,4.65,"April 06, 01",-0.04204
2001-04-09,4.72,4.74,4.61,4.65,113600.0,113600.0,0.07,1.483,4.66667,"April 09, 01",0.01483
2001-04-10,4.68,4.78,4.68,4.76,954400.0,954400.0,-0.08,-1.709,4.74,"April 10, 01",-0.01709
