date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
1998-01-02,15.64,15.69,15.44,15.53,1292500.0,1292500.0,0.11,0.703,15.55333,"January 02, 98",0.00703
1998-01-05,15.47,15.75,15.42,15.72,1924600.0,1924600.0,-0.25,-1.616,15.63,"January 05, 98",-0.01616
1998-01-06,15.53,15.86,15.44,15.61,1783900.0,1783900.0,-0.08,-0.515,15.63667,"January 06, 98",-0.00515
1998-01-07,15.56,15.83,15.31,15.83,1076100.0,1076100.0,-0.27,-1.735,15.65667,"January 07, 98",-0.01735
1998-01-08,15.89,16.61,15.89,16.44,3260400.0,3260400.0,-0.55,-3.461,16.31333,"January 08, 98",-0.03461
1998-01-09,16.33,16.42,15.72,16.0,3168100.0,3168100.0,0.33,2.021,16.04667,"January 09, 98",0.02021
1998-01-12,15.67,16.25,15.58,16.11,1821600.0,1821600.0,-0.44,-2.808,15.98,"January 12, 98",-0.02808
1998-01-13,16.22,16.86,16.22,16.72,1932900.0,1932900.0,-0.5,-3.083,16.6,"January 13, 98",-0.03083
1998-01-14,16.64,16.83,16.56,16.75,1075500.0,1075500.0,-0.11,-0.661,16.71333,"January 14, 98",-0.00661
1998-01-15,16.72,17.19,16.47,16.94,1588200.0,1588200.0,-0.22,-1.316,16.86667,"January 15, 98",-0.01316
1998-01-16,16.97,17.28,16.94,17.17,1581900.0,1581900.0,-0.2,-1.179,17.13,"January 16, 98",-0.01179
1998-01-20,17.56,18.33,17.5,18.28,2503900.0,2503900.0,-0.72,-4.1,18.03667,"January 20, 98",-0.041
1998-01-21,18.22,18.25,17.5,17.81,2302600.0,2302600.0,0.41,2.25,17.85333,"January 21, 98",0.0225
1998-01-22,17.44,17.86,17.39,17.61,1719100.0,1719100.0,-0.17,-0.975,17.62,"January 22, 98",-0.00975
1998-01-23,17.53,17.69,17.22,17.22,962700.0,962700.0,0.31,1.768,17.37667,"January 23, 98",0.01768
1998-01-26,17.33,17.53,17.22,17.31,718800.0,718800.0,0.02,0.115,17.35333,"January 26, 98",0.00115
