date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2011-11-04,28.0,31.14,25.9,26.11,49813000.0,49813000.0,1.89,6.75,27.71667,"November 04, 11",0.0675
2011-11-07,27.44,27.78,24.59,25.97,9516000.0,9516000.0,1.47,5.357,26.11333,"November 07, 11",0.05357
2011-11-08,26.2,26.21,24.75,24.9,4266800.0,4266800.0,1.3,4.962,25.28667,"November 08, 11",0.04962
2011-11-09,23.51,24.56,22.76,24.02,4544100.0,4544100.0,-0.51,-2.169,23.78,"November 09, 11",-0.02169
2011-11-10,24.13,24.96,23.2,24.41,2344000.0,2344000.0,-0.28,-1.16,24.19,"November 10, 11",-0.0116
2011-11-11,24.96,25.0,23.61,24.25,1316100.0,1316100.0,0.71,2.845,24.28667,"November 11, 11",0.02845
2011-11-14,23.42,24.16,23.4,24.07,1577800.0,1577800.0,-0.65,-2.775,23.87667,"November 14, 11",-0.02775
2011-11-15,24.0,24.74,23.68,24.07,1209800.0,1209800.0,-0.07,-0.292,24.16333,"November 15, 11",-0.00292
2011-11-16,24.02,24.3,23.75,24.03,754500.0,754500.0,-0.01,-0.042,24.02667,"November 16, 11",-0.00042
2011-11-17,23.6,24.95,23.6,24.77,1622600.0,1622600.0,-1.17,-4.958,24.44,"November 17, 11",-0.04958
2011-11-18,24.63,26.25,24.2,26.19,2504200.0,2504200.0,-1.56,-6.334,25.54667,"November 18, 11",-0.06334
2011-11-21,26.75,26.9,23.28,23.58,2590100.0,2590100.0,3.17,11.85,24.58667,"November 21, 11",0.1185
2011-11-22,24.75,24.75,20.03,20.07,5227800.0,5227800.0,4.68,18.909,21.61667,"November 22, 11",0.18909
2011-11-23,20.0,20.0,16.71,16.96,7886900.0,7886900.0,3.04,15.2,17.89,"November 23, 11",0.152
2011-11-25,17.0,17.64,16.2,16.75,2125100.0,2125100.0,0.25,1.471,16.86333,"November 25, 11",0.01471
2011-11-28,17.44,17.75,14.85,15.24,6018900.0,6018900.0,2.2,12.615,15.94667,"November 28, 11",0.12615
2011-11-29,15.28,16.44,15.11,16.01,3372500.0,3372500.0,-0.73,-4.777,15.85333,"November 29, 11",-0.04777
2011-11-30,16.69,17.74,16.21,17.5,2409400.0,2409400.0,-0.81,-4.853,17.15,"November 30, 11",-0.04853
2011-12-01,17.77,18.99,17.36,18.95,2153600.0,2153600.0,-1.18,-6.64,18.43333,"December 01, 11",-0.0664
2011-12-02,19.5,20.82,17.9,18.95,3659300.0,3659300.0,0.55,2.821,19.22333,"December 02, 11",0.02821
2011-12-05,19.42,19.48,18.4,19.04,1793900.0,1793900.0,0.38,1.957,18.97333,"December 05, 11",0.01957
2011-12-06,18.8,19.51,18.8,19.24,1670500.0,1670500.0,-0.44,-2.34,19.18333,"December 06, 11",-0.0234
2011-12-07,19.48,21.67,19.2,21.15,3512000.0,3512000.0,-1.67,-8.573,20.67333,"December 07, 11",-0.08573
2011-12-08,20.76,22.9,20.25,22.27,3115200.0,3115200.0,-1.51,-7.274,21.80667,"December 08, 11",-0.07274
2011-12-09,22.73,23.49,22.0,23.48,2728500.0,2728500.0,-0.75,-3.3,22.99,"December 09, 11",-0.033
2011-12-12,23.34,23.34,21.27,22.25,2276900.0,2276900.0,1.09,4.67,22.28667,"December 12, 11",0.0467
2011-12-13,22.95,24.5,22.3,23.32,2334900.0,2334900.0,-0.37,-1.612,23.37333,"December 13, 11",-0.01612
2011-12-14,23.0,23.2,21.1,22.55,2341200.0,2341200.0,0.45,1.957,22.28333,"December 14, 11",0.01957
2011-12-15,23.5,23.5,22.63,23.08,1136200.0,1136200.0,0.42,1.787,23.07,"December 15, 11",0.01787
2011-12-16,23.44,25.15,21.5,23.04,4532000.0,4532000.0,0.4,1.706,23.23,"December 16, 11",0.01706
2011-12-19,23.01,23.37,21.68,22.0,1129500.0,1129500.0,1.01,4.389,22.35,"December 19, 11",0.04389
2011-12-20,22.5,22.9,22.1,22.75,1104300.0,1104300.0,-0.25,-1.111,22.58333,"December 20, 11",-0.01111
2011-12-21,22.75,23.25,22.11,22.96,1028400.0,1028400.0,-0.21,-0.923,22.77333,"December 21, 11",-0.00923
2011-12-22,23.05,23.05,21.68,22.1,1296500.0,1296500.0,0.95,4.121,22.27667,"December 22, 11",0.04121
2011-12-23,22.19,22.98,21.9,22.84,1227700.0,1227700.0,-0.65,-2.929,22.57333,"December 23, 11",-0.02929
2011-12-27,22.86,23.59,22.58,23.05,771200.0,771200.0,-0.19,-0.831,23.07333,"December 27, 11",-0.00831
2011-12-28,23.1,23.45,22.3,22.62,731600.0,731600.0,0.48,2.078,22.79,"December 28, 11",0.02078
2011-12-29,22.9,22.91,21.16,21.38,875200.0,875200.0,1.52,6.638,21.81667,"December 29, 11",0.06638
2011-12-30,21.55,21.66,20.01,20.63,1239800.0,1239800.0,0.92,4.269,20.76667,"December 30, 11",0.04269
2012-01-03,20.95,21.0,18.8,19.27,2516100.0,2516100.0,1.68,8.019,19.69,"January 03, 12",0.08019
2012-01-04,19.19,19.23,18.52,18.79,1454600.0,1454600.0,0.4,2.084,18.84667,"January 04, 12",0.02084
2012-01-05,18.56,18.66,17.21,17.88,2736000.0,2736000.0,0.68,3.664,17.91667,"January 05, 12",0.03664
2012-01-06,17.9,17.97,17.5,17.81,1461400.0,1461400.0,0.09,0.503,17.76,"January 06, 12",0.00503
2012-01-09,17.47,18.6,17.24,18.3,1770600.0,1770600.0,-0.83,-4.751,18.04667,"January 09, 12",-0.04751
2012-01-10,18.99,19.39,18.78,19.15,1524900.0,1524900.0,-0.16,-0.843,19.10667,"January 10, 12",-0.00843
2012-01-11,18.92,19.76,18.34,19.0,1684300.0,1684300.0,-0.08,-0.423,19.03333,"January 11, 12",-0.00423
2012-01-12,18.65,19.66,18.59,19.26,1342700.0,1342700.0,-0.61,-3.271,19.17,"January 12, 12",-0.03271
2012-01-13,19.07,19.33,18.9,19.15,856900.0,856900.0,-0.08,-0.42,19.12667,"January 13, 12",-0.0042
2012-01-17,19.12,19.88,18.7,19.51,1721200.0,1721200.0,-0.39,-2.04,19.36333,"January 17, 12",-0.0204
2012-01-18,19.53,21.0,19.26,20.57,1851700.0,1851700.0,-1.04,-5.325,20.27667,"January 18, 12",-0.05325
2012-01-19,20.59,21.99,20.11,21.19,1602300.0,1602300.0,-0.6,-2.914,21.09667,"January 19, 12",-0.02914
2012-01-20,20.81,21.21,20.19,20.85,925100.0,925100.0,-0.04,-0.192,20.75,"January 20, 12",-0.00192
2012-01-23,20.6,21.36,20.4,20.76,1125200.0,1125200.0,-0.16,-0.777,20.84,"January 23, 12",-0.00777
2012-01-24,20.47,20.91,20.27,20.6,1076400.0,1076400.0,-0.13,-0.635,20.59333,"January 24, 12",-0.00635
2012-01-25,20.35,20.57,19.7,20.08,1762900.0,1762900.0,0.27,1.327,20.11667,"January 25, 12",0.01327
2012-01-26,20.04,20.26,19.45,19.53,1118800.0,1118800.0,0.51,2.545,19.74667,"January 26, 12",0.02545
