date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2007-12-07,14.8,15.9,14.78,15.15,2544700.0,2544700.0,-0.35,-2.365,15.27667,"December 07, 07",-0.02365
2007-12-10,15.25,15.95,14.98,15.87,224700.0,224700.0,-0.62,-4.066,15.6,"December 10, 07",-0.04066
2007-12-11,17.1,17.73,17.0,17.41,1202200.0,1202200.0,-0.31,-1.813,17.38,"December 11, 07",-0.01813
2007-12-12,18.6,18.75,17.76,18.08,456500.0,456500.0,0.52,2.796,18.19667,"December 12, 07",0.02796
2007-12-13,18.49,18.5,18.25,18.4,220600.0,220600.0,0.09,0.487,18.38333,"December 13, 07",0.00487
2007-12-14,18.5,19.0,18.0,18.5,204900.0,204900.0,0.0,0.0,18.5,"December 14, 07",0.0
2007-12-17,18.53,18.75,18.0,18.35,205300.0,205300.0,0.18,0.971,18.36667,"December 17, 07",0.00971
2007-12-18,18.74,19.49,18.39,19.15,291600.0,291600.0,-0.41,-2.188,19.01,"December 18, 07",-0.02188
2007-12-19,19.5,19.5,19.05,19.12,194500.0,194500.0,0.38,1.949,19.22333,"December 19, 07",0.01949
2007-12-20,19.47,19.48,18.97,19.03,171600.0,171600.0,0.44,2.26,19.16,"December 20, 07",0.0226
2007-12-21,19.03,19.45,19.0,19.1,177400.0,177400.0,-0.07,-0.368,19.18333,"December 21, 07",-0.00368
2007-12-24,19.34,20.91,19.31,20.8,141900.0,141900.0,-1.46,-7.549,20.34,"December 24, 07",-0.07549
2007-12-26,21.2,21.2,19.96,20.14,228400.0,228400.0,1.06,5.0,20.43333,"December 26, 07",0.05
2007-12-27,20.5,20.65,20.0,20.25,162300.0,162300.0,0.25,1.22,20.3,"December 27, 07",0.0122
2007-12-28,20.42,20.48,20.2,20.33,166100.0,166100.0,0.09,0.441,20.33667,"December 28, 07",0.00441
2007-12-31,20.34,20.35,20.0,20.21,128800.0,128800.0,0.13,0.639,20.18667,"December 31, 07",0.00639
2008-01-02,20.24,20.39,19.95,20.0,181400.0,181400.0,0.24,1.186,20.11333,"January 02, 08",0.01186
2008-01-03,19.61,20.05,19.25,19.49,151600.0,151600.0,0.12,0.612,19.59667,"January 03, 08",0.00612
2008-01-04,19.05,19.17,18.0,18.84,194000.0,194000.0,0.21,1.102,18.67,"January 04, 08",0.01102
2008-01-07,18.18,18.79,18.18,18.55,110500.0,110500.0,-0.37,-2.035,18.50667,"January 07, 08",-0.02035
2008-01-08,18.6,19.68,18.6,18.98,171300.0,171300.0,-0.38,-2.043,19.08667,"January 08, 08",-0.02043
2008-01-09,18.83,18.84,18.36,18.7,97800.0,97800.0,0.13,0.69,18.63333,"January 09, 08",0.0069
2008-01-10,18.31,18.74,18.31,18.61,58900.0,58900.0,-0.3,-1.638,18.55333,"January 10, 08",-0.01638
2008-01-11,19.04,19.04,18.33,18.55,41100.0,41100.0,0.49,2.574,18.64,"January 11, 08",0.02574
2008-01-14,18.6,18.7,18.5,18.5,56700.0,56700.0,0.1,0.538,18.56667,"January 14, 08",0.00538
2008-01-15,18.4,19.22,18.03,18.98,353200.0,353200.0,-0.58,-3.152,18.74333,"January 15, 08",-0.03152
2008-01-16,18.51,19.99,18.51,19.75,550800.0,550800.0,-1.24,-6.699,19.41667,"January 16, 08",-0.06699
2008-01-17,20.23,20.23,18.89,19.2,74300.0,74300.0,1.03,5.091,19.44,"January 17, 08",0.05091
2008-01-18,19.99,19.99,18.0,19.16,155800.0,155800.0,0.83,4.152,19.05,"January 18, 08",0.04152
2008-01-22,17.48,19.24,17.48,18.66,175800.0,175800.0,-1.18,-6.751,18.46,"January 22, 08",-0.06751
2008-01-23,18.84,19.1,18.05,19.0,69400.0,69400.0,-0.16,-0.849,18.71667,"January 23, 08",-0.00849
2008-01-24,19.59,19.6,18.99,19.59,35600.0,35600.0,0.0,0.0,19.39333,"January 24, 08",0.0
2008-01-25,19.4,19.95,19.0,19.49,60100.0,60100.0,-0.09,-0.464,19.48,"January 25, 08",-0.00464
