date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
1998-01-02,26.77,27.61,26.3,27.61,497700.0,497700.0,-0.84,-3.138,27.17333,"January 02, 98",-0.03138
1998-01-05,27.61,28.27,27.52,28.08,660900.0,660900.0,-0.47,-1.702,27.95667,"January 05, 98",-0.01702
1998-01-06,27.99,28.08,27.61,27.75,518500.0,518500.0,0.24,0.857,27.81333,"January 06, 98",0.00857
1998-01-07,27.61,27.7,26.67,27.0,449100.0,449100.0,0.61,2.209,27.12333,"January 07, 98",0.02209
1998-01-08,26.86,26.95,26.3,26.53,312400.0,312400.0,0.33,1.229,26.59333,"January 08, 98",0.01229
1998-01-09,26.3,26.39,24.7,25.08,686400.0,686400.0,1.22,4.639,25.39,"January 09, 98",0.04639
1998-01-12,24.32,26.01,24.23,25.36,587800.0,587800.0,-1.04,-4.276,25.2,"January 12, 98",-0.04276
1998-01-13,25.45,25.92,25.08,25.73,218200.0,218200.0,-0.28,-1.1,25.57667,"January 13, 98",-0.011
1998-01-14,25.73,26.3,25.64,26.11,190500.0,190500.0,-0.38,-1.477,26.01667,"January 14, 98",-0.01477
1998-01-15,26.01,26.2,25.45,25.45,176700.0,176700.0,0.56,2.153,25.7,"January 15, 98",0.02153
1998-01-16,26.01,26.3,25.26,25.64,411400.0,411400.0,0.37,1.423,25.73333,"January 16, 98",0.01423
1998-01-20,26.01,26.3,25.64,26.2,224800.0,224800.0,-0.19,-0.73,26.04667,"January 20, 98",-0.0073
1998-01-21,25.83,26.2,24.98,25.64,220000.0,220000.0,0.19,0.736,25.60667,"January 21, 98",0.00736
1998-01-22,24.98,25.64,24.79,24.98,219200.0,219200.0,0.0,0.0,25.13667,"January 22, 98",0.0
1998-01-23,24.98,25.36,24.23,24.51,323100.0,323100.0,0.47,1.882,24.7,"January 23, 98",0.01882
1998-01-26,24.32,25.17,24.18,24.89,344400.0,344400.0,-0.57,-2.344,24.74667,"January 26, 98",-0.02344
1998-01-27,24.79,25.36,24.04,24.04,503600.0,503600.0,0.75,3.025,24.48,"January 27, 98",0.03025
1998-01-28,24.14,24.89,24.14,24.7,256600.0,256600.0,-0.56,-2.32,24.57667,"January 28, 98",-0.0232
1998-01-29,24.79,26.58,24.23,25.73,955600.0,955600.0,-0.94,-3.792,25.51333,"January 29, 98",-0.03792
1998-01-30,25.73,25.92,25.08,25.36,317600.0,317600.0,0.37,1.438,25.45333,"January 30, 98",0.01438
1998-02-02,25.36,26.3,25.36,26.2,238500.0,238500.0,-0.84,-3.312,25.95333,"February 02, 98",-0.03312
1998-02-03,26.01,26.77,25.73,26.72,259400.0,259400.0,-0.71,-2.73,26.40667,"February 03, 98",-0.0273
1998-02-04,26.3,26.77,26.11,26.67,253300.0,253300.0,-0.37,-1.407,26.51667,"February 04, 98",-0.01407
1998-02-05,26.48,26.86,25.45,25.69,264000.0,264000.0,0.79,2.983,26.0,"February 05, 98",0.02983
1998-02-06,25.54,26.3,25.45,26.08,301500.0,301500.0,-0.54,-2.114,25.94333,"February 06, 98",-0.02114
1998-02-09,26.3,26.3,25.54,26.11,256900.0,256900.0,0.19,0.722,25.98333,"February 09, 98",0.00722
1998-02-10,25.73,26.77,25.73,25.73,451900.0,451900.0,0.0,0.0,26.07667,"February 10, 98",0.0
1998-02-11,26.01,26.3,25.64,26.11,99700.0,99700.0,-0.1,-0.384,26.01667,"February 11, 98",-0.00384
1998-02-12,26.01,26.53,25.54,26.3,245100.0,245100.0,-0.29,-1.115,26.12333,"February 12, 98",-0.01115
1998-02-13,26.01,26.2,25.78,26.01,177300.0,177300.0,0.0,0.0,25.99667,"February 13, 98",0.0
1998-02-17,26.11,26.77,25.92,26.3,429100.0,429100.0,-0.19,-0.728,26.33,"February 17, 98",-0.00728
1998-02-18,26.58,27.05,26.3,26.91,343900.0,343900.0,-0.33,-1.242,26.75333,"February 18, 98",-0.01242
1998-02-19,26.77,27.05,26.53,26.81,447900.0,447900.0,-0.04,-0.149,26.79667,"February 19, 98",-0.00149
1998-02-20,27.24,27.28,26.91,27.05,479100.0,479100.0,0.19,0.698,27.08,"February 20, 98",0.00698
1998-02-23,27.14,27.61,26.95,27.12,352300.0,352300.0,0.02,0.074,27.22667,"February 23, 98",0.00074
1998-02-24,27.05,27.24,26.86,27.14,221800.0,221800.0,-0.09,-0.333,27.08,"February 24, 98",-0.00333
1998-02-25,27.24,27.61,27.14,27.52,313500.0,313500.0,-0.28,-1.028,27.42333,"February 25, 98",-0.01028
1998-02-26,27.42,27.42,26.95,27.33,215600.0,215600.0,0.09,0.328,27.23333,"February 26, 98",0.00328
1998-02-27,27.05,27.24,26.86,26.95,187900.0,187900.0,0.1,0.37,27.01667,"February 27, 98",0.0037
1998-03-02,27.14,27.14,26.48,26.74,375900.0,375900.0,0.4,1.474,26.78667,"March 02, 98",0.01474
1998-03-03,26.77,27.14,26.58,26.86,234500.0,234500.0,-0.09,-0.336,26.86,"March 03, 98",-0.00336
1998-03-04,26.86,27.05,26.67,26.86,161000.0,161000.0,0.0,0.0,26.86,"March 04, 98",0.0
1998-03-05,26.58,27.0,26.3,26.55,306300.0,306300.0,0.03,0.113,26.61667,"March 05, 98",0.00113
1998-03-06,26.86,27.14,26.58,27.05,239500.0,239500.0,-0.19,-0.707,26.92333,"March 06, 98",-0.00707
1998-03-09,26.67,27.14,26.58,27.14,171000.0,171000.0,-0.47,-1.762,26.95333,"March 09, 98",-0.01762
1998-03-10,27.14,27.14,26.86,27.05,270600.0,270600.0,0.09,0.332,27.01667,"March 10, 98",0.00332
1998-03-11,26.77,27.14,26.67,26.91,230000.0,230000.0,-0.14,-0.523,26.90667,"March 11, 98",-0.00523
1998-03-12,27.05,27.05,26.62,26.91,248600.0,248600.0,0.14,0.518,26.86,"March 12, 98",0.00518
1998-03-13,26.77,27.14,26.77,26.86,252100.0,252100.0,-0.09,-0.336,26.92333,"March 13, 98",-0.00336
1998-03-16,26.67,27.42,26.58,27.42,352100.0,352100.0,-0.75,-2.812,27.14,"March 16, 98",-0.02812
1998-03-17,27.42,27.7,27.14,27.61,303700.0,303700.0,-0.19,-0.693,27.48333,"March 17, 98",-0.00693
1998-03-18,27.24,27.99,27.24,27.47,578400.0,578400.0,-0.23,-0.844,27.56667,"March 18, 98",-0.00844
1998-03-19,27.33,27.99,27.33,27.8,197200.0,197200.0,-0.47,-1.72,27.70667,"March 19, 98",-0.0172
1998-03-20,27.7,28.08,27.61,27.78,437000.0,437000.0,-0.08,-0.289,27.82333,"March 20, 98",-0.00289
1998-03-23,27.99,27.99,27.33,27.42,298800.0,298800.0,0.57,2.036,27.58,"March 23, 98",0.02036
1998-03-24,27.33,27.61,27.33,27.61,284400.0,284400.0,-0.28,-1.025,27.51667,"March 24, 98",-0.01025
1998-03-25,27.61,28.08,27.47,27.8,691000.0,691000.0,-0.19,-0.688,27.78333,"March 25, 98",-0.00688
1998-03-26,27.56,27.89,27.33,27.8,541800.0,541800.0,-0.24,-0.871,27.67333,"March 26, 98",-0.00871
1998-03-27,27.8,28.08,27.52,27.56,336700.0,336700.0,0.24,0.863,27.72,"March 27, 98",0.00863
1998-03-30,27.42,27.61,27.05,27.14,461800.0,461800.0,0.28,1.021,27.26667,"March 30, 98",0.01021
1998-03-31,27.14,27.61,27.14,27.38,593300.0,593300.0,-0.24,-0.884,27.37667,"March 31, 98",-0.00884
1998-04-01,27.19,27.52,26.95,27.33,764500.0,764500.0,-0.14,-0.515,27.26667,"April 01, 98",-0.00515
1998-04-02,27.42,28.17,27.33,27.75,977100.0,977100.0,-0.33,-1.204,27.75,"April 02, 98",-0.01204
1998-04-03,27.8,28.32,27.75,28.13,895800.0,895800.0,-0.33,-1.187,28.06667,"April 03, 98",-0.01187
