date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
1998-01-02,19.67,19.71,19.04,19.5,3489300.0,3489300.0,0.17,0.864,19.41667,"January 02, 98",0.00864
1998-01-05,19.56,19.63,19.19,19.23,4658400.0,4658400.0,0.33,1.687,19.35,"January 05, 98",0.01687
1998-01-06,19.04,19.35,19.04,19.35,3665700.0,3665700.0,-0.31,-1.628,19.24667,"January 06, 98",-0.01628
1998-01-07,19.33,19.71,19.23,19.56,5411400.0,5411400.0,-0.23,-1.19,19.5,"January 07, 98",-0.0119
1998-01-08,19.9,19.9,19.46,19.48,4797900.0,4797900.0,0.42,2.111,19.61333,"January 08, 98",0.02111
1998-01-09,19.38,19.38,18.67,18.79,4168200.0,4168200.0,0.59,3.044,18.94667,"January 09, 98",0.03044
1998-01-12,18.44,19.38,18.44,19.38,5052300.0,5052300.0,-0.94,-5.098,19.06667,"January 12, 98",-0.05098
1998-01-13,19.54,19.73,19.38,19.71,4986600.0,4986600.0,-0.17,-0.87,19.60667,"January 13, 98",-0.0087
1998-01-14,19.67,19.92,19.63,19.9,4104600.0,4104600.0,-0.23,-1.169,19.81667,"January 14, 98",-0.01169
1998-01-15,19.81,19.96,19.48,19.77,3544800.0,3544800.0,0.04,0.202,19.73667,"January 15, 98",0.00202
1998-01-16,19.88,19.96,19.71,19.77,3624300.0,3624300.0,0.11,0.553,19.81333,"January 16, 98",0.00553
1998-01-20,19.88,20.33,19.69,20.25,4904700.0,4904700.0,-0.37,-1.861,20.09,"January 20, 98",-0.01861
1998-01-21,20.23,20.27,19.94,20.23,3760500.0,3760500.0,0.0,0.0,20.14667,"January 21, 98",0.0
1998-01-22,19.96,20.04,19.79,19.83,3585000.0,3585000.0,0.13,0.651,19.88667,"January 22, 98",0.00651
1998-01-23,19.75,20.08,19.71,19.96,5545800.0,5545800.0,-0.21,-1.063,19.91667,"January 23, 98",-0.01063
1998-01-26,20.04,20.04,19.52,19.6,3712500.0,3712500.0,0.44,2.196,19.72,"January 26, 98",0.02196
1998-01-27,19.56,20.23,19.54,20.1,5146200.0,5146200.0,-0.54,-2.761,19.95667,"January 27, 98",-0.02761
1998-01-28,20.25,20.4,20.13,20.19,5980800.0,5980800.0,0.06,0.296,20.24,"January 28, 98",0.00296
1998-01-29,20.21,20.54,20.13,20.19,4806900.0,4806900.0,0.02,0.099,20.28667,"January 29, 98",0.00099
1998-01-30,20.23,20.44,20.04,20.17,2681100.0,2681100.0,0.06,0.297,20.21667,"January 30, 98",0.00297
1998-02-02,20.5,20.79,20.42,20.6,4069800.0,4069800.0,-0.1,-0.488,20.60333,"February 02, 98",-0.00488
1998-02-03,20.54,21.02,20.48,20.92,4578900.0,4578900.0,-0.38,-1.85,20.80667,"February 03, 98",-0.0185
1998-02-04,20.88,21.02,20.75,21.0,3787200.0,3787200.0,-0.12,-0.575,20.92333,"February 04, 98",-0.00575
