date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-12-12,43.71,44.98,43.61,44.12,12935400.0,12935400.0,-0.41,-0.938,44.23667,"December 12, 13",-0.00938
2013-12-13,45.12,45.92,44.22,45.35,1224800.0,1224800.0,-0.23,-0.51,45.16333,"December 13, 13",-0.0051
2013-12-16,47.36,52.84,44.16,44.16,4717600.0,4717600.0,3.2,6.757,47.05333,"December 16, 13",0.06757
2013-12-17,44.34,45.12,44.28,44.75,2313800.0,2313800.0,-0.41,-0.925,44.71667,"December 17, 13",-0.00925
2013-12-18,44.8,45.51,44.45,44.8,2857800.0,2857800.0,0.0,0.0,44.92,"December 18, 13",0.0
2013-12-19,44.63,45.99,44.22,45.72,1469100.0,1469100.0,-1.09,-2.442,45.31,"December 19, 13",-0.02442
2013-12-20,46.17,46.27,44.86,45.0,994800.0,994800.0,1.17,2.534,45.37667,"December 20, 13",0.02534
2013-12-23,45.16,45.53,44.24,44.24,1220700.0,1220700.0,0.92,2.037,44.67,"December 23, 13",0.02037
2013-12-24,44.32,44.47,43.4,44.14,1234000.0,1234000.0,0.18,0.406,44.00333,"December 24, 13",0.00406
2013-12-26,44.24,45.06,44.22,44.53,1309200.0,1309200.0,-0.29,-0.656,44.60333,"December 26, 13",-0.00656
2013-12-27,44.32,44.82,44.22,44.32,1090300.0,1090300.0,0.0,0.0,44.45333,"December 27, 13",0.0
2013-12-30,44.57,45.08,44.32,44.92,871800.0,871800.0,-0.35,-0.785,44.77333,"December 30, 13",-0.00785
2013-12-31,45.14,46.11,45.04,45.66,1134300.0,1134300.0,-0.52,-1.152,45.60333,"December 31, 13",-0.01152
2014-01-02,45.66,45.86,44.67,44.86,1763700.0,1763700.0,0.8,1.752,45.13,"January 02, 14",0.01752
2014-01-03,44.73,45.33,44.63,45.16,461200.0,461200.0,-0.43,-0.961,45.04,"January 03, 14",-0.00961
2014-01-06,45.12,45.39,44.65,45.14,1172300.0,1172300.0,-0.02,-0.044,45.06,"January 06, 14",-0.00044
2014-01-07,45.14,45.35,44.94,45.14,1992500.0,1992500.0,0.0,0.0,45.14333,"January 07, 14",0.0
2014-01-08,45.21,45.21,44.73,45.21,1154200.0,1154200.0,0.0,0.0,45.05,"January 08, 14",0.0
2014-01-09,45.14,45.19,44.55,44.88,459600.0,459600.0,0.26,0.576,44.87333,"January 09, 14",0.00576
2014-01-10,44.65,44.86,44.26,44.51,812300.0,812300.0,0.14,0.314,44.54333,"January 10, 14",0.00314
2014-01-13,44.24,44.8,44.24,44.57,728200.0,728200.0,-0.33,-0.746,44.53667,"January 13, 14",-0.00746
2014-01-14,44.55,45.37,44.41,45.35,1251600.0,1251600.0,-0.8,-1.796,45.04333,"January 14, 14",-0.01796
2014-01-15,45.25,45.49,44.8,44.96,915200.0,915200.0,0.29,0.641,45.08333,"January 15, 14",0.00641
2014-01-16,44.94,45.21,44.51,45.06,1130000.0,1130000.0,-0.12,-0.267,44.92667,"January 16, 14",-0.00267
2014-01-17,45.06,46.29,44.73,45.66,2702200.0,2702200.0,-0.6,-1.332,45.56,"January 17, 14",-0.01332
2014-01-21,46.19,46.35,44.82,44.98,1280200.0,1280200.0,1.21,2.62,45.38333,"January 21, 14",0.0262
2014-01-22,45.12,46.15,44.94,46.09,1428600.0,1428600.0,-0.97,-2.15,45.72667,"January 22, 14",-0.0215
2014-01-23,46.03,46.5,45.35,46.5,936000.0,936000.0,-0.47,-1.021,46.11667,"January 23, 14",-0.01021
2014-01-24,45.86,46.13,45.33,46.07,891000.0,891000.0,-0.21,-0.458,45.84333,"January 24, 14",-0.00458
2014-01-27,46.07,46.07,44.92,45.12,1099600.0,1099600.0,0.95,2.062,45.37,"January 27, 14",0.02062
2014-01-28,44.82,45.14,44.63,44.94,686200.0,686200.0,-0.12,-0.268,44.90333,"January 28, 14",-0.00268
2014-01-29,44.75,44.9,44.24,44.45,437800.0,437800.0,0.3,0.67,44.53,"January 29, 14",0.0067
2014-01-30,44.65,44.77,44.32,44.45,520200.0,520200.0,0.2,0.448,44.51333,"January 30, 14",0.00448
2014-01-31,44.14,44.51,43.79,44.43,428600.0,428600.0,-0.29,-0.657,44.24333,"January 31, 14",-0.00657
2014-02-03,44.43,44.53,42.76,42.99,1115000.0,1115000.0,1.44,3.241,43.42667,"February 03, 14",0.03241
2014-02-04,43.09,43.26,42.76,43.15,835700.0,835700.0,-0.06,-0.139,43.05667,"February 04, 14",-0.00139
2014-02-05,42.78,43.01,42.17,42.68,694700.0,694700.0,0.1,0.234,42.62,"February 05, 14",0.00234
2014-02-06,42.76,43.5,42.72,43.5,294100.0,294100.0,-0.74,-1.731,43.24,"February 06, 14",-0.01731
2014-02-07,43.63,44.88,43.54,44.43,513000.0,513000.0,-0.8,-1.834,44.28333,"February 07, 14",-0.01834
2014-02-10,44.47,44.51,43.71,43.93,562400.0,562400.0,0.54,1.214,44.05,"February 10, 14",0.01214
2014-02-11,44.59,44.67,44.04,44.51,642400.0,642400.0,0.08,0.179,44.40667,"February 11, 14",0.00179
2014-02-12,44.61,45.04,44.36,44.92,436600.0,436600.0,-0.31,-0.695,44.77333,"February 12, 14",-0.00695
2014-02-13,44.69,45.19,44.43,45.04,551600.0,551600.0,-0.35,-0.783,44.88667,"February 13, 14",-0.00783
2014-02-14,45.14,45.25,44.86,45.14,647800.0,647800.0,0.0,0.0,45.08333,"February 14, 14",0.0
2014-02-18,45.14,45.14,44.59,44.65,616100.0,616100.0,0.49,1.086,44.79333,"February 18, 14",0.01086
2014-02-19,44.65,45.04,44.12,44.18,441000.0,441000.0,0.47,1.053,44.44667,"February 19, 14",0.01053
2014-02-20,44.12,44.47,43.73,44.1,602000.0,602000.0,0.02,0.045,44.1,"February 20, 14",0.00045
2014-02-21,44.12,45.53,44.06,45.45,1166000.0,1166000.0,-1.33,-3.015,45.01333,"February 21, 14",-0.03015
2014-02-24,45.57,46.17,45.23,45.68,743100.0,743100.0,-0.11,-0.241,45.69333,"February 24, 14",-0.00241
2014-02-25,45.66,46.33,45.57,45.9,823100.0,823100.0,-0.24,-0.526,45.93333,"February 25, 14",-0.00526
2014-02-26,45.99,46.54,45.76,46.25,1072000.0,1072000.0,-0.26,-0.565,46.18333,"February 26, 14",-0.00565
2014-02-27,45.99,46.91,44.73,46.15,2187800.0,2187800.0,-0.16,-0.348,45.93,"February 27, 14",-0.00348
2014-02-28,46.17,46.33,45.31,45.88,970500.0,970500.0,0.29,0.628,45.84,"February 28, 14",0.00628
2014-03-03,45.6,46.17,45.37,46.15,676700.0,676700.0,-0.55,-1.206,45.89667,"March 03, 14",-0.01206
2014-03-04,47.01,47.4,46.09,46.29,2307000.0,2307000.0,0.72,1.532,46.59333,"March 04, 14",0.01532
2014-03-05,46.11,46.97,46.07,46.72,668700.0,668700.0,-0.61,-1.323,46.58667,"March 05, 14",-0.01323
2014-03-06,46.72,46.91,45.96,46.13,682400.0,682400.0,0.59,1.263,46.33333,"March 06, 14",0.01263
2014-03-07,46.07,46.85,45.96,46.6,642300.0,642300.0,-0.53,-1.15,46.47,"March 07, 14",-0.0115
2014-03-10,46.7,46.89,45.62,45.92,922000.0,922000.0,0.78,1.67,46.14333,"March 10, 14",0.0167
2014-03-11,45.94,46.09,45.14,45.37,835400.0,835400.0,0.57,1.241,45.53333,"March 11, 14",0.01241
2014-03-12,45.23,45.96,44.67,45.86,788600.0,788600.0,-0.63,-1.393,45.49667,"March 12, 14",-0.01393
2014-03-13,45.62,46.03,45.06,45.25,992600.0,992600.0,0.37,0.811,45.44667,"March 13, 14",0.00811
2014-03-14,45.06,45.68,44.88,45.21,609000.0,609000.0,-0.15,-0.333,45.25667,"March 14, 14",-0.00333
2014-03-17,45.37,45.94,45.33,45.39,369200.0,369200.0,-0.02,-0.044,45.55333,"March 17, 14",-0.00044
2014-03-18,45.35,46.35,45.27,46.31,677700.0,677700.0,-0.96,-2.117,45.97667,"March 18, 14",-0.02117
2014-03-19,46.21,46.23,45.47,45.68,733300.0,733300.0,0.53,1.147,45.79333,"March 19, 14",0.01147
2014-03-20,45.66,46.01,45.37,45.49,652700.0,652700.0,0.17,0.372,45.62333,"March 20, 14",0.00372
2014-03-21,45.7,47.18,45.45,47.18,3026700.0,3026700.0,-1.48,-3.239,46.60333,"March 21, 14",-0.03239
2014-03-24,47.07,47.38,46.09,46.7,966000.0,966000.0,0.37,0.786,46.72333,"March 24, 14",0.00786
2014-03-25,46.74,46.99,46.13,46.13,781700.0,781700.0,0.61,1.305,46.41667,"March 25, 14",0.01305
2014-03-26,46.17,46.31,45.74,45.84,781900.0,781900.0,0.33,0.715,45.96333,"March 26, 14",0.00715
2014-03-27,45.78,46.21,45.49,45.62,670500.0,670500.0,0.16,0.349,45.77333,"March 27, 14",0.00349
2014-03-28,45.49,45.92,45.04,45.66,2073000.0,2073000.0,-0.17,-0.374,45.54,"March 28, 14",-0.00374
2014-03-31,45.84,46.03,45.14,45.64,4896900.0,4896900.0,0.2,0.436,45.60333,"March 31, 14",0.00436
2014-04-01,45.6,46.58,45.57,46.27,1052500.0,1052500.0,-0.67,-1.469,46.14,"April 01, 14",-0.01469
2014-04-02,46.17,46.56,46.07,46.11,1061500.0,1061500.0,0.06,0.13,46.24667,"April 02, 14",0.0013
2014-04-03,46.17,46.33,45.19,45.19,959300.0,959300.0,0.98,2.123,45.57,"April 03, 14",0.02123
2014-04-04,45.21,45.25,44.24,44.3,2767300.0,2767300.0,0.91,2.013,44.59667,"April 04, 14",0.02013
2014-04-07,44.32,44.38,43.63,43.85,694200.0,694200.0,0.47,1.06,43.95333,"April 07, 14",0.0106
2014-04-08,43.81,43.91,43.38,43.83,686100.0,686100.0,-0.02,-0.046,43.70667,"April 08, 14",-0.00046
2014-04-09,43.97,44.43,43.87,44.14,864800.0,864800.0,-0.17,-0.387,44.14667,"April 09, 14",-0.00387
2014-04-10,44.06,44.26,43.17,43.46,527900.0,527900.0,0.6,1.362,43.63,"April 10, 14",0.01362
2014-04-11,43.3,43.87,43.01,43.61,760100.0,760100.0,-0.31,-0.716,43.49667,"April 11, 14",-0.00716
2014-04-14,43.69,44.34,43.32,43.81,515300.0,515300.0,-0.12,-0.275,43.82333,"April 14, 14",-0.00275
2014-04-15,44.14,44.14,43.09,43.87,484900.0,484900.0,0.27,0.612,43.7,"April 15, 14",0.00612
2014-04-16,43.65,44.36,43.56,44.32,523900.0,523900.0,-0.67,-1.535,44.08,"April 16, 14",-0.01535
2014-04-17,44.2,44.86,43.71,44.67,805100.0,805100.0,-0.47,-1.063,44.41333,"April 17, 14",-0.01063
2014-04-21,44.57,44.57,43.85,44.04,498100.0,498100.0,0.53,1.189,44.15333,"April 21, 14",0.01189
2014-04-22,44.02,44.57,43.97,44.14,511700.0,511700.0,-0.12,-0.273,44.22667,"April 22, 14",-0.00273
2014-04-23,44.08,44.43,43.83,44.1,469800.0,469800.0,-0.02,-0.045,44.12,"April 23, 14",-0.00045
2014-04-24,44.24,44.47,44.04,44.12,302300.0,302300.0,0.12,0.271,44.21,"April 24, 14",0.00271
2014-04-25,44.12,44.16,43.58,43.77,204900.0,204900.0,0.35,0.793,43.83667,"April 25, 14",0.00793
2014-04-28,43.79,43.97,43.19,43.85,625600.0,625600.0,-0.06,-0.137,43.67,"April 28, 14",-0.00137
2014-04-29,44.36,44.49,43.03,43.28,1292800.0,1292800.0,1.08,2.435,43.6,"April 29, 14",0.02435
2014-04-30,43.52,44.84,43.4,44.8,920900.0,920900.0,-1.28,-2.941,44.34667,"April 30, 14",-0.02941
2014-05-01,44.71,45.41,44.02,45.31,700500.0,700500.0,-0.6,-1.342,44.91333,"May 01, 14",-0.01342
2014-05-02,45.31,46.52,45.23,45.25,991000.0,991000.0,0.06,0.132,45.66667,"May 02, 14",0.00132
2014-05-05,45.02,45.53,44.77,45.47,410800.0,410800.0,-0.45,-1.0,45.25667,"May 05, 14",-0.01
2014-05-06,45.35,45.72,44.94,45.47,683100.0,683100.0,-0.12,-0.265,45.37667,"May 06, 14",-0.00265
2014-05-07,46.79,47.15,45.37,46.5,1038000.0,1038000.0,0.29,0.62,46.34,"May 07, 14",0.0062
