date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
1998-01-02,18.25,18.42,18.25,18.36,47200.0,47200.0,-0.11,-0.603,18.34333,"January 02, 98",-0.00603
1998-01-05,17.94,18.0,17.81,17.83,45200.0,45200.0,0.11,0.613,17.88,"January 05, 98",0.00613
1998-01-06,17.78,18.08,17.78,17.98,34800.0,34800.0,-0.2,-1.125,17.94667,"January 06, 98",-0.01125
1998-01-07,18.05,18.08,18.02,18.08,29600.0,29600.0,-0.03,-0.166,18.06,"January 07, 98",-0.00166
1998-01-08,18.03,18.03,17.77,17.77,19200.0,19200.0,0.26,1.442,17.85667,"January 08, 98",0.01442
1998-01-09,17.7,17.75,17.41,17.48,99200.0,99200.0,0.22,1.243,17.54667,"January 09, 98",0.01243
1998-01-12,17.38,17.44,17.31,17.34,69600.0,69600.0,0.04,0.23,17.36333,"January 12, 98",0.0023
1998-01-13,17.25,17.47,17.25,17.45,44400.0,44400.0,-0.2,-1.159,17.39,"January 13, 98",-0.01159
1998-01-14,17.77,17.91,17.77,17.81,101200.0,101200.0,-0.04,-0.225,17.83,"January 14, 98",-0.00225
1998-01-15,17.81,18.03,17.81,18.03,41600.0,41600.0,-0.22,-1.235,17.95667,"January 15, 98",-0.01235
1998-01-16,19.09,19.13,18.97,19.06,262400.0,262400.0,0.03,0.157,19.05333,"January 16, 98",0.00157
1998-01-20,18.88,18.94,18.8,18.88,54400.0,54400.0,0.0,0.0,18.87333,"January 20, 98",0.0
1998-01-21,18.83,18.89,18.77,18.81,74400.0,74400.0,0.02,0.106,18.82333,"January 21, 98",0.00106
1998-01-22,18.81,18.81,18.58,18.64,18000.0,18000.0,0.17,0.904,18.67667,"January 22, 98",0.00904
1998-01-23,18.78,18.86,18.77,18.84,94400.0,94400.0,-0.06,-0.319,18.82333,"January 23, 98",-0.00319
1998-01-26,18.58,18.66,18.5,18.63,64800.0,64800.0,-0.05,-0.269,18.59667,"January 26, 98",-0.00269
1998-01-27,18.23,18.5,18.23,18.39,90400.0,90400.0,-0.16,-0.878,18.37333,"January 27, 98",-0.00878
1998-01-28,18.22,18.41,18.22,18.33,19600.0,19600.0,-0.11,-0.604,18.32,"January 28, 98",-0.00604
