date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
1998-01-02,14.16,14.67,14.05,14.66,10137500.0,10137500.0,-0.5,-3.531,14.46,"January 02, 98",-0.03531
1998-01-05,14.66,14.87,14.43,14.56,13745300.0,13745300.0,0.1,0.682,14.62,"January 05, 98",0.00682
1998-01-06,14.56,14.66,14.42,14.6,10349800.0,10349800.0,-0.04,-0.275,14.56,"January 06, 98",-0.00275
1998-01-07,14.6,14.73,14.26,14.73,11619900.0,11619900.0,-0.13,-0.89,14.57333,"January 07, 98",-0.0089
1998-01-08,14.73,14.92,14.53,14.8,13072300.0,13072300.0,-0.07,-0.475,14.75,"January 08, 98",-0.00475
1998-01-09,14.8,14.83,13.98,14.08,14243800.0,14243800.0,0.72,4.865,14.29667,"January 09, 98",0.04865
1998-01-12,14.08,14.4,13.75,14.12,15077000.0,15077000.0,-0.04,-0.284,14.09,"January 12, 98",-0.00284
1998-01-13,14.13,14.5,14.13,14.5,10336600.0,10336600.0,-0.37,-2.619,14.37667,"January 13, 98",-0.02619
1998-01-14,14.5,14.52,14.16,14.31,9217500.0,9217500.0,0.19,1.31,14.33,"January 14, 98",0.0131
1998-01-15,14.31,14.65,14.23,14.53,11613300.0,11613300.0,-0.22,-1.537,14.47,"January 15, 98",-0.01537
1998-01-16,14.53,14.75,14.43,14.48,11118700.0,11118700.0,0.05,0.344,14.55333,"January 16, 98",0.00344
1998-01-20,14.48,14.66,14.33,14.55,11295800.0,11295800.0,-0.07,-0.483,14.51333,"January 20, 98",-0.00483
1998-01-21,14.45,14.45,14.23,14.32,13433900.0,13433900.0,0.13,0.9,14.33333,"January 21, 98",0.009
1998-01-22,14.31,14.31,14.08,14.11,10887500.0,10887500.0,0.2,1.398,14.16667,"January 22, 98",0.01398
1998-01-23,14.11,14.18,13.89,13.99,10278400.0,10278400.0,0.12,0.85,14.02,"January 23, 98",0.0085
1998-01-26,13.99,14.18,13.85,13.96,8723400.0,8723400.0,0.03,0.214,13.99667,"January 26, 98",0.00214
1998-01-27,13.98,14.49,13.98,14.39,9349200.0,9349200.0,-0.41,-2.933,14.28667,"January 27, 98",-0.02933
1998-01-28,14.39,14.52,14.25,14.39,9167300.0,9167300.0,0.0,0.0,14.38667,"January 28, 98",0.0
1998-01-29,14.15,14.15,13.74,13.74,22147200.0,22147200.0,0.41,2.898,13.87667,"January 29, 98",0.02898
1998-01-30,13.74,13.82,13.61,13.65,16065300.0,16065300.0,0.09,0.655,13.69333,"January 30, 98",0.00655
1998-02-02,13.81,14.12,13.81,14.02,15014900.0,15014900.0,-0.21,-1.521,13.98333,"February 02, 98",-0.01521
1998-02-03,13.88,13.88,13.58,13.68,20656500.0,20656500.0,0.2,1.441,13.71333,"February 03, 98",0.01441
1998-02-04,13.68,13.91,13.62,13.74,18384900.0,18384900.0,-0.06,-0.439,13.75667,"February 04, 98",-0.00439
1998-02-05,13.95,14.22,13.95,14.01,18760100.0,18760100.0,-0.06,-0.43,14.06,"February 05, 98",-0.0043
1998-02-06,14.01,14.32,13.92,14.11,15113200.0,15113200.0,-0.1,-0.714,14.11667,"February 06, 98",-0.00714
1998-02-09,14.11,14.13,13.87,13.92,12219700.0,12219700.0,0.19,1.347,13.97333,"February 09, 98",0.01347
1998-02-10,14.11,14.63,14.11,14.39,19817500.0,19817500.0,-0.28,-1.984,14.37667,"February 10, 98",-0.01984
1998-02-11,14.39,14.55,14.15,14.19,12600700.0,12600700.0,0.2,1.39,14.29667,"February 11, 98",0.0139
1998-02-12,14.19,14.22,13.82,14.16,15527600.0,15527600.0,0.03,0.211,14.06667,"February 12, 98",0.00211
1998-02-13,14.13,14.13,13.95,14.05,5620300.0,5620300.0,0.08,0.566,14.04333,"February 13, 98",0.00566
1998-02-17,14.05,14.29,13.96,13.99,9478700.0,9478700.0,0.06,0.427,14.08,"February 17, 98",0.00427
1998-02-18,13.99,14.4,13.87,14.33,22785400.0,22785400.0,-0.34,-2.43,14.2,"February 18, 98",-0.0243
1998-02-19,14.43,14.86,14.43,14.75,30307800.0,30307800.0,-0.32,-2.218,14.68,"February 19, 98",-0.02218
1998-02-20,14.75,14.77,14.45,14.75,25212400.0,25212400.0,0.0,0.0,14.65667,"February 20, 98",0.0
1998-02-23,14.75,14.92,14.56,14.62,11070300.0,11070300.0,0.13,0.881,14.7,"February 23, 98",0.00881
1998-02-24,14.6,14.6,14.08,14.21,12861000.0,12861000.0,0.39,2.671,14.29667,"February 24, 98",0.02671
1998-02-25,14.36,14.75,14.36,14.67,11660400.0,11660400.0,-0.31,-2.159,14.59333,"February 25, 98",-0.02159
1998-02-26,14.67,14.84,14.56,14.76,9727100.0,9727100.0,-0.09,-0.613,14.72,"February 26, 98",-0.00613
1998-02-27,15.1,15.43,15.1,15.21,22289000.0,22289000.0,-0.11,-0.728,15.24667,"February 27, 98",-0.00728
1998-03-02,15.21,15.38,14.8,14.82,12714700.0,12714700.0,0.39,2.564,15.0,"March 02, 98",0.02564
1998-03-03,14.72,14.72,14.56,14.65,10056000.0,10056000.0,0.07,0.476,14.64333,"March 03, 98",0.00476
1998-03-04,14.65,14.83,14.19,14.19,12185400.0,12185400.0,0.46,3.14,14.40333,"March 04, 98",0.0314
1998-03-05,14.19,14.32,13.92,14.06,24402100.0,24402100.0,0.13,0.916,14.1,"March 05, 98",0.00916
1998-03-06,14.06,14.25,13.88,13.98,18861400.0,18861400.0,0.08,0.569,14.03667,"March 06, 98",0.00569
1998-03-09,13.88,13.88,13.65,13.68,22984400.0,22984400.0,0.2,1.441,13.73667,"March 09, 98",0.01441
1998-03-10,13.74,13.99,13.74,13.96,14021000.0,14021000.0,-0.22,-1.601,13.89667,"March 10, 98",-0.01601
1998-03-11,13.96,14.18,13.75,13.77,16516300.0,16516300.0,0.19,1.361,13.9,"March 11, 98",0.01361
1998-03-12,13.77,14.11,13.68,14.05,10227800.0,10227800.0,-0.28,-2.033,13.94667,"March 12, 98",-0.02033
1998-03-13,14.05,14.16,13.92,14.02,9789200.0,9789200.0,0.03,0.214,14.03333,"March 13, 98",0.00214
1998-03-16,14.02,14.16,13.91,14.12,7542700.0,7542700.0,-0.1,-0.713,14.06333,"March 16, 98",-0.00713
1998-03-17,14.12,14.16,13.85,13.95,10240600.0,10240600.0,0.17,1.204,13.98667,"March 17, 98",0.01204
1998-03-18,13.95,14.23,13.87,14.22,9285300.0,9285300.0,-0.27,-1.935,14.10667,"March 18, 98",-0.01935
1998-03-19,14.22,14.45,14.21,14.26,8913600.0,8913600.0,-0.04,-0.281,14.30667,"March 19, 98",-0.00281
1998-03-20,14.26,14.53,14.13,14.26,14044300.0,14044300.0,0.0,0.0,14.30667,"March 20, 98",0.0
1998-03-23,14.26,14.65,14.16,14.36,11581600.0,11581600.0,-0.1,-0.701,14.39,"March 23, 98",-0.00701
1998-03-24,14.4,14.6,14.4,14.42,7093000.0,7093000.0,-0.02,-0.139,14.47333,"March 24, 98",-0.00139
1998-03-25,14.49,14.76,14.49,14.7,11283900.0,11283900.0,-0.21,-1.449,14.65,"March 25, 98",-0.01449
1998-03-26,14.65,14.65,14.38,14.5,6643400.0,6643400.0,0.15,1.024,14.51,"March 26, 98",0.01024
1998-03-27,14.5,14.57,14.22,14.26,6083200.0,6083200.0,0.24,1.655,14.35,"March 27, 98",0.01655
1998-03-30,14.26,14.4,14.22,14.33,5566600.0,5566600.0,-0.07,-0.491,14.31667,"March 30, 98",-0.00491
1998-03-31,14.39,14.63,14.39,14.39,8279500.0,8279500.0,0.0,0.0,14.47,"March 31, 98",0.0
1998-04-01,14.39,14.52,14.08,14.21,13285900.0,13285900.0,0.18,1.251,14.27,"April 01, 98",0.01251
1998-04-02,14.21,14.36,14.08,14.28,12419700.0,12419700.0,-0.07,-0.493,14.24,"April 02, 98",-0.00493
1998-04-03,14.28,14.36,14.12,14.21,8322600.0,8322600.0,0.07,0.49,14.23,"April 03, 98",0.0049
1998-04-06,14.21,14.29,13.98,14.05,9965800.0,9965800.0,0.16,1.126,14.10667,"April 06, 98",0.01126
1998-04-07,14.05,14.06,13.75,13.79,10814900.0,10814900.0,0.26,1.851,13.86667,"April 07, 98",0.01851
1998-04-08,13.79,13.84,13.64,13.68,17772700.0,17772700.0,0.11,0.798,13.72,"April 08, 98",0.00798
1998-04-09,13.72,13.91,13.72,13.87,10139700.0,10139700.0,-0.15,-1.093,13.83333,"April 09, 98",-0.01093
1998-04-13,13.87,13.87,13.72,13.85,8707500.0,8707500.0,0.02,0.144,13.81333,"April 13, 98",0.00144
