date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
1999-07-16,62.13,62.31,61.63,62.06,231400.0,231400.0,0.07,0.113,62.0,"July 16, 99",0.00113
1999-07-19,63.63,63.69,61.5,62.19,158200.0,158200.0,1.44,2.263,62.46,"July 19, 99",0.02263
1999-07-20,61.75,61.75,60.75,60.88,79400.0,79400.0,0.87,1.409,61.12667,"July 20, 99",0.01409
1999-07-21,60.88,61.19,60.38,61.0,75200.0,75200.0,-0.12,-0.197,60.85667,"July 21, 99",-0.00197
1999-07-22,60.94,61.0,60.63,60.88,33500.0,33500.0,0.06,0.098,60.83667,"July 22, 99",0.00098
1999-07-23,58.5,58.5,57.25,57.56,114700.0,114700.0,0.94,1.607,57.77,"July 23, 99",0.01607
1999-07-26,57.31,58.25,57.25,58.0,46000.0,46000.0,-0.69,-1.204,57.83333,"July 26, 99",-0.01204
1999-07-27,59.31,60.25,59.0,60.13,82400.0,82400.0,-0.82,-1.383,59.79333,"July 27, 99",-0.01383
1999-07-28,58.5,59.38,58.0,58.88,93100.0,93100.0,-0.38,-0.65,58.75333,"July 28, 99",-0.0065
1999-07-29,58.88,58.88,57.5,57.5,65600.0,65600.0,1.38,2.344,57.96,"July 29, 99",0.02344
1999-07-30,60.25,60.25,59.5,60.25,82900.0,82900.0,0.0,0.0,60.0,"July 30, 99",0.0
1999-08-02,60.5,63.31,60.5,62.63,73700.0,73700.0,-2.13,-3.521,62.14667,"August 02, 99",-0.03521
1999-08-03,63.25,63.25,62.38,63.0,97300.0,97300.0,0.25,0.395,62.87667,"August 03, 99",0.00395
1999-08-04,63.25,64.0,62.56,63.88,64500.0,64500.0,-0.63,-0.996,63.48,"August 04, 99",-0.00996
1999-08-05,61.31,61.75,60.0,61.69,192800.0,192800.0,-0.38,-0.62,61.14667,"August 05, 99",-0.0062
1999-08-06,59.81,60.13,59.0,59.13,110200.0,110200.0,0.68,1.137,59.42,"August 06, 99",0.01137
1999-08-09,58.75,59.0,58.56,58.69,52900.0,52900.0,0.06,0.102,58.75,"August 09, 99",0.00102
1999-08-10,57.0,57.63,56.63,57.63,67500.0,67500.0,-0.63,-1.105,57.29667,"August 10, 99",-0.01105
1999-08-11,58.25,58.75,57.88,58.75,46500.0,46500.0,-0.5,-0.858,58.46,"August 11, 99",-0.00858
1999-08-12,61.13,61.13,60.38,60.44,70200.0,70200.0,0.69,1.129,60.65,"August 12, 99",0.01129
1999-08-13,60.0,61.0,60.0,60.63,55200.0,55200.0,-0.63,-1.05,60.54333,"August 13, 99",-0.0105
1999-08-16,60.63,60.88,60.25,60.56,53000.0,53000.0,0.07,0.115,60.56333,"August 16, 99",0.00115
1999-08-17,61.0,61.0,60.5,60.63,36800.0,36800.0,0.37,0.607,60.71,"August 17, 99",0.00607
1999-08-18,60.5,60.63,59.63,59.94,36000.0,36000.0,0.56,0.926,60.06667,"August 18, 99",0.00926
1999-08-19,61.0,62.13,61.0,61.94,69300.0,69300.0,-0.94,-1.541,61.69,"August 19, 99",-0.01541
1999-08-20,62.5,63.38,62.5,63.25,52300.0,52300.0,-0.75,-1.2,63.04333,"August 20, 99",-0.012
1999-08-23,63.63,64.88,63.63,63.88,105400.0,105400.0,-0.25,-0.393,64.13,"August 23, 99",-0.00393
1999-08-24,63.5,63.69,62.19,63.69,119000.0,119000.0,-0.19,-0.299,63.19,"August 24, 99",-0.00299
1999-08-25,63.75,64.0,61.69,61.75,137700.0,137700.0,2.0,3.137,62.48,"August 25, 99",0.03137
1999-08-26,63.5,63.5,61.88,61.94,89700.0,89700.0,1.56,2.457,62.44,"August 26, 99",0.02457
1999-08-27,62.19,62.63,61.06,61.13,88100.0,88100.0,1.06,1.704,61.60667,"August 27, 99",0.01704
1999-08-30,62.5,62.81,61.88,61.94,97400.0,97400.0,0.56,0.896,62.21,"August 30, 99",0.00896
1999-08-31,62.19,62.5,61.38,62.25,51000.0,51000.0,-0.06,-0.096,62.04333,"August 31, 99",-0.00096
1999-09-01,61.69,61.69,61.19,61.63,81200.0,81200.0,0.06,0.097,61.50333,"September 01, 99",0.00097
1999-09-02,60.69,60.75,60.0,60.69,41400.0,41400.0,0.0,0.0,60.48,"September 02, 99",0.0
1999-09-03,61.5,61.75,61.31,61.75,88300.0,88300.0,-0.25,-0.407,61.60333,"September 03, 99",-0.00407
1999-09-07,62.25,62.25,61.63,61.75,21900.0,21900.0,0.5,0.803,61.87667,"September 07, 99",0.00803
1999-09-08,61.0,61.44,60.88,61.25,25900.0,25900.0,-0.25,-0.41,61.19,"September 08, 99",-0.0041
1999-09-09,62.75,62.75,62.31,62.63,74300.0,74300.0,0.12,0.191,62.56333,"September 09, 99",0.00191
1999-09-10,62.75,62.75,62.25,62.75,82200.0,82200.0,0.0,0.0,62.58333,"September 10, 99",0.0
1999-09-13,61.63,61.75,61.19,61.63,75400.0,75400.0,0.0,0.0,61.52333,"September 13, 99",0.0
1999-09-14,60.88,60.88,60.44,60.56,59200.0,59200.0,0.32,0.526,60.62667,"September 14, 99",0.00526
1999-09-15,59.19,59.19,58.0,58.75,118500.0,118500.0,0.44,0.743,58.64667,"September 15, 99",0.00743
1999-09-16,58.5,58.63,58.0,58.5,58400.0,58400.0,0.0,0.0,58.37667,"September 16, 99",0.0
1999-09-17,59.31,60.25,59.31,60.13,54200.0,54200.0,-0.82,-1.383,59.89667,"September 17, 99",-0.01383
1999-09-20,59.5,59.69,59.06,59.69,41100.0,41100.0,-0.19,-0.319,59.48,"September 20, 99",-0.00319
1999-09-21,58.81,58.81,57.75,57.81,50900.0,50900.0,1.0,1.7,58.12333,"September 21, 99",0.017
1999-09-22,57.88,59.0,57.88,58.88,97000.0,97000.0,-1.0,-1.728,58.58667,"September 22, 99",-0.01728
1999-09-23,58.75,58.75,57.5,57.56,33700.0,33700.0,1.19,2.026,57.93667,"September 23, 99",0.02026
1999-09-24,58.63,58.75,57.81,58.0,44700.0,44700.0,0.63,1.075,58.18667,"September 24, 99",0.01075
1999-09-27,59.75,60.38,59.69,59.75,66700.0,66700.0,0.0,0.0,59.94,"September 27, 99",0.0
1999-09-28,58.63,58.75,57.75,57.94,86900.0,86900.0,0.69,1.177,58.14667,"September 28, 99",0.01177
1999-09-29,56.81,57.56,56.81,57.13,79600.0,79600.0,-0.32,-0.563,57.16667,"September 29, 99",-0.00563
1999-09-30,57.38,58.06,57.38,58.06,58400.0,58400.0,-0.68,-1.185,57.83333,"September 30, 99",-0.01185
1999-10-01,58.06,58.06,57.19,57.81,28500.0,28500.0,0.25,0.431,57.68667,"October 01, 99",0.00431
1999-10-04,58.25,59.38,58.25,59.19,55300.0,55300.0,-0.94,-1.614,58.94,"October 04, 99",-0.01614
1999-10-05,58.25,58.81,58.0,58.06,61400.0,61400.0,0.19,0.326,58.29,"October 05, 99",0.00326
1999-10-06,58.88,59.5,58.81,59.13,30400.0,30400.0,-0.25,-0.425,59.14667,"October 06, 99",-0.00425
1999-10-07,59.38,59.44,58.25,58.5,308700.0,308700.0,0.88,1.482,58.73,"October 07, 99",0.01482
1999-10-08,58.5,58.94,58.13,58.81,32500.0,32500.0,-0.31,-0.53,58.62667,"October 08, 99",-0.0053
1999-10-11,58.25,58.38,57.69,58.13,34200.0,34200.0,0.12,0.206,58.06667,"October 11, 99",0.00206
1999-10-12,58.0,58.0,56.06,57.13,94700.0,94700.0,0.87,1.5,57.06333,"October 12, 99",0.015
1999-10-13,56.06,56.06,54.69,55.25,159300.0,159300.0,0.81,1.445,55.33333,"October 13, 99",0.01445
1999-10-14,55.56,56.63,55.13,56.63,81900.0,81900.0,-1.07,-1.926,56.13,"October 14, 99",-0.01926
1999-10-15,54.0,54.5,53.13,53.94,124700.0,124700.0,0.06,0.111,53.85667,"October 15, 99",0.00111
1999-10-18,53.5,53.81,53.25,53.81,20900.0,20900.0,-0.31,-0.579,53.62333,"October 18, 99",-0.00579
1999-10-19,55.13,55.63,54.75,54.94,28800.0,28800.0,0.19,0.345,55.10667,"October 19, 99",0.00345
1999-10-20,55.38,56.5,55.38,56.5,61900.0,61900.0,-1.12,-2.022,56.12667,"October 20, 99",-0.02022
1999-10-21,53.75,54.75,53.75,54.75,84100.0,84100.0,-1.0,-1.86,54.41667,"October 21, 99",-0.0186
1999-10-22,57.38,57.81,57.13,57.44,43300.0,43300.0,-0.06,-0.105,57.46,"October 22, 99",-0.00105
1999-10-25,56.81,57.69,56.81,57.56,97400.0,97400.0,-0.75,-1.32,57.35333,"October 25, 99",-0.0132
1999-10-26,57.56,58.0,57.38,57.5,79700.0,79700.0,0.06,0.104,57.62667,"October 26, 99",0.00104
1999-10-27,57.13,58.0,56.88,57.94,35000.0,35000.0,-0.81,-1.418,57.60667,"October 27, 99",-0.01418
1999-10-28,59.56,60.75,58.44,59.13,542500.0,542500.0,0.43,0.722,59.44,"October 28, 99",0.00722
1999-10-29,61.0,61.75,61.0,61.56,179400.0,179400.0,-0.56,-0.918,61.43667,"October 29, 99",-0.00918
1999-11-01,61.0,61.0,60.56,60.75,60100.0,60100.0,0.25,0.41,60.77,"November 01, 99",0.0041
1999-11-02,60.81,60.88,60.44,60.5,34800.0,34800.0,0.31,0.51,60.60667,"November 02, 99",0.0051
1999-11-03,60.88,61.13,60.25,60.88,56400.0,56400.0,0.0,0.0,60.75333,"November 03, 99",0.0
1999-11-04,61.94,62.5,61.5,61.88,95000.0,95000.0,0.06,0.097,61.96,"November 04, 99",0.00097
1999-11-05,61.81,62.25,61.5,62.0,54200.0,54200.0,-0.19,-0.307,61.91667,"November 05, 99",-0.00307
1999-11-08,61.56,62.31,61.5,61.56,59300.0,59300.0,0.0,0.0,61.79,"November 08, 99",0.0
1999-11-09,63.38,63.88,63.06,63.31,107100.0,107100.0,0.07,0.11,63.41667,"November 09, 99",0.0011
1999-11-10,63.13,63.44,63.0,63.19,34700.0,34700.0,-0.06,-0.095,63.21,"November 10, 99",-0.00095
1999-11-11,63.19,63.25,62.25,62.44,52300.0,52300.0,0.75,1.187,62.64667,"November 11, 99",0.01187
1999-11-12,62.56,64.19,62.25,64.19,51600.0,51600.0,-1.63,-2.605,63.54333,"November 12, 99",-0.02605
1999-11-15,64.13,64.63,63.81,64.0,67100.0,67100.0,0.13,0.203,64.14667,"November 15, 99",0.00203
1999-11-16,65.63,67.5,65.63,67.38,93500.0,93500.0,-1.75,-2.666,66.83667,"November 16, 99",-0.02666
1999-11-17,66.88,67.56,66.81,67.44,65400.0,65400.0,-0.56,-0.837,67.27,"November 17, 99",-0.00837
1999-11-18,66.38,67.38,66.19,67.0,94900.0,94900.0,-0.62,-0.934,66.85667,"November 18, 99",-0.00934
1999-11-19,66.63,66.63,65.69,66.0,61800.0,61800.0,0.63,0.946,66.10667,"November 19, 99",0.00946
1999-11-22,66.75,67.0,65.81,66.25,52600.0,52600.0,0.5,0.749,66.35333,"November 22, 99",0.00749
1999-11-23,67.31,67.75,67.13,67.31,76500.0,76500.0,0.0,0.0,67.39667,"November 23, 99",0.0
1999-11-24,67.5,70.0,67.5,69.44,84400.0,84400.0,-1.94,-2.874,68.98,"November 24, 99",-0.02874
1999-11-26,67.75,68.0,67.19,67.75,38700.0,38700.0,0.0,0.0,67.64667,"November 26, 99",0.0
1999-11-29,68.94,68.94,68.25,68.69,53300.0,53300.0,0.25,0.363,68.62667,"November 29, 99",0.00363
1999-11-30,65.13,65.88,64.75,65.19,77300.0,77300.0,-0.06,-0.092,65.27333,"November 30, 99",-0.00092
1999-12-01,65.0,66.25,65.0,66.25,72600.0,72600.0,-1.25,-1.923,65.83333,"December 01, 99",-0.01923
1999-12-02,66.0,66.56,65.81,66.44,49200.0,49200.0,-0.44,-0.667,66.27,"December 02, 99",-0.00667
1999-12-03,67.0,67.94,67.0,67.13,74100.0,74100.0,-0.13,-0.194,67.35667,"December 03, 99",-0.00194
1999-12-06,67.88,68.44,67.25,67.5,220200.0,220200.0,0.38,0.56,67.73,"December 06, 99",0.0056
1999-12-07,67.63,67.63,66.06,66.25,71800.0,71800.0,1.38,2.041,66.64667,"December 07, 99",0.02041
1999-12-08,66.25,67.63,66.06,67.13,110600.0,110600.0,-0.88,-1.328,66.94,"December 08, 99",-0.01328
1999-12-09,67.13,67.63,67.13,67.5,37400.0,37400.0,-0.37,-0.551,67.42,"December 09, 99",-0.00551
1999-12-10,68.63,69.75,68.63,69.63,77300.0,77300.0,-1.0,-1.457,69.33667,"December 10, 99",-0.01457
1999-12-13,68.63,69.38,68.56,69.25,36100.0,36100.0,-0.62,-0.903,69.06333,"December 13, 99",-0.00903
1999-12-14,69.0,69.75,69.0,69.69,73900.0,73900.0,-0.69,-1.0,69.48,"December 14, 99",-0.01
1999-12-15,66.75,67.13,66.5,67.0,63900.0,63900.0,-0.25,-0.375,66.87667,"December 15, 99",-0.00375
