date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
1998-01-02,21.0,22.0,20.5,21.13,533600.0,533600.0,-0.13,-0.619,21.21,"January 02, 98",-0.00619
1998-01-05,21.13,21.25,20.81,21.25,262000.0,262000.0,-0.12,-0.568,21.10333,"January 05, 98",-0.00568
1998-01-06,20.75,21.0,20.5,20.75,409700.0,409700.0,0.0,0.0,20.75,"January 06, 98",0.0
1998-01-07,20.75,21.75,20.56,21.75,395300.0,395300.0,-1.0,-4.819,21.35333,"January 07, 98",-0.04819
1998-01-08,21.75,21.88,20.38,20.81,417400.0,417400.0,0.94,4.322,21.02333,"January 08, 98",0.04322
1998-01-09,20.81,20.81,19.25,19.63,294400.0,294400.0,1.18,5.67,19.89667,"January 09, 98",0.0567
1998-01-12,19.38,20.0,19.38,20.0,292500.0,292500.0,-0.62,-3.199,19.79333,"January 12, 98",-0.03199
1998-01-13,20.0,20.0,19.63,19.75,181200.0,181200.0,0.25,1.25,19.79333,"January 13, 98",0.0125
1998-01-14,19.5,20.38,19.44,20.38,324900.0,324900.0,-0.88,-4.513,20.06667,"January 14, 98",-0.04513
1998-01-15,20.38,20.38,19.94,19.94,358400.0,358400.0,0.44,2.159,20.08667,"January 15, 98",0.02159
1998-01-16,19.94,20.38,19.94,20.19,364100.0,364100.0,-0.25,-1.254,20.17,"January 16, 98",-0.01254
1998-01-20,20.19,20.19,19.88,20.0,672900.0,672900.0,0.19,0.941,20.02333,"January 20, 98",0.00941
1998-01-21,20.0,20.13,19.94,19.94,738900.0,738900.0,0.06,0.3,20.00333,"January 21, 98",0.003
1998-01-22,19.94,19.94,19.56,19.81,325400.0,325400.0,0.13,0.652,19.77,"January 22, 98",0.00652
1998-01-23,19.5,19.63,19.25,19.5,265900.0,265900.0,0.0,0.0,19.46,"January 23, 98",0.0
1998-01-26,19.5,19.88,19.5,19.75,205800.0,205800.0,-0.25,-1.282,19.71,"January 26, 98",-0.01282
1998-01-27,19.69,20.0,19.69,19.94,328200.0,328200.0,-0.25,-1.27,19.87667,"January 27, 98",-0.0127
1998-01-28,19.88,20.44,19.81,20.06,886900.0,886900.0,-0.18,-0.905,20.10333,"January 28, 98",-0.00905
1998-01-29,20.0,20.63,20.0,20.13,370200.0,370200.0,-0.13,-0.65,20.25333,"January 29, 98",-0.0065
1998-01-30,20.13,20.63,20.06,20.06,421200.0,421200.0,0.07,0.348,20.25,"January 30, 98",0.00348
1998-02-02,20.25,20.63,20.13,20.63,423100.0,423100.0,-0.38,-1.877,20.46333,"February 02, 98",-0.01877
1998-02-03,20.44,20.44,19.63,20.44,337300.0,337300.0,0.0,0.0,20.17,"February 03, 98",0.0
1998-02-04,20.25,20.88,20.13,20.5,479900.0,479900.0,-0.25,-1.235,20.50333,"February 04, 98",-0.01235
1998-02-05,20.88,21.75,20.75,21.69,916000.0,916000.0,-0.81,-3.879,21.39667,"February 05, 98",-0.03879
1998-02-06,20.88,21.19,20.81,21.0,822800.0,822800.0,-0.12,-0.575,21.0,"February 06, 98",-0.00575
1998-02-09,21.0,22.0,21.0,21.75,703200.0,703200.0,-0.75,-3.571,21.58333,"February 09, 98",-0.03571
1998-02-10,21.81,22.13,21.25,21.25,1070900.0,1070900.0,0.56,2.568,21.54333,"February 10, 98",0.02568
1998-02-11,21.5,21.88,21.5,21.75,459200.0,459200.0,-0.25,-1.163,21.71,"February 11, 98",-0.01163
1998-02-12,21.5,22.5,21.5,22.5,1194400.0,1194400.0,-1.0,-4.651,22.16667,"February 12, 98",-0.04651
1998-02-13,22.5,24.75,22.5,24.38,2201200.0,2201200.0,-1.88,-8.356,23.87667,"February 13, 98",-0.08356
1998-02-17,23.88,24.38,23.88,24.0,763800.0,763800.0,-0.12,-0.503,24.08667,"February 17, 98",-0.00503
1998-02-18,23.94,24.5,23.88,24.5,992900.0,992900.0,-0.56,-2.339,24.29333,"February 18, 98",-0.02339
1998-02-19,24.31,24.75,24.31,24.5,509300.0,509300.0,-0.19,-0.782,24.52,"February 19, 98",-0.00782
1998-02-20,26.0,26.13,25.06,25.31,1709700.0,1709700.0,0.69,2.654,25.5,"February 20, 98",0.02654
1998-02-23,25.31,25.44,25.0,25.44,534400.0,534400.0,-0.13,-0.514,25.29333,"February 23, 98",-0.00514
1998-02-24,25.31,25.63,25.13,25.38,337600.0,337600.0,-0.07,-0.277,25.38,"February 24, 98",-0.00277
1998-02-25,25.5,25.75,25.0,25.13,703700.0,703700.0,0.37,1.451,25.29333,"February 25, 98",0.01451
1998-02-26,25.0,25.69,25.0,25.44,691600.0,691600.0,-0.44,-1.76,25.37667,"February 26, 98",-0.0176
1998-02-27,25.44,25.75,25.19,25.44,531400.0,531400.0,0.0,0.0,25.46,"February 27, 98",0.0
1998-03-02,25.63,25.75,25.06,25.31,292100.0,292100.0,0.32,1.249,25.37333,"March 02, 98",0.01249
1998-03-03,25.5,25.81,25.38,25.69,703600.0,703600.0,-0.19,-0.745,25.62667,"March 03, 98",-0.00745
1998-03-04,25.19,25.5,25.06,25.25,570900.0,570900.0,-0.06,-0.238,25.27,"March 04, 98",-0.00238
1998-03-05,25.13,25.31,25.0,25.13,770800.0,770800.0,0.0,0.0,25.14667,"March 05, 98",0.0
1998-03-06,25.0,25.38,24.94,25.06,530700.0,530700.0,-0.06,-0.24,25.12667,"March 06, 98",-0.0024
1998-03-09,25.19,25.31,25.06,25.19,455200.0,455200.0,0.0,0.0,25.18667,"March 09, 98",0.0
1998-03-10,25.81,26.06,25.63,25.94,1461600.0,1461600.0,-0.13,-0.504,25.87667,"March 10, 98",-0.00504
1998-03-11,26.0,26.5,25.94,26.38,1407500.0,1407500.0,-0.38,-1.462,26.27333,"March 11, 98",-0.01462
1998-03-12,26.19,26.25,26.0,26.06,375100.0,375100.0,0.13,0.496,26.10333,"March 12, 98",0.00496
1998-03-13,26.06,26.38,26.0,26.38,720400.0,720400.0,-0.32,-1.228,26.25333,"March 13, 98",-0.01228
1998-03-16,26.38,26.44,25.88,25.88,565700.0,565700.0,0.5,1.895,26.06667,"March 16, 98",0.01895
1998-03-17,26.0,26.06,25.75,25.81,625000.0,625000.0,0.19,0.731,25.87333,"March 17, 98",0.00731
1998-03-18,25.81,25.88,25.31,25.81,526100.0,526100.0,0.0,0.0,25.66667,"March 18, 98",0.0
1998-03-19,25.81,26.0,25.5,25.56,435700.0,435700.0,0.25,0.969,25.68667,"March 19, 98",0.00969
1998-03-20,25.69,25.88,25.38,25.38,570300.0,570300.0,0.31,1.207,25.54667,"March 20, 98",0.01207
1998-03-23,25.25,25.81,25.25,25.75,198200.0,198200.0,-0.5,-1.98,25.60333,"March 23, 98",-0.0198
1998-03-24,25.63,25.94,25.63,25.75,207900.0,207900.0,-0.12,-0.468,25.77333,"March 24, 98",-0.00468
1998-03-25,25.94,25.94,25.13,25.5,561800.0,561800.0,0.44,1.696,25.52333,"March 25, 98",0.01696
1998-03-26,25.38,25.75,24.88,24.88,651700.0,651700.0,0.5,1.97,25.17,"March 26, 98",0.0197
1998-03-27,24.94,25.0,24.56,24.63,709100.0,709100.0,0.31,1.243,24.73,"March 27, 98",0.01243
1998-03-30,24.88,25.56,24.88,25.06,624200.0,624200.0,-0.18,-0.723,25.16667,"March 30, 98",-0.00723
1998-03-31,25.25,25.31,24.75,24.81,431500.0,431500.0,0.44,1.743,24.95667,"March 31, 98",0.01743
1998-04-01,25.13,25.63,25.06,25.13,519800.0,519800.0,0.0,0.0,25.27333,"April 01, 98",0.0
1998-04-02,25.13,26.0,24.5,25.75,1428200.0,1428200.0,-0.62,-2.467,25.41667,"April 02, 98",-0.02467
1998-04-03,25.88,26.06,25.56,26.0,650100.0,650100.0,-0.12,-0.464,25.87333,"April 03, 98",-0.00464
1998-04-06,26.0,26.38,25.75,25.75,511500.0,511500.0,0.25,0.962,25.96,"April 06, 98",0.00962
1998-04-07,25.94,25.94,24.94,25.31,362800.0,362800.0,0.63,2.429,25.39667,"April 07, 98",0.02429
1998-04-08,25.44,26.75,25.44,26.5,1123100.0,1123100.0,-1.06,-4.167,26.23,"April 08, 98",-0.04167
1998-04-09,26.5,27.5,26.38,26.94,1203600.0,1203600.0,-0.44,-1.66,26.94,"April 09, 98",-0.0166
1998-04-13,26.94,27.13,26.63,26.88,618100.0,618100.0,0.06,0.223,26.88,"April 13, 98",0.00223
1998-04-14,26.81,27.0,26.5,26.69,337800.0,337800.0,0.12,0.448,26.73,"April 14, 98",0.00448
