date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
1998-01-02,36.21,36.88,35.85,36.88,2915700.0,2915700.0,-0.67,-1.85,36.53667,"January 02, 98",-0.0185
1998-01-05,37.29,37.56,37.0,37.48,7433400.0,7433400.0,-0.19,-0.51,37.34667,"January 05, 98",-0.0051
1998-01-06,36.67,37.0,35.52,35.73,11063100.0,11063100.0,0.94,2.563,36.08333,"January 06, 98",0.02563
1998-01-07,35.58,36.13,34.77,36.13,10111800.0,10111800.0,-0.55,-1.546,35.67667,"January 07, 98",-0.01546
1998-01-08,35.75,35.88,34.67,34.73,8979600.0,8979600.0,1.02,2.853,35.09333,"January 08, 98",0.02853
1998-01-09,34.81,35.23,33.75,33.96,10242900.0,10242900.0,0.85,2.442,34.31333,"January 09, 98",0.02442
1998-01-12,32.85,34.21,32.85,34.21,10922400.0,10922400.0,-1.36,-4.14,33.75667,"January 12, 98",-0.0414
1998-01-13,34.5,34.79,34.23,34.54,7038900.0,7038900.0,-0.04,-0.116,34.52,"January 13, 98",-0.00116
1998-01-14,35.35,35.42,34.52,34.79,10182600.0,10182600.0,0.56,1.584,34.91,"January 14, 98",0.01584
1998-01-15,34.67,34.77,34.33,34.42,6839100.0,6839100.0,0.25,0.721,34.50667,"January 15, 98",0.00721
1998-01-16,34.71,35.38,34.67,35.17,5872500.0,5872500.0,-0.46,-1.325,35.07333,"January 16, 98",-0.01325
1998-01-20,35.42,35.96,34.65,35.73,8127000.0,8127000.0,-0.31,-0.875,35.44667,"January 20, 98",-0.00875
1998-01-21,35.67,35.92,34.71,35.04,7926900.0,7926900.0,0.63,1.766,35.22333,"January 21, 98",0.01766
1998-01-22,34.69,35.27,34.69,34.75,7206300.0,7206300.0,-0.06,-0.173,34.90333,"January 22, 98",-0.00173
1998-01-23,34.75,34.83,34.06,34.42,8334900.0,8334900.0,0.33,0.95,34.43667,"January 23, 98",0.0095
1998-01-26,34.33,34.83,34.04,34.04,7377300.0,7377300.0,0.29,0.845,34.30333,"January 26, 98",0.00845
1998-01-27,34.31,35.15,34.15,35.08,7158300.0,7158300.0,-0.77,-2.244,34.79333,"January 27, 98",-0.02244
1998-01-28,35.29,35.5,34.75,35.33,8068500.0,8068500.0,-0.04,-0.113,35.19333,"January 28, 98",-0.00113
1998-01-29,35.46,36.13,35.42,35.6,6780300.0,6780300.0,-0.14,-0.395,35.71667,"January 29, 98",-0.00395
1998-01-30,36.0,36.0,35.6,35.73,5122800.0,5122800.0,0.27,0.75,35.77667,"January 30, 98",0.0075
1998-02-02,36.17,37.19,36.15,37.06,7643700.0,7643700.0,-0.89,-2.461,36.8,"February 02, 98",-0.02461
1998-02-03,37.17,38.08,37.04,38.08,6984600.0,6984600.0,-0.91,-2.448,37.73333,"February 03, 98",-0.02448
1998-02-04,37.98,38.31,37.58,38.17,5770800.0,5770800.0,-0.19,-0.5,38.02,"February 04, 98",-0.005
1998-02-05,38.33,38.58,37.71,38.19,6003900.0,6003900.0,0.14,0.365,38.16,"February 05, 98",0.00365
1998-02-06,38.42,39.33,38.38,38.98,7131000.0,7131000.0,-0.56,-1.458,38.89667,"February 06, 98",-0.01458
1998-02-09,39.19,40.33,39.13,40.33,8127000.0,8127000.0,-1.14,-2.909,39.93,"February 09, 98",-0.02909
1998-02-10,40.04,40.27,39.75,39.96,6259800.0,6259800.0,0.08,0.2,39.99333,"February 10, 98",0.002
1998-02-11,39.92,40.15,39.77,39.94,4010400.0,4010400.0,-0.02,-0.05,39.95333,"February 11, 98",-0.0005
1998-02-12,39.71,39.98,39.21,39.79,5293500.0,5293500.0,-0.08,-0.201,39.66,"February 12, 98",-0.00201
1998-02-13,39.69,39.71,39.17,39.4,3623100.0,3623100.0,0.29,0.731,39.42667,"February 13, 98",0.00731
1998-02-17,39.92,40.27,39.79,40.25,5438400.0,5438400.0,-0.33,-0.827,40.10333,"February 17, 98",-0.00827
1998-02-18,40.33,40.81,40.29,40.6,5238300.0,5238300.0,-0.27,-0.669,40.56667,"February 18, 98",-0.00669
1998-02-19,40.67,40.67,39.79,39.88,4595100.0,4595100.0,0.79,1.942,40.11333,"February 19, 98",0.01942
1998-02-20,40.0,40.0,39.42,39.94,4830300.0,4830300.0,0.06,0.15,39.78667,"February 20, 98",0.0015
1998-02-23,40.54,40.6,40.17,40.4,3573900.0,3573900.0,0.14,0.345,40.39,"February 23, 98",0.00345
1998-02-24,40.4,40.4,39.9,39.92,4373400.0,4373400.0,0.48,1.188,40.07333,"February 24, 98",0.01188
1998-02-25,40.35,41.06,40.19,40.79,4452900.0,4452900.0,-0.44,-1.09,40.68,"February 25, 98",-0.0109
1998-02-26,40.67,41.54,40.5,41.25,4866000.0,4866000.0,-0.58,-1.426,41.09667,"February 26, 98",-0.01426
1998-02-27,40.92,41.48,40.67,41.35,5162400.0,5162400.0,-0.43,-1.051,41.16667,"February 27, 98",-0.01051
1998-03-02,41.48,41.67,41.06,41.25,4160700.0,4160700.0,0.23,0.554,41.32667,"March 02, 98",0.00554
1998-03-03,40.79,41.92,40.77,41.77,5430300.0,5430300.0,-0.98,-2.403,41.48667,"March 03, 98",-0.02403
1998-03-04,41.38,41.6,40.79,40.81,4410900.0,4410900.0,0.57,1.377,41.06667,"March 04, 98",0.01377
1998-03-05,40.46,40.63,39.96,40.17,5073000.0,5073000.0,0.29,0.717,40.25333,"March 05, 98",0.00717
1998-03-06,40.5,40.75,40.17,40.54,6180600.0,6180600.0,-0.04,-0.099,40.48667,"March 06, 98",-0.00099
1998-03-09,40.6,40.6,39.46,39.52,6918000.0,6918000.0,1.08,2.66,39.86,"March 09, 98",0.0266
1998-03-10,40.17,40.63,39.6,40.52,5760900.0,5760900.0,-0.35,-0.871,40.25,"March 10, 98",-0.00871
