date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
1999-02-11,14.13,14.31,12.75,13.0,7954500.0,7954500.0,1.13,7.997,13.35333,"February 11, 99",0.07997
1999-02-12,12.88,12.88,11.0,11.25,1095700.0,1095700.0,1.63,12.655,11.71,"February 12, 99",0.12655
1999-02-16,12.0,12.25,11.75,11.75,377100.0,377100.0,0.25,2.083,11.91667,"February 16, 99",0.02083
1999-02-17,11.69,11.69,11.5,11.56,266600.0,266600.0,0.13,1.112,11.58333,"February 17, 99",0.01112
1999-02-18,11.69,11.81,11.5,11.75,135000.0,135000.0,-0.06,-0.513,11.68667,"February 18, 99",-0.00513
1999-02-19,11.75,12.0,11.75,11.81,166300.0,166300.0,-0.06,-0.511,11.85333,"February 19, 99",-0.00511
1999-02-22,11.88,11.88,11.56,11.63,138100.0,138100.0,0.25,2.104,11.69,"February 22, 99",0.02104
1999-02-23,11.63,11.75,11.5,11.69,305000.0,305000.0,-0.06,-0.516,11.64667,"February 23, 99",-0.00516
1999-02-24,11.69,11.75,11.31,11.5,311900.0,311900.0,0.19,1.625,11.52,"February 24, 99",0.01625
1999-02-25,11.44,11.5,11.13,11.38,175100.0,175100.0,0.06,0.524,11.33667,"February 25, 99",0.00524
1999-02-26,11.44,11.44,11.38,11.38,40600.0,40600.0,0.06,0.524,11.4,"February 26, 99",0.00524
1999-03-01,11.38,11.5,11.38,11.38,22100.0,22100.0,0.0,0.0,11.42,"March 01, 99",0.0
1999-03-02,11.5,11.75,11.38,11.75,48900.0,48900.0,-0.25,-2.174,11.62667,"March 02, 99",-0.02174
1999-03-03,11.75,11.81,11.5,11.5,85600.0,85600.0,0.25,2.128,11.60333,"March 03, 99",0.02128
1999-03-04,11.38,11.75,11.38,11.69,106100.0,106100.0,-0.31,-2.724,11.60667,"March 04, 99",-0.02724
1999-03-05,11.75,12.06,11.69,12.0,134900.0,134900.0,-0.25,-2.128,11.91667,"March 05, 99",-0.02128
1999-03-08,12.31,12.38,12.06,12.06,80800.0,80800.0,0.25,2.031,12.16667,"March 08, 99",0.02031
1999-03-09,12.19,12.25,12.0,12.0,132400.0,132400.0,0.19,1.559,12.08333,"March 09, 99",0.01559
1999-03-10,12.06,12.06,11.13,11.13,142200.0,142200.0,0.93,7.711,11.44,"March 10, 99",0.07711
1999-03-11,11.44,12.63,11.44,12.56,717300.0,717300.0,-1.12,-9.79,12.21,"March 11, 99",-0.0979
1999-03-12,12.56,12.94,12.44,12.81,506800.0,506800.0,-0.25,-1.99,12.73,"March 12, 99",-0.0199
1999-03-15,12.81,13.38,12.75,13.31,410500.0,410500.0,-0.5,-3.903,13.14667,"March 15, 99",-0.03903
1999-03-16,13.38,13.38,12.13,13.13,88600.0,88600.0,0.25,1.868,12.88,"March 16, 99",0.01868
1999-03-17,13.13,13.44,12.94,13.38,104700.0,104700.0,-0.25,-1.904,13.25333,"March 17, 99",-0.01904
1999-03-18,13.44,13.44,12.56,12.81,255200.0,255200.0,0.63,4.688,12.93667,"March 18, 99",0.04688
