date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
1998-01-02,33.34,33.5,32.97,33.47,5443200.0,5443200.0,-0.13,-0.39,33.31333,"January 02, 98",-0.0039
1998-01-05,33.44,33.44,32.63,33.22,7691600.0,7691600.0,0.22,0.658,33.09667,"January 05, 98",0.00658
1998-01-06,33.22,33.31,32.91,33.06,5448200.0,5448200.0,0.16,0.482,33.09333,"January 06, 98",0.00482
1998-01-07,33.06,33.09,32.56,33.09,5357200.0,5357200.0,-0.03,-0.091,32.91333,"January 07, 98",-0.00091
1998-01-08,33.09,33.5,32.88,33.31,6323800.0,6323800.0,-0.22,-0.665,33.23,"January 08, 98",-0.00665
1998-01-09,33.31,33.34,32.03,32.06,8747200.0,8747200.0,1.25,3.753,32.47667,"January 09, 98",0.03753
1998-01-12,32.06,33.09,31.13,33.03,8895200.0,8895200.0,-0.97,-3.026,32.41667,"January 12, 98",-0.03026
1998-01-13,33.03,33.09,32.31,32.69,6400000.0,6400000.0,0.34,1.029,32.69667,"January 13, 98",0.01029
1998-01-14,32.63,32.63,32.13,32.31,5673200.0,5673200.0,0.32,0.981,32.35667,"January 14, 98",0.00981
1998-01-15,32.22,32.22,31.78,31.88,4166800.0,4166800.0,0.34,1.055,31.96,"January 15, 98",0.01055
1998-01-16,32.16,32.59,32.16,32.5,8217000.0,8217000.0,-0.34,-1.057,32.41667,"January 16, 98",-0.01057
1998-01-20,32.53,32.97,32.53,32.97,4942000.0,4942000.0,-0.44,-1.353,32.82333,"January 20, 98",-0.01353
1998-01-21,32.97,32.97,32.5,32.75,4477400.0,4477400.0,0.22,0.667,32.74,"January 21, 98",0.00667
1998-01-22,32.75,33.0,32.34,32.72,5446400.0,5446400.0,0.03,0.092,32.68667,"January 22, 98",0.00092
1998-01-23,32.72,32.81,31.81,31.91,5033800.0,5033800.0,0.81,2.476,32.17667,"January 23, 98",0.02476
1998-01-26,31.91,32.16,31.22,31.53,5051800.0,5051800.0,0.38,1.191,31.63667,"January 26, 98",0.01191
1998-01-27,31.53,32.06,31.41,31.63,5669200.0,5669200.0,-0.1,-0.317,31.7,"January 27, 98",-0.00317
1998-01-28,31.63,32.38,31.19,32.06,10064600.0,10064600.0,-0.43,-1.359,31.87667,"January 28, 98",-0.01359
1998-01-29,32.09,32.78,32.09,32.38,6681000.0,6681000.0,-0.29,-0.904,32.41667,"January 29, 98",-0.00904
1998-01-30,32.38,32.5,32.25,32.38,4994800.0,4994800.0,0.0,0.0,32.37667,"January 30, 98",0.0
1998-02-02,32.63,33.56,32.63,33.34,10112200.0,10112200.0,-0.71,-2.176,33.17667,"February 02, 98",-0.02176
1998-02-03,33.34,33.81,33.25,33.75,7294600.0,7294600.0,-0.41,-1.23,33.60333,"February 03, 98",-0.0123
1998-02-04,33.72,33.72,33.38,33.53,5980800.0,5980800.0,0.19,0.563,33.54333,"February 04, 98",0.00563
1998-02-05,33.53,33.81,33.41,33.78,7490600.0,7490600.0,-0.25,-0.746,33.66667,"February 05, 98",-0.00746
1998-02-06,33.78,34.03,33.59,33.59,4298600.0,4298600.0,0.19,0.562,33.73667,"February 06, 98",0.00562
1998-02-09,33.59,33.72,33.5,33.69,3552000.0,3552000.0,-0.1,-0.298,33.63667,"February 09, 98",-0.00298
1998-02-10,33.69,34.19,33.69,33.97,5323400.0,5323400.0,-0.28,-0.831,33.95,"February 10, 98",-0.00831
1998-02-11,33.97,34.44,33.91,34.44,4338000.0,4338000.0,-0.47,-1.384,34.26333,"February 11, 98",-0.01384
1998-02-12,34.44,34.78,33.97,34.63,5871600.0,5871600.0,-0.19,-0.552,34.46,"February 12, 98",-0.00552
1998-02-13,34.59,34.59,34.13,34.28,4396200.0,4396200.0,0.31,0.896,34.33333,"February 13, 98",0.00896
1998-02-17,34.28,34.63,34.09,34.25,4680800.0,4680800.0,0.03,0.088,34.32333,"February 17, 98",0.00088
1998-02-18,34.25,34.91,34.06,34.56,4588800.0,4588800.0,-0.31,-0.905,34.51,"February 18, 98",-0.00905
1998-02-19,34.5,34.5,34.22,34.38,3483200.0,3483200.0,0.12,0.348,34.36667,"February 19, 98",0.00348
1998-02-20,34.38,34.84,34.25,34.78,5884200.0,5884200.0,-0.4,-1.163,34.62333,"February 20, 98",-0.01163
1998-02-23,34.78,34.88,34.31,34.59,4430200.0,4430200.0,0.19,0.546,34.59333,"February 23, 98",0.00546
1998-02-24,34.53,34.53,34.03,34.16,4511200.0,4511200.0,0.37,1.072,34.24,"February 24, 98",0.01072
1998-02-25,34.22,34.53,34.22,34.31,3796400.0,3796400.0,-0.09,-0.263,34.35333,"February 25, 98",-0.00263
1998-02-26,34.31,34.63,34.19,34.44,2958600.0,2958600.0,-0.13,-0.379,34.42,"February 26, 98",-0.00379
1998-02-27,34.44,34.47,34.16,34.31,3544200.0,3544200.0,0.13,0.377,34.31333,"February 27, 98",0.00377
1998-03-02,34.31,34.34,33.97,34.0,5421800.0,5421800.0,0.31,0.904,34.10333,"March 02, 98",0.00904
1998-03-03,34.0,34.13,33.78,34.09,3897800.0,3897800.0,-0.09,-0.265,34.0,"March 03, 98",-0.00265
1998-03-04,34.09,34.38,33.81,34.38,5010400.0,5010400.0,-0.29,-0.851,34.19,"March 04, 98",-0.00851
1998-03-05,34.38,34.91,34.19,34.66,7645400.0,7645400.0,-0.28,-0.814,34.58667,"March 05, 98",-0.00814
1998-03-06,34.78,35.38,34.78,35.25,9568800.0,9568800.0,-0.47,-1.351,35.13667,"March 06, 98",-0.01351
1998-03-09,35.25,36.59,35.25,36.28,9636000.0,9636000.0,-1.03,-2.922,36.04,"March 09, 98",-0.02922
1998-03-10,36.28,36.47,36.28,36.31,5093400.0,5093400.0,-0.03,-0.083,36.35333,"March 10, 98",-0.00083
1998-03-11,36.25,36.25,35.94,36.22,4748400.0,4748400.0,0.03,0.083,36.13667,"March 11, 98",0.00083
1998-03-12,36.22,36.22,35.81,35.81,4878600.0,4878600.0,0.41,1.132,35.94667,"March 12, 98",0.01132
1998-03-13,35.81,36.0,35.19,35.28,4027200.0,4027200.0,0.53,1.48,35.49,"March 13, 98",0.0148
1998-03-16,35.41,36.09,35.41,35.88,4828000.0,4828000.0,-0.47,-1.327,35.79333,"March 16, 98",-0.01327
1998-03-17,35.88,36.22,35.69,36.22,4683000.0,4683000.0,-0.34,-0.948,36.04333,"March 17, 98",-0.00948
1998-03-18,36.22,37.5,36.13,37.41,8973400.0,8973400.0,-1.19,-3.285,37.01333,"March 18, 98",-0.03285
1998-03-19,37.41,37.63,37.13,37.47,5914400.0,5914400.0,-0.06,-0.16,37.41,"March 19, 98",-0.0016
1998-03-20,37.47,38.75,37.47,38.75,10567600.0,10567600.0,-1.28,-3.416,38.32333,"March 20, 98",-0.03416
1998-03-23,38.31,38.31,37.63,37.94,7623200.0,7623200.0,0.37,0.966,37.96,"March 23, 98",0.00966
1998-03-24,37.94,38.38,37.72,38.0,5543200.0,5543200.0,-0.06,-0.158,38.03333,"March 24, 98",-0.00158
1998-03-25,38.0,38.19,37.72,38.09,5285200.0,5285200.0,-0.09,-0.237,38.0,"March 25, 98",-0.00237
1998-03-26,38.09,38.47,37.66,38.22,4528000.0,4528000.0,-0.13,-0.341,38.11667,"March 26, 98",-0.00341
1998-03-27,38.22,38.25,37.44,37.53,5057400.0,5057400.0,0.69,1.805,37.74,"March 27, 98",0.01805
1998-03-30,38.16,39.66,38.16,39.19,10732000.0,10732000.0,-1.03,-2.699,39.00333,"March 30, 98",-0.02699
1998-03-31,39.19,39.34,38.56,38.72,6896200.0,6896200.0,0.47,1.199,38.87333,"March 31, 98",0.01199
1998-04-01,38.72,40.34,38.72,40.31,8855000.0,8855000.0,-1.59,-4.106,39.79,"April 01, 98",-0.04106
1998-04-02,40.31,40.69,39.91,40.56,6690000.0,6690000.0,-0.25,-0.62,40.38667,"April 02, 98",-0.0062
1998-04-03,40.56,40.56,39.91,40.22,6801200.0,6801200.0,0.34,0.838,40.23,"April 03, 98",0.00838
1998-04-06,40.22,40.66,39.63,39.63,7718800.0,7718800.0,0.59,1.467,39.97333,"April 06, 98",0.01467
1998-04-07,39.56,39.56,38.97,39.5,6177200.0,6177200.0,0.06,0.152,39.34333,"April 07, 98",0.00152
1998-04-08,39.5,39.66,38.63,39.03,5503200.0,5503200.0,0.47,1.19,39.10667,"April 08, 98",0.0119
1998-04-09,39.03,39.44,38.91,39.28,3912000.0,3912000.0,-0.25,-0.641,39.21,"April 09, 98",-0.00641
1998-04-13,39.16,39.16,38.44,38.88,5482600.0,5482600.0,0.28,0.715,38.82667,"April 13, 98",0.00715
1998-04-14,38.88,39.0,38.41,38.91,4980600.0,4980600.0,-0.03,-0.077,38.77333,"April 14, 98",-0.00077
1998-04-15,38.91,39.0,37.81,38.34,6630600.0,6630600.0,0.57,1.465,38.38333,"April 15, 98",0.01465
