date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
1999-05-26,30.13,30.38,30.06,30.31,10920500.0,10920500.0,-0.18,-0.597,30.25,"May 26, 99",-0.00597
1999-05-27,30.38,30.69,30.25,30.38,3543200.0,3543200.0,0.0,0.0,30.44,"May 27, 99",0.0
1999-05-28,30.38,31.94,30.31,31.81,1046200.0,1046200.0,-1.43,-4.707,31.35333,"May 28, 99",-0.04707
1999-06-01,35.5,35.81,33.63,34.19,2185300.0,2185300.0,1.31,3.69,34.54333,"June 01, 99",0.0369
1999-06-02,34.5,34.63,33.5,34.19,1966100.0,1966100.0,0.31,0.899,34.10667,"June 02, 99",0.00899
1999-06-03,34.19,34.25,33.19,33.88,976100.0,976100.0,0.31,0.907,33.77333,"June 03, 99",0.00907
1999-06-04,34.94,35.25,34.75,35.25,1112600.0,1112600.0,-0.31,-0.887,35.08333,"June 04, 99",-0.00887
1999-06-07,36.5,37.0,36.13,36.5,891900.0,891900.0,0.0,0.0,36.54333,"June 07, 99",0.0
1999-06-08,36.0,36.0,35.0,35.38,905100.0,905100.0,0.62,1.722,35.46,"June 08, 99",0.01722
1999-06-09,34.5,34.63,33.25,33.56,619800.0,619800.0,0.94,2.725,33.81333,"June 09, 99",0.02725
1999-06-10,34.25,34.44,34.06,34.25,768400.0,768400.0,0.0,0.0,34.25,"June 10, 99",0.0
1999-06-11,34.25,34.94,34.25,34.94,934200.0,934200.0,-0.69,-2.015,34.71,"June 11, 99",-0.02015
1999-06-14,34.75,34.75,34.0,34.0,994500.0,994500.0,0.75,2.158,34.25,"June 14, 99",0.02158
1999-06-15,34.0,34.19,34.0,34.19,666700.0,666700.0,-0.19,-0.559,34.12667,"June 15, 99",-0.00559
1999-06-16,34.94,35.13,34.81,35.0,443000.0,443000.0,-0.06,-0.172,34.98,"June 16, 99",-0.00172
1999-06-17,34.81,35.63,34.81,35.63,693200.0,693200.0,-0.82,-2.356,35.35667,"June 17, 99",-0.02356
1999-06-18,36.0,36.63,35.94,36.63,424200.0,424200.0,-0.63,-1.75,36.4,"June 18, 99",-0.0175
1999-06-21,37.75,39.0,37.75,38.94,1166800.0,1166800.0,-1.19,-3.152,38.56333,"June 21, 99",-0.03152
1999-06-22,38.63,38.75,37.88,37.88,819900.0,819900.0,0.75,1.941,38.17,"June 22, 99",0.01941
1999-06-23,37.75,37.94,36.88,37.38,661500.0,661500.0,0.37,0.98,37.4,"June 23, 99",0.0098
1999-06-24,36.0,36.0,33.25,34.75,841200.0,841200.0,1.25,3.472,34.66667,"June 24, 99",0.03472
1999-06-25,35.0,35.31,34.31,35.0,746400.0,746400.0,0.0,0.0,34.87333,"June 25, 99",0.0
1999-06-28,35.0,36.38,35.0,36.38,730000.0,730000.0,-1.38,-3.943,35.92,"June 28, 99",-0.03943
1999-06-29,35.88,36.88,35.88,36.75,619900.0,619900.0,-0.87,-2.425,36.50333,"June 29, 99",-0.02425
1999-06-30,37.0,40.0,37.0,40.0,819400.0,819400.0,-3.0,-8.108,39.0,"June 30, 99",-0.08108
1999-07-01,41.13,41.25,39.88,40.75,705600.0,705600.0,0.38,0.924,40.62667,"July 01, 99",0.00924
1999-07-02,40.06,40.81,40.0,40.63,790100.0,790100.0,-0.57,-1.423,40.48,"July 02, 99",-0.01423
1999-07-06,43.0,45.13,42.75,43.88,1017700.0,1017700.0,-0.88,-2.047,43.92,"July 06, 99",-0.02047
1999-07-07,44.63,44.88,43.5,44.0,488100.0,488100.0,0.63,1.412,44.12667,"July 07, 99",0.01412
1999-07-08,42.0,43.13,42.0,42.88,1432400.0,1432400.0,-0.88,-2.095,42.67,"July 08, 99",-0.02095
1999-07-09,44.25,44.88,44.25,44.25,359400.0,359400.0,0.0,0.0,44.46,"July 09, 99",0.0
1999-07-12,43.5,43.63,41.94,42.38,653700.0,653700.0,1.12,2.575,42.65,"July 12, 99",0.02575
1999-07-13,40.75,40.88,40.06,40.25,498600.0,498600.0,0.5,1.227,40.39667,"July 13, 99",0.01227
1999-07-14,40.31,40.31,37.75,37.88,1095600.0,1095600.0,2.43,6.028,38.64667,"July 14, 99",0.06028
1999-07-15,39.75,40.63,39.75,40.38,247300.0,247300.0,-0.63,-1.585,40.25333,"July 15, 99",-0.01585
1999-07-16,40.5,40.5,39.5,40.0,197600.0,197600.0,0.5,1.235,40.0,"July 16, 99",0.01235
1999-07-19,40.0,40.25,39.63,40.13,144000.0,144000.0,-0.13,-0.325,40.00333,"July 19, 99",-0.00325
1999-07-20,38.5,38.63,37.75,37.94,525900.0,525900.0,0.56,1.455,38.10667,"July 20, 99",0.01455
1999-07-21,36.0,37.63,36.0,36.0,502600.0,502600.0,0.0,0.0,36.54333,"July 21, 99",0.0
1999-07-22,36.75,36.75,35.88,35.88,238300.0,238300.0,0.87,2.367,36.17,"July 22, 99",0.02367
1999-07-23,35.0,35.0,33.88,34.38,721300.0,721300.0,0.62,1.771,34.42,"July 23, 99",0.01771
1999-07-26,34.06,34.25,33.0,34.25,374300.0,374300.0,-0.19,-0.558,33.83333,"July 26, 99",-0.00558
1999-07-27,36.5,38.13,35.94,38.13,541000.0,541000.0,-1.63,-4.466,37.4,"July 27, 99",-0.04466
1999-07-28,38.38,38.5,36.88,37.19,567700.0,567700.0,1.19,3.101,37.52333,"July 28, 99",0.03101
1999-07-29,36.0,37.5,36.0,36.75,667700.0,667700.0,-0.75,-2.083,36.75,"July 29, 99",-0.02083
1999-07-30,36.5,37.13,36.5,36.81,246300.0,246300.0,-0.31,-0.849,36.81333,"July 30, 99",-0.00849
