date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2004-06-03,19.67,20.01,19.55,20.01,2457900.0,2457900.0,-0.34,-1.729,19.85667,"June 03, 04",-0.01729
2004-06-04,19.42,19.93,19.42,19.67,1671000.0,1671000.0,-0.25,-1.287,19.67333,"June 04, 04",-0.01287
2004-06-07,19.6,19.7,19.55,19.67,2195900.0,2195900.0,-0.07,-0.357,19.64,"June 07, 04",-0.00357
2004-06-08,19.42,19.42,18.37,18.94,9365400.0,9365400.0,0.48,2.472,18.91,"June 08, 04",0.02472
2004-06-09,18.91,18.96,18.33,18.37,9626800.0,9626800.0,0.54,2.856,18.55333,"June 09, 04",0.02856
2004-06-10,18.34,18.88,18.3,18.88,4715900.0,4715900.0,-0.54,-2.944,18.68667,"June 10, 04",-0.02944
2004-06-14,18.73,18.96,18.73,18.91,4332900.0,4332900.0,-0.18,-0.961,18.86667,"June 14, 04",-0.00961
2004-06-15,18.78,18.93,18.39,18.49,7314600.0,7314600.0,0.29,1.544,18.60333,"June 15, 04",0.01544
2004-06-16,18.41,18.51,18.36,18.43,4807300.0,4807300.0,-0.02,-0.109,18.43333,"June 16, 04",-0.00109
2004-06-17,18.49,18.55,18.4,18.42,3647400.0,3647400.0,0.07,0.379,18.45667,"June 17, 04",0.00379
2004-06-18,18.5,18.51,18.4,18.51,3450300.0,3450300.0,-0.01,-0.054,18.47333,"June 18, 04",-0.00054
2004-06-21,18.43,18.54,18.4,18.45,1912300.0,1912300.0,-0.02,-0.109,18.46333,"June 21, 04",-0.00109
2004-06-22,18.47,18.47,18.08,18.17,2209400.0,2209400.0,0.3,1.624,18.24,"June 22, 04",0.01624
2004-06-23,18.1,18.29,18.07,18.14,1951300.0,1951300.0,-0.04,-0.221,18.16667,"June 23, 04",-0.00221
2004-06-24,18.24,18.24,17.4,17.7,3465200.0,3465200.0,0.54,2.961,17.78,"June 24, 04",0.02961
