date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
1998-01-02,4.38,4.53,4.22,4.53,40000.0,40000.0,-0.15,-3.425,4.42667,"January 02, 98",-0.03425
1998-01-05,4.38,4.53,4.38,4.53,10800.0,10800.0,-0.15,-3.425,4.48,"January 05, 98",-0.03425
1998-01-06,4.38,4.53,4.22,4.22,230800.0,230800.0,0.16,3.653,4.32333,"January 06, 98",0.03653
1998-01-07,4.22,4.38,3.91,4.06,62000.0,62000.0,0.16,3.791,4.11667,"January 07, 98",0.03791
1998-01-08,3.91,4.38,3.91,4.38,88800.0,88800.0,-0.47,-12.02,4.22333,"January 08, 98",-0.1202
1998-01-09,4.38,4.38,4.06,4.22,92400.0,92400.0,0.16,3.653,4.22,"January 09, 98",0.03653
1998-01-12,4.06,4.22,3.91,3.91,48000.0,48000.0,0.15,3.695,4.01333,"January 12, 98",0.03695
1998-01-13,4.06,4.06,3.91,3.91,25200.0,25200.0,0.15,3.695,3.96,"January 13, 98",0.03695
1998-01-14,4.22,4.53,4.06,4.38,70800.0,70800.0,-0.16,-3.791,4.32333,"January 14, 98",-0.03791
1998-01-15,4.38,4.38,3.91,4.06,69600.0,69600.0,0.32,7.306,4.11667,"January 15, 98",0.07306
1998-01-16,4.06,4.22,3.91,4.22,62400.0,62400.0,-0.16,-3.941,4.11667,"January 16, 98",-0.03941
1998-01-20,4.53,5.31,4.53,5.0,186000.0,186000.0,-0.47,-10.375,4.94667,"January 20, 98",-0.10375
1998-01-21,5.0,5.47,5.0,5.47,255200.0,255200.0,-0.47,-9.4,5.31333,"January 21, 98",-0.094
1998-01-22,5.47,5.47,5.31,5.31,165200.0,165200.0,0.16,2.925,5.36333,"January 22, 98",0.02925
1998-01-23,5.47,5.47,5.16,5.16,49200.0,49200.0,0.31,5.667,5.26333,"January 23, 98",0.05667
1998-01-26,5.31,5.31,5.0,5.16,112000.0,112000.0,0.15,2.825,5.15667,"January 26, 98",0.02825
1998-01-27,5.31,5.31,4.69,4.69,454400.0,454400.0,0.62,11.676,4.89667,"January 27, 98",0.11676
1998-01-28,5.0,5.16,4.84,5.0,344800.0,344800.0,0.0,0.0,5.0,"January 28, 98",0.0
1998-01-29,5.0,5.31,4.84,5.0,263600.0,263600.0,0.0,0.0,5.05,"January 29, 98",0.0
1998-01-30,5.31,5.31,5.0,5.0,77200.0,77200.0,0.31,5.838,5.10333,"January 30, 98",0.05838
1998-02-02,5.16,5.16,5.0,5.0,64000.0,64000.0,0.16,3.101,5.05333,"February 02, 98",0.03101
1998-02-03,5.16,5.31,5.0,5.31,46800.0,46800.0,-0.15,-2.907,5.20667,"February 03, 98",-0.02907
1998-02-04,5.47,5.47,5.31,5.31,57600.0,57600.0,0.16,2.925,5.36333,"February 04, 98",0.02925
1998-02-05,5.47,5.47,5.31,5.47,124000.0,124000.0,0.0,0.0,5.41667,"February 05, 98",0.0
1998-02-06,5.47,5.47,5.31,5.31,37200.0,37200.0,0.16,2.925,5.36333,"February 06, 98",0.02925
1998-02-09,5.47,5.47,5.31,5.31,95600.0,95600.0,0.16,2.925,5.36333,"February 09, 98",0.02925
1998-02-10,5.47,5.47,5.31,5.31,72800.0,72800.0,0.16,2.925,5.36333,"February 10, 98",0.02925
1998-02-11,5.16,5.31,5.16,5.31,22000.0,22000.0,-0.15,-2.907,5.26,"February 11, 98",-0.02907
1998-02-12,5.31,5.31,5.16,5.16,22000.0,22000.0,0.15,2.825,5.21,"February 12, 98",0.02825
1998-02-13,5.16,5.16,5.0,5.0,75200.0,75200.0,0.16,3.101,5.05333,"February 13, 98",0.03101
1998-02-17,5.31,5.31,5.16,5.16,45200.0,45200.0,0.15,2.825,5.21,"February 17, 98",0.02825
1998-02-18,5.0,5.31,5.0,5.0,32400.0,32400.0,0.0,0.0,5.10333,"February 18, 98",0.0
1998-02-19,5.16,5.16,5.0,5.0,28800.0,28800.0,0.16,3.101,5.05333,"February 19, 98",0.03101
1998-02-20,5.0,5.16,5.0,5.0,52000.0,52000.0,0.0,0.0,5.05333,"February 20, 98",0.0
1998-02-23,5.16,5.16,5.0,5.0,24800.0,24800.0,0.16,3.101,5.05333,"February 23, 98",0.03101
1998-02-24,4.84,5.0,4.69,4.84,134400.0,134400.0,0.0,0.0,4.84333,"February 24, 98",0.0
1998-02-25,4.69,5.0,4.69,5.0,50000.0,50000.0,-0.31,-6.61,4.89667,"February 25, 98",-0.0661
1998-02-26,5.0,5.0,4.84,5.0,33600.0,33600.0,0.0,0.0,4.94667,"February 26, 98",0.0
1998-02-27,4.84,5.0,4.84,4.84,28800.0,28800.0,0.0,0.0,4.89333,"February 27, 98",0.0
1998-03-02,4.84,5.0,4.84,4.84,38000.0,38000.0,0.0,0.0,4.89333,"March 02, 98",0.0
1998-03-03,5.0,5.0,4.69,5.0,151200.0,151200.0,0.0,0.0,4.89667,"March 03, 98",0.0
1998-03-04,5.0,5.0,4.69,4.84,47200.0,47200.0,0.16,3.2,4.84333,"March 04, 98",0.032
1998-03-05,4.53,4.84,4.38,4.84,106800.0,106800.0,-0.31,-6.843,4.68667,"March 05, 98",-0.06843
1998-03-06,4.84,5.0,4.69,5.0,56000.0,56000.0,-0.16,-3.306,4.89667,"March 06, 98",-0.03306
1998-03-09,4.53,4.84,4.38,4.84,135200.0,135200.0,-0.31,-6.843,4.68667,"March 09, 98",-0.06843
1998-03-10,4.84,5.0,4.69,4.84,31200.0,31200.0,0.0,0.0,4.84333,"March 10, 98",0.0
1998-03-11,4.69,5.0,4.69,4.69,38000.0,38000.0,0.0,0.0,4.79333,"March 11, 98",0.0
1998-03-12,4.69,4.84,4.69,4.84,21600.0,21600.0,-0.15,-3.198,4.79,"March 12, 98",-0.03198
1998-03-13,4.84,5.0,4.69,5.0,48800.0,48800.0,-0.16,-3.306,4.89667,"March 13, 98",-0.03306
1998-03-16,4.84,5.0,4.84,4.84,45200.0,45200.0,0.0,0.0,4.89333,"March 16, 98",0.0
1998-03-17,4.84,5.0,4.69,5.0,510000.0,510000.0,-0.16,-3.306,4.89667,"March 17, 98",-0.03306
1998-03-18,5.0,5.0,4.69,4.69,488800.0,488800.0,0.31,6.2,4.79333,"March 18, 98",0.062
1998-03-19,4.69,4.84,4.69,4.84,20800.0,20800.0,-0.15,-3.198,4.79,"March 19, 98",-0.03198
1998-03-20,4.84,5.0,4.69,4.84,54000.0,54000.0,0.0,0.0,4.84333,"March 20, 98",0.0
1998-03-23,5.0,5.0,4.69,4.69,43200.0,43200.0,0.31,6.2,4.79333,"March 23, 98",0.062
1998-03-24,4.84,4.84,4.69,4.84,54400.0,54400.0,0.0,0.0,4.79,"March 24, 98",0.0
1998-03-25,4.84,4.84,4.69,4.84,48800.0,48800.0,0.0,0.0,4.79,"March 25, 98",0.0
1998-03-26,4.53,5.0,4.53,5.0,107200.0,107200.0,-0.47,-10.375,4.84333,"March 26, 98",-0.10375
1998-03-27,4.84,5.0,4.69,4.69,39600.0,39600.0,0.15,3.099,4.79333,"March 27, 98",0.03099
1998-03-30,4.69,4.84,4.53,4.69,66400.0,66400.0,0.0,0.0,4.68667,"March 30, 98",0.0
1998-03-31,4.69,4.84,4.53,4.84,40800.0,40800.0,-0.15,-3.198,4.73667,"March 31, 98",-0.03198
1998-04-01,4.84,4.84,4.53,4.69,80000.0,80000.0,0.15,3.099,4.68667,"April 01, 98",0.03099
1998-04-02,4.53,5.0,4.53,4.84,80400.0,80400.0,-0.31,-6.843,4.79,"April 02, 98",-0.06843
1998-04-03,4.84,5.0,4.69,4.84,66000.0,66000.0,0.0,0.0,4.84333,"April 03, 98",0.0
1998-04-06,4.84,5.0,4.84,5.0,20000.0,20000.0,-0.16,-3.306,4.94667,"April 06, 98",-0.03306
1998-04-07,5.0,5.0,4.84,4.84,18400.0,18400.0,0.16,3.2,4.89333,"April 07, 98",0.032
1998-04-08,4.84,5.0,4.84,5.0,35600.0,35600.0,-0.16,-3.306,4.94667,"April 08, 98",-0.03306
1998-04-09,5.0,5.0,4.84,4.84,53200.0,53200.0,0.16,3.2,4.89333,"April 09, 98",0.032
