date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
1998-01-02,38.94,39.22,38.56,39.06,469000.0,469000.0,-0.12,-0.308,38.94667,"January 02, 98",-0.00308
1998-01-05,38.94,39.44,38.72,39.19,270400.0,270400.0,-0.25,-0.642,39.11667,"January 05, 98",-0.00642
1998-01-06,38.81,39.0,38.69,39.0,361800.0,361800.0,-0.19,-0.49,38.89667,"January 06, 98",-0.0049
1998-01-07,38.31,38.47,38.13,38.31,413800.0,413800.0,0.0,0.0,38.30333,"January 07, 98",0.0
1998-01-08,38.31,38.38,37.47,37.69,408800.0,408800.0,0.62,1.618,37.84667,"January 08, 98",0.01618
1998-01-09,37.38,37.5,36.25,36.44,647600.0,647600.0,0.94,2.515,36.73,"January 09, 98",0.02515
1998-01-12,36.25,36.75,36.13,36.59,484200.0,484200.0,-0.34,-0.938,36.49,"January 12, 98",-0.00938
1998-01-13,36.59,36.72,36.25,36.66,354400.0,354400.0,-0.07,-0.191,36.54333,"January 13, 98",-0.00191
1998-01-14,36.63,37.19,36.5,37.03,298200.0,298200.0,-0.4,-1.092,36.90667,"January 14, 98",-0.01092
1998-01-15,37.0,37.03,36.75,36.84,203600.0,203600.0,0.16,0.432,36.87333,"January 15, 98",0.00432
1998-01-16,37.0,37.5,37.0,37.19,555600.0,555600.0,-0.19,-0.514,37.23,"January 16, 98",-0.00514
1998-01-20,37.19,38.19,37.19,38.19,497200.0,497200.0,-1.0,-2.689,37.85667,"January 20, 98",-0.02689
1998-01-21,38.19,38.47,37.41,37.75,387800.0,387800.0,0.44,1.152,37.87667,"January 21, 98",0.01152
1998-01-22,37.34,38.0,37.31,37.91,137800.0,137800.0,-0.57,-1.527,37.74,"January 22, 98",-0.01527
1998-01-23,37.81,38.09,37.63,37.78,264400.0,264400.0,0.03,0.079,37.83333,"January 23, 98",0.00079
1998-01-26,37.78,38.0,37.78,37.78,270800.0,270800.0,0.0,0.0,37.85333,"January 26, 98",0.0
1998-01-27,37.78,38.63,37.78,38.34,216800.0,216800.0,-0.56,-1.482,38.25,"January 27, 98",-0.01482
1998-01-28,38.28,38.41,37.94,38.31,235400.0,235400.0,-0.03,-0.078,38.22,"January 28, 98",-0.00078
1998-01-29,38.38,38.81,38.13,38.31,293000.0,293000.0,0.07,0.182,38.41667,"January 29, 98",0.00182
1998-01-30,38.19,38.38,37.84,38.06,218600.0,218600.0,0.13,0.34,38.09333,"January 30, 98",0.0034
1998-02-02,38.19,38.5,38.16,38.5,230200.0,230200.0,-0.31,-0.812,38.38667,"February 02, 98",-0.00812
1998-02-03,38.5,38.5,38.03,38.44,204000.0,204000.0,0.06,0.156,38.32333,"February 03, 98",0.00156
1998-02-04,38.31,38.59,38.19,38.28,261600.0,261600.0,0.03,0.078,38.35333,"February 04, 98",0.00078
1998-02-05,38.38,38.38,37.25,38.19,517200.0,517200.0,0.19,0.495,37.94,"February 05, 98",0.00495
1998-02-06,38.31,38.69,38.31,38.59,413600.0,413600.0,-0.28,-0.731,38.53,"February 06, 98",-0.00731
1998-02-09,38.47,39.09,38.41,39.06,443200.0,443200.0,-0.59,-1.534,38.85333,"February 09, 98",-0.01534
1998-02-10,39.03,39.69,38.81,39.63,711800.0,711800.0,-0.6,-1.537,39.37667,"February 10, 98",-0.01537
1998-02-11,39.63,40.25,39.63,40.0,629800.0,629800.0,-0.37,-0.934,39.96,"February 11, 98",-0.00934
