date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2010-11-18,33.05,33.84,32.03,32.15,10095400.0,10095400.0,0.9,2.723,32.67333,"November 18, 10",0.02723
2010-11-19,31.8,32.84,31.75,32.6,753400.0,753400.0,-0.8,-2.516,32.39667,"November 19, 10",-0.02516
2010-11-22,32.44,32.49,32.04,32.2,379400.0,379400.0,0.24,0.74,32.24333,"November 22, 10",0.0074
2010-11-23,32.01,33.0,31.5,32.76,288400.0,288400.0,-0.75,-2.343,32.42,"November 23, 10",-0.02343
2010-11-24,32.9,33.01,32.27,32.94,66300.0,66300.0,-0.04,-0.122,32.74,"November 24, 10",-0.00122
2010-11-26,32.13,32.94,32.12,32.9,123600.0,123600.0,-0.77,-2.397,32.65333,"November 26, 10",-0.02397
2010-11-29,33.13,33.62,32.86,33.56,336200.0,336200.0,-0.43,-1.298,33.34667,"November 29, 10",-0.01298
2010-11-30,33.38,34.28,33.18,33.9,662900.0,662900.0,-0.52,-1.558,33.78667,"November 30, 10",-0.01558
2010-12-01,33.54,35.45,33.35,35.01,359800.0,359800.0,-1.47,-4.383,34.60333,"December 01, 10",-0.04383
2010-12-02,34.72,35.12,34.22,34.7,241900.0,241900.0,0.02,0.058,34.68,"December 02, 10",0.00058
2010-12-03,34.38,35.03,34.37,34.71,140600.0,140600.0,-0.33,-0.96,34.70333,"December 03, 10",-0.0096
2010-12-06,34.5,35.74,34.5,35.38,556300.0,556300.0,-0.88,-2.551,35.20667,"December 06, 10",-0.02551
2010-12-07,35.04,36.82,35.03,35.74,324900.0,324900.0,-0.7,-1.998,35.86333,"December 07, 10",-0.01998
2010-12-08,35.95,36.0,35.58,35.73,151400.0,151400.0,0.22,0.612,35.77,"December 08, 10",0.00612
2010-12-09,36.15,36.15,35.07,35.79,150400.0,150400.0,0.36,0.996,35.67,"December 09, 10",0.00996
2010-12-10,34.89,35.79,34.6,34.85,290200.0,290200.0,0.04,0.115,35.08,"December 10, 10",0.00115
2010-12-13,35.5,35.5,33.56,33.77,407800.0,407800.0,1.73,4.873,34.27667,"December 13, 10",0.04873
2010-12-14,33.7,34.48,32.44,33.65,334000.0,334000.0,0.05,0.148,33.52333,"December 14, 10",0.00148
2010-12-15,33.74,33.8,32.79,33.31,229000.0,229000.0,0.43,1.274,33.3,"December 15, 10",0.01274
2010-12-16,33.82,34.0,33.03,33.37,183900.0,183900.0,0.45,1.331,33.46667,"December 16, 10",0.01331
2010-12-17,33.69,34.61,33.27,33.27,1422700.0,1422700.0,0.42,1.247,33.71667,"December 17, 10",0.01247
2010-12-20,33.22,33.78,32.7,33.71,201100.0,201100.0,-0.49,-1.475,33.39667,"December 20, 10",-0.01475
2010-12-21,33.71,34.31,33.41,34.08,164300.0,164300.0,-0.37,-1.098,33.93333,"December 21, 10",-0.01098
2010-12-22,34.19,34.66,33.88,34.61,178200.0,178200.0,-0.42,-1.228,34.38333,"December 22, 10",-0.01228
2010-12-23,34.58,35.34,33.87,34.85,50100.0,50100.0,-0.27,-0.781,34.68667,"December 23, 10",-0.00781
2010-12-27,34.77,35.07,34.1,35.0,56800.0,56800.0,-0.23,-0.661,34.72333,"December 27, 10",-0.00661
2010-12-28,35.47,35.88,35.47,35.68,213800.0,213800.0,-0.21,-0.592,35.67667,"December 28, 10",-0.00592
2010-12-29,35.75,36.35,35.37,36.2,119200.0,119200.0,-0.45,-1.259,35.97333,"December 29, 10",-0.01259
2010-12-30,36.41,36.67,36.16,36.3,102500.0,102500.0,0.11,0.302,36.37667,"December 30, 10",0.00302
2010-12-31,36.3,37.22,35.19,36.37,81000.0,81000.0,-0.07,-0.193,36.26,"December 31, 10",-0.00193
2011-01-03,36.25,36.25,34.42,34.97,266500.0,266500.0,1.28,3.531,35.21333,"January 03, 11",0.03531
2011-01-04,34.99,34.99,33.5,33.67,146200.0,146200.0,1.32,3.773,34.05333,"January 04, 11",0.03773
2011-01-05,33.68,34.38,33.0,34.12,437300.0,437300.0,-0.44,-1.306,33.83333,"January 05, 11",-0.01306
2011-01-06,33.95,34.37,33.17,34.19,388100.0,388100.0,-0.24,-0.707,33.91,"January 06, 11",-0.00707
2011-01-07,34.19,34.24,33.79,33.96,210900.0,210900.0,0.23,0.673,33.99667,"January 07, 11",0.00673
2011-01-10,33.88,34.04,33.13,33.75,103200.0,103200.0,0.13,0.384,33.64,"January 10, 11",0.00384
2011-01-11,34.0,34.51,33.73,34.24,117000.0,117000.0,-0.24,-0.706,34.16,"January 11, 11",-0.00706
2011-01-12,34.53,34.53,33.5,34.18,355200.0,355200.0,0.35,1.014,34.07,"January 12, 11",0.01014
2011-01-13,34.08,34.15,33.58,33.65,268600.0,268600.0,0.43,1.262,33.79333,"January 13, 11",0.01262
2011-01-14,33.53,34.01,33.0,33.36,503100.0,503100.0,0.17,0.507,33.45667,"January 14, 11",0.00507
2011-01-18,33.24,33.71,33.24,33.57,219800.0,219800.0,-0.33,-0.993,33.50667,"January 18, 11",-0.00993
2011-01-19,33.44,34.17,33.44,34.01,184600.0,184600.0,-0.57,-1.705,33.87333,"January 19, 11",-0.01705
2011-01-20,34.03,34.3,33.68,34.01,113400.0,113400.0,0.02,0.059,33.99667,"January 20, 11",0.00059
2011-01-21,34.31,34.4,33.66,34.2,161400.0,161400.0,0.11,0.321,34.08667,"January 21, 11",0.00321
2011-01-24,34.26,35.04,33.76,34.0,236900.0,236900.0,0.26,0.759,34.26667,"January 24, 11",0.00759
2011-01-25,33.94,33.94,32.14,32.66,627100.0,627100.0,1.28,3.771,32.91333,"January 25, 11",0.03771
2011-01-26,32.76,33.4,32.49,32.69,109400.0,109400.0,0.07,0.214,32.86,"January 26, 11",0.00214
2011-01-27,32.73,33.51,32.33,33.05,76600.0,76600.0,-0.32,-0.978,32.96333,"January 27, 11",-0.00978
2011-01-28,33.11,33.44,32.69,33.08,181500.0,181500.0,0.03,0.091,33.07,"January 28, 11",0.00091
2011-01-31,33.19,34.45,33.19,34.26,135900.0,135900.0,-1.07,-3.224,33.96667,"January 31, 11",-0.03224
2011-02-01,34.48,34.75,34.01,34.52,220900.0,220900.0,-0.04,-0.116,34.42667,"February 01, 11",-0.00116
2011-02-02,34.4,34.61,34.06,34.16,203000.0,203000.0,0.24,0.698,34.27667,"February 02, 11",0.00698
2011-02-03,34.2,34.3,33.37,34.02,141700.0,141700.0,0.18,0.526,33.89667,"February 03, 11",0.00526
2011-02-04,34.0,34.24,33.62,33.9,162500.0,162500.0,0.1,0.294,33.92,"February 04, 11",0.00294
2011-02-07,34.05,34.05,33.6,33.75,132300.0,132300.0,0.3,0.881,33.8,"February 07, 11",0.00881
2011-02-08,34.43,34.49,33.57,33.84,221100.0,221100.0,0.59,1.714,33.96667,"February 08, 11",0.01714
2011-02-09,33.84,33.93,32.95,33.0,218900.0,218900.0,0.84,2.482,33.29333,"February 09, 11",0.02482
2011-02-10,32.99,33.39,32.21,33.06,269800.0,269800.0,-0.07,-0.212,32.88667,"February 10, 11",-0.00212
2011-02-11,33.17,33.49,32.31,32.95,221600.0,221600.0,0.22,0.663,32.91667,"February 11, 11",0.00663
2011-02-14,33.01,33.22,32.43,33.05,180600.0,180600.0,-0.04,-0.121,32.9,"February 14, 11",-0.00121
2011-02-15,33.0,33.35,32.76,32.98,90500.0,90500.0,0.02,0.061,33.03,"February 15, 11",0.00061
2011-02-16,33.08,33.98,32.71,33.05,588200.0,588200.0,0.03,0.091,33.24667,"February 16, 11",0.00091
