date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
1998-01-02,3.3,3.33,3.27,3.33,76000.0,76000.0,-0.03,-0.909,3.31,"January 02, 98",-0.00909
1998-01-05,3.33,3.33,3.27,3.33,56800.0,56800.0,0.0,0.0,3.31,"January 05, 98",0.0
1998-01-06,3.28,3.31,3.27,3.31,216800.0,216800.0,-0.03,-0.915,3.29667,"January 06, 98",-0.00915
1998-01-07,3.31,3.34,3.27,3.34,184800.0,184800.0,-0.03,-0.906,3.31667,"January 07, 98",-0.00906
1998-01-08,3.28,3.34,3.27,3.28,414400.0,414400.0,0.0,0.0,3.29667,"January 08, 98",0.0
1998-01-09,3.28,3.29,3.27,3.28,317600.0,317600.0,0.0,0.0,3.28,"January 09, 98",0.0
1998-01-12,3.25,3.31,3.22,3.22,2209600.0,2209600.0,0.03,0.923,3.25,"January 12, 98",0.00923
1998-01-13,3.25,3.27,3.22,3.22,82400.0,82400.0,0.03,0.923,3.23667,"January 13, 98",0.00923
1998-01-14,3.22,3.22,3.19,3.19,930400.0,930400.0,0.03,0.932,3.2,"January 14, 98",0.00932
1998-01-15,3.2,3.2,3.19,3.19,10400.0,10400.0,0.01,0.312,3.19333,"January 15, 98",0.00312
1998-01-16,3.2,3.2,3.19,3.2,259200.0,259200.0,0.0,0.0,3.19667,"January 16, 98",0.0
1998-01-20,3.19,3.2,3.19,3.2,427200.0,427200.0,-0.01,-0.313,3.19667,"January 20, 98",-0.00313
1998-01-21,3.19,3.2,3.19,3.19,15200.0,15200.0,0.0,0.0,3.19333,"January 21, 98",0.0
1998-01-22,3.2,3.22,3.19,3.2,884000.0,884000.0,0.0,0.0,3.20333,"January 22, 98",0.0
1998-01-23,3.22,3.22,3.19,3.2,166400.0,166400.0,0.02,0.621,3.20333,"January 23, 98",0.00621
1998-01-26,3.19,3.2,3.17,3.2,26400.0,26400.0,-0.01,-0.313,3.19,"January 26, 98",-0.00313
1998-01-27,3.16,3.27,3.16,3.27,1128000.0,1128000.0,-0.11,-3.481,3.23333,"January 27, 98",-0.03481
1998-01-28,3.27,3.3,3.2,3.27,971200.0,971200.0,0.0,0.0,3.25667,"January 28, 98",0.0
1998-01-29,3.28,3.34,3.27,3.34,464000.0,464000.0,-0.06,-1.829,3.31667,"January 29, 98",-0.01829
1998-01-30,3.27,3.34,3.27,3.27,166400.0,166400.0,0.0,0.0,3.29333,"January 30, 98",0.0
1998-02-02,3.34,3.34,3.3,3.3,812000.0,812000.0,0.04,1.198,3.31333,"February 02, 98",0.01198
1998-02-03,3.34,3.34,3.3,3.34,60000.0,60000.0,0.0,0.0,3.32667,"February 03, 98",0.0
1998-02-04,3.34,3.41,3.3,3.41,156000.0,156000.0,-0.07,-2.096,3.37333,"February 04, 98",-0.02096
1998-02-05,3.44,3.5,3.42,3.45,317600.0,317600.0,-0.01,-0.291,3.45667,"February 05, 98",-0.00291
1998-02-06,3.47,3.55,3.42,3.48,299200.0,299200.0,-0.01,-0.288,3.48333,"February 06, 98",-0.00288
1998-02-09,3.48,3.58,3.48,3.55,125600.0,125600.0,-0.07,-2.011,3.53667,"February 09, 98",-0.02011
1998-02-10,3.58,3.59,3.52,3.58,442400.0,442400.0,0.0,0.0,3.56333,"February 10, 98",0.0
1998-02-11,3.53,3.56,3.45,3.55,256800.0,256800.0,-0.02,-0.567,3.52,"February 11, 98",-0.00567
1998-02-12,3.48,3.72,3.48,3.69,1238400.0,1238400.0,-0.21,-6.034,3.63,"February 12, 98",-0.06034
1998-02-13,3.69,3.84,3.63,3.78,603200.0,603200.0,-0.09,-2.439,3.75,"February 13, 98",-0.02439
