date,1. open,2. high,3. low,4. close,5. volume
2007-07-16,2.45,2.45,2.45,2.45,10000.0
2007-07-17,2.5,2.6,2.5,2.5,9500.0
2007-07-18,2.5,2.5,2.5,2.5,400.0
2007-07-19,2.43,2.43,2.43,2.43,1000.0
2007-07-20,2.45,2.45,2.45,2.45,4000.0
2007-07-23,2.32,2.45,2.32,2.32,9555.0
2007-07-24,2.31,2.31,2.31,2.31,26000.0
2007-07-25,2.23,2.25,2.23,2.23,1623.0
2007-07-26,2.15,2.15,2.15,2.15,10000.0
2007-07-27,2.22,2.22,2.22,2.22,10000.0
2007-07-30,2.24,2.24,2.24,2.24,3000.0
2007-07-31,2.24,2.3,2.24,2.24,8150.0
2007-08-01,2.1,2.2,2.1,2.1,7200.0
2007-08-02,2.1,2.2,2.1,2.1,0.0
2007-08-03,2.1,2.2,2.1,2.1,0.0
2007-08-06,2.18,2.2,2.18,2.18,6150.0
2007-08-07,2.15,2.15,2.15,2.15,2000.0
2007-08-08,2.36,2.45,2.36,2.36,4000.0
2007-08-09,2.45,2.45,2.45,2.45,14000.0
2007-08-10,2.45,2.45,2.45,2.45,0.0
2007-08-13,2.05,2.05,2.05,2.05,9400.0
2007-08-14,2.13,2.15,2.13,2.13,2000.0
2007-08-15,2.0,2.15,2.0,2.0,600.0
2007-08-16,2.05,2.05,2.05,2.05,7500.0
2007-08-17,1.96,2.06,1.96,1.96,15500.0
2007-08-20,2.0,2.0,2.0,2.0,15000.0
2007-08-21,2.1,2.1,2.1,2.1,18400.0
2007-08-22,2.1,2.1,2.1,2.1,5100.0
2007-08-23,2.09,2.1,2.09,2.09,8800.0
2007-08-24,2.16,2.16,2.16,2.16,35500.0
2007-08-27,2.16,2.16,2.16,2.16,0.0
2007-08-28,2.12,2.12,2.12,2.12,3000.0
2007-08-29,2.12,2.12,2.12,2.12,0.0
2007-08-30,2.15,2.15,2.15,2.15,4000.0
2007-08-31,2.15,2.15,2.15,2.15,0.0
2007-09-04,2.45,2.45,2.45,2.45,3000.0
2007-09-05,2.34,2.35,2.34,2.34,425.0
2007-09-06,2.3,2.3,2.3,2.3,1620.0
2007-09-07,2.3,2.3,2.3,2.3,0.0
2007-09-10,2.05,2.05,2.05,2.05,5500.0
2007-09-11,2.15,2.15,2.15,2.15,2500.0
2007-09-12,2.15,2.15,2.15,2.15,500.0
2007-09-13,2.05,2.05,2.05,2.05,1475.0
2007-09-14,2.12,2.12,2.12,2.12,3694.0
2007-09-17,2.12,2.12,2.12,2.12,0.0
2007-09-18,2.1,2.1,2.1,2.1,10300.0
2007-09-19,2.25,2.25,2.25,2.25,6000.0
2007-09-20,2.4,2.4,2.4,2.4,2000.0
2007-09-21,2.4,2.4,2.4,2.4,2000.0
2007-09-24,2.4,2.4,2.4,2.4,0.0
2007-09-25,2.4,2.4,2.4,2.4,0.0
2007-09-26,2.4,2.4,2.4,2.4,0.0
2007-09-27,2.3,2.3,2.3,2.3,2000.0
2007-09-28,2.3,2.3,2.3,2.3,2000.0
2007-10-01,2.3,2.3,2.3,2.3,0.0
2007-10-02,2.3,2.3,2.3,2.3,0.0
2007-10-03,2.3,2.3,2.3,2.3,1000.0
2007-10-04,2.33,2.33,2.33,2.33,25700.0
2007-10-05,2.33,2.33,2.33,2.33,0.0
2007-10-08,2.65,2.65,2.65,2.65,2560.0
2007-10-09,2.65,2.65,2.65,2.65,6000.0
2007-10-10,2.65,2.65,2.65,2.65,0.0
2007-10-11,2.75,2.75,2.75,2.75,10000.0
2007-10-12,2.6,2.6,2.6,2.6,500.0
2007-10-15,2.6,2.6,2.6,2.6,0.0
2007-10-16,2.6,2.6,2.6,2.6,0.0
2007-10-17,2.63,2.63,2.63,2.63,22000.0
2007-10-18,2.53,2.53,2.53,2.53,19700.0
2007-10-19,2.45,2.45,2.45,2.45,2500.0
2007-10-22,2.45,2.45,2.45,2.45,0.0
2007-10-23,2.4,2.4,2.4,2.4,10400.0
2007-10-24,2.4,2.4,2.4,2.4,0.0
2007-10-25,2.4,2.4,2.4,2.4,0.0
2007-10-26,2.4,2.4,2.4,2.4,0.0
2007-10-29,2.45,2.45,2.45,2.45,1000.0
2007-10-30,2.45,2.45,2.45,2.45,0.0
2007-10-31,2.4,2.4,2.4,2.4,1000.0
2007-11-01,2.4,2.4,2.4,2.4,0.0
2007-11-02,2.4,2.4,2.4,2.4,0.0
2007-11-05,2.4,2.4,2.4,2.4,0.0
2007-11-06,2.4,2.4,2.4,2.4,1000.0
2007-11-07,2.35,2.4,2.35,2.35,40000.0
2007-11-08,2.35,2.4,2.35,2.35,0.0
2007-11-09,2.35,2.4,2.35,2.35,0.0
2007-11-12,2.35,2.4,2.35,2.35,0.0
2007-11-14,2.35,2.35,2.35,2.35,2000.0
2007-11-15,2.35,2.35,2.35,2.35,2000.0
2007-11-16,2.35,2.35,2.35,2.35,2000.0
2007-11-19,2.25,2.25,2.25,2.25,9300.0
2007-11-21,2.07,2.07,2.07,2.07,2000.0
2007-11-23,2.07,2.07,2.07,2.07,2000.0
2007-11-26,2.12,2.12,2.12,2.12,25000.0
2007-11-27,2.12,2.12,2.12,2.12,0.0
2007-11-28,2.1,2.1,2.1,2.1,10000.0
2007-11-29,2.1,2.1,2.1,2.1,10000.0
2007-11-30,2.1,2.1,2.1,2.1,1000.0
2007-12-03,2.1,2.1,2.1,2.1,0.0
2007-12-04,2.1,2.1,2.1,2.1,0.0
2007-12-05,2.1,2.1,2.1,2.1,0.0
2007-12-06,2.1654,2.1654,2.1654,2.1654,11500.0
2007-12-07,2.1654,2.1654,2.1654,2.1654,0.0
2007-12-10,2.1654,2.1654,2.1654,2.1654,0.0
2007-12-11,2.1654,2.1654,2.1654,2.1654,0.0
2007-12-12,2.1654,2.1654,2.1654,2.1654,0.0
2007-12-13,2.1654,2.1654,2.1654,2.1654,0.0
2007-12-14,2.1654,2.1654,2.1654,2.1654,0.0
2007-12-17,2.1654,2.1654,2.1654,2.1654,0.0
2007-12-18,2.1654,2.1654,2.1654,2.1654,0.0
2007-12-19,2.0,2.0,2.0,2.0,2000.0
2007-12-20,2.0,2.0,2.0,2.0,0.0
2007-12-21,2.12,2.12,2.12,2.12,3700.0
2007-12-24,2.12,2.12,2.12,2.12,0.0
2007-12-26,2.1,2.1,2.1,2.1,1000.0
2007-12-27,2.2,2.2,2.2,2.2,20500.0
