date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
1998-01-02,14.58,14.58,14.39,14.41,428200.0,428200.0,0.17,1.166,14.46,"January 02, 98",0.01166
1998-01-05,14.41,14.54,14.31,14.51,590000.0,590000.0,-0.1,-0.694,14.45333,"January 05, 98",-0.00694
1998-01-06,14.46,14.54,14.26,14.31,419300.0,419300.0,0.15,1.037,14.37,"January 06, 98",0.01037
1998-01-07,14.31,14.47,14.15,14.38,535700.0,535700.0,-0.07,-0.489,14.33333,"January 07, 98",-0.00489
1998-01-08,14.35,14.35,14.1,14.23,441300.0,441300.0,0.12,0.836,14.22667,"January 08, 98",0.00836
1998-01-09,14.18,14.18,13.24,13.42,2149700.0,2149700.0,0.76,5.36,13.61333,"January 09, 98",0.0536
1998-01-12,13.05,13.23,12.99,13.1,2243700.0,2243700.0,-0.05,-0.383,13.10667,"January 12, 98",-0.00383
1998-01-13,13.11,13.52,12.87,13.49,2307800.0,2307800.0,-0.38,-2.899,13.29333,"January 13, 98",-0.02899
1998-01-14,13.52,13.78,13.42,13.78,623000.0,623000.0,-0.26,-1.923,13.66,"January 14, 98",-0.01923
1998-01-15,13.84,13.84,13.71,13.77,631500.0,631500.0,0.07,0.506,13.77333,"January 15, 98",0.00506
1998-01-16,13.9,14.09,13.8,14.05,700700.0,700700.0,-0.15,-1.079,13.98,"January 16, 98",-0.01079
1998-01-20,14.05,14.59,14.05,14.59,1911600.0,1911600.0,-0.54,-3.843,14.41,"January 20, 98",-0.03843
1998-01-21,14.58,14.66,14.48,14.62,823200.0,823200.0,-0.04,-0.274,14.58667,"January 21, 98",-0.00274
1998-01-22,14.63,14.71,14.47,14.62,1309400.0,1309400.0,0.01,0.068,14.6,"January 22, 98",0.00068
1998-01-23,14.67,14.75,14.5,14.59,632400.0,632400.0,0.08,0.545,14.61333,"January 23, 98",0.00545
1998-01-26,14.58,14.74,14.55,14.64,1084600.0,1084600.0,-0.06,-0.412,14.64333,"January 26, 98",-0.00412
1998-01-27,14.68,15.05,14.68,14.99,790100.0,790100.0,-0.31,-2.112,14.90667,"January 27, 98",-0.02112
1998-01-28,14.96,15.0,14.81,14.88,567000.0,567000.0,0.08,0.535,14.89667,"January 28, 98",0.00535
1998-01-29,14.91,14.91,14.68,14.83,1073700.0,1073700.0,0.08,0.537,14.80667,"January 29, 98",0.00537
1998-01-30,14.85,14.85,14.5,14.6,450600.0,450600.0,0.25,1.684,14.65,"January 30, 98",0.01684
1998-02-02,14.79,14.97,14.75,14.93,805800.0,805800.0,-0.14,-0.947,14.88333,"February 02, 98",-0.00947
1998-02-03,14.88,15.34,14.85,15.34,748500.0,748500.0,-0.46,-3.091,15.17667,"February 03, 98",-0.03091
1998-02-04,15.24,15.45,15.2,15.32,628200.0,628200.0,-0.08,-0.525,15.32333,"February 04, 98",-0.00525
1998-02-05,15.26,15.34,15.11,15.21,605700.0,605700.0,0.05,0.328,15.22,"February 05, 98",0.00328
1998-02-06,15.24,15.44,15.21,15.28,393300.0,393300.0,-0.04,-0.262,15.31,"February 06, 98",-0.00262
1998-02-09,15.22,15.25,14.88,15.05,407100.0,407100.0,0.17,1.117,15.06,"February 09, 98",0.01117
1998-02-10,15.04,15.42,15.04,15.22,356900.0,356900.0,-0.18,-1.197,15.22667,"February 10, 98",-0.01197
1998-02-11,15.17,15.37,15.14,15.36,303100.0,303100.0,-0.19,-1.252,15.29,"February 11, 98",-0.01252
1998-02-12,15.33,15.51,15.12,15.49,457800.0,457800.0,-0.16,-1.044,15.37333,"February 12, 98",-0.01044
1998-02-13,15.44,15.53,15.34,15.41,388300.0,388300.0,0.03,0.194,15.42667,"February 13, 98",0.00194
1998-02-17,15.42,15.46,15.16,15.25,496300.0,496300.0,0.17,1.102,15.29,"February 17, 98",0.01102
1998-02-18,15.26,15.44,15.26,15.41,482300.0,482300.0,-0.15,-0.983,15.37,"February 18, 98",-0.00983
1998-02-19,15.37,15.4,15.17,15.3,344600.0,344600.0,0.07,0.455,15.29,"February 19, 98",0.00455
1998-02-20,15.41,15.62,15.37,15.62,561300.0,561300.0,-0.21,-1.363,15.53667,"February 20, 98",-0.01363
1998-02-23,15.58,15.63,15.42,15.45,303800.0,303800.0,0.13,0.834,15.5,"February 23, 98",0.00834
1998-02-24,15.4,15.4,15.18,15.3,542100.0,542100.0,0.1,0.649,15.29333,"February 24, 98",0.00649
1998-02-25,15.3,15.69,15.29,15.55,700300.0,700300.0,-0.25,-1.634,15.51,"February 25, 98",-0.01634
1998-02-26,15.45,15.71,15.34,15.66,346700.0,346700.0,-0.21,-1.359,15.57,"February 26, 98",-0.01359
1998-02-27,15.66,16.01,15.63,16.0,595500.0,595500.0,-0.34,-2.171,15.88,"February 27, 98",-0.02171
1998-03-02,15.84,15.91,15.75,15.87,445300.0,445300.0,-0.03,-0.189,15.84333,"March 02, 98",-0.00189
1998-03-03,15.87,16.14,15.74,16.14,464200.0,464200.0,-0.27,-1.701,16.00667,"March 03, 98",-0.01701
1998-03-04,16.19,16.41,16.14,16.36,671700.0,671700.0,-0.17,-1.05,16.30333,"March 04, 98",-0.0105
1998-03-05,16.32,16.47,16.23,16.41,469700.0,469700.0,-0.09,-0.551,16.37,"March 05, 98",-0.00551
1998-03-06,16.41,16.85,16.41,16.7,601400.0,601400.0,-0.29,-1.767,16.65333,"March 06, 98",-0.01767
1998-03-09,16.65,16.73,16.53,16.69,500800.0,500800.0,-0.04,-0.24,16.65,"March 09, 98",-0.0024
1998-03-10,16.85,17.1,16.77,17.09,503800.0,503800.0,-0.24,-1.424,16.98667,"March 10, 98",-0.01424
1998-03-11,17.03,17.03,16.7,16.89,462500.0,462500.0,0.14,0.822,16.87333,"March 11, 98",0.00822
1998-03-12,16.86,17.46,16.8,17.31,432700.0,432700.0,-0.45,-2.669,17.19,"March 12, 98",-0.02669
1998-03-13,17.28,17.38,16.81,16.87,452700.0,452700.0,0.41,2.373,17.02,"March 13, 98",0.02373
1998-03-16,16.76,17.26,16.76,17.17,310300.0,310300.0,-0.41,-2.446,17.06333,"March 16, 98",-0.02446
1998-03-17,17.13,17.15,16.69,16.81,560800.0,560800.0,0.32,1.868,16.88333,"March 17, 98",0.01868
1998-03-18,16.83,17.22,16.81,17.22,362400.0,362400.0,-0.39,-2.317,17.08333,"March 18, 98",-0.02317
1998-03-19,17.17,17.23,17.01,17.1,240300.0,240300.0,0.07,0.408,17.11333,"March 19, 98",0.00408
1998-03-20,17.31,17.31,16.82,16.87,531200.0,531200.0,0.44,2.542,17.0,"March 20, 98",0.02542
1998-03-23,16.78,16.78,16.78,16.78,1000.0,1000.0,0.0,0.0,16.78,"March 23, 98",0.0
1998-03-24,17.01,17.42,17.01,17.42,116600.0,116600.0,-0.41,-2.41,17.28333,"March 24, 98",-0.0241
1998-03-25,17.65,17.68,17.48,17.68,27700.0,27700.0,-0.03,-0.17,17.61333,"March 25, 98",-0.0017
1998-03-26,17.57,17.6,17.39,17.6,75900.0,75900.0,-0.03,-0.171,17.53,"March 26, 98",-0.00171
1998-03-27,17.54,17.54,16.95,17.19,847200.0,847200.0,0.35,1.995,17.22667,"March 27, 98",0.01995
1998-03-30,16.95,17.16,16.66,16.75,384700.0,384700.0,0.2,1.18,16.85667,"March 30, 98",0.0118
1998-03-31,16.84,16.98,16.55,16.69,644600.0,644600.0,0.15,0.891,16.74,"March 31, 98",0.00891
1998-04-01,16.31,16.37,15.73,16.26,1004700.0,1004700.0,0.05,0.307,16.12,"April 01, 98",0.00307
1998-04-02,16.26,17.07,16.26,17.01,1046400.0,1046400.0,-0.75,-4.613,16.78,"April 02, 98",-0.04613
1998-04-03,16.95,17.36,16.66,17.28,766700.0,766700.0,-0.33,-1.947,17.1,"April 03, 98",-0.01947
1998-04-06,17.22,17.33,16.78,16.78,417500.0,417500.0,0.44,2.555,16.96333,"April 06, 98",0.02555
1998-04-07,16.9,16.9,16.08,16.46,1516100.0,1516100.0,0.44,2.604,16.48,"April 07, 98",0.02604
1998-04-08,16.46,16.55,16.11,16.4,601700.0,601700.0,0.06,0.365,16.35333,"April 08, 98",0.00365
1998-04-09,16.43,16.81,16.08,16.08,711000.0,711000.0,0.35,2.13,16.32333,"April 09, 98",0.0213
1998-04-13,15.85,16.14,15.73,16.14,1257700.0,1257700.0,-0.29,-1.83,16.00333,"April 13, 98",-0.0183
1998-04-14,16.2,16.9,16.2,16.87,1577300.0,1577300.0,-0.67,-4.136,16.65667,"April 14, 98",-0.04136
1998-04-15,17.36,17.36,17.01,17.33,596700.0,596700.0,0.03,0.173,17.23333,"April 15, 98",0.00173
1998-04-16,17.3,17.3,16.34,16.4,422500.0,422500.0,0.9,5.202,16.68,"April 16, 98",0.05202
1998-04-17,16.4,16.46,15.94,16.02,788300.0,788300.0,0.38,2.317,16.14,"April 17, 98",0.02317
1998-04-20,15.99,16.02,15.59,15.59,576900.0,576900.0,0.4,2.502,15.73333,"April 20, 98",0.02502
1998-04-21,15.64,15.82,14.8,14.8,825100.0,825100.0,0.84,5.371,15.14,"April 21, 98",0.05371
1998-04-22,14.8,15.15,14.8,15.06,1218600.0,1218600.0,-0.26,-1.757,15.00333,"April 22, 98",-0.01757
1998-04-23,14.86,14.97,14.68,14.97,976000.0,976000.0,-0.11,-0.74,14.87333,"April 23, 98",-0.0074
1998-04-24,14.92,15.21,14.92,15.15,862500.0,862500.0,-0.23,-1.542,15.09333,"April 24, 98",-0.01542
1998-04-27,15.06,15.21,14.92,15.15,861700.0,861700.0,-0.09,-0.598,15.09333,"April 27, 98",-0.00598
1998-04-28,15.18,15.73,15.15,15.53,305300.0,305300.0,-0.35,-2.306,15.47,"April 28, 98",-0.02306
1998-04-29,15.64,15.64,15.32,15.44,948100.0,948100.0,0.2,1.279,15.46667,"April 29, 98",0.01279
1998-04-30,15.41,15.5,14.92,14.92,1989100.0,1989100.0,0.49,3.18,15.11333,"April 30, 98",0.0318
1998-05-01,14.92,15.61,14.92,15.56,940200.0,940200.0,-0.64,-4.29,15.36333,"May 01, 98",-0.0429
1998-05-04,15.96,16.05,15.85,15.96,462200.0,462200.0,0.0,0.0,15.95333,"May 04, 98",0.0
1998-05-05,15.96,15.96,15.85,15.96,227600.0,227600.0,0.0,0.0,15.92333,"May 05, 98",0.0
1998-05-06,15.96,16.08,15.38,15.38,743300.0,743300.0,0.58,3.634,15.61333,"May 06, 98",0.03634
1998-05-07,15.15,15.32,14.86,14.92,869300.0,869300.0,0.23,1.518,15.03333,"May 07, 98",0.01518
1998-05-08,14.92,15.27,14.92,15.03,606900.0,606900.0,-0.11,-0.737,15.07333,"May 08, 98",-0.00737
1998-05-11,15.03,15.12,14.68,14.74,1053600.0,1053600.0,0.29,1.929,14.84667,"May 11, 98",0.01929
1998-05-12,14.71,14.83,14.22,14.22,1263700.0,1263700.0,0.49,3.331,14.42333,"May 12, 98",0.03331
1998-05-13,14.33,15.5,14.33,15.35,2204900.0,2204900.0,-1.02,-7.118,15.06,"May 13, 98",-0.07118
1998-05-14,15.24,15.32,14.86,15.27,356000.0,356000.0,-0.03,-0.197,15.15,"May 14, 98",-0.00197
1998-05-15,15.27,15.61,15.06,15.47,380400.0,380400.0,-0.2,-1.31,15.38,"May 15, 98",-0.0131
1998-05-18,15.59,15.85,15.53,15.61,539000.0,539000.0,-0.02,-0.128,15.66333,"May 18, 98",-0.00128
1998-05-19,15.67,15.85,15.56,15.59,433700.0,433700.0,0.08,0.511,15.66667,"May 19, 98",0.00511
1998-05-20,15.7,16.52,15.7,16.49,652300.0,652300.0,-0.79,-5.032,16.23667,"May 20, 98",-0.05032
1998-05-21,16.46,16.46,15.96,16.02,607200.0,607200.0,0.44,2.673,16.14667,"May 21, 98",0.02673
1998-05-22,16.08,16.08,15.82,15.82,535100.0,535100.0,0.26,1.617,15.90667,"May 22, 98",0.01617
1998-05-26,15.96,16.02,15.7,15.7,1083700.0,1083700.0,0.26,1.629,15.80667,"May 26, 98",0.01629
