date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
1998-01-02,26.5,26.5,24.72,25.03,3134000.0,3134000.0,1.47,5.547,25.41667,"January 02, 98",0.05547
1998-01-05,25.28,25.66,25.13,25.63,3569800.0,3569800.0,-0.35,-1.384,25.47333,"January 05, 98",-0.01384
1998-01-06,25.19,25.38,24.78,25.03,2925200.0,2925200.0,0.16,0.635,25.06333,"January 06, 98",0.00635
1998-01-07,24.88,24.91,24.28,24.81,3077600.0,3077600.0,0.07,0.281,24.66667,"January 07, 98",0.00281
1998-01-08,24.69,24.72,24.13,24.47,3186600.0,3186600.0,0.22,0.891,24.44,"January 08, 98",0.00891
1998-01-09,24.25,24.28,23.44,23.78,3165200.0,3165200.0,0.47,1.938,23.83333,"January 09, 98",0.01938
1998-01-12,23.31,23.78,23.0,23.34,4010400.0,4010400.0,-0.03,-0.129,23.37333,"January 12, 98",-0.00129
1998-01-13,23.38,23.59,22.81,23.16,4701400.0,4701400.0,0.22,0.941,23.18667,"January 13, 98",0.00941
1998-01-14,23.19,23.5,22.75,23.47,3863000.0,3863000.0,-0.28,-1.207,23.24,"January 14, 98",-0.01207
1998-01-15,23.34,23.47,22.72,22.81,2324200.0,2324200.0,0.53,2.271,23.0,"January 15, 98",0.02271
1998-01-16,22.94,24.13,22.94,23.78,5386800.0,5386800.0,-0.84,-3.662,23.61667,"January 16, 98",-0.03662
1998-01-20,24.0,24.72,23.81,24.63,3098800.0,3098800.0,-0.63,-2.625,24.38667,"January 20, 98",-0.02625
1998-01-21,24.25,24.44,23.94,24.16,1469800.0,1469800.0,0.09,0.371,24.18,"January 21, 98",0.00371
1998-01-22,23.97,24.31,23.84,24.31,1613600.0,1613600.0,-0.34,-1.418,24.15333,"January 22, 98",-0.01418
1998-01-23,24.31,24.56,23.88,23.97,3758200.0,3758200.0,0.34,1.399,24.13667,"January 23, 98",0.01399
1998-01-26,23.94,24.0,23.72,23.81,2194600.0,2194600.0,0.13,0.543,23.84333,"January 26, 98",0.00543
1998-01-27,23.75,24.06,23.5,23.97,2806800.0,2806800.0,-0.22,-0.926,23.84333,"January 27, 98",-0.00926
1998-01-28,24.0,25.19,24.0,25.09,4938800.0,4938800.0,-1.09,-4.542,24.76,"January 28, 98",-0.04542
1998-01-29,25.0,25.94,24.97,25.34,3574200.0,3574200.0,-0.34,-1.36,25.41667,"January 29, 98",-0.0136
1998-01-30,25.44,25.72,25.38,25.53,2046800.0,2046800.0,-0.09,-0.354,25.54333,"January 30, 98",-0.00354
1998-02-02,26.25,26.5,25.75,26.38,3743600.0,3743600.0,-0.13,-0.495,26.21,"February 02, 98",-0.00495
