date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-06-27,17.0,17.25,16.66,17.02,18023400.0,18023400.0,-0.02,-0.118,16.97667,"June 27, 14",-0.00118
2014-06-30,17.15,17.28,16.93,17.05,1671800.0,1671800.0,0.1,0.583,17.08667,"June 30, 14",0.00583
2014-07-01,17.06,17.09,16.6,16.85,988900.0,988900.0,0.21,1.231,16.84667,"July 01, 14",0.01231
2014-07-02,16.62,16.84,16.47,16.76,551200.0,551200.0,-0.14,-0.842,16.69,"July 02, 14",-0.00842
2014-07-03,16.66,17.04,16.66,17.03,182500.0,182500.0,-0.37,-2.221,16.91,"July 03, 14",-0.02221
2014-07-07,17.0,17.01,16.79,16.91,358100.0,358100.0,0.09,0.529,16.90333,"July 07, 14",0.00529
2014-07-08,17.03,17.03,16.81,16.91,508500.0,508500.0,0.12,0.705,16.91667,"July 08, 14",0.00705
2014-07-09,16.9,16.99,16.86,16.9,197400.0,197400.0,0.0,0.0,16.91667,"July 09, 14",0.0
2014-07-10,16.9,16.9,16.66,16.72,334900.0,334900.0,0.18,1.065,16.76,"July 10, 14",0.01065
2014-07-11,16.63,16.67,15.61,16.6,1354300.0,1354300.0,0.03,0.18,16.29333,"July 11, 14",0.0018
2014-07-14,16.75,16.81,16.3,16.38,643400.0,643400.0,0.37,2.209,16.49667,"July 14, 14",0.02209
2014-07-15,16.5,16.54,16.21,16.4,661800.0,661800.0,0.1,0.606,16.38333,"July 15, 14",0.00606
2014-07-16,16.69,16.69,16.24,16.31,353800.0,353800.0,0.38,2.277,16.41333,"July 16, 14",0.02277
2014-07-17,16.38,16.5,16.24,16.45,207500.0,207500.0,-0.07,-0.427,16.39667,"July 17, 14",-0.00427
2014-07-18,16.54,16.54,16.01,16.35,324000.0,324000.0,0.19,1.149,16.3,"July 18, 14",0.01149
2014-07-21,16.5,16.74,16.18,16.68,354600.0,354600.0,-0.18,-1.091,16.53333,"July 21, 14",-0.01091
2014-07-22,16.65,16.95,16.2,16.68,327500.0,327500.0,-0.03,-0.18,16.61,"July 22, 14",-0.0018
2014-07-23,16.65,16.77,16.45,16.7,366400.0,366400.0,-0.05,-0.3,16.64,"July 23, 14",-0.003
2014-07-24,16.75,16.9,16.69,16.79,438900.0,438900.0,-0.04,-0.239,16.79333,"July 24, 14",-0.00239
2014-07-25,16.85,16.85,16.62,16.73,504300.0,504300.0,0.12,0.712,16.73333,"July 25, 14",0.00712
2014-07-28,16.65,16.65,15.92,16.0,265800.0,265800.0,0.65,3.904,16.19,"July 28, 14",0.03904
2014-07-29,15.91,16.03,15.7,15.77,268900.0,268900.0,0.14,0.88,15.83333,"July 29, 14",0.0088
2014-07-30,15.68,15.98,14.85,15.12,537000.0,537000.0,0.56,3.571,15.31667,"July 30, 14",0.03571
2014-07-31,15.08,15.47,14.77,15.08,494700.0,494700.0,0.0,0.0,15.10667,"July 31, 14",0.0
2014-08-01,15.0,15.99,14.51,15.34,965000.0,965000.0,-0.34,-2.267,15.28,"August 01, 14",-0.02267
2014-08-04,15.42,15.95,15.19,15.29,257800.0,257800.0,0.13,0.843,15.47667,"August 04, 14",0.00843
2014-08-05,15.21,16.49,15.01,15.68,462500.0,462500.0,-0.47,-3.09,15.72667,"August 05, 14",-0.0309
2014-08-06,15.75,15.95,14.64,14.83,650600.0,650600.0,0.92,5.841,15.14,"August 06, 14",0.05841
2014-08-07,14.77,15.37,14.76,14.95,494500.0,494500.0,-0.18,-1.219,15.02667,"August 07, 14",-0.01219
2014-08-08,14.9,15.09,14.77,14.91,431300.0,431300.0,-0.01,-0.067,14.92333,"August 08, 14",-0.00067
2014-08-11,14.91,15.15,14.81,14.95,695000.0,695000.0,-0.04,-0.268,14.97,"August 11, 14",-0.00268
2014-08-12,14.95,15.25,14.91,15.16,972100.0,972100.0,-0.21,-1.405,15.10667,"August 12, 14",-0.01405
2014-08-13,15.12,15.2,14.82,14.97,230000.0,230000.0,0.15,0.992,14.99667,"August 13, 14",0.00992
2014-08-14,14.98,15.04,14.76,14.79,302300.0,302300.0,0.19,1.268,14.86333,"August 14, 14",0.01268
2014-08-15,14.77,14.92,14.76,14.89,235100.0,235100.0,-0.12,-0.812,14.85667,"August 15, 14",-0.00812
2014-08-18,14.91,15.06,14.76,14.77,373400.0,373400.0,0.14,0.939,14.86333,"August 18, 14",0.00939
2014-08-19,14.77,15.0,14.76,14.9,285600.0,285600.0,-0.13,-0.88,14.88667,"August 19, 14",-0.0088
2014-08-20,14.92,15.45,14.76,15.41,293700.0,293700.0,-0.49,-3.284,15.20667,"August 20, 14",-0.03284
2014-08-21,15.33,15.6,15.06,15.5,315200.0,315200.0,-0.17,-1.109,15.38667,"August 21, 14",-0.01109
2014-08-22,15.6,15.6,15.29,15.36,160300.0,160300.0,0.24,1.538,15.41667,"August 22, 14",0.01538
2014-08-25,15.16,15.7,15.16,15.62,482400.0,482400.0,-0.46,-3.034,15.49333,"August 25, 14",-0.03034
2014-08-26,15.52,15.7,15.0,15.14,1306500.0,1306500.0,0.38,2.448,15.28,"August 26, 14",0.02448
