date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
1998-01-02,24.83,24.88,24.69,24.85,534800.0,534800.0,-0.02,-0.081,24.80667,"January 02, 98",-0.00081
1998-01-05,24.9,25.29,24.85,25.02,768800.0,768800.0,-0.12,-0.482,25.05333,"January 05, 98",-0.00482
1998-01-06,24.96,25.56,24.83,25.46,1300400.0,1300400.0,-0.5,-2.003,25.28333,"January 06, 98",-0.02003
1998-01-07,25.25,25.25,24.65,24.83,516200.0,516200.0,0.42,1.663,24.91,"January 07, 98",0.01663
1998-01-08,24.9,24.98,24.42,24.46,539400.0,539400.0,0.44,1.767,24.62,"January 08, 98",0.01767
1998-01-09,24.33,24.33,23.5,23.65,841400.0,841400.0,0.68,2.795,23.82667,"January 09, 98",0.02795
1998-01-12,23.33,23.98,23.19,23.94,950000.0,950000.0,-0.61,-2.615,23.70333,"January 12, 98",-0.02615
1998-01-13,24.17,24.31,24.0,24.13,523800.0,523800.0,0.04,0.165,24.14667,"January 13, 98",0.00165
1998-01-14,24.25,24.38,24.21,24.31,627600.0,627600.0,-0.06,-0.247,24.3,"January 14, 98",-0.00247
1998-01-15,24.31,24.31,23.67,23.9,469400.0,469400.0,0.41,1.687,23.96,"January 15, 98",0.01687
1998-01-16,24.17,24.44,24.13,24.42,733200.0,733200.0,-0.25,-1.034,24.33,"January 16, 98",-0.01034
1998-01-20,24.35,24.96,24.25,24.94,618800.0,618800.0,-0.59,-2.423,24.71667,"January 20, 98",-0.02423
1998-01-21,24.81,24.98,24.23,24.54,668000.0,668000.0,0.27,1.088,24.58333,"January 21, 98",0.01088
1998-01-22,24.42,24.42,24.13,24.19,314600.0,314600.0,0.23,0.942,24.24667,"January 22, 98",0.00942
1998-01-23,24.17,24.17,23.69,24.13,581400.0,581400.0,0.04,0.165,23.99667,"January 23, 98",0.00165
1998-01-26,24.1,24.25,23.73,23.98,837200.0,837200.0,0.12,0.498,23.98667,"January 26, 98",0.00498
1998-01-27,24.1,24.29,24.0,24.13,1373000.0,1373000.0,-0.03,-0.124,24.14,"January 27, 98",-0.00124
1998-01-28,24.15,24.5,24.15,24.27,1355600.0,1355600.0,-0.12,-0.497,24.30667,"January 28, 98",-0.00497
1998-01-29,24.27,24.98,24.25,24.81,908400.0,908400.0,-0.54,-2.225,24.68,"January 29, 98",-0.02225
1998-01-30,24.83,24.92,24.63,24.63,619800.0,619800.0,0.2,0.805,24.72667,"January 30, 98",0.00805
1998-02-02,24.63,25.31,24.54,25.08,1347200.0,1347200.0,-0.45,-1.827,24.97667,"February 02, 98",-0.01827
1998-02-03,25.0,25.1,24.94,25.1,495000.0,495000.0,-0.1,-0.4,25.04667,"February 03, 98",-0.004
1998-02-04,24.92,25.13,24.92,25.1,793400.0,793400.0,-0.18,-0.722,25.05,"February 04, 98",-0.00722
1998-02-05,25.02,25.25,24.81,25.02,467400.0,467400.0,0.0,0.0,25.02667,"February 05, 98",0.0
1998-02-06,25.08,25.17,24.96,25.04,378200.0,378200.0,0.04,0.159,25.05667,"February 06, 98",0.00159
1998-02-09,25.02,25.23,24.98,25.15,504000.0,504000.0,-0.13,-0.52,25.12,"February 09, 98",-0.0052
1998-02-10,25.19,25.69,25.19,25.25,1027200.0,1027200.0,-0.06,-0.238,25.37667,"February 10, 98",-0.00238
1998-02-11,25.19,26.33,25.08,26.33,2397800.0,2397800.0,-1.14,-4.526,25.91333,"February 11, 98",-0.04526
1998-02-12,26.25,27.0,26.25,26.96,2192000.0,2192000.0,-0.71,-2.705,26.73667,"February 12, 98",-0.02705
1998-02-13,26.75,26.85,26.27,26.58,982400.0,982400.0,0.17,0.636,26.56667,"February 13, 98",0.00636
1998-02-17,26.83,27.25,26.67,27.06,1307600.0,1307600.0,-0.23,-0.857,26.99333,"February 17, 98",-0.00857
1998-02-18,27.0,27.71,26.98,27.44,1032200.0,1032200.0,-0.44,-1.63,27.37667,"February 18, 98",-0.0163
1998-02-19,27.38,27.79,27.29,27.75,1486800.0,1486800.0,-0.37,-1.351,27.61,"February 19, 98",-0.01351
1998-02-20,27.81,28.23,27.56,28.23,1392800.0,1392800.0,-0.42,-1.51,28.00667,"February 20, 98",-0.0151
1998-02-23,28.23,28.83,28.0,28.63,1557800.0,1557800.0,-0.4,-1.417,28.48667,"February 23, 98",-0.01417
1998-02-24,28.63,28.75,28.29,28.31,1687800.0,1687800.0,0.32,1.118,28.45,"February 24, 98",0.01118
1998-02-25,28.33,28.48,28.32,28.42,954600.0,954600.0,-0.09,-0.318,28.40667,"February 25, 98",-0.00318
1998-02-26,28.33,28.98,28.23,28.77,909600.0,909600.0,-0.44,-1.553,28.66,"February 26, 98",-0.01553
1998-02-27,28.63,29.17,28.63,28.9,1018200.0,1018200.0,-0.27,-0.943,28.9,"February 27, 98",-0.00943
1998-03-02,28.85,29.08,28.63,28.77,646800.0,646800.0,0.08,0.277,28.82667,"March 02, 98",0.00277
1998-03-03,28.69,29.04,28.69,28.9,551000.0,551000.0,-0.21,-0.732,28.87667,"March 03, 98",-0.00732
1998-03-04,28.85,28.88,28.58,28.6,687000.0,687000.0,0.25,0.867,28.68667,"March 04, 98",0.00867
1998-03-05,28.46,28.48,27.75,28.13,1206600.0,1206600.0,0.33,1.16,28.12,"March 05, 98",0.0116
1998-03-06,28.0,29.13,28.0,28.81,825000.0,825000.0,-0.81,-2.893,28.64667,"March 06, 98",-0.02893
1998-03-09,28.83,29.5,28.83,29.19,1155600.0,1155600.0,-0.36,-1.249,29.17333,"March 09, 98",-0.01249
1998-03-10,29.21,29.63,29.08,29.63,1196600.0,1196600.0,-0.42,-1.438,29.44667,"March 10, 98",-0.01438
1998-03-11,29.6,30.1,29.58,30.1,1070600.0,1070600.0,-0.5,-1.689,29.92667,"March 11, 98",-0.01689
1998-03-12,29.98,30.83,29.75,30.48,1260000.0,1260000.0,-0.5,-1.668,30.35333,"March 12, 98",-0.01668
1998-03-13,30.35,30.75,30.25,30.42,866600.0,866600.0,-0.07,-0.231,30.47333,"March 13, 98",-0.00231
1998-03-16,30.33,30.71,30.27,30.65,760800.0,760800.0,-0.32,-1.055,30.54333,"March 16, 98",-0.01055
1998-03-17,30.33,30.42,29.98,30.23,1157600.0,1157600.0,0.1,0.33,30.21,"March 17, 98",0.0033
