date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
1998-01-02,6.05,6.25,6.05,6.22,33600.0,33600.0,-0.17,-2.81,6.17333,"January 02, 98",-0.0281
1998-01-05,6.25,6.28,6.25,6.28,21600.0,21600.0,-0.03,-0.48,6.27,"January 05, 98",-0.0048
1998-01-06,6.38,6.66,6.38,6.66,106000.0,106000.0,-0.28,-4.389,6.56667,"January 06, 98",-0.04389
1998-01-07,6.63,6.63,6.25,6.28,101600.0,101600.0,0.35,5.279,6.38667,"January 07, 98",0.05279
1998-01-08,6.25,6.25,6.25,6.25,145200.0,145200.0,0.0,0.0,6.25,"January 08, 98",0.0
1998-01-09,6.27,6.27,6.27,6.27,4000.0,4000.0,0.0,0.0,6.27,"January 09, 98",0.0
1998-01-12,6.17,6.17,6.13,6.13,32800.0,32800.0,0.04,0.648,6.14333,"January 12, 98",0.00648
1998-01-13,6.13,6.14,6.13,6.13,48800.0,48800.0,0.0,0.0,6.13333,"January 13, 98",0.0
1998-01-14,6.13,6.13,6.06,6.13,333200.0,333200.0,0.0,0.0,6.10667,"January 14, 98",0.0
1998-01-15,5.97,6.02,5.94,6.02,88800.0,88800.0,-0.05,-0.838,5.99333,"January 15, 98",-0.00838
1998-01-16,6.02,6.06,6.02,6.03,261600.0,261600.0,-0.01,-0.166,6.03667,"January 16, 98",-0.00166
1998-01-20,6.09,6.19,6.09,6.19,20000.0,20000.0,-0.1,-1.642,6.15667,"January 20, 98",-0.01642
1998-01-21,6.16,6.16,6.14,6.14,14800.0,14800.0,0.02,0.325,6.14667,"January 21, 98",0.00325
1998-01-22,6.16,6.16,6.16,6.16,4800.0,4800.0,0.0,0.0,6.16,"January 22, 98",0.0
1998-01-23,6.13,6.13,6.06,6.06,14000.0,14000.0,0.07,1.142,6.08333,"January 23, 98",0.01142
1998-01-26,6.09,6.38,6.09,6.25,74000.0,74000.0,-0.16,-2.627,6.24,"January 26, 98",-0.02627
1998-01-27,6.3,6.34,6.3,6.34,6400.0,6400.0,-0.04,-0.635,6.32667,"January 27, 98",-0.00635
1998-01-28,6.31,6.42,6.28,6.38,48400.0,48400.0,-0.07,-1.109,6.36,"January 28, 98",-0.01109
1998-01-29,6.38,6.38,6.38,6.38,7600.0,7600.0,0.0,0.0,6.38,"January 29, 98",0.0
1998-01-30,6.38,6.48,6.38,6.48,23200.0,23200.0,-0.1,-1.567,6.44667,"January 30, 98",-0.01567
1998-02-02,6.5,6.84,6.5,6.81,240400.0,240400.0,-0.31,-4.769,6.71667,"February 02, 98",-0.04769
1998-02-03,6.81,6.88,6.66,6.66,94400.0,94400.0,0.15,2.203,6.73333,"February 03, 98",0.02203
