date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2003-07-02,14.0,14.16,13.33,13.33,8133000.0,8133000.0,0.67,4.786,13.60667,"July 02, 03",0.04786
2003-07-03,13.57,13.77,13.43,13.73,434400.0,434400.0,-0.16,-1.179,13.64333,"July 03, 03",-0.01179
2003-07-07,13.73,14.33,13.73,14.33,1237900.0,1237900.0,-0.6,-4.37,14.13,"July 07, 03",-0.0437
2003-07-08,14.8,15.07,14.6,14.63,955300.0,955300.0,0.17,1.149,14.76667,"July 08, 03",0.01149
2003-07-09,14.63,15.0,14.4,15.0,454200.0,454200.0,-0.37,-2.529,14.8,"July 09, 03",-0.02529
2003-07-10,15.0,15.33,14.87,15.0,488400.0,488400.0,0.0,0.0,15.06667,"July 10, 03",0.0
2003-07-11,14.9,15.17,14.6,14.67,170100.0,170100.0,0.23,1.544,14.81333,"July 11, 03",0.01544
2003-07-14,14.67,15.13,14.67,15.05,428400.0,428400.0,-0.38,-2.59,14.95,"July 14, 03",-0.0259
2003-07-15,15.0,15.43,14.93,15.33,199900.0,199900.0,-0.33,-2.2,15.23,"July 15, 03",-0.022
2003-07-16,15.4,15.4,15.27,15.31,281200.0,281200.0,0.09,0.584,15.32667,"July 16, 03",0.00584
2003-07-17,15.3,15.47,15.13,15.47,204400.0,204400.0,-0.17,-1.111,15.35667,"July 17, 03",-0.01111
2003-07-18,15.5,15.7,15.42,15.7,179500.0,179500.0,-0.2,-1.29,15.60667,"July 18, 03",-0.0129
2003-07-21,15.73,15.93,15.67,15.93,88800.0,88800.0,-0.2,-1.271,15.84333,"July 21, 03",-0.01271
2003-07-22,15.93,16.17,15.83,16.17,168900.0,168900.0,-0.24,-1.507,16.05667,"July 22, 03",-0.01507
2003-07-23,16.33,16.66,16.07,16.47,204100.0,204100.0,-0.14,-0.857,16.4,"July 23, 03",-0.00857
2003-07-24,16.87,16.87,15.83,16.07,159100.0,159100.0,0.8,4.742,16.25667,"July 24, 03",0.04742
2003-07-25,16.23,16.23,15.9,16.03,68400.0,68400.0,0.2,1.232,16.05333,"July 25, 03",0.01232
2003-07-28,16.07,16.09,15.6,16.09,140700.0,140700.0,-0.02,-0.124,15.92667,"July 28, 03",-0.00124
2003-07-29,16.09,16.09,15.9,16.0,30000.0,30000.0,0.09,0.559,15.99667,"July 29, 03",0.00559
2003-07-30,16.0,16.73,15.93,16.67,72000.0,72000.0,-0.67,-4.188,16.44333,"July 30, 03",-0.04188
2003-07-31,16.83,16.83,15.8,15.8,95100.0,95100.0,1.03,6.12,16.14333,"July 31, 03",0.0612
2003-08-01,15.73,15.8,15.41,15.59,170100.0,170100.0,0.14,0.89,15.6,"August 01, 03",0.0089
2003-08-04,15.53,15.53,15.0,15.33,224400.0,224400.0,0.2,1.288,15.28667,"August 04, 03",0.01288
2003-08-05,15.2,15.37,15.07,15.27,140800.0,140800.0,-0.07,-0.461,15.23667,"August 05, 03",-0.00461
2003-08-06,15.27,15.3,14.5,14.7,281200.0,281200.0,0.57,3.733,14.83333,"August 06, 03",0.03733
2003-08-07,14.67,14.97,14.63,14.97,183700.0,183700.0,-0.3,-2.045,14.85667,"August 07, 03",-0.02045
2003-08-08,14.97,15.33,14.97,15.3,34900.0,34900.0,-0.33,-2.204,15.2,"August 08, 03",-0.02204
2003-08-11,15.27,15.27,14.48,14.87,547800.0,547800.0,0.4,2.62,14.87333,"August 11, 03",0.0262
2003-08-12,15.13,15.47,14.03,14.4,448900.0,448900.0,0.73,4.825,14.63333,"August 12, 03",0.04825
2003-08-13,14.57,14.69,14.2,14.33,345900.0,345900.0,0.24,1.647,14.40667,"August 13, 03",0.01647
2003-08-14,14.3,14.33,14.23,14.23,136000.0,136000.0,0.07,0.49,14.26333,"August 14, 03",0.0049
2003-08-15,14.27,14.47,14.26,14.37,95200.0,95200.0,-0.1,-0.701,14.36667,"August 15, 03",-0.00701
2003-08-18,14.4,15.13,14.4,14.87,209500.0,209500.0,-0.47,-3.264,14.8,"August 18, 03",-0.03264
2003-08-19,15.03,15.5,14.67,15.43,219600.0,219600.0,-0.4,-2.661,15.2,"August 19, 03",-0.02661
2003-08-20,15.5,15.73,15.47,15.73,44700.0,44700.0,-0.23,-1.484,15.64333,"August 20, 03",-0.01484
2003-08-21,15.83,16.07,15.73,15.87,161700.0,161700.0,-0.04,-0.253,15.89,"August 21, 03",-0.00253
2003-08-22,16.1,16.13,15.83,15.97,165300.0,165300.0,0.13,0.807,15.97667,"August 22, 03",0.00807
2003-08-25,15.97,16.1,15.97,16.0,141100.0,141100.0,-0.03,-0.188,16.02333,"August 25, 03",-0.00188
2003-08-26,15.93,15.93,15.56,15.67,355300.0,355300.0,0.26,1.632,15.72,"August 26, 03",0.01632
2003-08-27,15.63,16.03,15.63,15.93,10200.0,10200.0,-0.3,-1.919,15.86333,"August 27, 03",-0.01919
2003-08-28,16.0,16.0,15.83,15.87,6300.0,6300.0,0.13,0.813,15.9,"August 28, 03",0.00813
2003-08-29,15.8,15.83,15.43,15.83,81000.0,81000.0,-0.03,-0.19,15.69667,"August 29, 03",-0.0019
2003-09-02,15.83,15.86,15.53,15.53,47500.0,47500.0,0.3,1.895,15.64,"September 02, 03",0.01895
2003-09-03,15.53,15.78,14.73,14.81,265800.0,265800.0,0.72,4.636,15.10667,"September 03, 03",0.04636
2003-09-04,15.67,15.67,14.63,14.99,279000.0,279000.0,0.68,4.34,15.09667,"September 04, 03",0.0434
2003-09-05,14.98,15.26,14.8,15.26,110200.0,110200.0,-0.28,-1.869,15.10667,"September 05, 03",-0.01869
2003-09-08,15.33,16.23,15.33,16.03,140100.0,140100.0,-0.7,-4.566,15.86333,"September 08, 03",-0.04566
2003-09-09,16.07,16.8,16.01,16.29,172000.0,172000.0,-0.22,-1.369,16.36667,"September 09, 03",-0.01369
2003-09-10,16.3,16.37,16.11,16.31,152200.0,152200.0,-0.01,-0.061,16.26333,"September 10, 03",-0.00061
2003-09-11,16.32,16.37,16.1,16.1,15300.0,15300.0,0.22,1.348,16.19,"September 11, 03",0.01348
2003-09-12,16.11,16.74,16.05,16.73,45700.0,45700.0,-0.62,-3.849,16.50667,"September 12, 03",-0.03849
2003-09-15,16.85,17.67,16.85,17.5,217200.0,217200.0,-0.65,-3.858,17.34,"September 15, 03",-0.03858
2003-09-16,17.5,17.5,16.53,16.67,109800.0,109800.0,0.83,4.743,16.9,"September 16, 03",0.04743
2003-09-17,16.83,17.33,16.57,16.73,121500.0,121500.0,0.1,0.594,16.87667,"September 17, 03",0.00594
2003-09-18,16.69,16.87,16.63,16.67,31800.0,31800.0,0.02,0.12,16.72333,"September 18, 03",0.0012
2003-09-19,16.73,16.8,16.4,16.66,79300.0,79300.0,0.07,0.418,16.62,"September 19, 03",0.00418
2003-09-22,16.7,16.7,16.53,16.66,49200.0,49200.0,0.04,0.24,16.63,"September 22, 03",0.0024
