date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2005-05-03,18.66,20.65,18.51,20.05,3273400.0,3273400.0,-1.39,-7.449,19.73667,"May 03, 05",-0.07449
2005-05-04,20.97,22.0,20.25,21.6,1263600.0,1263600.0,-0.63,-3.004,21.28333,"May 04, 05",-0.03004
2005-05-05,23.45,23.45,22.09,22.64,865100.0,865100.0,0.81,3.454,22.72667,"May 05, 05",0.03454
2005-05-06,23.06,23.25,21.55,21.6,460300.0,460300.0,1.46,6.331,22.13333,"May 06, 05",0.06331
2005-05-09,21.7,21.7,20.5,20.77,220900.0,220900.0,0.93,4.286,20.99,"May 09, 05",0.04286
2005-05-10,20.5,21.81,20.2,21.2,244200.0,244200.0,-0.7,-3.415,21.07,"May 10, 05",-0.03415
2005-05-11,21.38,22.35,21.06,21.85,169200.0,169200.0,-0.47,-2.198,21.75333,"May 11, 05",-0.02198
2005-05-12,22.0,22.4,21.75,21.9,124900.0,124900.0,0.1,0.455,22.01667,"May 12, 05",0.00455
2005-05-13,22.35,22.35,21.65,21.96,96000.0,96000.0,0.39,1.745,21.98667,"May 13, 05",0.01745
2005-05-16,22.24,22.24,21.63,21.98,73800.0,73800.0,0.26,1.169,21.95,"May 16, 05",0.01169
2005-05-17,21.87,22.0,21.01,21.3,227000.0,227000.0,0.57,2.606,21.43667,"May 17, 05",0.02606
2005-05-18,20.91,22.3,20.73,22.07,272000.0,272000.0,-1.16,-5.548,21.7,"May 18, 05",-0.05548
2005-05-19,21.07,22.94,21.07,22.65,230500.0,230500.0,-1.58,-7.499,22.22,"May 19, 05",-0.07499
2005-05-20,22.54,23.44,22.45,23.1,379100.0,379100.0,-0.56,-2.484,22.99667,"May 20, 05",-0.02484
2005-05-23,23.45,23.45,22.8,23.33,122300.0,122300.0,0.12,0.512,23.19333,"May 23, 05",0.00512
2005-05-24,23.65,23.8,22.5,23.06,168800.0,168800.0,0.59,2.495,23.12,"May 24, 05",0.02495
2005-05-25,21.76,22.5,21.2,22.16,240600.0,240600.0,-0.4,-1.838,21.95333,"May 25, 05",-0.01838
2005-05-26,22.0,22.93,21.4,22.51,102300.0,102300.0,-0.51,-2.318,22.28,"May 26, 05",-0.02318
2005-05-27,22.84,22.84,21.77,22.03,25500.0,25500.0,0.81,3.546,22.21333,"May 27, 05",0.03546
2005-05-31,21.68,22.08,21.0,21.95,108500.0,108500.0,-0.27,-1.245,21.67667,"May 31, 05",-0.01245
2005-06-01,21.73,23.19,21.73,23.19,124000.0,124000.0,-1.46,-6.719,22.70333,"June 01, 05",-0.06719
2005-06-02,22.67,24.97,22.65,24.49,191000.0,191000.0,-1.82,-8.028,24.03667,"June 02, 05",-0.08028
2005-06-03,24.61,25.95,23.97,25.79,166200.0,166200.0,-1.18,-4.795,25.23667,"June 03, 05",-0.04795
2005-06-06,25.72,26.49,25.38,26.24,123300.0,123300.0,-0.52,-2.022,26.03667,"June 06, 05",-0.02022
2005-06-07,26.37,28.24,26.0,27.88,276900.0,276900.0,-1.51,-5.726,27.37333,"June 07, 05",-0.05726
2005-06-08,28.04,28.14,27.31,27.75,426900.0,426900.0,0.29,1.034,27.73333,"June 08, 05",0.01034
2005-06-09,27.4,27.79,26.67,27.38,112000.0,112000.0,0.02,0.073,27.28,"June 09, 05",0.00073
