date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
1998-01-02,29.25,29.56,28.94,29.38,2935800.0,2935800.0,-0.13,-0.444,29.29333,"January 02, 98",-0.00444
1998-01-05,29.63,30.69,29.63,30.44,3844000.0,3844000.0,-0.81,-2.734,30.25333,"January 05, 98",-0.02734
1998-01-06,29.69,30.0,29.28,30.0,3759800.0,3759800.0,-0.31,-1.044,29.76,"January 06, 98",-0.01044
1998-01-07,30.0,30.13,29.16,29.25,5091800.0,5091800.0,0.75,2.5,29.51333,"January 07, 98",0.025
1998-01-08,29.22,29.59,29.03,29.47,4188200.0,4188200.0,-0.25,-0.856,29.36333,"January 08, 98",-0.00856
1998-01-09,29.41,29.41,27.75,28.0,3862400.0,3862400.0,1.41,4.794,28.38667,"January 09, 98",0.04794
1998-01-12,27.0,27.75,26.94,27.5,4374000.0,4374000.0,-0.5,-1.852,27.39667,"January 12, 98",-0.01852
1998-01-13,27.56,28.0,27.5,27.97,2313600.0,2313600.0,-0.41,-1.488,27.82333,"January 13, 98",-0.01488
1998-01-14,27.97,28.28,27.78,28.28,2487400.0,2487400.0,-0.31,-1.108,28.11333,"January 14, 98",-0.01108
1998-01-15,28.09,28.13,27.31,27.72,1627800.0,1627800.0,0.37,1.317,27.72,"January 15, 98",0.01317
1998-01-16,28.0,28.34,27.94,28.09,1780200.0,1780200.0,-0.09,-0.321,28.12333,"January 16, 98",-0.00321
1998-01-20,28.22,29.16,27.78,29.09,3040200.0,3040200.0,-0.87,-3.083,28.67667,"January 20, 98",-0.03083
1998-01-21,29.22,29.25,28.75,29.09,2538800.0,2538800.0,0.13,0.445,29.03,"January 21, 98",0.00445
1998-01-22,28.69,28.84,27.03,27.47,4146200.0,4146200.0,1.22,4.252,27.78,"January 22, 98",0.04252
1998-01-23,27.59,27.75,26.53,27.03,3921200.0,3921200.0,0.56,2.03,27.10333,"January 23, 98",0.0203
1998-01-26,27.75,27.75,27.0,27.09,2291400.0,2291400.0,0.66,2.378,27.28,"January 26, 98",0.02378
1998-01-27,26.97,27.59,26.5,27.59,4089600.0,4089600.0,-0.62,-2.299,27.22667,"January 27, 98",-0.02299
1998-01-28,27.63,28.94,27.53,28.72,2544600.0,2544600.0,-1.09,-3.945,28.39667,"January 28, 98",-0.03945
1998-01-29,28.72,29.81,28.53,29.13,2844600.0,2844600.0,-0.41,-1.428,29.15667,"January 29, 98",-0.01428
1998-01-30,29.19,29.81,28.59,29.19,2381600.0,2381600.0,0.0,0.0,29.19667,"January 30, 98",0.0
1998-02-02,29.72,30.84,29.69,30.81,4262600.0,4262600.0,-1.09,-3.668,30.44667,"February 02, 98",-0.03668
1998-02-03,30.81,30.81,30.34,30.66,1718000.0,1718000.0,0.15,0.487,30.60333,"February 03, 98",0.00487
1998-02-04,30.47,30.72,30.31,30.63,2604200.0,2604200.0,-0.16,-0.525,30.55333,"February 04, 98",-0.00525
1998-02-05,30.72,31.13,30.09,30.41,2712400.0,2712400.0,0.31,1.009,30.54333,"February 05, 98",0.01009
1998-02-06,30.34,30.72,30.19,30.66,2290000.0,2290000.0,-0.32,-1.055,30.52333,"February 06, 98",-0.01055
1998-02-09,30.69,30.72,30.41,30.59,996400.0,996400.0,0.1,0.326,30.57333,"February 09, 98",0.00326
1998-02-10,30.59,31.09,30.53,31.0,3571400.0,3571400.0,-0.41,-1.34,30.87333,"February 10, 98",-0.0134
1998-02-11,31.0,31.22,30.22,30.72,1848400.0,1848400.0,0.28,0.903,30.72,"February 11, 98",0.00903
