date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
1998-01-02,16.2,16.44,16.19,16.39,39748000.0,39748000.0,-0.19,-1.173,16.34,"January 02, 98",-0.01173
1998-01-05,16.41,16.7,15.98,16.3,80377600.0,80377600.0,0.11,0.67,16.32667,"January 05, 98",0.0067
1998-01-06,16.22,16.63,16.16,16.39,67834400.0,67834400.0,-0.17,-1.048,16.39333,"January 06, 98",-0.01048
1998-01-07,16.23,16.4,15.94,16.2,61492800.0,61492800.0,0.03,0.185,16.18,"January 07, 98",0.00185
1998-01-08,16.08,16.52,15.94,16.31,77619200.0,77619200.0,-0.23,-1.43,16.25667,"January 08, 98",-0.0143
1998-01-09,16.26,16.44,15.73,15.88,87534400.0,87534400.0,0.38,2.337,16.01667,"January 09, 98",0.02337
1998-01-12,15.58,16.25,15.55,16.19,78393600.0,78393600.0,-0.61,-3.915,15.99667,"January 12, 98",-0.03915
1998-01-13,16.19,16.53,16.02,16.52,66945600.0,66945600.0,-0.33,-2.038,16.35667,"January 13, 98",-0.02038
1998-01-14,16.52,16.56,16.16,16.39,54774400.0,54774400.0,0.13,0.787,16.37,"January 14, 98",0.00787
1998-01-15,16.3,16.63,16.23,16.54,50622400.0,50622400.0,-0.24,-1.472,16.46667,"January 15, 98",-0.01472
1998-01-16,16.55,16.92,16.54,16.91,72943200.0,72943200.0,-0.36,-2.175,16.79,"January 16, 98",-0.02175
1998-01-20,16.77,17.25,16.75,17.23,64956000.0,64956000.0,-0.46,-2.743,17.07667,"January 20, 98",-0.02743
1998-01-21,17.16,17.3,16.95,17.13,85567200.0,85567200.0,0.03,0.175,17.12667,"January 21, 98",0.00175
1998-01-22,16.95,17.48,16.91,17.33,159139200.0,159139200.0,-0.38,-2.242,17.24,"January 22, 98",-0.02242
1998-01-23,17.34,17.43,17.09,17.28,63312000.0,63312000.0,0.06,0.346,17.26667,"January 23, 98",0.00346
1998-01-26,17.48,17.73,17.31,17.72,74277600.0,74277600.0,-0.24,-1.373,17.58667,"January 26, 98",-0.01373
