date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2011-01-27,24.9,25.85,24.9,25.4,5809300.0,5809300.0,-0.5,-2.008,25.38333,"January 27, 11",-0.02008
2011-01-28,25.4,25.4,25.0,25.0,2611900.0,2611900.0,0.4,1.575,25.13333,"January 28, 11",0.01575
2011-01-31,24.98,26.5,24.75,26.07,2505300.0,2505300.0,-1.09,-4.363,25.77333,"January 31, 11",-0.04363
2011-02-01,26.45,26.63,25.5,25.75,2155300.0,2155300.0,0.7,2.647,25.96,"February 01, 11",0.02647
2011-02-02,25.98,26.33,25.74,25.95,1173100.0,1173100.0,0.03,0.115,26.00667,"February 02, 11",0.00115
2011-02-03,25.76,26.08,25.75,25.95,668300.0,668300.0,-0.19,-0.738,25.92667,"February 03, 11",-0.00738
2011-02-04,26.05,27.1,25.75,26.08,720200.0,720200.0,-0.03,-0.115,26.31,"February 04, 11",-0.00115
2011-02-07,26.05,26.2,25.64,25.79,1204800.0,1204800.0,0.26,0.998,25.87667,"February 07, 11",0.00998
2011-02-08,25.7,26.06,25.65,26.03,3632000.0,3632000.0,-0.33,-1.284,25.91333,"February 08, 11",-0.01284
2011-02-09,25.97,26.2,25.53,25.58,873200.0,873200.0,0.39,1.502,25.77,"February 09, 11",0.01502
2011-02-10,25.5,25.64,25.0,25.4,1149600.0,1149600.0,0.1,0.392,25.34667,"February 10, 11",0.00392
2011-02-11,26.02,26.02,25.11,25.22,2107900.0,2107900.0,0.8,3.075,25.45,"February 11, 11",0.03075
2011-02-14,25.47,25.47,25.11,25.37,1122500.0,1122500.0,0.1,0.393,25.31667,"February 14, 11",0.00393
2011-02-15,25.32,25.42,25.06,25.38,887500.0,887500.0,-0.06,-0.237,25.28667,"February 15, 11",-0.00237
2011-02-16,25.31,26.0,25.31,26.0,853400.0,853400.0,-0.69,-2.726,25.77,"February 16, 11",-0.02726
2011-02-17,25.88,27.21,25.88,27.01,1733100.0,1733100.0,-1.13,-4.366,26.7,"February 17, 11",-0.04366
2011-02-18,27.08,27.84,26.9,27.69,1360800.0,1360800.0,-0.61,-2.253,27.47667,"February 18, 11",-0.02253
2011-02-22,27.15,27.49,26.21,26.42,1109400.0,1109400.0,0.73,2.689,26.70667,"February 22, 11",0.02689
2011-02-23,26.15,26.72,25.97,26.66,1125400.0,1125400.0,-0.51,-1.95,26.45,"February 23, 11",-0.0195
2011-02-24,26.46,26.52,25.94,25.95,496900.0,496900.0,0.51,1.927,26.13667,"February 24, 11",0.01927
