date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
1998-01-02,52.18,52.4,51.5,51.92,270000.0,270000.0,0.26,0.498,51.94,"January 02, 98",0.00498
1998-01-05,51.81,52.57,51.81,52.4,182800.0,182800.0,-0.59,-1.139,52.26,"January 05, 98",-0.01139
1998-01-06,52.4,52.63,52.18,52.49,554700.0,554700.0,-0.09,-0.172,52.43333,"January 06, 98",-0.00172
1998-01-07,52.4,55.34,52.23,55.34,670000.0,670000.0,-2.94,-5.611,54.30333,"January 07, 98",-0.05611
1998-01-08,55.23,55.23,53.87,54.21,975700.0,975700.0,1.02,1.847,54.43667,"January 08, 98",0.01847
1998-01-09,54.15,54.21,52.74,53.02,448200.0,448200.0,1.13,2.087,53.32333,"January 09, 98",0.02087
1998-01-12,52.4,53.33,52.4,53.02,825200.0,825200.0,-0.62,-1.183,52.91667,"January 12, 98",-0.01183
1998-01-13,53.02,53.19,52.74,53.14,1293400.0,1293400.0,-0.12,-0.226,53.02333,"January 13, 98",-0.00226
1998-01-14,53.25,53.28,52.91,53.11,269300.0,269300.0,0.14,0.263,53.1,"January 14, 98",0.00263
1998-01-15,53.14,53.28,52.85,52.85,564200.0,564200.0,0.29,0.546,52.99333,"January 15, 98",0.00546
1998-01-16,53.08,53.17,52.83,52.97,639500.0,639500.0,0.11,0.207,52.99,"January 16, 98",0.00207
1998-01-20,53.08,53.25,52.85,53.25,399100.0,399100.0,-0.17,-0.32,53.11667,"January 20, 98",-0.0032
1998-01-21,53.25,54.18,53.19,54.18,778700.0,778700.0,-0.93,-1.746,53.85,"January 21, 98",-0.01746
1998-01-22,54.07,55.79,53.87,55.11,953600.0,953600.0,-1.04,-1.923,54.92333,"January 22, 98",-0.01923
1998-01-23,55.11,55.48,54.89,55.11,932500.0,932500.0,0.0,0.0,55.16,"January 23, 98",0.0
1998-01-26,55.11,55.93,55.11,55.68,929400.0,929400.0,-0.57,-1.034,55.57333,"January 26, 98",-0.01034
1998-01-27,55.68,56.55,55.45,55.93,785300.0,785300.0,-0.25,-0.449,55.97667,"January 27, 98",-0.00449
1998-01-28,56.02,56.44,55.93,56.27,677500.0,677500.0,-0.25,-0.446,56.21333,"January 28, 98",-0.00446
1998-01-29,55.82,56.67,55.82,55.93,363600.0,363600.0,-0.11,-0.197,56.14,"January 29, 98",-0.00197
1998-01-30,55.93,55.93,55.23,55.4,285500.0,285500.0,0.53,0.948,55.52,"January 30, 98",0.00948
1998-02-02,56.24,56.98,56.16,56.98,633500.0,633500.0,-0.74,-1.316,56.70667,"February 02, 98",-0.01316
1998-02-03,56.86,57.34,56.72,57.23,307200.0,307200.0,-0.37,-0.651,57.09667,"February 03, 98",-0.00651
1998-02-04,57.26,58.87,57.15,58.61,433800.0,433800.0,-1.35,-2.358,58.21,"February 04, 98",-0.02358
1998-02-05,58.61,58.7,57.68,58.13,903800.0,903800.0,0.48,0.819,58.17,"February 05, 98",0.00819
1998-02-06,58.13,59.04,58.13,58.7,342200.0,342200.0,-0.57,-0.981,58.62333,"February 06, 98",-0.00981
1998-02-09,58.67,58.87,58.16,58.36,1112500.0,1112500.0,0.31,0.528,58.46333,"February 09, 98",0.00528
1998-02-10,58.28,59.52,58.28,59.38,408800.0,408800.0,-1.1,-1.887,59.06,"February 10, 98",-0.01887
1998-02-11,59.32,59.38,58.5,58.76,1341000.0,1341000.0,0.56,0.944,58.88,"February 11, 98",0.00944
1998-02-12,58.73,59.38,58.16,59.12,274200.0,274200.0,-0.39,-0.664,58.88667,"February 12, 98",-0.00664
1998-02-13,59.01,59.21,58.53,59.21,958700.0,958700.0,-0.2,-0.339,58.98333,"February 13, 98",-0.00339
1998-02-17,58.67,59.29,58.61,58.84,414600.0,414600.0,-0.17,-0.29,58.91333,"February 17, 98",-0.0029
1998-02-18,58.73,59.12,58.42,58.81,379800.0,379800.0,-0.08,-0.136,58.78333,"February 18, 98",-0.00136
1998-02-19,58.84,59.01,58.53,58.95,177500.0,177500.0,-0.11,-0.187,58.83,"February 19, 98",-0.00187
1998-02-20,59.35,59.83,59.18,59.8,382700.0,382700.0,-0.45,-0.758,59.60333,"February 20, 98",-0.00758
1998-02-23,59.74,60.08,59.38,59.63,217800.0,217800.0,0.11,0.184,59.69667,"February 23, 98",0.00184
1998-02-24,59.63,59.63,58.53,58.93,204000.0,204000.0,0.7,1.174,59.03,"February 24, 98",0.01174
1998-02-25,59.04,61.13,59.04,60.59,560700.0,560700.0,-1.55,-2.625,60.25333,"February 25, 98",-0.02625
1998-02-26,60.7,62.57,60.7,62.45,1092800.0,1092800.0,-1.75,-2.883,61.90667,"February 26, 98",-0.02883
1998-02-27,62.45,62.79,61.75,62.79,420300.0,420300.0,-0.34,-0.544,62.44333,"February 27, 98",-0.00544
1998-03-02,62.62,62.65,61.83,61.92,522400.0,522400.0,0.7,1.118,62.13333,"March 02, 98",0.01118
1998-03-03,61.49,61.49,60.59,61.24,379400.0,379400.0,0.25,0.407,61.10667,"March 03, 98",0.00407
1998-03-04,61.18,61.18,60.14,60.93,207800.0,207800.0,0.25,0.409,60.75,"March 04, 98",0.00409
1998-03-05,60.93,61.38,60.25,60.82,367900.0,367900.0,0.11,0.181,60.81667,"March 05, 98",0.00181
1998-03-06,61.1,62.17,60.99,62.17,211600.0,211600.0,-1.07,-1.751,61.77667,"March 06, 98",-0.01751
1998-03-09,53.98,56.02,50.37,53.08,6051300.0,6051300.0,0.9,1.667,53.15667,"March 09, 98",0.01667
1998-03-10,52.85,53.02,50.6,51.5,4823600.0,4823600.0,1.35,2.554,51.70667,"March 10, 98",0.02554
1998-03-11,51.22,52.06,49.92,52.06,4443100.0,4443100.0,-0.84,-1.64,51.34667,"March 11, 98",-0.0164
1998-03-12,52.4,52.4,50.93,51.36,1709300.0,1709300.0,1.04,1.985,51.56333,"March 12, 98",0.01985
1998-03-13,50.37,51.73,50.37,51.44,2544500.0,2544500.0,-1.07,-2.124,51.18,"March 13, 98",-0.02124
1998-03-16,51.61,51.61,50.74,50.99,1598000.0,1598000.0,0.62,1.201,51.11333,"March 16, 98",0.01201
1998-03-17,51.05,51.89,49.49,49.69,2723600.0,2723600.0,1.36,2.664,50.35667,"March 17, 98",0.02664
1998-03-18,49.01,49.27,47.38,48.56,3520900.0,3520900.0,0.45,0.918,48.40333,"March 18, 98",0.00918
1998-03-19,48.31,49.69,47.89,49.18,2739500.0,2739500.0,-0.87,-1.801,48.92,"March 19, 98",-0.01801
1998-03-20,49.24,49.24,48.0,48.34,2956700.0,2956700.0,0.9,1.828,48.52667,"March 20, 98",0.01828
1998-03-23,47.89,48.76,47.04,48.56,3352900.0,3352900.0,-0.67,-1.399,48.12,"March 23, 98",-0.01399
1998-03-24,48.45,48.45,47.66,48.31,1135800.0,1135800.0,0.14,0.289,48.14,"March 24, 98",0.00289
1998-03-25,47.86,48.2,47.55,47.66,1438100.0,1438100.0,0.2,0.418,47.80333,"March 25, 98",0.00418
1998-03-26,47.6,47.86,47.32,47.43,740800.0,740800.0,0.17,0.357,47.53667,"March 26, 98",0.00357
1998-03-27,47.66,47.66,46.64,46.76,871000.0,871000.0,0.9,1.888,47.02,"March 27, 98",0.01888
1998-03-30,46.76,46.93,46.42,46.81,434700.0,434700.0,-0.05,-0.107,46.72,"March 30, 98",-0.00107
1998-03-31,46.87,48.79,46.87,48.53,1424900.0,1424900.0,-1.66,-3.542,48.06333,"March 31, 98",-0.03542
1998-04-01,48.42,49.44,48.0,49.41,1225400.0,1225400.0,-0.99,-2.045,48.95,"April 01, 98",-0.02045
1998-04-02,49.3,49.3,47.77,48.31,1611000.0,1611000.0,0.99,2.008,48.46,"April 02, 98",0.02008
1998-04-03,48.34,49.24,48.28,48.79,2057500.0,2057500.0,-0.45,-0.931,48.77,"April 03, 98",-0.00931
1998-04-06,48.79,48.79,47.66,47.89,284200.0,284200.0,0.9,1.845,48.11333,"April 06, 98",0.01845
1998-04-07,47.89,49.64,47.72,49.16,2345100.0,2345100.0,-1.27,-2.652,48.84,"April 07, 98",-0.02652
1998-04-08,49.01,49.01,47.89,48.05,1200600.0,1200600.0,0.96,1.959,48.31667,"April 08, 98",0.01959
1998-04-09,48.22,48.45,47.94,48.03,908600.0,908600.0,0.19,0.394,48.14,"April 09, 98",0.00394
1998-04-13,48.17,48.9,48.17,48.68,456600.0,456600.0,-0.51,-1.059,48.58333,"April 13, 98",-0.01059
1998-04-14,48.68,48.93,48.48,48.85,207800.0,207800.0,-0.17,-0.349,48.75333,"April 14, 98",-0.00349
1998-04-15,48.82,49.01,48.0,48.25,1043000.0,1043000.0,0.57,1.168,48.42,"April 15, 98",0.01168
1998-04-16,48.2,48.2,47.66,47.83,511100.0,511100.0,0.37,0.768,47.89667,"April 16, 98",0.00768
1998-04-17,47.89,47.89,47.46,47.66,444700.0,444700.0,0.23,0.48,47.67,"April 17, 98",0.0048
1998-04-20,47.55,47.72,47.32,47.35,420800.0,420800.0,0.2,0.421,47.46333,"April 20, 98",0.00421
