date,1. open,2. high,3. low,4. close,5. volume
2001-01-02,19.5,20.0,19.0,19.5,11900.0
2001-01-03,19.5,19.5,19.5,19.5,0.0
2001-01-04,19.5,19.5,19.5,19.5,0.0
2001-01-05,19.5,19.5,19.5,19.5,0.0
2001-01-08,19.5,19.5,19.5,19.5,0.0
2001-01-09,19.5,19.5,19.5,19.5,0.0
2001-01-10,19.5,19.5,19.5,19.5,0.0
2001-01-11,19.5,19.5,19.5,19.5,0.0
2001-01-12,19.5,19.5,19.5,19.5,0.0
2001-01-16,19.5,19.5,19.5,19.5,0.0
2001-01-17,19.5,19.5,19.5,19.5,0.0
2001-01-18,19.5,19.5,19.5,19.5,0.0
2001-01-19,19.5,19.5,19.5,19.5,0.0
2001-01-22,18.75,19.25,18.0,18.75,40400.0
2001-01-23,19.75,20.38,19.25,19.75,21000.0
2001-01-24,19.75,19.75,19.75,19.75,0.0
2001-01-25,19.75,19.75,19.75,19.75,0.0
2001-01-26,19.75,19.75,19.75,19.75,0.0
2001-01-29,19.75,19.75,19.75,19.75,0.0
2001-01-30,19.75,19.75,19.75,19.75,0.0
2001-01-31,19.75,19.75,19.75,19.75,0.0
2001-02-01,19.75,19.75,19.75,19.75,0.0
2001-02-02,19.75,19.75,19.75,19.75,0.0
2001-02-05,19.75,19.75,19.75,19.75,0.0
2001-02-06,19.75,19.75,19.75,19.75,0.0
2001-02-07,19.75,19.75,19.75,19.75,0.0
2001-02-08,19.75,19.75,19.75,19.75,0.0
2001-02-09,19.75,19.75,19.75,19.75,0.0
2001-02-12,19.75,19.75,19.75,19.75,0.0
2001-02-13,19.75,19.75,19.75,19.75,0.0
2001-02-14,19.75,19.75,19.75,19.75,0.0
2001-02-15,19.75,19.75,19.75,19.75,0.0
2001-02-16,19.75,19.75,19.75,19.75,0.0
2001-02-20,19.75,19.75,19.75,19.75,0.0
2001-02-21,19.75,19.75,19.75,19.75,0.0
2001-02-22,19.75,19.75,19.75,19.75,0.0
2001-02-23,19.75,19.75,19.75,19.75,0.0
2001-02-26,19.75,19.75,19.75,19.75,0.0
2001-02-27,19.75,19.75,19.75,19.75,0.0
2001-02-28,19.75,19.75,19.75,19.75,0.0
2001-03-01,19.75,19.75,19.75,19.75,0.0
2001-03-02,19.75,19.75,19.75,19.75,0.0
2001-03-05,19.75,19.75,19.75,19.75,0.0
2001-03-06,19.75,19.75,19.75,19.75,0.0
2001-03-07,19.75,19.75,19.75,19.75,0.0
2001-03-08,19.75,19.75,19.75,19.75,0.0
2001-03-09,19.75,19.75,19.75,19.75,0.0
2001-03-12,19.75,19.75,19.75,19.75,0.0
2001-03-13,19.75,19.75,19.75,19.75,0.0
2001-03-14,19.75,19.75,19.75,19.75,0.0
2001-03-15,19.75,19.75,19.75,19.75,0.0
2001-03-16,19.75,19.75,19.75,19.75,0.0
2001-03-19,19.75,19.75,19.75,19.75,0.0
2001-03-20,19.75,19.75,19.75,19.75,0.0
2001-03-21,19.75,19.75,19.75,19.75,0.0
2001-03-22,19.75,19.75,19.75,19.75,0.0
2001-03-23,19.75,19.75,19.75,19.75,0.0
2001-03-26,19.75,19.75,19.75,19.75,0.0
2001-03-27,19.75,19.75,19.75,19.75,0.0
2001-03-28,19.75,19.75,19.75,19.75,0.0
2001-03-29,19.75,19.75,19.75,19.75,0.0
2001-03-30,19.75,19.75,19.75,19.75,0.0
2001-04-02,19.75,19.75,19.75,19.75,0.0
2001-04-03,19.75,19.75,19.75,19.75,0.0
2001-04-04,19.75,19.75,19.75,19.75,0.0
2001-04-05,19.75,19.75,19.75,19.75,0.0
2001-04-06,19.75,19.75,19.75,19.75,0.0
2001-04-09,19.75,19.75,19.75,19.75,0.0
2001-04-10,19.75,19.75,19.75,19.75,0.0
2001-04-11,19.75,19.75,19.75,19.75,0.0
2001-04-12,19.75,19.75,19.75,19.75,0.0
2001-04-16,19.75,19.75,19.75,19.75,0.0
2001-04-17,19.75,19.75,19.75,19.75,0.0
2001-04-18,19.75,19.75,19.75,19.75,0.0
2001-04-19,19.75,19.75,19.75,19.75,0.0
2001-04-20,19.75,19.75,19.75,19.75,0.0
2001-04-23,19.75,19.75,19.75,19.75,0.0
2001-04-24,19.75,19.75,19.75,19.75,0.0
2001-04-25,19.75,19.75,19.75,19.75,0.0
2001-04-26,19.75,19.75,19.75,19.75,0.0
2001-04-27,19.75,19.75,19.75,19.75,0.0
2001-04-30,19.75,19.75,19.75,19.75,0.0
2001-05-01,19.75,19.75,19.75,19.75,0.0
2001-05-02,19.75,19.75,19.75,19.75,0.0
2001-05-03,19.75,19.75,19.75,19.75,0.0
2001-05-04,19.75,19.75,19.75,19.75,0.0
2001-05-07,19.75,19.75,19.75,19.75,0.0
2001-05-08,19.75,19.75,19.75,19.75,0.0
2001-05-09,19.75,19.75,19.75,19.75,0.0
2001-05-10,19.75,19.75,19.75,19.75,0.0
2001-05-11,19.75,19.75,19.75,19.75,0.0
2001-05-14,19.75,19.75,19.75,19.75,0.0
2001-05-15,19.75,19.75,19.75,19.75,0.0
2001-05-16,19.75,19.75,19.75,19.75,0.0
2001-05-17,19.75,19.75,19.75,19.75,0.0
2001-05-18,19.75,19.75,19.75,19.75,0.0
2001-05-21,19.75,19.75,19.75,19.75,0.0
2001-05-22,19.75,19.75,19.75,19.75,0.0
2001-05-23,19.75,19.75,19.75,19.75,0.0
2001-05-24,19.75,19.75,19.75,19.75,0.0
2001-05-25,19.75,19.75,19.75,19.75,0.0
2001-05-29,19.75,19.75,19.75,19.75,0.0
2001-05-30,19.75,19.75,19.75,19.75,0.0
2001-05-31,19.75,19.75,19.75,19.75,0.0
2001-06-01,19.75,19.75,19.75,19.75,0.0
2001-06-04,19.75,19.75,19.75,19.75,0.0
2001-06-05,19.75,19.75,19.75,19.75,0.0
2001-06-06,19.75,19.75,19.75,19.75,0.0
2001-06-07,19.75,19.75,19.75,19.75,0.0
2001-06-08,19.75,19.75,19.75,19.75,0.0
2001-06-11,19.75,19.75,19.75,19.75,0.0
2001-06-12,19.75,19.75,19.75,19.75,0.0
2001-06-13,19.75,19.75,19.75,19.75,0.0
2001-06-14,19.75,19.75,19.75,19.75,0.0
