date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2010-02-10,14.75,15.74,14.37,15.6,4343100.0,4343100.0,-0.85,-5.763,15.23667,"February 10, 10",-0.05763
2010-02-11,15.57,15.92,15.28,15.75,889900.0,889900.0,-0.18,-1.156,15.65,"February 11, 10",-0.01156
2010-02-12,15.83,21.01,15.58,16.0,805500.0,805500.0,-0.17,-1.074,17.53,"February 12, 10",-0.01074
2010-02-16,16.75,16.98,15.77,16.4,392500.0,392500.0,0.35,2.09,16.38333,"February 16, 10",0.0209
2010-02-17,16.51,16.54,15.98,16.54,644100.0,644100.0,-0.03,-0.182,16.35333,"February 17, 10",-0.00182
2010-02-18,16.3,17.25,16.3,17.25,819200.0,819200.0,-0.95,-5.828,16.93333,"February 18, 10",-0.05828
2010-02-19,17.25,18.0,16.8,17.87,2028600.0,2028600.0,-0.62,-3.594,17.55667,"February 19, 10",-0.03594
2010-02-22,17.83,17.99,16.82,17.0,1016600.0,1016600.0,0.83,4.655,17.27,"February 22, 10",0.04655
2010-02-23,16.78,17.33,16.75,16.97,258100.0,258100.0,-0.19,-1.132,17.01667,"February 23, 10",-0.01132
2010-02-24,16.9,16.97,15.97,16.88,614400.0,614400.0,0.02,0.118,16.60667,"February 24, 10",0.00118
2010-02-25,16.7,17.28,16.4,16.94,282900.0,282900.0,-0.24,-1.437,16.87333,"February 25, 10",-0.01437
2010-02-26,17.0,17.0,16.6,16.75,260100.0,260100.0,0.25,1.471,16.78333,"February 26, 10",0.01471
2010-03-01,16.8,17.19,16.72,17.0,225500.0,225500.0,-0.2,-1.19,16.97,"March 01, 10",-0.0119
2010-03-02,16.96,18.2,16.6,17.82,465800.0,465800.0,-0.86,-5.071,17.54,"March 02, 10",-0.05071
2010-03-03,17.51,17.65,17.02,17.05,305800.0,305800.0,0.46,2.627,17.24,"March 03, 10",0.02627
2010-03-04,17.03,17.25,16.9,17.2,217500.0,217500.0,-0.17,-0.998,17.11667,"March 04, 10",-0.00998
2010-03-05,17.19,17.5,17.11,17.4,278200.0,278200.0,-0.21,-1.222,17.33667,"March 05, 10",-0.01222
2010-03-08,17.25,17.5,17.2,17.34,214700.0,214700.0,-0.09,-0.522,17.34667,"March 08, 10",-0.00522
2010-03-09,17.1,17.65,17.1,17.6,455900.0,455900.0,-0.5,-2.924,17.45,"March 09, 10",-0.02924
2010-03-10,17.32,18.04,17.32,17.68,222100.0,222100.0,-0.36,-2.079,17.68,"March 10, 10",-0.02079
2010-03-11,17.4,17.76,17.28,17.55,377100.0,377100.0,-0.15,-0.862,17.53,"March 11, 10",-0.00862
2010-03-12,17.35,17.92,17.35,17.65,314500.0,314500.0,-0.3,-1.729,17.64,"March 12, 10",-0.01729
2010-03-15,17.7,17.95,17.55,17.85,349100.0,349100.0,-0.15,-0.847,17.78333,"March 15, 10",-0.00847
2010-03-16,17.84,18.82,17.82,18.59,758000.0,758000.0,-0.75,-4.204,18.41,"March 16, 10",-0.04204
2010-03-17,18.51,19.05,18.5,19.05,340400.0,340400.0,-0.54,-2.917,18.86667,"March 17, 10",-0.02917
2010-03-18,18.97,19.25,18.92,19.18,306500.0,306500.0,-0.21,-1.107,19.11667,"March 18, 10",-0.01107
2010-03-19,19.39,19.45,18.57,19.39,1700000.0,1700000.0,0.0,0.0,19.13667,"March 19, 10",0.0
2010-03-22,19.47,19.67,19.0,19.56,251600.0,251600.0,-0.09,-0.462,19.41,"March 22, 10",-0.00462
2010-03-23,19.4,19.55,19.0,19.35,204700.0,204700.0,0.05,0.258,19.3,"March 23, 10",0.00258
2010-03-24,19.25,19.68,19.25,19.34,405800.0,405800.0,-0.09,-0.468,19.42333,"March 24, 10",-0.00468
2010-03-25,19.3,19.58,19.25,19.34,450200.0,450200.0,-0.04,-0.207,19.39,"March 25, 10",-0.00207
2010-03-26,19.35,19.88,19.28,19.86,429600.0,429600.0,-0.51,-2.636,19.67333,"March 26, 10",-0.02636
2010-03-29,19.74,20.48,19.68,20.2,733000.0,733000.0,-0.46,-2.33,20.12,"March 29, 10",-0.0233
2010-03-30,20.08,20.25,19.31,19.52,311900.0,311900.0,0.56,2.789,19.69333,"March 30, 10",0.02789
2010-03-31,19.42,20.0,19.23,19.85,2044300.0,2044300.0,-0.43,-2.214,19.69333,"March 31, 10",-0.02214
2010-04-01,19.75,19.97,19.48,19.64,290400.0,290400.0,0.11,0.557,19.69667,"April 01, 10",0.00557
2010-04-05,19.77,19.9,19.6,19.75,685300.0,685300.0,0.02,0.101,19.75,"April 05, 10",0.00101
2010-04-06,19.65,20.0,19.65,19.8,668900.0,668900.0,-0.15,-0.763,19.81667,"April 06, 10",-0.00763
2010-04-07,19.87,20.1,19.38,19.59,218000.0,218000.0,0.28,1.409,19.69,"April 07, 10",0.01409
2010-04-08,19.5,20.1,19.47,19.78,157900.0,157900.0,-0.28,-1.436,19.78333,"April 08, 10",-0.01436
2010-04-09,19.89,20.2,19.6,20.14,154700.0,154700.0,-0.25,-1.257,19.98,"April 09, 10",-0.01257
2010-04-12,20.0,20.23,19.73,20.14,126000.0,126000.0,-0.14,-0.7,20.03333,"April 12, 10",-0.007
2010-04-13,20.01,20.28,19.75,20.02,275200.0,275200.0,-0.01,-0.05,20.01667,"April 13, 10",-0.0005
2010-04-14,20.01,20.12,19.77,20.1,282900.0,282900.0,-0.09,-0.45,19.99667,"April 14, 10",-0.0045
2010-04-15,19.94,20.1,19.18,19.81,285100.0,285100.0,0.13,0.652,19.69667,"April 15, 10",0.00652
2010-04-16,19.67,19.97,19.43,19.49,146400.0,146400.0,0.18,0.915,19.63,"April 16, 10",0.00915
2010-04-19,19.36,19.98,19.36,19.47,163800.0,163800.0,-0.11,-0.568,19.60333,"April 19, 10",-0.00568
2010-04-20,19.72,19.82,19.22,19.47,167400.0,167400.0,0.25,1.268,19.50333,"April 20, 10",0.01268
2010-04-21,19.41,19.61,19.31,19.45,107400.0,107400.0,-0.04,-0.206,19.45667,"April 21, 10",-0.00206
2010-04-22,19.27,19.61,19.26,19.55,125200.0,125200.0,-0.28,-1.453,19.47333,"April 22, 10",-0.01453
2010-04-23,19.5,20.04,19.5,19.99,187400.0,187400.0,-0.49,-2.513,19.84333,"April 23, 10",-0.02513
2010-04-26,20.05,20.1,19.67,20.04,271600.0,271600.0,0.01,0.05,19.93667,"April 26, 10",0.0005
2010-04-27,19.85,20.07,19.59,19.59,172200.0,172200.0,0.26,1.31,19.75,"April 27, 10",0.0131
2010-04-28,19.6,20.1,19.39,19.76,150300.0,150300.0,-0.16,-0.816,19.75,"April 28, 10",-0.00816
2010-04-29,19.82,20.2,19.68,20.12,269900.0,269900.0,-0.3,-1.514,20.0,"April 29, 10",-0.01514
2010-04-30,20.06,20.19,19.9,20.04,277500.0,277500.0,0.02,0.1,20.04333,"April 30, 10",0.001
2010-05-03,20.05,20.26,19.85,20.26,180100.0,180100.0,-0.21,-1.047,20.12333,"May 03, 10",-0.01047
2010-05-04,19.98,20.78,19.91,20.36,528600.0,528600.0,-0.38,-1.902,20.35,"May 04, 10",-0.01902
2010-05-05,20.15,20.15,19.85,20.0,154200.0,154200.0,0.15,0.744,20.0,"May 05, 10",0.00744
2010-05-06,19.99,20.19,19.45,19.54,267700.0,267700.0,0.45,2.251,19.72667,"May 06, 10",0.02251
2010-05-07,19.6,19.95,19.34,19.43,512500.0,512500.0,0.17,0.867,19.57333,"May 07, 10",0.00867
