date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
1998-01-02,25.15,25.25,24.67,25.23,4563000.0,4563000.0,-0.08,-0.318,25.05,"January 02, 98",-0.00318
1998-01-05,25.63,26.65,25.44,26.6,13633500.0,13633500.0,-0.97,-3.785,26.23,"January 05, 98",-0.03785
1998-01-06,26.33,26.48,25.71,25.75,8824800.0,8824800.0,0.58,2.203,25.98,"January 06, 98",0.02203
1998-01-07,25.67,26.04,25.4,26.04,6656700.0,6656700.0,-0.37,-1.441,25.82667,"January 07, 98",-0.01441
1998-01-08,26.04,26.46,25.73,25.88,9986100.0,9986100.0,0.16,0.614,26.02333,"January 08, 98",0.00614
1998-01-09,25.75,25.79,24.0,24.65,12023100.0,12023100.0,1.1,4.272,24.81333,"January 09, 98",0.04272
1998-01-12,23.69,25.67,23.69,25.48,12153000.0,12153000.0,-1.79,-7.556,24.94667,"January 12, 98",-0.07556
1998-01-13,26.0,26.0,25.67,25.77,8756400.0,8756400.0,0.23,0.885,25.81333,"January 13, 98",0.00885
1998-01-14,25.94,26.0,25.52,25.94,7755300.0,7755300.0,0.0,0.0,25.82,"January 14, 98",0.0
1998-01-15,25.79,25.81,25.21,25.27,8360400.0,8360400.0,0.52,2.016,25.43,"January 15, 98",0.02016
1998-01-16,25.42,25.67,25.21,25.67,11238300.0,11238300.0,-0.25,-0.983,25.51667,"January 16, 98",-0.00983
1998-01-20,26.13,26.96,26.0,26.94,15343200.0,15343200.0,-0.81,-3.1,26.63333,"January 20, 98",-0.031
1998-01-21,26.69,26.75,26.17,26.33,11300100.0,11300100.0,0.36,1.349,26.41667,"January 21, 98",0.01349
1998-01-22,26.13,26.54,26.06,26.21,7518300.0,7518300.0,-0.08,-0.306,26.27,"January 22, 98",-0.00306
1998-01-23,26.06,26.23,25.54,26.02,8361300.0,8361300.0,0.04,0.153,25.93,"January 23, 98",0.00153
1998-01-26,26.02,26.33,25.83,25.92,6951300.0,6951300.0,0.1,0.384,26.02667,"January 26, 98",0.00384
1998-01-27,26.02,26.56,25.96,26.23,8520000.0,8520000.0,-0.21,-0.807,26.25,"January 27, 98",-0.00807
1998-01-28,26.5,27.0,26.48,26.6,11539200.0,11539200.0,-0.1,-0.377,26.69333,"January 28, 98",-0.00377
1998-01-29,26.83,27.48,26.75,27.15,10051200.0,10051200.0,-0.32,-1.193,27.12667,"January 29, 98",-0.01193
1998-01-30,27.31,27.38,26.92,27.25,6878100.0,6878100.0,0.06,0.22,27.18333,"January 30, 98",0.0022
1998-02-02,28.23,28.35,27.46,27.54,13017600.0,13017600.0,0.69,2.444,27.78333,"February 02, 98",0.02444
1998-02-03,27.5,27.63,27.19,27.52,9109800.0,9109800.0,-0.02,-0.073,27.44667,"February 03, 98",-0.00073
1998-02-04,27.33,27.42,27.0,27.13,6819900.0,6819900.0,0.2,0.732,27.18333,"February 04, 98",0.00732
1998-02-05,27.33,27.44,26.54,26.58,8706300.0,8706300.0,0.75,2.744,26.85333,"February 05, 98",0.02744
1998-02-06,26.67,27.13,26.65,26.96,6930900.0,6930900.0,-0.29,-1.087,26.91333,"February 06, 98",-0.01087
1998-02-09,27.08,27.27,26.73,26.92,7085700.0,7085700.0,0.16,0.591,26.97333,"February 09, 98",0.00591
1998-02-10,27.21,28.0,27.15,28.0,10873800.0,10873800.0,-0.79,-2.903,27.71667,"February 10, 98",-0.02903
1998-02-11,27.92,28.13,27.15,27.9,9222900.0,9222900.0,0.02,0.072,27.72667,"February 11, 98",0.00072
1998-02-12,27.75,28.31,27.42,28.1,7442700.0,7442700.0,-0.35,-1.261,27.94333,"February 12, 98",-0.01261
1998-02-13,28.0,28.06,27.79,27.88,5911500.0,5911500.0,0.12,0.429,27.91,"February 13, 98",0.00429
1998-02-17,28.15,28.27,27.81,28.17,7219500.0,7219500.0,-0.02,-0.071,28.08333,"February 17, 98",-0.00071
1998-02-18,28.27,28.83,28.23,28.79,9888600.0,9888600.0,-0.52,-1.839,28.61667,"February 18, 98",-0.01839
1998-02-19,28.77,29.42,28.67,28.71,9020100.0,9020100.0,0.06,0.209,28.93333,"February 19, 98",0.00209
1998-02-20,28.94,29.25,28.73,29.1,8241600.0,8241600.0,-0.16,-0.553,29.02667,"February 20, 98",-0.00553
1998-02-23,29.33,29.79,29.31,29.79,8920800.0,8920800.0,-0.46,-1.568,29.63,"February 23, 98",-0.01568
