date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
1998-01-02,39.66,40.47,39.44,40.47,3088400.0,3088400.0,-0.81,-2.042,40.12667,"January 02, 98",-0.02042
1998-01-05,40.59,41.41,40.22,41.28,4996400.0,4996400.0,-0.69,-1.7,40.97,"January 05, 98",-0.017
1998-01-06,40.75,41.38,40.72,41.16,3845400.0,3845400.0,-0.41,-1.006,41.08667,"January 06, 98",-0.01006
1998-01-07,40.81,40.88,40.28,40.72,4284600.0,4284600.0,0.09,0.221,40.62667,"January 07, 98",0.00221
1998-01-08,40.5,40.72,40.25,40.25,2909200.0,2909200.0,0.25,0.617,40.40667,"January 08, 98",0.00617
1998-01-09,39.94,40.22,39.0,39.44,4571800.0,4571800.0,0.5,1.252,39.55333,"January 09, 98",0.01252
1998-01-12,38.81,41.19,38.78,41.16,4965600.0,4965600.0,-2.35,-6.055,40.37667,"January 12, 98",-0.06055
1998-01-13,40.78,41.31,40.28,40.56,4335600.0,4335600.0,0.22,0.539,40.71667,"January 13, 98",0.00539
1998-01-14,40.59,40.69,39.59,40.28,3936200.0,3936200.0,0.31,0.764,40.18667,"January 14, 98",0.00764
1998-01-15,40.16,40.28,39.84,39.97,2511000.0,2511000.0,0.19,0.473,40.03,"January 15, 98",0.00473
1998-01-16,40.22,40.22,39.47,39.66,5182600.0,5182600.0,0.56,1.392,39.78333,"January 16, 98",0.01392
1998-01-20,40.16,40.47,39.94,40.38,3412800.0,3412800.0,-0.22,-0.548,40.26333,"January 20, 98",-0.00548
1998-01-21,40.63,40.91,39.94,40.5,3588800.0,3588800.0,0.13,0.32,40.45,"January 21, 98",0.0032
1998-01-22,40.59,40.63,39.56,39.94,3387800.0,3387800.0,0.65,1.601,40.04333,"January 22, 98",0.01601
1998-01-23,40.25,40.25,39.13,39.19,3938200.0,3938200.0,1.06,2.634,39.52333,"January 23, 98",0.02634
1998-01-26,39.25,39.5,39.09,39.25,3552600.0,3552600.0,0.0,0.0,39.28,"January 26, 98",0.0
1998-01-27,39.03,40.66,39.03,40.44,7512400.0,7512400.0,-1.41,-3.613,40.04333,"January 27, 98",-0.03613
1998-01-28,40.5,40.5,39.25,39.63,3903000.0,3903000.0,0.87,2.148,39.79333,"January 28, 98",0.02148
1998-01-29,39.63,40.09,38.66,39.0,5418600.0,5418600.0,0.63,1.59,39.25,"January 29, 98",0.0159
1998-01-30,38.94,39.5,38.75,39.19,4161400.0,4161400.0,-0.25,-0.642,39.14667,"January 30, 98",-0.00642
1998-02-02,39.59,39.91,39.34,39.75,3463000.0,3463000.0,-0.16,-0.404,39.66667,"February 02, 98",-0.00404
1998-02-03,39.75,40.91,39.34,40.66,5072400.0,5072400.0,-0.91,-2.289,40.30333,"February 03, 98",-0.02289
1998-02-04,40.0,40.53,40.0,40.19,3093200.0,3093200.0,-0.19,-0.475,40.24,"February 04, 98",-0.00475
1998-02-05,40.44,40.44,39.75,39.81,3219800.0,3219800.0,0.63,1.558,40.0,"February 05, 98",0.01558
1998-02-06,40.13,41.22,40.09,41.0,4131600.0,4131600.0,-0.87,-2.168,40.77,"February 06, 98",-0.02168
1998-02-09,40.97,41.19,40.53,40.75,2832400.0,2832400.0,0.22,0.537,40.82333,"February 09, 98",0.00537
1998-02-10,41.0,41.81,40.84,41.41,4955200.0,4955200.0,-0.41,-1.0,41.35333,"February 10, 98",-0.01
1998-02-11,41.66,42.0,41.5,41.88,3737000.0,3737000.0,-0.22,-0.528,41.79333,"February 11, 98",-0.00528
1998-02-12,41.88,42.19,41.19,41.97,3367600.0,3367600.0,-0.09,-0.215,41.78333,"February 12, 98",-0.00215
1998-02-13,41.53,42.38,41.53,42.34,3633800.0,3633800.0,-0.81,-1.95,42.08333,"February 13, 98",-0.0195
1998-02-17,42.38,42.38,41.34,41.63,3394400.0,3394400.0,0.75,1.77,41.78333,"February 17, 98",0.0177
1998-02-18,41.97,42.31,41.69,42.19,3424000.0,3424000.0,-0.22,-0.524,42.06333,"February 18, 98",-0.00524
1998-02-19,41.78,41.97,41.13,41.25,3234000.0,3234000.0,0.53,1.269,41.45,"February 19, 98",0.01269
1998-02-20,41.59,41.72,41.13,41.69,3346600.0,3346600.0,-0.1,-0.24,41.51333,"February 20, 98",-0.0024
1998-02-23,41.97,42.09,41.47,41.84,3281400.0,3281400.0,0.13,0.31,41.8,"February 23, 98",0.0031
1998-02-24,41.69,42.09,41.25,41.47,2969600.0,2969600.0,0.22,0.528,41.60333,"February 24, 98",0.00528
1998-02-25,41.75,41.91,41.5,41.72,2531600.0,2531600.0,0.03,0.072,41.71,"February 25, 98",0.00072
1998-02-26,41.5,41.81,41.28,41.75,2151200.0,2151200.0,-0.25,-0.602,41.61333,"February 26, 98",-0.00602
1998-02-27,42.0,42.63,41.56,42.44,4687200.0,4687200.0,-0.44,-1.048,42.21,"February 27, 98",-0.01048
1998-03-02,42.0,42.25,41.25,41.25,3640000.0,3640000.0,0.75,1.786,41.58333,"March 02, 98",0.01786
1998-03-03,41.06,41.38,40.81,41.13,4135000.0,4135000.0,-0.07,-0.17,41.10667,"March 03, 98",-0.0017
1998-03-04,41.09,41.13,40.75,41.06,2601400.0,2601400.0,0.03,0.073,40.98,"March 04, 98",0.00073
1998-03-05,40.66,40.84,39.94,40.34,3080600.0,3080600.0,0.32,0.787,40.37333,"March 05, 98",0.00787
1998-03-06,40.56,42.0,40.56,41.81,3457600.0,3457600.0,-1.25,-3.082,41.45667,"March 06, 98",-0.03082
1998-03-09,41.81,42.63,41.75,42.63,4651400.0,4651400.0,-0.82,-1.961,42.33667,"March 09, 98",-0.01961
1998-03-10,42.56,43.38,42.56,43.03,4074800.0,4074800.0,-0.47,-1.104,42.99,"March 10, 98",-0.01104
1998-03-11,43.0,43.47,42.94,43.28,3072200.0,3072200.0,-0.28,-0.651,43.23,"March 11, 98",-0.00651
1998-03-12,42.53,42.81,42.03,42.09,3313200.0,3313200.0,0.44,1.035,42.31,"March 12, 98",0.01035
1998-03-13,41.75,41.78,41.09,41.22,4288600.0,4288600.0,0.53,1.269,41.36333,"March 13, 98",0.01269
1998-03-16,41.03,41.56,41.0,41.09,3919000.0,3919000.0,-0.06,-0.146,41.21667,"March 16, 98",-0.00146
1998-03-17,41.25,42.16,41.06,41.75,3518800.0,3518800.0,-0.5,-1.212,41.65667,"March 17, 98",-0.01212
1998-03-18,41.56,42.41,41.47,42.34,3226000.0,3226000.0,-0.78,-1.877,42.07333,"March 18, 98",-0.01877
1998-03-19,42.44,42.72,42.22,42.63,2658600.0,2658600.0,-0.19,-0.448,42.52333,"March 19, 98",-0.00448
1998-03-20,42.72,42.97,42.44,42.66,4850600.0,4850600.0,0.06,0.14,42.69,"March 20, 98",0.0014
1998-03-23,42.75,43.22,42.56,43.16,4111600.0,4111600.0,-0.41,-0.959,42.98,"March 23, 98",-0.00959
1998-03-24,43.0,43.78,42.78,43.19,3556400.0,3556400.0,-0.19,-0.442,43.25,"March 24, 98",-0.00442
1998-03-25,43.25,43.34,42.53,42.66,3841800.0,3841800.0,0.59,1.364,42.84333,"March 25, 98",0.01364
1998-03-26,42.75,43.94,42.63,43.0,4226800.0,4226800.0,-0.25,-0.585,43.19,"March 26, 98",-0.00585
1998-03-27,43.25,43.28,41.78,42.06,3678400.0,3678400.0,1.19,2.751,42.37333,"March 27, 98",0.02751
1998-03-30,41.94,42.69,41.94,42.69,2534600.0,2534600.0,-0.75,-1.788,42.44,"March 30, 98",-0.01788
1998-03-31,42.69,43.0,41.84,42.19,3873400.0,3873400.0,0.5,1.171,42.34333,"March 31, 98",0.01171
1998-04-01,41.53,43.91,41.53,43.78,6446800.0,6446800.0,-2.25,-5.418,43.07333,"April 01, 98",-0.05418
