date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-10-10,17.0,18.43,15.89,17.28,7045100.0,7045100.0,-0.28,-1.647,17.2,"October 10, 14",-0.01647
2014-10-13,17.08,17.99,17.07,17.5,466900.0,466900.0,-0.42,-2.459,17.52,"October 13, 14",-0.02459
2014-10-14,18.42,18.42,17.05,17.29,168000.0,168000.0,1.13,6.135,17.58667,"October 14, 14",0.06135
2014-10-15,17.0,17.36,16.58,17.2,434900.0,434900.0,-0.2,-1.176,17.04667,"October 15, 14",-0.01176
2014-10-16,17.35,17.69,17.0,17.48,108500.0,108500.0,-0.13,-0.749,17.39,"October 16, 14",-0.00749
2014-10-17,17.57,18.74,17.4,17.81,217100.0,217100.0,-0.24,-1.366,17.98333,"October 17, 14",-0.01366
2014-10-20,17.99,18.5,17.81,18.39,85600.0,85600.0,-0.4,-2.223,18.23333,"October 20, 14",-0.02223
2014-10-21,18.97,19.37,18.41,18.91,121300.0,121300.0,0.06,0.316,18.89667,"October 21, 14",0.00316
2014-10-22,19.34,19.5,18.8,18.89,128500.0,128500.0,0.45,2.327,19.06333,"October 22, 14",0.02327
2014-10-23,18.9,19.41,18.84,18.93,92100.0,92100.0,-0.03,-0.159,19.06,"October 23, 14",-0.00159
2014-10-24,18.85,19.25,18.8,18.81,191800.0,191800.0,0.04,0.212,18.95333,"October 24, 14",0.00212
2014-10-27,18.82,19.86,18.82,19.53,127300.0,127300.0,-0.71,-3.773,19.40333,"October 27, 14",-0.03773
2014-10-28,20.0,20.0,19.1,19.25,229700.0,229700.0,0.75,3.75,19.45,"October 28, 14",0.0375
2014-10-29,19.2,19.75,19.0,19.1,271300.0,271300.0,0.1,0.521,19.28333,"October 29, 14",0.00521
2014-10-30,19.0,19.7,18.95,19.38,190900.0,190900.0,-0.38,-2.0,19.34333,"October 30, 14",-0.02
2014-10-31,19.58,19.87,19.05,19.66,140700.0,140700.0,-0.08,-0.409,19.52667,"October 31, 14",-0.00409
2014-11-03,19.52,20.49,19.2,20.07,108900.0,108900.0,-0.55,-2.818,19.92,"November 03, 14",-0.02818
2014-11-04,19.98,22.39,19.92,21.09,376100.0,376100.0,-1.11,-5.556,21.13333,"November 04, 14",-0.05556
2014-11-05,21.2,21.2,20.59,20.88,168100.0,168100.0,0.32,1.509,20.89,"November 05, 14",0.01509
2014-11-06,20.75,21.3,20.5,20.61,120400.0,120400.0,0.14,0.675,20.80333,"November 06, 14",0.00675
2014-11-07,21.0,21.3,20.52,21.3,208800.0,208800.0,-0.3,-1.429,21.04,"November 07, 14",-0.01429
2014-11-10,21.35,23.33,21.19,22.06,322700.0,322700.0,-0.71,-3.326,22.19333,"November 10, 14",-0.03326
2014-11-11,21.77,22.79,21.77,21.88,56600.0,56600.0,-0.11,-0.505,22.14667,"November 11, 14",-0.00505
2014-11-12,21.77,22.15,21.65,21.73,160400.0,160400.0,0.04,0.184,21.84333,"November 12, 14",0.00184
