date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2018-04-20,16.75,17.48,15.11,15.73,24784800.0,24784800.0,1.02,6.09,16.10667,"April 20, 18",0.0609
2018-04-23,16.0,18.34,15.81,17.26,4323100.0,4323100.0,-1.26,-7.875,17.13667,"April 23, 18",-0.07875
2018-04-24,17.96,18.29,17.65,18.14,3180400.0,3180400.0,-0.18,-1.002,18.02667,"April 24, 18",-0.01002
2018-04-25,18.32,18.83,17.5,17.92,1778500.0,1778500.0,0.4,2.183,18.08333,"April 25, 18",0.02183
2018-04-26,18.07,19.0,17.92,18.62,3514600.0,3514600.0,-0.55,-3.044,18.51333,"April 26, 18",-0.03044
2018-04-27,18.72,18.85,17.75,18.17,1778600.0,1778600.0,0.55,2.938,18.25667,"April 27, 18",0.02938
2018-04-30,18.35,18.5,18.0,18.04,610900.0,610900.0,0.31,1.689,18.18,"April 30, 18",0.01689
2018-05-01,18.06,18.5,18.0,18.3,396800.0,396800.0,-0.24,-1.329,18.26667,"May 01, 18",-0.01329
2018-05-02,18.36,18.69,18.12,18.2,587100.0,587100.0,0.16,0.871,18.33667,"May 02, 18",0.00871
2018-05-03,18.35,18.5,18.01,18.31,578300.0,578300.0,0.04,0.218,18.27333,"May 03, 18",0.00218
2018-05-04,18.33,18.5,18.14,18.3,440300.0,440300.0,0.03,0.164,18.31333,"May 04, 18",0.00164
2018-05-07,18.3,19.1,18.15,18.86,890600.0,890600.0,-0.56,-3.06,18.70333,"May 07, 18",-0.0306
2018-05-08,18.96,19.0,18.51,18.88,478400.0,478400.0,0.08,0.422,18.79667,"May 08, 18",0.00422
2018-05-09,18.95,19.49,18.88,19.0,771200.0,771200.0,-0.05,-0.264,19.12333,"May 09, 18",-0.00264
2018-05-10,19.21,19.23,18.5,19.0,526000.0,526000.0,0.21,1.093,18.91,"May 10, 18",0.01093
2018-05-11,18.96,19.08,18.76,18.98,736200.0,736200.0,-0.02,-0.105,18.94,"May 11, 18",-0.00105
2018-05-14,19.19,19.62,18.81,18.89,925000.0,925000.0,0.3,1.563,19.10667,"May 14, 18",0.01563
2018-05-15,19.17,19.6,18.95,19.24,1003300.0,1003300.0,-0.07,-0.365,19.26333,"May 15, 18",-0.00365
2018-05-16,19.3,19.4,18.66,18.66,875300.0,875300.0,0.64,3.316,18.90667,"May 16, 18",0.03316
2018-05-17,18.8,18.87,17.78,18.18,1375800.0,1375800.0,0.62,3.298,18.27667,"May 17, 18",0.03298
2018-05-18,18.18,18.26,17.62,18.11,951900.0,951900.0,0.07,0.385,17.99667,"May 18, 18",0.00385
2018-05-21,18.15,18.4,18.04,18.1,474500.0,474500.0,0.05,0.275,18.18,"May 21, 18",0.00275
2018-05-22,18.18,18.2,17.82,17.86,555700.0,555700.0,0.32,1.76,17.96,"May 22, 18",0.0176
2018-05-23,17.86,18.17,17.81,17.99,335800.0,335800.0,-0.13,-0.728,17.99,"May 23, 18",-0.00728
2018-05-24,18.01,18.14,17.65,17.83,406000.0,406000.0,0.18,0.999,17.87333,"May 24, 18",0.00999
2018-05-25,17.8,18.15,17.53,18.12,610100.0,610100.0,-0.32,-1.798,17.93333,"May 25, 18",-0.01798
2018-05-29,18.07,18.22,17.8,18.14,412800.0,412800.0,-0.07,-0.387,18.05333,"May 29, 18",-0.00387
2018-05-30,18.2,18.5,18.19,18.34,508200.0,508200.0,-0.14,-0.769,18.34333,"May 30, 18",-0.00769
2018-05-31,18.34,18.5,17.83,17.99,443300.0,443300.0,0.35,1.908,18.10667,"May 31, 18",0.01908
2018-06-01,18.18,18.7,18.01,18.27,687500.0,687500.0,-0.09,-0.495,18.32667,"June 01, 18",-0.00495
2018-06-04,18.48,18.86,18.0,18.25,1484100.0,1484100.0,0.23,1.245,18.37,"June 04, 18",0.01245
2018-06-05,18.25,18.97,18.25,18.44,807600.0,807600.0,-0.19,-1.041,18.55333,"June 05, 18",-0.01041
2018-06-06,18.53,20.85,18.4,20.32,2643500.0,2643500.0,-1.79,-9.66,19.85667,"June 06, 18",-0.0966
