date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2015-07-06,38.0,39.75,36.0,36.71,5866600.0,5866600.0,1.29,3.395,37.48667,"July 06, 15",0.03395
2015-07-07,37.72,37.81,36.0,36.62,7359000.0,7359000.0,1.1,2.916,36.81,"July 07, 15",0.02916
2015-07-08,36.34,36.36,34.53,34.7,5387700.0,5387700.0,1.64,4.513,35.19667,"July 08, 15",0.04513
2015-07-09,35.1,35.52,33.99,34.5,3760100.0,3760100.0,0.6,1.709,34.67,"July 09, 15",0.01709
2015-07-10,34.66,35.19,33.98,34.69,4472800.0,4472800.0,-0.03,-0.087,34.62,"July 10, 15",-0.00087
2015-07-13,35.59,37.5,35.5,36.78,7626000.0,7626000.0,-1.19,-3.344,36.59333,"July 13, 15",-0.03344
2015-07-14,36.99,37.74,36.6,36.93,4653300.0,4653300.0,0.06,0.162,37.09,"July 14, 15",0.00162
2015-07-15,37.98,38.2,37.03,37.51,13072800.0,13072800.0,0.47,1.237,37.58,"July 15, 15",0.01237
2015-07-16,38.82,39.97,38.08,38.63,21348500.0,21348500.0,0.19,0.489,38.89333,"July 16, 15",0.00489
2015-07-17,39.42,40.2,38.18,38.39,45720200.0,45720200.0,1.03,2.613,38.92333,"July 17, 15",0.02613
2015-07-20,41.46,42.55,39.8,40.47,52286500.0,52286500.0,0.99,2.388,40.94,"July 20, 15",0.02388
2015-07-21,41.08,41.11,39.12,39.35,32954600.0,32954600.0,1.73,4.211,39.86,"July 21, 15",0.04211
2015-07-22,39.35,39.72,38.1,38.39,25363900.0,25363900.0,0.96,2.44,38.73667,"July 22, 15",0.0244
2015-07-23,38.74,38.75,36.93,37.01,19250200.0,19250200.0,1.73,4.466,37.56333,"July 23, 15",0.04466
2015-07-24,37.71,38.0,36.91,37.0,14274300.0,14274300.0,0.71,1.883,37.30333,"July 24, 15",0.01883
2015-07-27,36.78,37.38,36.22,36.39,16179900.0,16179900.0,0.39,1.06,36.66333,"July 27, 15",0.0106
2015-07-28,37.19,38.0,36.83,37.6,18986000.0,18986000.0,-0.41,-1.102,37.47667,"July 28, 15",-0.01102
2015-07-29,38.03,38.1,37.62,37.95,11788400.0,11788400.0,0.08,0.21,37.89,"July 29, 15",0.0021
2015-07-30,38.04,39.01,37.72,38.45,13845100.0,13845100.0,-0.41,-1.078,38.39333,"July 30, 15",-0.01078
2015-07-31,39.14,39.2,38.22,38.7,12480600.0,12480600.0,0.44,1.124,38.70667,"July 31, 15",0.01124
2015-08-03,39.25,39.88,38.9,39.39,15126600.0,15126600.0,-0.14,-0.357,39.39,"August 03, 15",-0.00357
2015-08-04,39.91,39.91,38.43,38.95,10992200.0,10992200.0,0.96,2.405,39.09667,"August 04, 15",0.02405
2015-08-05,39.7,39.88,39.17,39.27,9463100.0,9463100.0,0.43,1.083,39.44,"August 05, 15",0.01083
2015-08-06,39.63,39.74,38.55,38.85,7324100.0,7324100.0,0.78,1.968,39.04667,"August 06, 15",0.01968
2015-08-07,39.04,39.23,38.6,39.13,8331300.0,8331300.0,-0.09,-0.231,38.98667,"August 07, 15",-0.00231
2015-08-10,39.43,39.69,38.77,39.05,7998900.0,7998900.0,0.38,0.964,39.17,"August 10, 15",0.00964
2015-08-11,38.93,39.28,38.72,38.85,8184000.0,8184000.0,0.08,0.205,38.95,"August 11, 15",0.00205
2015-08-12,38.55,38.58,37.01,38.19,21350600.0,21350600.0,0.36,0.934,37.92667,"August 12, 15",0.00934
2015-08-13,38.4,38.49,37.44,37.62,7863500.0,7863500.0,0.78,2.031,37.85,"August 13, 15",0.02031
2015-08-14,37.49,38.18,37.38,38.14,6271100.0,6271100.0,-0.65,-1.734,37.9,"August 14, 15",-0.01734
2015-08-17,38.3,38.75,37.7,38.73,4931700.0,4931700.0,-0.43,-1.123,38.39333,"August 17, 15",-0.01123
2015-08-18,39.0,39.0,37.87,37.99,4678800.0,4678800.0,1.01,2.59,38.28667,"August 18, 15",0.0259
2015-08-19,37.87,38.1,37.03,37.19,6867600.0,6867600.0,0.68,1.796,37.44,"August 19, 15",0.01796
2015-08-20,36.85,37.34,35.88,35.98,10645700.0,10645700.0,0.87,2.361,36.4,"August 20, 15",0.02361
2015-08-21,35.57,36.11,33.83,34.25,16824100.0,16824100.0,1.32,3.711,34.73,"August 21, 15",0.03711
2015-08-24,31.17,34.85,30.0,33.75,19676600.0,19676600.0,-2.58,-8.277,32.86667,"August 24, 15",-0.08277
