date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
1998-01-02,10.41,10.41,10.41,10.41,4400.0,4400.0,0.0,0.0,10.41,"January 02, 98",0.0
1998-01-05,10.25,10.27,10.25,10.27,24000.0,24000.0,-0.02,-0.195,10.26333,"January 05, 98",-0.00195
1998-01-06,10.22,10.22,10.22,10.22,400.0,400.0,0.0,0.0,10.22,"January 06, 98",0.0
1998-01-07,10.25,10.5,10.2,10.47,257200.0,257200.0,-0.22,-2.146,10.39,"January 07, 98",-0.02146
1998-01-08,10.31,10.31,10.23,10.25,38800.0,38800.0,0.06,0.582,10.26333,"January 08, 98",0.00582
1998-01-09,10.16,10.16,10.09,10.09,18000.0,18000.0,0.07,0.689,10.11333,"January 09, 98",0.00689
1998-01-12,9.97,10.03,9.97,10.03,25200.0,25200.0,-0.06,-0.602,10.01,"January 12, 98",-0.00602
1998-01-13,10.03,10.03,10.03,10.03,24000.0,24000.0,0.0,0.0,10.03,"January 13, 98",0.0
1998-01-14,10.09,10.16,10.09,10.16,511600.0,511600.0,-0.07,-0.694,10.13667,"January 14, 98",-0.00694
1998-01-15,10.22,10.22,10.09,10.16,13600.0,13600.0,0.06,0.587,10.15667,"January 15, 98",0.00587
1998-01-16,10.25,10.44,10.25,10.42,19600.0,19600.0,-0.17,-1.659,10.37,"January 16, 98",-0.01659
1998-01-20,10.72,10.75,10.63,10.63,30400.0,30400.0,0.09,0.84,10.67,"January 20, 98",0.0084
1998-01-21,10.66,10.66,10.66,10.66,4400.0,4400.0,0.0,0.0,10.66,"January 21, 98",0.0
1998-01-22,10.66,10.75,10.66,10.69,12800.0,12800.0,-0.03,-0.281,10.7,"January 22, 98",-0.00281
1998-01-23,10.63,10.63,10.47,10.47,56400.0,56400.0,0.16,1.505,10.52333,"January 23, 98",0.01505
1998-01-26,10.56,10.56,10.56,10.56,2400.0,2400.0,0.0,0.0,10.56,"January 26, 98",0.0
1998-01-27,10.53,10.59,10.53,10.59,3200.0,3200.0,-0.06,-0.57,10.57,"January 27, 98",-0.0057
1998-01-28,10.56,10.56,10.55,10.55,4800.0,4800.0,0.01,0.095,10.55333,"January 28, 98",0.00095
1998-01-29,10.56,10.56,10.56,10.56,102400.0,102400.0,0.0,0.0,10.56,"January 29, 98",0.0
1998-01-30,10.5,10.5,10.41,10.47,10800.0,10800.0,0.03,0.286,10.46,"January 30, 98",0.00286
1998-02-02,10.5,10.59,10.5,10.59,16800.0,16800.0,-0.09,-0.857,10.56,"February 02, 98",-0.00857
1998-02-03,10.69,10.78,10.69,10.78,19600.0,19600.0,-0.09,-0.842,10.75,"February 03, 98",-0.00842
1998-02-04,10.78,10.78,10.78,10.78,0.0,0.0,0.0,0.0,0.0,"February 04, 98",0.0
1998-02-05,10.75,10.75,10.75,10.75,400.0,400.0,0.0,0.0,10.75,"February 05, 98",0.0
1998-02-06,11.0,11.0,10.94,10.94,2000.0,2000.0,0.06,0.545,10.96,"February 06, 98",0.00545
1998-02-09,10.91,10.94,10.91,10.92,9200.0,9200.0,-0.01,-0.092,10.92333,"February 09, 98",-0.00092
1998-02-10,10.92,10.94,10.88,10.94,313200.0,313200.0,-0.02,-0.183,10.92,"February 10, 98",-0.00183
1998-02-11,10.94,10.94,10.94,10.94,0.0,0.0,0.0,0.0,0.0,"February 11, 98",0.0
1998-02-12,10.94,10.94,10.94,10.94,0.0,0.0,0.0,0.0,0.0,"February 12, 98",0.0
1998-02-13,10.91,10.94,10.91,10.91,4800.0,4800.0,0.0,0.0,10.92,"February 13, 98",0.0
1998-02-17,11.13,11.25,11.13,11.25,42000.0,42000.0,-0.12,-1.078,11.21,"February 17, 98",-0.01078
1998-02-18,11.28,11.38,11.28,11.38,12000.0,12000.0,-0.1,-0.887,11.34667,"February 18, 98",-0.00887
1998-02-19,11.31,11.5,11.31,11.5,12400.0,12400.0,-0.19,-1.68,11.43667,"February 19, 98",-0.0168
1998-02-20,11.56,11.56,11.5,11.5,3200.0,3200.0,0.06,0.519,11.52,"February 20, 98",0.00519
1998-02-23,11.5,11.5,11.5,11.5,0.0,0.0,0.0,0.0,0.0,"February 23, 98",0.0
1998-02-24,11.63,11.69,11.63,11.69,8000.0,8000.0,-0.06,-0.516,11.67,"February 24, 98",-0.00516
1998-02-25,11.81,11.84,11.81,11.83,11600.0,11600.0,-0.02,-0.169,11.82667,"February 25, 98",-0.00169
1998-02-26,11.89,11.94,11.88,11.94,229600.0,229600.0,-0.05,-0.421,11.92,"February 26, 98",-0.00421
1998-02-27,11.88,11.88,11.75,11.75,23200.0,23200.0,0.13,1.094,11.79333,"February 27, 98",0.01094
1998-03-02,11.94,12.06,11.94,12.06,60800.0,60800.0,-0.12,-1.005,12.02,"March 02, 98",-0.01005
1998-03-03,11.88,11.94,11.84,11.84,86000.0,86000.0,0.04,0.337,11.87333,"March 03, 98",0.00337
1998-03-04,11.78,11.78,11.44,11.44,54000.0,54000.0,0.34,2.886,11.55333,"March 04, 98",0.02886
1998-03-05,11.38,11.38,11.09,11.09,87600.0,87600.0,0.29,2.548,11.18667,"March 05, 98",0.02548
1998-03-06,11.16,11.22,11.16,11.22,5600.0,5600.0,-0.06,-0.538,11.2,"March 06, 98",-0.00538
1998-03-09,10.25,10.41,10.16,10.41,420000.0,420000.0,-0.16,-1.561,10.32667,"March 09, 98",-0.01561
1998-03-10,10.34,10.34,10.22,10.28,146400.0,146400.0,0.06,0.58,10.28,"March 10, 98",0.0058
1998-03-11,10.16,10.25,10.14,10.19,520400.0,520400.0,-0.03,-0.295,10.19333,"March 11, 98",-0.00295
1998-03-12,10.19,10.19,10.19,10.19,0.0,0.0,0.0,0.0,0.0,"March 12, 98",0.0
1998-03-13,10.25,10.25,10.23,10.23,51200.0,51200.0,0.02,0.195,10.23667,"March 13, 98",0.00195
1998-03-16,10.13,10.13,9.94,9.94,42400.0,42400.0,0.19,1.876,10.00333,"March 16, 98",0.01876
1998-03-17,10.0,10.13,10.0,10.13,17600.0,17600.0,-0.13,-1.3,10.08667,"March 17, 98",-0.013
1998-03-18,10.09,10.19,10.09,10.19,15200.0,15200.0,-0.1,-0.991,10.15667,"March 18, 98",-0.00991
1998-03-19,10.16,10.16,10.13,10.13,2400.0,2400.0,0.03,0.295,10.14,"March 19, 98",0.00295
1998-03-20,10.22,10.22,10.22,10.22,400.0,400.0,0.0,0.0,10.22,"March 20, 98",0.0
1998-03-23,10.22,10.38,10.22,10.38,26800.0,26800.0,-0.16,-1.566,10.32667,"March 23, 98",-0.01566
1998-03-24,10.11,10.13,10.11,10.13,132000.0,132000.0,-0.02,-0.198,10.12333,"March 24, 98",-0.00198
1998-03-25,10.25,10.28,10.25,10.25,8400.0,8400.0,0.0,0.0,10.26,"March 25, 98",0.0
1998-03-26,10.25,10.25,10.25,10.25,800.0,800.0,0.0,0.0,10.25,"March 26, 98",0.0
1998-03-27,10.38,10.38,10.38,10.38,400.0,400.0,0.0,0.0,10.38,"March 27, 98",0.0
1998-03-30,10.44,10.44,10.41,10.41,214800.0,214800.0,0.03,0.287,10.42,"March 30, 98",0.00287
1998-03-31,10.31,10.34,10.31,10.34,30400.0,30400.0,-0.03,-0.291,10.33,"March 31, 98",-0.00291
1998-04-01,10.33,10.41,10.33,10.41,415200.0,415200.0,-0.08,-0.774,10.38333,"April 01, 98",-0.00774
1998-04-02,10.38,10.41,10.38,10.41,401200.0,401200.0,-0.03,-0.289,10.4,"April 02, 98",-0.00289
1998-04-03,10.44,10.47,10.44,10.47,100400.0,100400.0,-0.03,-0.287,10.46,"April 03, 98",-0.00287
1998-04-06,10.56,10.63,10.56,10.63,4400.0,4400.0,-0.07,-0.663,10.60667,"April 06, 98",-0.00663
1998-04-07,10.59,10.59,10.47,10.47,134800.0,134800.0,0.12,1.133,10.51,"April 07, 98",0.01133
1998-04-08,10.53,10.75,10.53,10.75,39600.0,39600.0,-0.22,-2.089,10.67667,"April 08, 98",-0.02089
1998-04-09,10.67,10.67,10.59,10.63,92800.0,92800.0,0.04,0.375,10.63,"April 09, 98",0.00375
1998-04-13,10.59,10.66,10.59,10.66,200800.0,200800.0,-0.07,-0.661,10.63667,"April 13, 98",-0.00661
1998-04-14,10.66,10.69,10.63,10.63,126000.0,126000.0,0.03,0.281,10.65,"April 14, 98",0.00281
1998-04-15,10.53,10.53,10.41,10.47,78800.0,78800.0,0.06,0.57,10.47,"April 15, 98",0.0057
1998-04-16,10.41,10.41,10.41,10.41,32000.0,32000.0,0.0,0.0,10.41,"April 16, 98",0.0
1998-04-17,10.44,10.44,10.41,10.41,382400.0,382400.0,0.03,0.287,10.42,"April 17, 98",0.00287
1998-04-20,10.56,10.56,10.53,10.53,300400.0,300400.0,0.03,0.284,10.54,"April 20, 98",0.00284
1998-04-21,10.53,10.63,10.53,10.63,13600.0,13600.0,-0.1,-0.95,10.59667,"April 21, 98",-0.0095
1998-04-22,10.34,10.38,10.31,10.38,245200.0,245200.0,-0.04,-0.387,10.35667,"April 22, 98",-0.00387
1998-04-23,10.06,10.06,9.92,9.94,15200.0,15200.0,0.12,1.193,9.97333,"April 23, 98",0.01193
1998-04-24,9.92,10.0,9.92,10.0,7200.0,7200.0,-0.08,-0.806,9.97333,"April 24, 98",-0.00806
1998-04-27,9.59,9.59,9.5,9.56,219600.0,219600.0,0.03,0.313,9.55,"April 27, 98",0.00313
1998-04-28,9.56,9.61,9.56,9.59,283200.0,283200.0,-0.03,-0.314,9.58667,"April 28, 98",-0.00314
1998-04-29,9.31,9.31,9.28,9.31,147600.0,147600.0,0.0,0.0,9.3,"April 29, 98",0.0
1998-04-30,8.92,9.19,8.92,9.19,59600.0,59600.0,-0.27,-3.027,9.1,"April 30, 98",-0.03027
1998-05-01,9.13,9.16,9.08,9.16,225600.0,225600.0,-0.03,-0.329,9.13333,"May 01, 98",-0.00329
1998-05-04,9.16,9.41,9.16,9.31,348000.0,348000.0,-0.15,-1.638,9.29333,"May 04, 98",-0.01638
1998-05-05,9.25,9.25,9.03,9.06,247200.0,247200.0,0.19,2.054,9.11333,"May 05, 98",0.02054
1998-05-06,9.03,9.13,9.03,9.13,303200.0,303200.0,-0.1,-1.107,9.09667,"May 06, 98",-0.01107
1998-05-07,9.03,9.03,9.0,9.0,64400.0,64400.0,0.03,0.332,9.01,"May 07, 98",0.00332
1998-05-08,9.0,9.16,9.0,9.16,125600.0,125600.0,-0.16,-1.778,9.10667,"May 08, 98",-0.01778
1998-05-11,9.13,9.19,9.13,9.16,600800.0,600800.0,-0.03,-0.329,9.16,"May 11, 98",-0.00329
1998-05-12,9.13,9.17,9.13,9.17,487600.0,487600.0,-0.04,-0.438,9.15667,"May 12, 98",-0.00438
1998-05-13,9.16,9.16,9.14,9.16,1693600.0,1693600.0,0.0,0.0,9.15333,"May 13, 98",0.0
1998-05-14,9.16,9.28,9.16,9.28,121600.0,121600.0,-0.12,-1.31,9.24,"May 14, 98",-0.0131
1998-05-15,9.19,9.31,9.19,9.28,98400.0,98400.0,-0.09,-0.979,9.26,"May 15, 98",-0.00979
1998-05-18,9.13,9.13,9.13,9.13,2000.0,2000.0,0.0,0.0,9.13,"May 18, 98",0.0
1998-05-19,9.22,9.22,9.22,9.22,240000.0,240000.0,0.0,0.0,9.22,"May 19, 98",0.0
1998-05-20,9.34,9.44,9.34,9.44,62000.0,62000.0,-0.1,-1.071,9.40667,"May 20, 98",-0.01071
1998-05-21,9.5,9.66,9.5,9.66,758800.0,758800.0,-0.16,-1.684,9.60667,"May 21, 98",-0.01684
1998-05-22,9.63,9.66,9.59,9.61,376000.0,376000.0,0.02,0.208,9.62,"May 22, 98",0.00208
1998-05-26,9.67,9.75,9.56,9.56,66400.0,66400.0,0.11,1.138,9.62333,"May 26, 98",0.01138
1998-05-27,9.5,9.66,9.5,9.59,13600.0,13600.0,-0.09,-0.947,9.58333,"May 27, 98",-0.00947
1998-05-28,9.44,9.45,9.38,9.45,42000.0,42000.0,-0.01,-0.106,9.42667,"May 28, 98",-0.00106
1998-05-29,9.34,9.41,9.22,9.38,282000.0,282000.0,-0.04,-0.428,9.33667,"May 29, 98",-0.00428
1998-06-01,9.31,9.38,9.31,9.38,346400.0,346400.0,-0.07,-0.752,9.35667,"June 01, 98",-0.00752
1998-06-02,9.34,9.41,9.34,9.41,268400.0,268400.0,-0.07,-0.749,9.38667,"June 02, 98",-0.00749
1998-06-03,9.44,9.52,9.44,9.52,4800.0,4800.0,-0.08,-0.847,9.49333,"June 03, 98",-0.00847
1998-06-04,9.45,9.53,9.45,9.52,204000.0,204000.0,-0.07,-0.741,9.5,"June 04, 98",-0.00741
1998-06-05,9.5,9.53,9.47,9.53,9200.0,9200.0,-0.03,-0.316,9.51,"June 05, 98",-0.00316
1998-06-08,9.47,9.47,9.47,9.47,14000.0,14000.0,0.0,0.0,9.47,"June 08, 98",0.0
1998-06-09,9.41,9.41,9.22,9.22,21200.0,21200.0,0.19,2.019,9.28333,"June 09, 98",0.02019
1998-06-10,9.16,9.19,9.13,9.19,11600.0,11600.0,-0.03,-0.328,9.17,"June 10, 98",-0.00328
1998-06-11,9.25,9.28,9.16,9.16,23200.0,23200.0,0.09,0.973,9.2,"June 11, 98",0.00973
1998-06-12,9.09,9.75,9.06,9.47,446400.0,446400.0,-0.38,-4.18,9.42667,"June 12, 98",-0.0418
1998-06-15,9.06,9.06,9.03,9.03,32800.0,32800.0,0.03,0.331,9.04,"June 15, 98",0.00331
1998-06-16,9.06,9.09,9.0,9.02,45200.0,45200.0,0.04,0.442,9.03667,"June 16, 98",0.00442
1998-06-17,9.13,9.28,9.13,9.28,44000.0,44000.0,-0.15,-1.643,9.23,"June 17, 98",-0.01643
1998-06-18,9.22,9.25,9.22,9.25,2000.0,2000.0,-0.03,-0.325,9.24,"June 18, 98",-0.00325
1998-06-19,9.13,9.19,9.06,9.08,19600.0,19600.0,0.05,0.548,9.11,"June 19, 98",0.00548
1998-06-22,8.94,8.94,8.94,8.94,82400.0,82400.0,0.0,0.0,8.94,"June 22, 98",0.0
1998-06-23,9.03,9.03,8.88,8.91,296000.0,296000.0,0.12,1.329,8.94,"June 23, 98",0.01329
1998-06-24,8.97,8.97,8.94,8.97,12800.0,12800.0,0.0,0.0,8.96,"June 24, 98",0.0
1998-06-25,9.0,9.17,9.0,9.17,220800.0,220800.0,-0.17,-1.889,9.11333,"June 25, 98",-0.01889
1998-06-26,9.17,9.25,9.17,9.22,1590000.0,1590000.0,-0.05,-0.545,9.21333,"June 26, 98",-0.00545
1998-06-29,9.34,9.44,9.34,9.41,217200.0,217200.0,-0.07,-0.749,9.39667,"June 29, 98",-0.00749
1998-06-30,9.25,9.28,9.25,9.28,28400.0,28400.0,-0.03,-0.324,9.27,"June 30, 98",-0.00324
