date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
1998-01-02,34.02,34.68,34.02,34.47,333800.0,333800.0,-0.45,-1.323,34.39,"January 02, 98",-0.01323
1998-01-05,34.42,35.23,34.22,35.23,338800.0,338800.0,-0.81,-2.353,34.89333,"January 05, 98",-0.02353
1998-01-06,35.23,35.23,34.12,34.12,332700.0,332700.0,1.11,3.151,34.49,"January 06, 98",0.03151
1998-01-07,33.92,34.02,33.11,33.41,348600.0,348600.0,0.51,1.504,33.51333,"January 07, 98",0.01504
1998-01-08,33.51,33.51,31.99,32.75,445800.0,445800.0,0.76,2.268,32.75,"January 08, 98",0.02268
1998-01-09,32.8,32.91,31.59,32.2,459700.0,459700.0,0.6,1.829,32.23333,"January 09, 98",0.01829
1998-01-12,31.49,32.1,31.18,31.69,441200.0,441200.0,-0.2,-0.635,31.65667,"January 12, 98",-0.00635
1998-01-13,31.99,32.4,30.88,30.88,359300.0,359300.0,1.11,3.47,31.38667,"January 13, 98",0.0347
1998-01-14,31.29,32.5,31.08,32.1,521100.0,521100.0,-0.81,-2.589,31.89333,"January 14, 98",-0.02589
1998-01-15,32.5,32.6,31.79,32.04,223200.0,223200.0,0.46,1.415,32.14333,"January 15, 98",0.01415
1998-01-16,32.2,32.5,31.79,32.5,521000.0,521000.0,-0.3,-0.932,32.26333,"January 16, 98",-0.00932
1998-01-20,32.7,32.7,32.1,32.4,116500.0,116500.0,0.3,0.917,32.4,"January 20, 98",0.00917
1998-01-21,32.5,32.5,31.89,32.25,204300.0,204300.0,0.25,0.769,32.21333,"January 21, 98",0.00769
1998-01-22,32.2,32.3,31.94,32.1,96200.0,96200.0,0.1,0.311,32.11333,"January 22, 98",0.00311
1998-01-23,32.3,32.4,30.98,31.29,258100.0,258100.0,1.01,3.127,31.55667,"January 23, 98",0.03127
1998-01-26,31.39,31.49,31.08,31.41,214500.0,214500.0,-0.02,-0.064,31.32667,"January 26, 98",-0.00064
1998-01-27,31.18,31.79,31.18,31.64,136700.0,136700.0,-0.46,-1.475,31.53667,"January 27, 98",-0.01475
1998-01-28,31.59,32.2,31.59,32.2,160200.0,160200.0,-0.61,-1.931,31.99667,"January 28, 98",-0.01931
1998-01-29,32.2,32.7,31.79,31.99,262400.0,262400.0,0.21,0.652,32.16,"January 29, 98",0.00652
1998-01-30,32.1,32.96,31.69,31.69,354700.0,354700.0,0.41,1.277,32.11333,"January 30, 98",0.01277
1998-02-02,31.99,33.16,31.89,32.8,254800.0,254800.0,-0.81,-2.532,32.61667,"February 02, 98",-0.02532
1998-02-03,33.01,33.31,32.5,33.11,302300.0,302300.0,-0.1,-0.303,32.97333,"February 03, 98",-0.00303
1998-02-04,33.31,33.31,33.01,33.31,108700.0,108700.0,0.0,0.0,33.21,"February 04, 98",0.0
1998-02-05,33.31,33.41,32.8,33.36,121900.0,121900.0,-0.05,-0.15,33.19,"February 05, 98",-0.0015
1998-02-06,33.61,33.82,32.8,32.8,272200.0,272200.0,0.81,2.41,33.14,"February 06, 98",0.0241
1998-02-09,32.4,32.8,31.49,31.69,550500.0,550500.0,0.71,2.191,31.99333,"February 09, 98",0.02191
1998-02-10,31.89,32.4,31.79,32.04,542400.0,542400.0,-0.15,-0.47,32.07667,"February 10, 98",-0.0047
1998-02-11,32.1,32.1,31.59,31.59,480800.0,480800.0,0.51,1.589,31.76,"February 11, 98",0.01589
1998-02-12,31.59,31.79,30.78,31.13,591700.0,591700.0,0.46,1.456,31.23333,"February 12, 98",0.01456
1998-02-13,30.98,31.18,30.78,30.78,400800.0,400800.0,0.2,0.646,30.91333,"February 13, 98",0.00646
1998-02-17,30.93,31.13,30.58,30.73,648600.0,648600.0,0.2,0.647,30.81333,"February 17, 98",0.00647
1998-02-18,30.78,31.39,30.68,31.29,458900.0,458900.0,-0.51,-1.657,31.12,"February 18, 98",-0.01657
1998-02-19,31.44,31.44,31.08,31.23,271300.0,271300.0,0.21,0.668,31.25,"February 19, 98",0.00668
1998-02-20,31.18,31.79,31.13,31.64,1555500.0,1555500.0,-0.46,-1.475,31.52,"February 20, 98",-0.01475
1998-02-23,31.64,32.2,31.59,31.64,638400.0,638400.0,0.0,0.0,31.81,"February 23, 98",0.0
1998-02-24,31.54,32.2,31.49,32.1,379100.0,379100.0,-0.56,-1.776,31.93,"February 24, 98",-0.01776
1998-02-25,32.3,32.4,31.89,32.3,475900.0,475900.0,0.0,0.0,32.19667,"February 25, 98",0.0
1998-02-26,32.4,32.4,31.99,32.2,273500.0,273500.0,0.2,0.617,32.19667,"February 26, 98",0.00617
1998-02-27,32.1,32.4,31.89,32.2,269300.0,269300.0,-0.1,-0.312,32.16333,"February 27, 98",-0.00312
1998-03-02,32.4,32.55,32.2,32.37,572100.0,572100.0,0.03,0.093,32.37333,"March 02, 98",0.00093
1998-03-03,32.4,33.41,32.2,33.36,765900.0,765900.0,-0.96,-2.963,32.99,"March 03, 98",-0.02963
1998-03-04,33.31,33.41,32.7,33.01,323700.0,323700.0,0.3,0.901,33.04,"March 04, 98",0.00901
1998-03-05,32.7,33.11,32.5,33.01,376100.0,376100.0,-0.31,-0.948,32.87333,"March 05, 98",-0.00948
1998-03-06,32.7,33.41,32.7,33.41,1076900.0,1076900.0,-0.71,-2.171,33.17333,"March 06, 98",-0.02171
1998-03-09,33.26,33.36,32.8,33.01,216600.0,216600.0,0.25,0.752,33.05667,"March 09, 98",0.00752
1998-03-10,33.21,33.46,32.96,33.41,475500.0,475500.0,-0.2,-0.602,33.27667,"March 10, 98",-0.00602
1998-03-11,33.41,33.41,33.11,33.26,295900.0,295900.0,0.15,0.449,33.26,"March 11, 98",0.00449
1998-03-12,33.01,33.36,33.01,33.11,360300.0,360300.0,-0.1,-0.303,33.16,"March 12, 98",-0.00303
1998-03-13,33.21,33.41,32.8,33.01,262100.0,262100.0,0.2,0.602,33.07333,"March 13, 98",0.00602
1998-03-16,33.11,33.82,32.96,33.72,447500.0,447500.0,-0.61,-1.842,33.5,"March 16, 98",-0.01842
1998-03-17,33.61,33.82,33.36,33.72,642100.0,642100.0,-0.11,-0.327,33.63333,"March 17, 98",-0.00327
1998-03-18,33.51,33.61,33.41,33.61,286400.0,286400.0,-0.1,-0.298,33.54333,"March 18, 98",-0.00298
1998-03-19,33.66,33.66,33.51,33.61,129700.0,129700.0,0.05,0.149,33.59333,"March 19, 98",0.00149
1998-03-20,33.72,33.72,33.41,33.66,294000.0,294000.0,0.06,0.178,33.59667,"March 20, 98",0.00178
1998-03-23,33.51,33.72,33.46,33.51,223000.0,223000.0,0.0,0.0,33.56333,"March 23, 98",0.0
1998-03-24,33.56,33.61,33.46,33.54,210600.0,210600.0,0.02,0.06,33.53667,"March 24, 98",0.0006
1998-03-25,33.56,34.02,33.51,33.92,516400.0,516400.0,-0.36,-1.073,33.81667,"March 25, 98",-0.01073
1998-03-26,33.92,34.02,33.61,34.02,310900.0,310900.0,-0.1,-0.295,33.88333,"March 26, 98",-0.00295
1998-03-27,34.02,34.02,33.51,33.56,235400.0,235400.0,0.46,1.352,33.69667,"March 27, 98",0.01352
1998-03-30,33.66,33.82,33.51,33.61,189500.0,189500.0,0.05,0.149,33.64667,"March 30, 98",0.00149
1998-03-31,33.51,33.97,33.51,33.97,407600.0,407600.0,-0.46,-1.373,33.81667,"March 31, 98",-0.01373
1998-04-01,34.02,34.02,33.66,33.77,356300.0,356300.0,0.25,0.735,33.81667,"April 01, 98",0.00735
1998-04-02,33.82,34.27,33.82,34.07,486300.0,486300.0,-0.25,-0.739,34.05333,"April 02, 98",-0.00739
1998-04-03,34.12,34.53,33.82,33.92,203400.0,203400.0,0.2,0.586,34.09,"April 03, 98",0.00586
1998-04-06,33.92,34.37,33.92,34.02,407500.0,407500.0,-0.1,-0.295,34.10333,"April 06, 98",-0.00295
1998-04-07,34.02,34.02,33.61,33.66,250200.0,250200.0,0.36,1.058,33.76333,"April 07, 98",0.01058
1998-04-08,33.61,33.72,33.21,33.21,302800.0,302800.0,0.4,1.19,33.38,"April 08, 98",0.0119
1998-04-09,33.31,33.66,33.31,33.41,448000.0,448000.0,-0.1,-0.3,33.46,"April 09, 98",-0.003
1998-04-13,33.56,34.42,33.56,33.92,645600.0,645600.0,-0.36,-1.073,33.96667,"April 13, 98",-0.01073
1998-04-14,33.92,34.22,33.66,34.22,457900.0,457900.0,-0.3,-0.884,34.03333,"April 14, 98",-0.00884
1998-04-15,34.22,35.03,34.12,34.93,702400.0,702400.0,-0.71,-2.075,34.69333,"April 15, 98",-0.02075
1998-04-16,35.03,35.03,34.47,34.53,540100.0,540100.0,0.5,1.427,34.67667,"April 16, 98",0.01427
1998-04-17,34.42,34.88,34.32,34.83,251100.0,251100.0,-0.41,-1.191,34.67667,"April 17, 98",-0.01191
1998-04-20,34.83,34.83,34.37,34.53,146100.0,146100.0,0.3,0.861,34.57667,"April 20, 98",0.00861
1998-04-21,34.83,34.93,34.32,34.83,185900.0,185900.0,0.0,0.0,34.69333,"April 21, 98",0.0
1998-04-22,34.63,36.96,34.63,36.15,953800.0,953800.0,-1.52,-4.389,35.91333,"April 22, 98",-0.04389
1998-04-23,36.15,36.7,35.89,36.65,491000.0,491000.0,-0.5,-1.383,36.41333,"April 23, 98",-0.01383
1998-04-24,36.35,36.96,36.3,36.45,652600.0,652600.0,-0.1,-0.275,36.57,"April 24, 98",-0.00275
1998-04-27,36.09,36.09,34.12,35.13,476900.0,476900.0,0.96,2.66,35.11333,"April 27, 98",0.0266
1998-04-28,34.98,35.34,34.83,35.23,461300.0,461300.0,-0.25,-0.715,35.13333,"April 28, 98",-0.00715
1998-04-29,35.23,36.15,35.03,35.94,661700.0,661700.0,-0.71,-2.015,35.70667,"April 29, 98",-0.02015
1998-04-30,36.35,36.35,35.13,35.34,314400.0,314400.0,1.01,2.779,35.60667,"April 30, 98",0.02779
1998-05-01,35.44,35.49,35.13,35.44,91700.0,91700.0,0.0,0.0,35.35333,"May 01, 98",0.0
1998-05-04,35.03,35.44,35.03,35.03,211400.0,211400.0,0.0,0.0,35.16667,"May 04, 98",0.0
1998-05-05,34.83,35.18,34.42,34.47,180600.0,180600.0,0.36,1.034,34.69,"May 05, 98",0.01034
1998-05-06,35.03,35.34,34.73,34.98,660000.0,660000.0,0.05,0.143,35.01667,"May 06, 98",0.00143
1998-05-07,34.93,35.03,34.42,34.63,263000.0,263000.0,0.3,0.859,34.69333,"May 07, 98",0.00859
1998-05-08,34.42,35.44,34.42,35.23,413300.0,413300.0,-0.81,-2.353,35.03,"May 08, 98",-0.02353
1998-05-11,35.08,35.49,34.78,34.83,114800.0,114800.0,0.25,0.713,35.03333,"May 11, 98",0.00713
1998-05-12,35.03,35.18,34.42,35.18,754200.0,754200.0,-0.15,-0.428,34.92667,"May 12, 98",-0.00428
1998-05-13,35.13,35.44,34.83,34.98,447700.0,447700.0,0.15,0.427,35.08333,"May 13, 98",0.00427
1998-05-14,35.03,35.18,34.53,34.98,346400.0,346400.0,0.05,0.143,34.89667,"May 14, 98",0.00143
1998-05-15,34.83,35.03,34.37,34.42,251600.0,251600.0,0.41,1.177,34.60667,"May 15, 98",0.01177
1998-05-18,34.22,34.63,34.12,34.32,223800.0,223800.0,-0.1,-0.292,34.35667,"May 18, 98",-0.00292
1998-05-19,34.32,34.53,34.02,34.42,499200.0,499200.0,-0.1,-0.291,34.32333,"May 19, 98",-0.00291
1998-05-20,34.42,35.03,34.32,34.8,166100.0,166100.0,-0.38,-1.104,34.71667,"May 20, 98",-0.01104
1998-05-21,34.63,34.88,34.22,34.53,171300.0,171300.0,0.1,0.289,34.54333,"May 21, 98",0.00289
1998-05-22,34.42,34.73,34.15,34.17,664800.0,664800.0,0.25,0.726,34.35,"May 22, 98",0.00726
1998-05-26,34.32,34.83,33.41,33.56,478500.0,478500.0,0.76,2.214,33.93333,"May 26, 98",0.02214
1998-05-27,33.21,33.61,33.01,33.11,272900.0,272900.0,0.1,0.301,33.24333,"May 27, 98",0.00301
1998-05-28,33.01,33.41,33.01,33.26,220000.0,220000.0,-0.25,-0.757,33.22667,"May 28, 98",-0.00757
1998-05-29,33.41,33.72,33.21,33.31,962600.0,962600.0,0.1,0.299,33.41333,"May 29, 98",0.00299
1998-06-01,33.11,33.31,32.65,32.8,96700.0,96700.0,0.31,0.936,32.92,"June 01, 98",0.00936
1998-06-02,32.8,33.21,32.8,32.98,417400.0,417400.0,-0.18,-0.549,32.99667,"June 02, 98",-0.00549
1998-06-03,32.91,33.21,32.7,33.06,163700.0,163700.0,-0.15,-0.456,32.99,"June 03, 98",-0.00456
1998-06-04,33.06,33.16,32.3,33.16,482400.0,482400.0,-0.1,-0.302,32.87333,"June 04, 98",-0.00302
1998-06-05,33.01,33.21,32.91,33.06,196600.0,196600.0,-0.05,-0.151,33.06,"June 05, 98",-0.00151
1998-06-08,33.31,33.41,32.91,32.96,185900.0,185900.0,0.35,1.051,33.09333,"June 08, 98",0.01051
1998-06-09,32.96,33.16,32.6,33.01,112100.0,112100.0,-0.05,-0.152,32.92333,"June 09, 98",-0.00152
1998-06-10,32.5,33.06,32.5,32.6,156500.0,156500.0,-0.1,-0.308,32.72,"June 10, 98",-0.00308
1998-06-11,32.6,32.91,32.4,32.55,142800.0,142800.0,0.05,0.153,32.62,"June 11, 98",0.00153
1998-06-12,32.5,32.7,31.99,32.2,228400.0,228400.0,0.3,0.923,32.29667,"June 12, 98",0.00923
1998-06-15,32.15,32.15,31.29,31.34,541800.0,541800.0,0.81,2.519,31.59333,"June 15, 98",0.02519
1998-06-16,31.79,31.79,31.13,31.31,413900.0,413900.0,0.48,1.51,31.41,"June 16, 98",0.0151
1998-06-17,31.23,32.65,31.23,32.5,393200.0,393200.0,-1.27,-4.067,32.12667,"June 17, 98",-0.04067
1998-06-18,32.2,32.6,32.1,32.32,662300.0,662300.0,-0.12,-0.373,32.34,"June 18, 98",-0.00373
1998-06-19,32.25,32.45,32.15,32.2,400500.0,400500.0,0.05,0.155,32.26667,"June 19, 98",0.00155
1998-06-22,32.2,32.3,31.99,32.25,378600.0,378600.0,-0.05,-0.155,32.18,"June 22, 98",-0.00155
1998-06-23,32.2,32.3,31.79,32.1,589700.0,589700.0,0.1,0.311,32.06333,"June 23, 98",0.00311
1998-06-24,32.2,32.4,31.79,32.1,623800.0,623800.0,0.1,0.311,32.09667,"June 24, 98",0.00311
1998-06-25,31.89,32.4,31.64,32.15,511400.0,511400.0,-0.26,-0.815,32.06333,"June 25, 98",-0.00815
1998-06-26,32.2,32.5,32.2,32.5,502900.0,502900.0,-0.3,-0.932,32.4,"June 26, 98",-0.00932
1998-06-29,32.4,33.01,32.3,32.98,241900.0,241900.0,-0.58,-1.79,32.76333,"June 29, 98",-0.0179
1998-06-30,33.21,33.61,33.11,33.26,622100.0,622100.0,-0.05,-0.151,33.32667,"June 30, 98",-0.00151
1998-07-01,33.31,33.82,33.16,33.77,731900.0,731900.0,-0.46,-1.381,33.58333,"July 01, 98",-0.01381
1998-07-02,33.72,33.82,33.46,33.61,287500.0,287500.0,0.11,0.326,33.63,"July 02, 98",0.00326
1998-07-06,33.61,33.82,33.41,33.41,250500.0,250500.0,0.2,0.595,33.54667,"July 06, 98",0.00595
1998-07-07,33.41,33.72,33.26,33.36,178800.0,178800.0,0.05,0.15,33.44667,"July 07, 98",0.0015
1998-07-08,33.61,33.87,33.31,33.66,223400.0,223400.0,-0.05,-0.149,33.61333,"July 08, 98",-0.00149
1998-07-09,33.72,33.92,33.56,33.92,315600.0,315600.0,-0.2,-0.593,33.8,"July 09, 98",-0.00593
1998-07-10,33.77,34.12,33.77,34.02,426000.0,426000.0,-0.25,-0.74,33.97,"July 10, 98",-0.0074
1998-07-13,34.12,34.63,33.61,33.72,250100.0,250100.0,0.4,1.172,33.98667,"July 13, 98",0.01172
1998-07-14,33.51,34.12,33.51,34.12,255300.0,255300.0,-0.61,-1.82,33.91667,"July 14, 98",-0.0182
1998-07-15,33.82,34.32,33.72,33.87,182300.0,182300.0,-0.05,-0.148,33.97,"July 15, 98",-0.00148
1998-07-16,33.66,34.17,33.61,34.02,253900.0,253900.0,-0.36,-1.07,33.93333,"July 16, 98",-0.0107
1998-07-17,34.07,34.47,34.02,34.07,282900.0,282900.0,0.0,0.0,34.18667,"July 17, 98",0.0
1998-07-20,34.02,34.63,33.97,34.58,451600.0,451600.0,-0.56,-1.646,34.39333,"July 20, 98",-0.01646
1998-07-21,34.58,34.68,33.92,33.92,393400.0,393400.0,0.66,1.909,34.17333,"July 21, 98",0.01909
1998-07-22,33.82,33.92,33.01,33.51,343700.0,343700.0,0.31,0.917,33.48,"July 22, 98",0.00917
1998-07-23,33.21,33.56,33.01,33.16,192200.0,192200.0,0.05,0.151,33.24333,"July 23, 98",0.00151
1998-07-24,33.21,33.41,32.5,32.7,188000.0,188000.0,0.51,1.536,32.87,"July 24, 98",0.01536
1998-07-27,32.5,32.7,31.99,32.68,196500.0,196500.0,-0.18,-0.554,32.45667,"July 27, 98",-0.00554
1998-07-28,32.91,33.01,32.15,32.7,236600.0,236600.0,0.21,0.638,32.62,"July 28, 98",0.00638
1998-07-29,32.65,33.01,32.6,32.8,262500.0,262500.0,-0.15,-0.459,32.80333,"July 29, 98",-0.00459
1998-07-30,32.91,33.72,32.7,33.61,297600.0,297600.0,-0.7,-2.127,33.34333,"July 30, 98",-0.02127
1998-07-31,33.56,34.32,32.7,32.8,1838100.0,1838100.0,0.76,2.265,33.27333,"July 31, 98",0.02265
1998-08-03,32.85,33.01,31.89,32.96,479000.0,479000.0,-0.11,-0.335,32.62,"August 03, 98",-0.00335
1998-08-04,32.8,33.11,31.39,31.59,731900.0,731900.0,1.21,3.689,32.03,"August 04, 98",0.03689
1998-08-05,31.39,31.39,30.37,30.68,747600.0,747600.0,0.71,2.262,30.81333,"August 05, 98",0.02262
1998-08-06,30.42,31.44,30.17,31.13,1013900.0,1013900.0,-0.71,-2.334,30.91333,"August 06, 98",-0.02334
1998-08-07,31.39,31.64,30.78,31.18,646900.0,646900.0,0.21,0.669,31.2,"August 07, 98",0.00669
1998-08-10,30.98,31.18,30.58,30.78,475100.0,475100.0,0.2,0.646,30.84667,"August 10, 98",0.00646
1998-08-11,30.37,30.58,29.46,30.42,357700.0,357700.0,-0.05,-0.165,30.15333,"August 11, 98",-0.00165
1998-08-12,30.58,30.58,30.17,30.37,564000.0,564000.0,0.21,0.687,30.37333,"August 12, 98",0.00687
1998-08-13,30.32,30.42,29.56,30.37,708200.0,708200.0,-0.05,-0.165,30.11667,"August 13, 98",-0.00165
1998-08-14,30.32,30.88,30.12,30.48,951100.0,951100.0,-0.16,-0.528,30.49333,"August 14, 98",-0.00528
1998-08-17,30.68,30.78,30.22,30.27,569500.0,569500.0,0.41,1.336,30.42333,"August 17, 98",0.01336
1998-08-18,30.53,31.54,30.27,31.54,382300.0,382300.0,-1.01,-3.308,31.11667,"August 18, 98",-0.03308
1998-08-19,31.59,31.59,30.78,30.86,331100.0,331100.0,0.73,2.311,31.07667,"August 19, 98",0.02311
1998-08-20,30.78,30.98,29.97,30.07,258200.0,258200.0,0.71,2.307,30.34,"August 20, 98",0.02307
1998-08-21,30.02,30.02,28.65,29.61,373400.0,373400.0,0.41,1.366,29.42667,"August 21, 98",0.01366
1998-08-24,29.61,30.17,29.36,29.77,155300.0,155300.0,-0.16,-0.54,29.76667,"August 24, 98",-0.0054
1998-08-25,29.77,30.58,29.61,29.87,410100.0,410100.0,-0.1,-0.336,30.02,"August 25, 98",-0.00336
1998-08-26,32.7,33.11,31.64,32.25,6154900.0,6154900.0,0.45,1.376,32.33333,"August 26, 98",0.01376
1998-08-27,31.69,32.1,27.64,27.94,24194200.0,24194200.0,3.75,11.833,29.22667,"August 27, 98",0.11833
1998-08-28,29.16,29.36,28.05,28.55,3381400.0,3381400.0,0.61,2.092,28.65333,"August 28, 98",0.02092
1998-08-31,28.75,29.06,27.74,28.05,1590600.0,1590600.0,0.7,2.435,28.28333,"August 31, 98",0.02435
1998-09-01,27.54,27.64,26.43,27.64,1882800.0,1882800.0,-0.1,-0.363,27.23667,"September 01, 98",-0.00363
1998-09-02,27.59,27.84,26.88,27.54,2402200.0,2402200.0,0.05,0.181,27.42,"September 02, 98",0.00181
1998-09-03,27.24,27.6,27.03,27.39,914900.0,914900.0,-0.15,-0.551,27.34,"September 03, 98",-0.00551
1998-09-04,27.49,27.64,26.83,27.54,1302700.0,1302700.0,-0.05,-0.182,27.33667,"September 04, 98",-0.00182
1998-09-08,28.15,29.16,27.74,29.06,697500.0,697500.0,-0.91,-3.233,28.65333,"September 08, 98",-0.03233
1998-09-09,29.16,29.16,27.34,27.64,623200.0,623200.0,1.52,5.213,28.04667,"September 09, 98",0.05213
1998-09-10,27.64,27.64,26.63,27.49,700700.0,700700.0,0.15,0.543,27.25333,"September 10, 98",0.00543
1998-09-11,27.44,28.86,26.53,28.75,751100.0,751100.0,-1.31,-4.774,28.04667,"September 11, 98",-0.04774
1998-09-14,29.06,30.27,28.75,28.8,1184400.0,1184400.0,0.26,0.895,29.27333,"September 14, 98",0.00895
1998-09-15,28.35,28.45,27.84,28.25,1119500.0,1119500.0,0.1,0.353,28.18,"September 15, 98",0.00353
1998-09-16,28.35,29.36,28.25,29.36,831700.0,831700.0,-1.01,-3.563,28.99,"September 16, 98",-0.03563
1998-09-17,29.06,29.06,28.07,28.15,271200.0,271200.0,0.91,3.131,28.42667,"September 17, 98",0.03131
1998-09-18,28.35,28.65,27.64,28.15,1283800.0,1283800.0,0.2,0.705,28.14667,"September 18, 98",0.00705
1998-09-21,27.54,28.86,27.24,28.86,390700.0,390700.0,-1.32,-4.793,28.32,"September 21, 98",-0.04793
1998-09-22,28.96,28.96,28.15,28.7,370000.0,370000.0,0.26,0.898,28.60333,"September 22, 98",0.00898
1998-09-23,28.75,29.56,28.35,29.56,639100.0,639100.0,-0.81,-2.817,29.15667,"September 23, 98",-0.02817
1998-09-24,29.26,29.36,27.84,28.2,392200.0,392200.0,1.06,3.623,28.46667,"September 24, 98",0.03623
1998-09-25,27.89,29.31,27.84,29.01,322900.0,322900.0,-1.12,-4.016,28.72,"September 25, 98",-0.04016
1998-09-28,29.51,29.61,28.75,29.16,481700.0,481700.0,0.35,1.186,29.17333,"September 28, 98",0.01186
1998-09-29,29.16,29.61,28.96,29.16,655900.0,655900.0,0.0,0.0,29.24333,"September 29, 98",0.0
1998-09-30,29.16,29.46,28.75,29.36,540300.0,540300.0,-0.2,-0.686,29.19,"September 30, 98",-0.00686
1998-10-01,28.86,29.26,28.05,28.05,825000.0,825000.0,0.81,2.807,28.45333,"October 01, 98",0.02807
1998-10-02,28.15,28.65,27.84,28.45,691900.0,691900.0,-0.3,-1.066,28.31333,"October 02, 98",-0.01066
1998-10-05,28.1,28.45,27.39,28.3,476300.0,476300.0,-0.2,-0.712,28.04667,"October 05, 98",-0.00712
1998-10-06,28.86,29.16,27.49,27.94,336000.0,336000.0,0.92,3.188,28.19667,"October 06, 98",0.03188
1998-10-07,27.94,27.94,26.32,26.78,539000.0,539000.0,1.16,4.152,27.01333,"October 07, 98",0.04152
1998-10-08,26.17,26.17,23.39,24.5,1419000.0,1419000.0,1.67,6.381,24.68667,"October 08, 98",0.06381
1998-10-09,25.21,25.51,24.05,24.91,2403200.0,2403200.0,0.3,1.19,24.82333,"October 09, 98",0.0119
1998-10-12,25.72,26.27,25.46,25.97,475600.0,475600.0,-0.25,-0.972,25.9,"October 12, 98",-0.00972
1998-10-13,26.02,26.32,25.62,26.12,931600.0,931600.0,-0.1,-0.384,26.02,"October 13, 98",-0.00384
1998-10-14,26.17,27.69,26.02,27.13,1587500.0,1587500.0,-0.96,-3.668,26.94667,"October 14, 98",-0.03668
1998-10-15,27.44,29.01,27.13,28.78,764800.0,764800.0,-1.34,-4.883,28.30667,"October 15, 98",-0.04883
1998-10-16,29.36,29.56,28.6,29.16,612400.0,612400.0,0.2,0.681,29.10667,"October 16, 98",0.00681
1998-10-19,29.16,29.61,28.8,29.41,180800.0,180800.0,-0.25,-0.857,29.27333,"October 19, 98",-0.00857
1998-10-20,29.36,30.07,29.16,29.67,808500.0,808500.0,-0.31,-1.056,29.63333,"October 20, 98",-0.01056
1998-10-21,29.87,30.02,29.67,29.97,633400.0,633400.0,-0.1,-0.335,29.88667,"October 21, 98",-0.00335
1998-10-22,29.77,30.02,29.56,29.92,1603400.0,1603400.0,-0.15,-0.504,29.83333,"October 22, 98",-0.00504
1998-10-23,29.72,29.82,29.46,29.46,747100.0,747100.0,0.26,0.875,29.58,"October 23, 98",0.00875
1998-10-26,29.46,30.02,29.46,29.97,1100200.0,1100200.0,-0.51,-1.731,29.81667,"October 26, 98",-0.01731
1998-10-27,29.97,29.97,29.24,29.56,500100.0,500100.0,0.41,1.368,29.59,"October 27, 98",0.01368
1998-10-28,29.16,29.97,29.16,29.72,447600.0,447600.0,-0.56,-1.92,29.61667,"October 28, 98",-0.0192
1998-10-29,29.67,29.87,29.51,29.82,234200.0,234200.0,-0.15,-0.506,29.73333,"October 29, 98",-0.00506
1998-10-30,29.82,30.02,29.72,29.97,545400.0,545400.0,-0.15,-0.503,29.90333,"October 30, 98",-0.00503
1998-11-02,29.92,30.53,29.87,30.07,501300.0,501300.0,-0.15,-0.501,30.15667,"November 02, 98",-0.00501
