date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
1998-01-02,23.75,24.25,23.56,24.0,426300.0,426300.0,-0.25,-1.053,23.93667,"January 02, 98",-0.01053
1998-01-05,24.25,25.13,23.88,24.63,1209700.0,1209700.0,-0.38,-1.567,24.54667,"January 05, 98",-0.01567
1998-01-06,24.25,24.5,24.13,24.38,198500.0,198500.0,-0.13,-0.536,24.33667,"January 06, 98",-0.00536
1998-01-07,24.13,24.25,23.63,24.13,355200.0,355200.0,0.0,0.0,24.00333,"January 07, 98",0.0
1998-01-08,24.13,24.44,23.88,24.13,416000.0,416000.0,0.0,0.0,24.15,"January 08, 98",0.0
1998-01-09,23.88,24.0,23.38,23.44,157000.0,157000.0,0.44,1.843,23.60667,"January 09, 98",0.01843
1998-01-12,23.06,23.19,22.63,23.0,419100.0,419100.0,0.06,0.26,22.94,"January 12, 98",0.0026
1998-01-13,23.0,23.56,22.88,23.25,419900.0,419900.0,-0.25,-1.087,23.23,"January 13, 98",-0.01087
1998-01-14,23.5,24.75,23.5,24.75,380300.0,380300.0,-1.25,-5.319,24.33333,"January 14, 98",-0.05319
1998-01-15,24.75,25.25,24.5,24.63,317100.0,317100.0,0.12,0.485,24.79333,"January 15, 98",0.00485
1998-01-16,24.63,25.56,24.5,25.06,291600.0,291600.0,-0.43,-1.746,25.04,"January 16, 98",-0.01746
1998-01-20,25.0,25.88,24.94,25.88,300300.0,300300.0,-0.88,-3.52,25.56667,"January 20, 98",-0.0352
1998-01-21,25.75,26.38,25.0,26.25,236100.0,236100.0,-0.5,-1.942,25.87667,"January 21, 98",-0.01942
1998-01-22,26.25,26.44,25.69,26.13,417300.0,417300.0,0.12,0.457,26.08667,"January 22, 98",0.00457
1998-01-23,25.81,25.88,24.56,25.13,403900.0,403900.0,0.68,2.635,25.19,"January 23, 98",0.02635
1998-01-26,25.0,26.0,24.5,25.81,136600.0,136600.0,-0.81,-3.24,25.43667,"January 26, 98",-0.0324
1998-01-27,25.56,25.81,25.0,25.38,251300.0,251300.0,0.18,0.704,25.39667,"January 27, 98",0.00704
1998-01-28,24.75,25.19,24.75,25.19,242100.0,242100.0,-0.44,-1.778,25.04333,"January 28, 98",-0.01778
1998-01-29,25.19,25.81,24.63,25.38,503600.0,503600.0,-0.19,-0.754,25.27333,"January 29, 98",-0.00754
1998-01-30,25.63,25.88,25.38,25.75,477700.0,477700.0,-0.12,-0.468,25.67,"January 30, 98",-0.00468
1998-02-02,27.0,27.94,26.56,27.63,1353900.0,1353900.0,-0.63,-2.333,27.37667,"February 02, 98",-0.02333
1998-02-03,27.63,27.81,25.5,26.81,1114400.0,1114400.0,0.82,2.968,26.70667,"February 03, 98",0.02968
1998-02-04,26.69,27.06,26.31,27.06,401600.0,401600.0,-0.37,-1.386,26.81,"February 04, 98",-0.01386
1998-02-05,27.06,27.25,26.5,26.88,212500.0,212500.0,0.18,0.665,26.87667,"February 05, 98",0.00665
1998-02-06,26.88,27.0,26.69,26.88,368700.0,368700.0,0.0,0.0,26.85667,"February 06, 98",0.0
1998-02-09,26.88,27.13,26.5,27.13,216900.0,216900.0,-0.25,-0.93,26.92,"February 09, 98",-0.0093
1998-02-10,27.06,27.19,26.75,27.06,383000.0,383000.0,0.0,0.0,27.0,"February 10, 98",0.0
1998-02-11,26.63,27.13,26.63,27.13,231500.0,231500.0,-0.5,-1.878,26.96333,"February 11, 98",-0.01878
1998-02-12,27.13,27.88,26.94,27.81,240800.0,240800.0,-0.68,-2.506,27.54333,"February 12, 98",-0.02506
1998-02-13,27.44,27.63,27.25,27.5,146100.0,146100.0,-0.06,-0.219,27.46,"February 13, 98",-0.00219
1998-02-17,27.25,27.5,27.25,27.38,165300.0,165300.0,-0.13,-0.477,27.37667,"February 17, 98",-0.00477
1998-02-18,27.25,27.5,26.69,27.0,275600.0,275600.0,0.25,0.917,27.06333,"February 18, 98",0.00917
1998-02-19,27.0,27.88,26.63,27.63,374300.0,374300.0,-0.63,-2.333,27.38,"February 19, 98",-0.02333
1998-02-20,27.5,28.94,27.44,28.44,516000.0,516000.0,-0.94,-3.418,28.27333,"February 20, 98",-0.03418
1998-02-23,28.19,28.44,27.69,28.0,273700.0,273700.0,0.19,0.674,28.04333,"February 23, 98",0.00674
1998-02-24,27.94,28.56,27.88,28.13,279200.0,279200.0,-0.19,-0.68,28.19,"February 24, 98",-0.0068
1998-02-25,28.0,29.0,28.0,28.44,223700.0,223700.0,-0.44,-1.571,28.48,"February 25, 98",-0.01571
1998-02-26,28.63,28.75,28.38,28.56,131400.0,131400.0,0.07,0.244,28.56333,"February 26, 98",0.00244
1998-02-27,28.25,28.5,27.75,28.25,256300.0,256300.0,0.0,0.0,28.16667,"February 27, 98",0.0
1998-03-02,28.06,28.44,27.94,28.0,330700.0,330700.0,0.06,0.214,28.12667,"March 02, 98",0.00214
1998-03-03,27.75,28.19,27.38,27.88,128900.0,128900.0,-0.13,-0.468,27.81667,"March 03, 98",-0.00468
1998-03-04,27.63,28.0,27.63,28.0,113700.0,113700.0,-0.37,-1.339,27.87667,"March 04, 98",-0.01339
1998-03-05,27.44,28.19,27.44,27.75,152100.0,152100.0,-0.31,-1.13,27.79333,"March 05, 98",-0.0113
1998-03-06,27.75,28.06,27.5,28.0,211200.0,211200.0,-0.25,-0.901,27.85333,"March 06, 98",-0.00901
1998-03-09,28.19,28.44,27.88,28.31,89900.0,89900.0,-0.12,-0.426,28.21,"March 09, 98",-0.00426
1998-03-10,28.31,29.88,28.31,29.44,420200.0,420200.0,-1.13,-3.992,29.21,"March 10, 98",-0.03992
1998-03-11,29.5,29.5,28.94,29.13,150100.0,150100.0,0.37,1.254,29.19,"March 11, 98",0.01254
1998-03-12,29.25,30.5,28.75,29.88,463500.0,463500.0,-0.63,-2.154,29.71,"March 12, 98",-0.02154
1998-03-13,30.13,30.31,29.5,29.63,340000.0,340000.0,0.5,1.659,29.81333,"March 13, 98",0.01659
1998-03-16,30.13,30.75,30.06,30.44,288300.0,288300.0,-0.31,-1.029,30.41667,"March 16, 98",-0.01029
1998-03-17,29.63,29.88,29.0,29.38,326800.0,326800.0,0.25,0.844,29.42,"March 17, 98",0.00844
1998-03-18,29.25,29.31,28.81,29.25,601600.0,601600.0,0.0,0.0,29.12333,"March 18, 98",0.0
1998-03-19,29.25,30.63,29.19,30.25,518700.0,518700.0,-1.0,-3.419,30.02333,"March 19, 98",-0.03419
1998-03-20,30.38,30.69,29.81,29.88,245500.0,245500.0,0.5,1.646,30.12667,"March 20, 98",0.01646
1998-03-23,29.88,30.69,29.69,30.19,217200.0,217200.0,-0.31,-1.037,30.19,"March 23, 98",-0.01037
1998-03-24,30.44,30.94,30.25,30.81,194500.0,194500.0,-0.37,-1.216,30.66667,"March 24, 98",-0.01216
1998-03-25,31.0,31.0,30.13,30.25,166300.0,166300.0,0.75,2.419,30.46,"March 25, 98",0.02419
1998-03-26,30.0,30.19,29.5,30.19,192600.0,192600.0,-0.19,-0.633,29.96,"March 26, 98",-0.00633
1998-03-27,30.0,30.0,29.63,29.88,121400.0,121400.0,0.12,0.4,29.83667,"March 27, 98",0.004
1998-03-30,29.5,30.25,29.5,29.94,492700.0,492700.0,-0.44,-1.492,29.89667,"March 30, 98",-0.01492
1998-03-31,29.75,30.19,29.69,30.06,525000.0,525000.0,-0.31,-1.042,29.98,"March 31, 98",-0.01042
1998-04-01,30.06,30.19,29.63,29.94,218000.0,218000.0,0.12,0.399,29.92,"April 01, 98",0.00399
1998-04-02,30.0,30.06,29.38,29.38,79300.0,79300.0,0.62,2.067,29.60667,"April 02, 98",0.02067
1998-04-03,29.63,29.88,29.0,29.5,236900.0,236900.0,0.13,0.439,29.46,"April 03, 98",0.00439
1998-04-06,29.75,29.94,29.31,29.69,137600.0,137600.0,0.06,0.202,29.64667,"April 06, 98",0.00202
1998-04-07,29.5,29.75,29.13,29.5,580800.0,580800.0,0.0,0.0,29.46,"April 07, 98",0.0
1998-04-08,29.5,29.75,29.0,29.25,197700.0,197700.0,0.25,0.847,29.33333,"April 08, 98",0.00847
1998-04-09,29.25,29.38,28.88,29.13,316500.0,316500.0,0.12,0.41,29.13,"April 09, 98",0.0041
1998-04-13,29.13,29.38,28.56,29.13,108900.0,108900.0,0.0,0.0,29.02333,"April 13, 98",0.0
1998-04-14,28.56,28.69,28.38,28.5,368500.0,368500.0,0.06,0.21,28.52333,"April 14, 98",0.0021
1998-04-15,28.31,28.31,27.88,27.94,481500.0,481500.0,0.37,1.307,28.04333,"April 15, 98",0.01307
1998-04-16,27.94,28.0,27.5,27.94,105700.0,105700.0,0.0,0.0,27.81333,"April 16, 98",0.0
1998-04-17,28.0,28.19,27.88,27.94,117600.0,117600.0,0.06,0.214,28.00333,"April 17, 98",0.00214
1998-04-20,28.0,28.44,27.75,27.81,554200.0,554200.0,0.19,0.679,28.0,"April 20, 98",0.00679
1998-04-21,27.81,28.06,27.56,28.0,360200.0,360200.0,-0.19,-0.683,27.87333,"April 21, 98",-0.00683
1998-04-22,27.88,28.88,27.63,28.81,303900.0,303900.0,-0.93,-3.336,28.44,"April 22, 98",-0.03336
1998-04-23,28.5,28.94,28.38,28.5,251700.0,251700.0,0.0,0.0,28.60667,"April 23, 98",0.0
1998-04-24,28.13,28.5,27.88,28.06,199600.0,199600.0,0.07,0.249,28.14667,"April 24, 98",0.00249
1998-04-27,27.81,27.88,26.88,27.56,416500.0,416500.0,0.25,0.899,27.44,"April 27, 98",0.00899
1998-04-28,27.44,28.19,27.44,27.88,324800.0,324800.0,-0.44,-1.603,27.83667,"April 28, 98",-0.01603
1998-04-29,27.75,27.88,27.25,27.5,220700.0,220700.0,0.25,0.901,27.54333,"April 29, 98",0.00901
1998-04-30,27.94,28.38,27.88,28.13,187000.0,187000.0,-0.19,-0.68,28.13,"April 30, 98",-0.0068
1998-05-01,28.0,28.0,27.25,27.75,181300.0,181300.0,0.25,0.893,27.66667,"May 01, 98",0.00893
1998-05-04,27.94,28.0,27.5,27.81,115800.0,115800.0,0.13,0.465,27.77,"May 04, 98",0.00465
1998-05-05,27.81,27.81,27.38,27.5,279900.0,279900.0,0.31,1.115,27.56333,"May 05, 98",0.01115
1998-05-06,27.5,28.0,27.19,27.5,120100.0,120100.0,0.0,0.0,27.56333,"May 06, 98",0.0
1998-05-07,27.5,28.88,27.5,28.5,144900.0,144900.0,-1.0,-3.636,28.29333,"May 07, 98",-0.03636
1998-05-08,28.75,29.88,28.5,29.5,173600.0,173600.0,-0.75,-2.609,29.29333,"May 08, 98",-0.02609
1998-05-11,29.5,30.38,29.5,29.88,289800.0,289800.0,-0.38,-1.288,29.92,"May 11, 98",-0.01288
1998-05-12,29.88,30.0,29.0,30.0,169200.0,169200.0,-0.12,-0.402,29.66667,"May 12, 98",-0.00402
1998-05-13,30.31,30.31,29.13,29.44,173900.0,173900.0,0.87,2.87,29.62667,"May 13, 98",0.0287
1998-05-14,29.5,29.5,29.13,29.13,147400.0,147400.0,0.37,1.254,29.25333,"May 14, 98",0.01254
1998-05-15,29.25,29.88,29.25,29.75,155000.0,155000.0,-0.5,-1.709,29.62667,"May 15, 98",-0.01709
1998-05-18,29.56,31.25,29.56,30.94,556100.0,556100.0,-1.38,-4.668,30.58333,"May 18, 98",-0.04668
1998-05-19,31.0,31.19,30.38,30.88,861300.0,861300.0,0.12,0.387,30.81667,"May 19, 98",0.00387
1998-05-20,31.0,31.38,30.75,31.0,508800.0,508800.0,0.0,0.0,31.04333,"May 20, 98",0.0
1998-05-21,31.0,31.19,30.38,30.75,209400.0,209400.0,0.25,0.806,30.77333,"May 21, 98",0.00806
1998-05-22,30.63,30.63,30.38,30.63,194900.0,194900.0,0.0,0.0,30.54667,"May 22, 98",0.0
1998-05-26,30.88,31.0,29.88,29.88,200700.0,200700.0,1.0,3.238,30.25333,"May 26, 98",0.03238
1998-05-27,29.31,29.75,29.0,29.75,124400.0,124400.0,-0.44,-1.501,29.5,"May 27, 98",-0.01501
1998-05-28,29.31,30.5,29.31,30.19,98900.0,98900.0,-0.88,-3.002,30.0,"May 28, 98",-0.03002
1998-05-29,29.94,30.75,29.94,30.5,126400.0,126400.0,-0.56,-1.87,30.39667,"May 29, 98",-0.0187
1998-06-01,30.5,30.5,29.5,29.75,79900.0,79900.0,0.75,2.459,29.91667,"June 01, 98",0.02459
1998-06-02,29.5,29.63,29.0,29.13,110200.0,110200.0,0.37,1.254,29.25333,"June 02, 98",0.01254
1998-06-03,29.13,29.38,28.75,28.75,143400.0,143400.0,0.38,1.304,28.96,"June 03, 98",0.01304
1998-06-04,28.75,28.88,27.88,28.5,197800.0,197800.0,0.25,0.87,28.42,"June 04, 98",0.0087
1998-06-05,28.5,28.94,28.0,28.31,138300.0,138300.0,0.19,0.667,28.41667,"June 05, 98",0.00667
1998-06-08,28.25,28.69,28.13,28.44,120600.0,120600.0,-0.19,-0.673,28.42,"June 08, 98",-0.00673
1998-06-09,28.31,29.44,28.13,29.25,238100.0,238100.0,-0.94,-3.32,28.94,"June 09, 98",-0.0332
1998-06-10,28.56,28.88,28.13,28.5,137700.0,137700.0,0.06,0.21,28.50333,"June 10, 98",0.0021
1998-06-11,28.44,28.56,27.88,28.25,138100.0,138100.0,0.19,0.668,28.23,"June 11, 98",0.00668
1998-06-12,28.0,28.63,27.63,28.5,104200.0,104200.0,-0.5,-1.786,28.25333,"June 12, 98",-0.01786
