date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
1998-07-01,16.83,17.13,16.63,17.0,20818600.0,20818600.0,-0.17,-1.01,16.92,"July 01, 98",-0.0101
1998-07-02,17.04,17.17,17.0,17.13,3037200.0,3037200.0,-0.09,-0.528,17.1,"July 02, 98",-0.00528
1998-07-06,17.13,17.33,17.0,17.25,1737700.0,1737700.0,-0.12,-0.701,17.19333,"July 06, 98",-0.00701
1998-07-07,17.33,17.33,17.0,17.0,1077000.0,1077000.0,0.33,1.904,17.11,"July 07, 98",0.01904
1998-07-08,17.08,17.17,17.0,17.13,1180500.0,1180500.0,-0.05,-0.293,17.1,"July 08, 98",-0.00293
1998-07-09,17.08,17.29,17.0,17.25,1443900.0,1443900.0,-0.17,-0.995,17.18,"July 09, 98",-0.00995
1998-07-10,17.33,17.63,17.21,17.21,1117300.0,1117300.0,0.12,0.692,17.35,"July 10, 98",0.00692
1998-07-13,17.17,17.21,17.0,17.17,790800.0,790800.0,0.0,0.0,17.12667,"July 13, 98",0.0
1998-07-14,17.17,17.25,17.04,17.04,1276300.0,1276300.0,0.13,0.757,17.11,"July 14, 98",0.00757
1998-07-15,17.0,17.33,17.0,17.33,863400.0,863400.0,-0.33,-1.941,17.22,"July 15, 98",-0.01941
1998-07-16,17.17,17.29,17.0,17.13,1084500.0,1084500.0,0.04,0.233,17.14,"July 16, 98",0.00233
1998-07-17,17.0,17.42,16.92,17.33,1201600.0,1201600.0,-0.33,-1.941,17.22333,"July 17, 98",-0.01941
1998-07-20,17.33,18.25,17.33,18.25,995500.0,995500.0,-0.92,-5.309,17.94333,"July 20, 98",-0.05309
1998-07-21,18.25,18.29,17.5,17.71,784600.0,784600.0,0.54,2.959,17.83333,"July 21, 98",0.02959
1998-07-22,17.5,17.67,16.96,17.08,1497900.0,1497900.0,0.42,2.4,17.23667,"July 22, 98",0.024
1998-07-23,17.17,17.21,16.5,17.0,1248300.0,1248300.0,0.17,0.99,16.90333,"July 23, 98",0.0099
1998-07-24,17.17,17.38,17.08,17.33,1009800.0,1009800.0,-0.16,-0.932,17.26333,"July 24, 98",-0.00932
1998-07-27,17.33,17.54,17.17,17.25,843600.0,843600.0,0.08,0.462,17.32,"July 27, 98",0.00462
1998-07-28,17.29,17.38,16.67,16.67,2081800.0,2081800.0,0.62,3.586,16.90667,"July 28, 98",0.03586
1998-07-29,16.67,16.83,16.33,16.42,1331400.0,1331400.0,0.25,1.5,16.52667,"July 29, 98",0.015
1998-07-30,16.54,16.67,16.33,16.67,1982400.0,1982400.0,-0.13,-0.786,16.55667,"July 30, 98",-0.00786
1998-07-31,16.67,17.08,16.58,16.67,1093600.0,1093600.0,0.0,0.0,16.77667,"July 31, 98",0.0
1998-08-03,16.67,16.67,16.21,16.25,1009000.0,1009000.0,0.42,2.519,16.37667,"August 03, 98",0.02519
1998-08-04,16.21,16.21,15.25,15.33,1245900.0,1245900.0,0.88,5.429,15.59667,"August 04, 98",0.05429
1998-08-05,15.17,15.42,14.63,14.63,654100.0,654100.0,0.54,3.56,14.89333,"August 05, 98",0.0356
1998-08-06,14.71,14.79,14.58,14.58,589200.0,589200.0,0.13,0.884,14.65,"August 06, 98",0.00884
1998-08-07,14.67,15.08,14.58,14.75,1100200.0,1100200.0,-0.08,-0.545,14.80333,"August 07, 98",-0.00545
1998-08-10,14.75,15.96,14.67,15.42,321700.0,321700.0,-0.67,-4.542,15.35,"August 10, 98",-0.04542
1998-08-11,15.17,15.17,14.67,14.67,334000.0,334000.0,0.5,3.296,14.83667,"August 11, 98",0.03296
1998-08-12,15.17,15.17,14.63,14.67,513600.0,513600.0,0.5,3.296,14.82333,"August 12, 98",0.03296
1998-08-13,14.67,14.71,14.5,14.5,969000.0,969000.0,0.17,1.159,14.57,"August 13, 98",0.01159
1998-08-14,15.0,15.0,14.63,14.67,229300.0,229300.0,0.33,2.2,14.76667,"August 14, 98",0.022
1998-08-17,14.83,14.92,14.67,14.67,319900.0,319900.0,0.16,1.079,14.75333,"August 17, 98",0.01079
1998-08-18,14.67,14.71,14.58,14.67,211900.0,211900.0,0.0,0.0,14.65333,"August 18, 98",0.0
1998-08-19,14.75,14.83,14.63,14.63,97800.0,97800.0,0.12,0.814,14.69667,"August 19, 98",0.00814
1998-08-20,14.79,14.92,14.63,14.67,378700.0,378700.0,0.12,0.811,14.74,"August 20, 98",0.00811
1998-08-21,14.58,14.58,13.42,13.67,514000.0,514000.0,0.91,6.241,13.89,"August 21, 98",0.06241
1998-08-24,13.75,14.0,13.75,13.79,274000.0,274000.0,-0.04,-0.291,13.84667,"August 24, 98",-0.00291
1998-08-25,13.96,14.46,13.83,13.88,280900.0,280900.0,0.08,0.573,14.05667,"August 25, 98",0.00573
1998-08-26,13.83,14.0,13.75,13.96,63600.0,63600.0,-0.13,-0.94,13.90333,"August 26, 98",-0.0094
1998-08-27,13.83,13.83,12.58,12.58,367200.0,367200.0,1.25,9.038,12.99667,"August 27, 98",0.09038
