date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
1998-01-02,2.4,2.41,2.33,2.35,10417600.0,10417600.0,0.05,2.083,2.36333,"January 02, 98",0.02083
1998-01-05,2.35,2.36,2.3,2.32,11209600.0,11209600.0,0.03,1.277,2.32667,"January 05, 98",0.01277
1998-01-06,2.32,2.34,2.22,2.23,19692800.0,19692800.0,0.09,3.879,2.26333,"January 06, 98",0.03879
1998-01-07,2.22,2.28,2.14,2.17,34627200.0,34627200.0,0.05,2.252,2.19667,"January 07, 98",0.02252
1998-01-08,2.16,2.25,2.13,2.23,27084800.0,27084800.0,-0.07,-3.241,2.20333,"January 08, 98",-0.03241
1998-01-09,2.23,2.25,2.15,2.2,11529600.0,11529600.0,0.03,1.345,2.2,"January 09, 98",0.01345
1998-01-12,2.16,2.21,2.14,2.2,16382400.0,16382400.0,-0.04,-1.852,2.18333,"January 12, 98",-0.01852
1998-01-13,2.21,2.23,2.19,2.22,7646400.0,7646400.0,-0.01,-0.452,2.21333,"January 13, 98",-0.00452
1998-01-14,2.23,2.23,2.19,2.2,5846400.0,5846400.0,0.03,1.345,2.20667,"January 14, 98",0.01345
1998-01-15,2.2,2.2,2.11,2.13,12763200.0,12763200.0,0.07,3.182,2.14667,"January 15, 98",0.03182
1998-01-16,2.15,2.15,2.11,2.13,17507200.0,17507200.0,0.02,0.93,2.13,"January 16, 98",0.0093
1998-01-20,2.14,2.21,2.13,2.2,15732800.0,15732800.0,-0.06,-2.804,2.18,"January 20, 98",-0.02804
1998-01-21,2.19,2.2,2.13,2.13,9513600.0,9513600.0,0.06,2.74,2.15333,"January 21, 98",0.0274
1998-01-22,2.14,2.29,2.1,2.13,31217600.0,31217600.0,0.01,0.467,2.17333,"January 22, 98",0.00467
1998-01-23,2.15,2.22,2.13,2.18,14952000.0,14952000.0,-0.03,-1.395,2.17667,"January 23, 98",-0.01395
1998-01-26,2.2,2.2,2.13,2.14,12900800.0,12900800.0,0.06,2.727,2.15667,"January 26, 98",0.02727
1998-01-27,2.14,2.15,2.07,2.1,13643200.0,13643200.0,0.04,1.869,2.10667,"January 27, 98",0.01869
1998-01-28,2.12,2.2,2.11,2.18,20731200.0,20731200.0,-0.06,-2.83,2.16333,"January 28, 98",-0.0283
1998-01-29,2.2,2.32,2.19,2.29,37404800.0,37404800.0,-0.09,-4.091,2.26667,"January 29, 98",-0.04091
1998-01-30,2.29,2.3,2.27,2.29,10126400.0,10126400.0,0.0,0.0,2.28667,"January 30, 98",0.0
1998-02-02,2.31,2.37,2.29,2.36,21726400.0,21726400.0,-0.05,-2.165,2.34,"February 02, 98",-0.02165
1998-02-03,2.37,2.41,2.33,2.4,16486400.0,16486400.0,-0.03,-1.266,2.38,"February 03, 98",-0.01266
1998-02-04,2.36,2.44,2.35,2.43,12388800.0,12388800.0,-0.07,-2.966,2.40667,"February 04, 98",-0.02966
1998-02-05,2.44,2.44,2.33,2.36,11691200.0,11691200.0,0.08,3.279,2.37667,"February 05, 98",0.03279
1998-02-06,2.37,2.45,2.37,2.38,14054400.0,14054400.0,-0.01,-0.422,2.4,"February 06, 98",-0.00422
1998-02-09,2.4,2.41,2.28,2.29,19409600.0,19409600.0,0.11,4.583,2.32667,"February 09, 98",0.04583
1998-02-10,2.31,2.33,2.25,2.3,15091200.0,15091200.0,0.01,0.433,2.29333,"February 10, 98",0.00433
1998-02-11,2.31,2.4,2.29,2.36,20086400.0,20086400.0,-0.05,-2.165,2.35,"February 11, 98",-0.02165
1998-02-12,2.37,2.37,2.34,2.36,13147200.0,13147200.0,0.01,0.422,2.35667,"February 12, 98",0.00422
1998-02-13,2.36,2.39,2.35,2.37,7017600.0,7017600.0,-0.01,-0.424,2.37,"February 13, 98",-0.00424
1998-02-17,2.38,2.42,2.37,2.4,13332800.0,13332800.0,-0.02,-0.84,2.39667,"February 17, 98",-0.0084
1998-02-18,2.4,2.43,2.39,2.41,6264000.0,6264000.0,-0.01,-0.417,2.41,"February 18, 98",-0.00417
1998-02-19,2.41,2.41,2.31,2.32,13457600.0,13457600.0,0.09,3.734,2.34667,"February 19, 98",0.03734
1998-02-20,2.33,2.36,2.29,2.34,14806400.0,14806400.0,-0.01,-0.429,2.33,"February 20, 98",-0.00429
1998-02-23,2.34,2.39,2.34,2.36,9787200.0,9787200.0,-0.02,-0.855,2.36333,"February 23, 98",-0.00855
1998-02-24,2.37,2.39,2.25,2.29,22504000.0,22504000.0,0.08,3.376,2.31,"February 24, 98",0.03376
1998-02-25,2.3,2.38,2.3,2.36,18513600.0,18513600.0,-0.06,-2.609,2.34667,"February 25, 98",-0.02609
1998-02-26,2.38,2.51,2.37,2.49,41009600.0,41009600.0,-0.11,-4.622,2.45667,"February 26, 98",-0.04622
1998-02-27,2.48,2.5,2.45,2.47,19204800.0,19204800.0,0.01,0.403,2.47333,"February 27, 98",0.00403
1998-03-02,2.47,2.57,2.47,2.54,30099200.0,30099200.0,-0.07,-2.834,2.52667,"March 02, 98",-0.02834
1998-03-03,2.54,2.58,2.51,2.52,17264000.0,17264000.0,0.02,0.787,2.53667,"March 03, 98",0.00787
1998-03-04,2.52,2.53,2.43,2.47,15409600.0,15409600.0,0.05,1.984,2.47667,"March 04, 98",0.01984
1998-03-05,2.39,2.45,2.38,2.41,9768000.0,9768000.0,-0.02,-0.837,2.41333,"March 05, 98",-0.00837
1998-03-06,2.42,2.49,2.41,2.45,13712000.0,13712000.0,-0.03,-1.24,2.45,"March 06, 98",-0.0124
1998-03-09,2.43,2.52,2.42,2.5,13337600.0,13337600.0,-0.07,-2.881,2.48,"March 09, 98",-0.02881
1998-03-10,2.51,2.53,2.47,2.52,9052800.0,9052800.0,-0.01,-0.398,2.50667,"March 10, 98",-0.00398
1998-03-11,2.59,2.63,2.57,2.61,19238400.0,19238400.0,-0.02,-0.772,2.60333,"March 11, 98",-0.00772
1998-03-12,2.62,2.62,2.53,2.56,8198400.0,8198400.0,0.06,2.29,2.57,"March 12, 98",0.0229
1998-03-13,2.56,2.57,2.52,2.53,6182400.0,6182400.0,0.03,1.172,2.54,"March 13, 98",0.01172
1998-03-16,2.53,2.54,2.51,2.53,3256000.0,3256000.0,0.0,0.0,2.52667,"March 16, 98",0.0
1998-03-17,2.52,2.59,2.5,2.56,8643200.0,8643200.0,-0.04,-1.587,2.55,"March 17, 98",-0.01587
1998-03-18,2.57,2.59,2.55,2.56,4316800.0,4316800.0,0.01,0.389,2.56667,"March 18, 98",0.00389
1998-03-19,2.56,2.57,2.54,2.55,6728000.0,6728000.0,0.01,0.391,2.55333,"March 19, 98",0.00391
1998-03-20,2.57,2.62,2.55,2.6,12780800.0,12780800.0,-0.03,-1.167,2.59,"March 20, 98",-0.01167
1998-03-23,2.61,2.61,2.54,2.55,3448000.0,3448000.0,0.06,2.299,2.56667,"March 23, 98",0.02299
1998-03-24,2.56,2.63,2.53,2.62,12320000.0,12320000.0,-0.06,-2.344,2.59333,"March 24, 98",-0.02344
1998-03-25,2.63,2.7,2.61,2.66,19796800.0,19796800.0,-0.03,-1.141,2.65667,"March 25, 98",-0.01141
1998-03-26,2.64,2.7,2.59,2.69,16790400.0,16790400.0,-0.05,-1.894,2.66,"March 26, 98",-0.01894
1998-03-27,2.7,2.7,2.65,2.67,9328000.0,9328000.0,0.03,1.111,2.67333,"March 27, 98",0.01111
1998-03-30,2.72,2.82,2.72,2.8,33296000.0,33296000.0,-0.08,-2.941,2.78,"March 30, 98",-0.02941
1998-03-31,2.8,2.9,2.79,2.83,24040000.0,24040000.0,-0.03,-1.071,2.84,"March 31, 98",-0.01071
1998-04-01,2.84,2.9,2.8,2.88,29579200.0,29579200.0,-0.04,-1.408,2.86,"April 01, 98",-0.01408
1998-04-02,2.87,2.98,2.87,2.89,28865600.0,28865600.0,-0.02,-0.697,2.91333,"April 02, 98",-0.00697
1998-04-03,2.88,2.93,2.83,2.9,15577600.0,15577600.0,-0.02,-0.694,2.88667,"April 03, 98",-0.00694
1998-04-06,2.91,2.95,2.76,2.78,17155200.0,17155200.0,0.13,4.467,2.83,"April 06, 98",0.04467
1998-04-07,2.77,2.78,2.7,2.73,13648000.0,13648000.0,0.04,1.444,2.73667,"April 07, 98",0.01444
1998-04-08,2.74,2.74,2.7,2.71,7038400.0,7038400.0,0.03,1.095,2.71667,"April 08, 98",0.01095
1998-04-09,2.71,2.72,2.66,2.7,9272000.0,9272000.0,0.01,0.369,2.69333,"April 09, 98",0.00369
1998-04-13,2.7,2.74,2.7,2.72,9521600.0,9521600.0,-0.02,-0.741,2.72,"April 13, 98",-0.00741
1998-04-14,2.71,2.8,2.71,2.78,11801600.0,11801600.0,-0.07,-2.583,2.76333,"April 14, 98",-0.02583
1998-04-15,2.79,2.86,2.78,2.84,11121600.0,11121600.0,-0.05,-1.792,2.82667,"April 15, 98",-0.01792
1998-04-16,2.81,2.84,2.77,2.82,4675200.0,4675200.0,-0.01,-0.356,2.81,"April 16, 98",-0.00356
1998-04-17,2.8,2.85,2.8,2.85,9004800.0,9004800.0,-0.05,-1.786,2.83333,"April 17, 98",-0.01786
1998-04-20,2.82,2.88,2.82,2.84,5305600.0,5305600.0,-0.02,-0.709,2.84667,"April 20, 98",-0.00709
1998-04-21,2.84,2.84,2.76,2.83,9971200.0,9971200.0,0.01,0.352,2.81,"April 21, 98",0.00352
1998-04-22,2.83,2.93,2.82,2.91,10694400.0,10694400.0,-0.08,-2.827,2.88667,"April 22, 98",-0.02827
