date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2017-11-15,18.55,19.21,17.76,18.0,8269647.0,8269647.0,18.0,0.0,18.3538,"Nov 15, 17",0.0
2017-11-16,18.2,18.6229,18.02,18.13,1025354.0,1025354.0,0.13,0.722,18.2772,"Nov 16, 17",0.007222222222222167
2017-11-17,18.01,18.73,17.5,18.61,931497.0,931497.0,0.48,2.648,18.0535,"Nov 17, 17",0.03388888888888886
2017-11-20,18.55,20.81,18.452,20.81,697079.0,697079.0,2.2,11.822,20.0389,"Nov 20, 17",0.15611111111111103
2017-11-21,20.81,21.5,20.26,20.83,511243.0,511243.0,0.02,0.096,20.8988,"Nov 21, 17",0.15722222222222212
2017-11-22,20.88,21.029,19.4388,20.07,315861.0,315861.0,-0.76,-3.649,20.0997,"Nov 22, 17",0.11500000000000002
2017-11-24,20.09,20.24,19.55,20.07,62120.0,62120.0,0.0,0.0,19.8815,"Nov 24, 17",0.11500000000000002
2017-11-27,20.03,21.34,19.88,20.77,371194.0,371194.0,0.7,3.488,20.7128,"Nov 27, 17",0.15388888888888885
2017-11-28,20.84,22.21,20.7,21.09,571709.0,571709.0,0.32,1.541,21.1889,"Nov 28, 17",0.17166666666666666
2017-11-29,21.03,21.99,20.11,20.96,318474.0,318474.0,-0.13,-0.616,21.0169,"Nov 29, 17",0.1644444444444445
2017-11-30,21.15,21.71,20.69,20.96,340283.0,340283.0,0.0,0.0,21.0258,"Nov 30, 17",0.1644444444444445
2017-12-01,20.79,21.39,20.69,21.08,152368.0,152368.0,0.12,0.573,21.0449,"Dec 1, 17",0.17111111111111102
2017-12-04,21.24,21.4,19.63,19.9,299793.0,299793.0,-1.18,-5.598,20.3517,"Dec 4, 17",0.10555555555555547
2017-12-05,19.7,20.2143,19.03,19.88,176011.0,176011.0,-0.02,-0.101,19.6735,"Dec 5, 17",0.1044444444444444
2017-12-06,19.68,19.9399,19.1,19.56,71261.0,71261.0,-0.32,-1.61,19.5693,"Dec 6, 17",0.0866666666666666
2017-12-07,19.67,19.6913,19.05,19.41,83453.0,83453.0,-0.15,-0.767,19.3751,"Dec 7, 17",0.07833333333333334
2017-12-08,19.53,21.43,19.36,21.36,164420.0,164420.0,1.95,10.046,20.6171,"Dec 8, 17",0.18666666666666665
2017-12-11,21.38,21.39,19.9066,20.14,163886.0,163886.0,-1.22,-5.712,20.673,"Dec 11, 17",0.11888888888888892
2017-12-12,20.22,21.07,19.25,19.55,353685.0,353685.0,-0.59,-2.929,19.6247,"Dec 12, 17",0.08611111111111115
2017-12-13,19.56,20.1,19.12,19.85,197849.0,197849.0,0.3,1.535,19.7033,"Dec 13, 17",0.10277777777777786
2017-12-14,20.0,20.36,19.11,19.21,180402.0,180402.0,-0.64,-3.224,19.5476,"Dec 14, 17",0.06722222222222227
2017-12-15,19.01,21.07,18.6101,20.35,955902.0,955902.0,1.14,5.934,20.1962,"Dec 15, 17",0.13055555555555565
2017-12-18,20.92,24.45,20.04,23.09,596674.0,596674.0,2.74,13.464,22.9022,"Dec 18, 17",0.2827777777777778
2017-12-19,23.45,24.35,22.3501,22.84,306923.0,306923.0,-0.25,-1.083,23.0674,"Dec 19, 17",0.2688888888888889
2017-12-20,23.4,23.68,22.695,23.33,242442.0,242442.0,0.49,2.145,23.1794,"Dec 20, 17",0.296111111111111
2017-12-21,23.86,24.18,22.62,22.78,296091.0,296091.0,-0.55,-2.357,23.2335,"Dec 21, 17",0.2655555555555556
2017-12-22,22.52,23.72,22.16,22.46,211969.0,211969.0,-0.32,-1.405,22.8146,"Dec 22, 17",0.24777777777777782
2017-12-26,22.56,22.79,20.06,21.73,383762.0,383762.0,-0.73,-3.25,21.0807,"Dec 26, 17",0.20722222222222225
2017-12-27,21.73,22.2,20.86,21.49,175099.0,175099.0,-0.24,-1.104,21.5806,"Dec 27, 17",0.1938888888888888
2017-12-28,21.56,21.7599,20.99,21.17,293322.0,293322.0,-0.32,-1.489,21.1209,"Dec 28, 17",0.17611111111111122
2017-12-29,21.2,24.355,21.2,23.97,471761.0,471761.0,2.8,13.226,23.2491,"Dec 29, 17",0.3316666666666666
2018-01-02,24.48,27.425,24.05,24.79,781315.0,781315.0,0.82,3.421,25.3591,"Jan 2, 18",0.3772222222222222
2018-01-03,24.9,25.45,24.05,24.11,309111.0,309111.0,-0.68,-2.743,24.5759,"Jan 3, 18",0.33944444444444444
2018-01-04,24.36,25.47,24.14,25.04,489866.0,489866.0,0.93,3.857,25.0503,"Jan 4, 18",0.3911111111111111
2018-01-05,25.22,26.99,25.155,26.23,376129.0,376129.0,1.19,4.752,25.9713,"Jan 5, 18",0.45722222222222225
2018-01-08,26.41,26.95,26.0,26.25,185646.0,185646.0,0.02,0.076,26.3025,"Jan 8, 18",0.4583333333333333
2018-01-09,26.39,26.45,25.3917,25.66,205577.0,205577.0,-0.59,-2.248,25.7525,"Jan 9, 18",0.4255555555555556
2018-01-10,25.51,25.89,25.15,25.66,101906.0,101906.0,0.0,0.0,25.6056,"Jan 10, 18",0.4255555555555556
2018-01-11,25.67,25.969,25.45,25.83,118145.0,118145.0,0.17,0.663,25.7824,"Jan 11, 18",0.4349999999999999
2018-01-12,26.15,26.15,25.51,25.68,230939.0,230939.0,-0.15,-0.581,25.7211,"Jan 12, 18",0.42666666666666664
2018-01-16,25.88,26.0,24.64,24.97,149017.0,149017.0,-0.71,-2.765,25.2646,"Jan 16, 18",0.38722222222222213
2018-01-17,25.07,25.44,23.575,23.76,248199.0,248199.0,-1.21,-4.846,24.5314,"Jan 17, 18",0.32000000000000006
2018-01-18,23.92,23.92,21.7,22.61,345374.0,345374.0,-1.15,-4.84,22.5523,"Jan 18, 18",0.25611111111111107
2018-01-19,22.83,22.83,21.8,22.8,286545.0,286545.0,0.19,0.84,22.2986,"Jan 19, 18",0.2666666666666667
2018-01-22,22.82,23.37,22.49,23.24,156020.0,156020.0,0.44,1.93,22.9621,"Jan 22, 18",0.29111111111111104
2018-01-23,23.17,23.74,23.0301,23.62,152444.0,152444.0,0.38,1.635,23.4964,"Jan 23, 18",0.3122222222222223
2018-01-24,23.6,23.82,22.91,22.93,109447.0,109447.0,-0.69,-2.921,23.3032,"Jan 24, 18",0.27388888888888885
2018-01-25,23.0,23.038,22.2,22.5,134154.0,134154.0,-0.43,-1.875,22.4731,"Jan 25, 18",0.25
2018-01-26,22.62,22.7942,22.4,22.66,41069.0,41069.0,0.16,0.711,22.6198,"Jan 26, 18",0.2588888888888889
2018-01-29,22.66,24.0,22.44,23.68,169672.0,169672.0,1.02,4.501,23.5344,"Jan 29, 18",0.31555555555555553
2018-01-30,23.52,23.75,22.76,22.87,261658.0,261658.0,-0.81,-3.421,23.2138,"Jan 30, 18",0.2705555555555556
2018-01-31,22.99,23.75,22.44,22.47,190631.0,190631.0,-0.4,-1.749,23.0569,"Jan 31, 18",0.24833333333333327
2018-02-01,22.34,23.2,22.2501,22.68,125540.0,125540.0,0.21,0.935,22.6536,"Feb 1, 18",0.26
2018-02-02,22.57,22.58,21.54,21.86,159270.0,159270.0,-0.82,-3.616,22.0715,"Feb 2, 18",0.2144444444444444
2018-02-05,21.48,22.06,20.9968,21.35,159372.0,159372.0,-0.51,-2.333,21.5144,"Feb 5, 18",0.1861111111111112
2018-02-06,20.9,22.2901,20.8,22.17,208775.0,208775.0,0.82,3.841,21.9033,"Feb 6, 18",0.23166666666666677
2018-02-07,22.08,22.97,21.45,22.81,136203.0,136203.0,0.64,2.887,22.4984,"Feb 7, 18",0.26722222222222214
2018-02-08,22.78,23.09,21.44,21.5,224249.0,224249.0,-1.31,-5.743,22.6403,"Feb 8, 18",0.19444444444444445
2018-02-09,21.51,22.58,20.42,21.5,226866.0,226866.0,0.0,0.0,21.4645,"Feb 9, 18",0.19444444444444445
2018-02-12,21.99,22.26,21.0,22.16,123960.0,123960.0,0.66,3.07,21.8364,"Feb 12, 18",0.23111111111111113
2018-02-13,22.4,22.56,21.82,22.27,51184.0,51184.0,0.11,0.496,22.172,"Feb 13, 18",0.2372222222222222
2018-02-14,22.2,23.9,22.19,23.78,204935.0,204935.0,1.51,6.78,23.4438,"Feb 14, 18",0.3211111111111112
2018-02-15,23.95,24.245,23.505,23.75,124307.0,124307.0,-0.03,-0.126,23.855,"Feb 15, 18",0.3194444444444444
2018-02-16,23.62,25.22,23.02,24.88,168873.0,168873.0,1.13,4.758,24.6457,"Feb 16, 18",0.3822222222222222
2018-02-20,24.83,25.12,24.32,24.5,128195.0,128195.0,-0.38,-1.527,24.7546,"Feb 20, 18",0.3611111111111111
