date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
1998-01-02,5.03,5.03,4.88,4.88,22900.0,22900.0,0.15,2.982,4.93,"January 02, 98",0.02982
1998-01-05,4.89,5.03,4.88,4.99,105700.0,105700.0,-0.1,-2.045,4.96667,"January 05, 98",-0.02045
1998-01-06,4.97,4.97,4.84,4.84,22000.0,22000.0,0.13,2.616,4.88333,"January 06, 98",0.02616
1998-01-07,4.8,4.8,4.74,4.74,14400.0,14400.0,0.06,1.25,4.76,"January 07, 98",0.0125
1998-01-08,4.72,4.72,4.57,4.57,37900.0,37900.0,0.15,3.178,4.62,"January 08, 98",0.03178
1998-01-09,4.54,4.54,4.21,4.35,92200.0,92200.0,0.19,4.185,4.36667,"January 09, 98",0.04185
1998-01-12,4.31,4.35,4.23,4.27,50500.0,50500.0,0.04,0.928,4.28333,"January 12, 98",0.00928
1998-01-13,4.27,4.31,4.27,4.31,16300.0,16300.0,-0.04,-0.937,4.29667,"January 13, 98",-0.00937
1998-01-14,4.31,4.35,4.27,4.27,30600.0,30600.0,0.04,0.928,4.29667,"January 14, 98",0.00928
1998-01-15,4.23,4.23,4.08,4.08,89500.0,89500.0,0.15,3.546,4.13,"January 15, 98",0.03546
1998-01-16,4.12,4.23,4.01,4.23,41500.0,41500.0,-0.11,-2.67,4.15667,"January 16, 98",-0.0267
1998-01-20,4.23,4.25,4.12,4.16,67500.0,67500.0,0.07,1.655,4.17667,"January 20, 98",0.01655
1998-01-21,4.16,4.16,4.12,4.12,7200.0,7200.0,0.04,0.962,4.13333,"January 21, 98",0.00962
1998-01-22,4.12,4.12,4.12,4.12,1000.0,1000.0,0.0,0.0,4.12,"January 22, 98",0.0
1998-01-23,4.14,4.14,4.1,4.1,4600.0,4600.0,0.04,0.966,4.11333,"January 23, 98",0.00966
1998-01-26,4.1,4.1,4.08,4.08,23800.0,23800.0,0.02,0.488,4.08667,"January 26, 98",0.00488
1998-01-27,4.12,4.14,4.1,4.1,3100.0,3100.0,0.02,0.485,4.11333,"January 27, 98",0.00485
1998-01-28,4.12,4.12,4.08,4.1,9100.0,9100.0,0.02,0.485,4.1,"January 28, 98",0.00485
1998-01-29,4.14,4.16,4.12,4.12,7600.0,7600.0,0.02,0.483,4.13333,"January 29, 98",0.00483
1998-01-30,4.16,4.16,4.12,4.12,1900.0,1900.0,0.04,0.962,4.13333,"January 30, 98",0.00962
1998-02-02,4.12,4.23,4.04,4.04,58500.0,58500.0,0.08,1.942,4.10333,"February 02, 98",0.01942
1998-02-03,4.04,4.08,4.02,4.06,9900.0,9900.0,-0.02,-0.495,4.05333,"February 03, 98",-0.00495
1998-02-04,4.06,4.14,4.02,4.02,13000.0,13000.0,0.04,0.985,4.06,"February 04, 98",0.00985
1998-02-05,4.08,4.14,4.08,4.08,48600.0,48600.0,0.0,0.0,4.1,"February 05, 98",0.0
1998-02-06,4.12,4.16,4.08,4.16,9000.0,9000.0,-0.04,-0.971,4.13333,"February 06, 98",-0.00971
1998-02-09,4.2,4.2,4.16,4.2,14400.0,14400.0,0.0,0.0,4.18667,"February 09, 98",0.0
1998-02-10,4.21,4.37,4.19,4.37,14400.0,14400.0,-0.16,-3.8,4.31,"February 10, 98",-0.038
1998-02-11,4.37,4.37,4.35,4.37,37000.0,37000.0,0.0,0.0,4.36333,"February 11, 98",0.0
1998-02-12,4.4,4.4,4.38,4.38,10000.0,10000.0,0.02,0.455,4.38667,"February 12, 98",0.00455
1998-02-13,4.33,4.37,4.29,4.33,17500.0,17500.0,0.0,0.0,4.33,"February 13, 98",0.0
1998-02-17,4.37,4.37,4.33,4.33,35500.0,35500.0,0.04,0.915,4.34333,"February 17, 98",0.00915
1998-02-18,4.37,4.37,4.29,4.29,16600.0,16600.0,0.08,1.831,4.31667,"February 18, 98",0.01831
1998-02-19,4.29,4.33,4.13,4.13,13500.0,13500.0,0.16,3.73,4.19667,"February 19, 98",0.0373
1998-02-20,4.17,4.21,4.13,4.17,117400.0,117400.0,0.0,0.0,4.17,"February 20, 98",0.0
1998-02-23,4.21,4.33,4.17,4.31,79300.0,79300.0,-0.1,-2.375,4.27,"February 23, 98",-0.02375
1998-02-24,4.31,4.38,4.29,4.35,96400.0,96400.0,-0.04,-0.928,4.34,"February 24, 98",-0.00928
1998-02-25,4.31,4.37,4.31,4.33,12700.0,12700.0,-0.02,-0.464,4.33667,"February 25, 98",-0.00464
1998-02-26,4.38,4.38,4.33,4.33,12700.0,12700.0,0.05,1.142,4.34667,"February 26, 98",0.01142
1998-02-27,4.33,4.33,4.25,4.25,3700.0,3700.0,0.08,1.848,4.27667,"February 27, 98",0.01848
1998-03-02,4.25,4.4,4.25,4.4,35100.0,35100.0,-0.15,-3.529,4.35,"March 02, 98",-0.03529
1998-03-03,4.4,4.76,4.4,4.68,83800.0,83800.0,-0.28,-6.364,4.61333,"March 03, 98",-0.06364
1998-03-04,4.76,4.76,4.68,4.7,60300.0,60300.0,0.06,1.261,4.71333,"March 04, 98",0.01261
1998-03-05,4.68,4.68,4.58,4.58,36900.0,36900.0,0.1,2.137,4.61333,"March 05, 98",0.02137
1998-03-06,4.6,4.6,4.56,4.58,34200.0,34200.0,0.02,0.435,4.58,"March 06, 98",0.00435
1998-03-09,4.56,4.6,4.56,4.6,15700.0,15700.0,-0.04,-0.877,4.58667,"March 09, 98",-0.00877
1998-03-10,4.64,4.64,4.6,4.64,5400.0,5400.0,0.0,0.0,4.62667,"March 10, 98",0.0
1998-03-11,4.66,4.66,4.6,4.6,10000.0,10000.0,0.06,1.288,4.62,"March 11, 98",0.01288
1998-03-12,4.56,4.56,4.4,4.48,26100.0,26100.0,0.08,1.754,4.48,"March 12, 98",0.01754
1998-03-13,4.56,4.6,4.52,4.56,14800.0,14800.0,0.0,0.0,4.56,"March 13, 98",0.0
1998-03-16,4.56,4.58,4.52,4.58,10000.0,10000.0,-0.02,-0.439,4.56,"March 16, 98",-0.00439
1998-03-17,4.52,4.56,4.52,4.56,6700.0,6700.0,-0.04,-0.885,4.54667,"March 17, 98",-0.00885
1998-03-18,4.54,4.58,4.5,4.56,7600.0,7600.0,-0.02,-0.441,4.54667,"March 18, 98",-0.00441
1998-03-19,4.6,4.6,4.54,4.58,4000.0,4000.0,0.02,0.435,4.57333,"March 19, 98",0.00435
1998-03-20,4.58,4.64,4.58,4.64,35500.0,35500.0,-0.06,-1.31,4.62,"March 20, 98",-0.0131
1998-03-23,4.6,4.6,4.56,4.58,32800.0,32800.0,0.02,0.435,4.58,"March 23, 98",0.00435
1998-03-24,4.6,4.72,4.6,4.68,68500.0,68500.0,-0.08,-1.739,4.66667,"March 24, 98",-0.01739
1998-03-25,4.72,4.84,4.72,4.8,58500.0,58500.0,-0.08,-1.695,4.78667,"March 25, 98",-0.01695
1998-03-26,4.8,4.92,4.8,4.84,24400.0,24400.0,-0.04,-0.833,4.85333,"March 26, 98",-0.00833
1998-03-27,4.92,5.36,4.92,5.28,41400.0,41400.0,-0.36,-7.317,5.18667,"March 27, 98",-0.07317
1998-03-30,5.36,5.4,5.24,5.36,73300.0,73300.0,0.0,0.0,5.33333,"March 30, 98",0.0
1998-03-31,5.36,5.48,5.36,5.4,96400.0,96400.0,-0.04,-0.746,5.41333,"March 31, 98",-0.00746
1998-04-01,5.44,5.44,5.28,5.32,19300.0,19300.0,0.12,2.206,5.34667,"April 01, 98",0.02206
1998-04-02,5.32,5.32,5.24,5.26,11700.0,11700.0,0.06,1.128,5.27333,"April 02, 98",0.01128
1998-04-03,5.28,5.28,5.2,5.28,11200.0,11200.0,0.0,0.0,5.25333,"April 03, 98",0.0
1998-04-06,5.4,5.48,5.24,5.36,81900.0,81900.0,0.04,0.741,5.36,"April 06, 98",0.00741
1998-04-07,5.32,5.32,5.2,5.32,14400.0,14400.0,0.0,0.0,5.28,"April 07, 98",0.0
1998-04-08,5.32,5.36,5.32,5.36,15400.0,15400.0,-0.04,-0.752,5.34667,"April 08, 98",-0.00752
1998-04-09,5.4,5.63,5.4,5.63,59800.0,59800.0,-0.23,-4.259,5.55333,"April 09, 98",-0.04259
1998-04-13,5.73,6.07,5.73,5.87,161200.0,161200.0,-0.14,-2.443,5.89,"April 13, 98",-0.02443
1998-04-14,5.89,6.03,5.83,5.87,77400.0,77400.0,0.02,0.34,5.91,"April 14, 98",0.0034
1998-04-15,5.89,5.89,5.71,5.77,37000.0,37000.0,0.12,2.037,5.79,"April 15, 98",0.02037
1998-04-16,5.73,5.73,5.63,5.69,25600.0,25600.0,0.04,0.698,5.68333,"April 16, 98",0.00698
1998-04-17,5.62,5.69,5.6,5.69,25300.0,25300.0,-0.07,-1.246,5.66,"April 17, 98",-0.01246
1998-04-20,5.71,5.79,5.71,5.79,7600.0,7600.0,-0.08,-1.401,5.76333,"April 20, 98",-0.01401
1998-04-21,5.79,5.79,5.63,5.69,49500.0,49500.0,0.1,1.727,5.70333,"April 21, 98",0.01727
1998-04-22,5.69,5.75,5.67,5.67,38700.0,38700.0,0.02,0.351,5.69667,"April 22, 98",0.00351
1998-04-23,5.71,5.71,5.56,5.56,19800.0,19800.0,0.15,2.627,5.61,"April 23, 98",0.02627
1998-04-24,5.52,5.54,5.44,5.44,9900.0,9900.0,0.08,1.449,5.47333,"April 24, 98",0.01449
1998-04-27,5.08,5.08,4.88,4.92,104500.0,104500.0,0.16,3.15,4.96,"April 27, 98",0.0315
1998-04-28,4.92,5.02,4.92,5.0,33300.0,33300.0,-0.08,-1.626,4.98,"April 28, 98",-0.01626
1998-04-29,4.96,4.96,4.76,4.8,85000.0,85000.0,0.16,3.226,4.84,"April 29, 98",0.03226
1998-04-30,4.84,4.92,4.76,4.86,35200.0,35200.0,-0.02,-0.413,4.84667,"April 30, 98",-0.00413
1998-05-01,4.88,4.88,4.86,4.88,31900.0,31900.0,0.0,0.0,4.87333,"May 01, 98",0.0
1998-05-04,4.84,4.84,4.72,4.76,118900.0,118900.0,0.08,1.653,4.77333,"May 04, 98",0.01653
1998-05-05,4.76,4.8,4.6,4.6,56700.0,56700.0,0.16,3.361,4.66667,"May 05, 98",0.03361
1998-05-06,4.64,4.88,4.64,4.88,68400.0,68400.0,-0.24,-5.172,4.8,"May 06, 98",-0.05172
1998-05-07,4.82,5.0,4.82,4.84,39600.0,39600.0,-0.02,-0.415,4.88667,"May 07, 98",-0.00415
1998-05-08,4.82,4.88,4.8,4.88,40600.0,40600.0,-0.06,-1.245,4.85333,"May 08, 98",-0.01245
1998-05-11,4.88,4.92,4.84,4.92,54900.0,54900.0,-0.04,-0.82,4.89333,"May 11, 98",-0.0082
1998-05-12,4.88,4.92,4.88,4.9,11800.0,11800.0,-0.02,-0.41,4.9,"May 12, 98",-0.0041
1998-05-13,4.92,4.96,4.9,4.96,47200.0,47200.0,-0.04,-0.813,4.94,"May 13, 98",-0.00813
1998-05-14,4.96,4.96,4.84,4.96,36400.0,36400.0,0.0,0.0,4.92,"May 14, 98",0.0
1998-05-15,4.98,5.0,4.96,4.98,33300.0,33300.0,0.0,0.0,4.98,"May 15, 98",0.0
1998-05-18,4.9,4.94,4.9,4.92,43200.0,43200.0,-0.02,-0.408,4.92,"May 18, 98",-0.00408
1998-05-19,4.92,4.96,4.88,4.88,51400.0,51400.0,0.04,0.813,4.90667,"May 19, 98",0.00813
1998-05-20,4.92,4.92,4.84,4.9,25200.0,25200.0,0.02,0.407,4.88667,"May 20, 98",0.00407
1998-05-21,4.84,4.92,4.8,4.88,35200.0,35200.0,-0.04,-0.826,4.86667,"May 21, 98",-0.00826
1998-05-22,4.88,5.0,4.88,4.96,16200.0,16200.0,-0.08,-1.639,4.94667,"May 22, 98",-0.01639
1998-05-26,4.96,4.96,4.72,4.72,79600.0,79600.0,0.24,4.839,4.8,"May 26, 98",0.04839
1998-05-27,4.68,4.68,4.6,4.6,17200.0,17200.0,0.08,1.709,4.62667,"May 27, 98",0.01709
1998-05-28,4.62,4.72,4.62,4.68,27000.0,27000.0,-0.06,-1.299,4.67333,"May 28, 98",-0.01299
1998-05-29,4.72,4.96,4.72,4.96,37900.0,37900.0,-0.24,-5.085,4.88,"May 29, 98",-0.05085
1998-06-01,4.96,4.96,4.84,4.84,27100.0,27100.0,0.12,2.419,4.88,"June 01, 98",0.02419
1998-06-02,4.86,4.88,4.84,4.84,60300.0,60300.0,0.02,0.412,4.85333,"June 02, 98",0.00412
1998-06-03,4.88,4.92,4.76,4.76,82300.0,82300.0,0.12,2.459,4.81333,"June 03, 98",0.02459
1998-06-04,4.78,4.84,4.78,4.82,17200.0,17200.0,-0.04,-0.837,4.81333,"June 04, 98",-0.00837
1998-06-05,4.88,4.92,4.84,4.92,50400.0,50400.0,-0.04,-0.82,4.89333,"June 05, 98",-0.0082
1998-06-08,4.88,4.9,4.8,4.84,31900.0,31900.0,0.04,0.82,4.84667,"June 08, 98",0.0082
1998-06-09,4.88,4.88,4.84,4.88,22600.0,22600.0,0.0,0.0,4.86667,"June 09, 98",0.0
1998-06-10,4.88,4.88,4.84,4.86,17100.0,17100.0,0.02,0.41,4.86,"June 10, 98",0.0041
1998-06-11,4.84,4.88,4.76,4.76,35100.0,35100.0,0.08,1.653,4.8,"June 11, 98",0.01653
1998-06-12,4.78,4.8,4.68,4.76,27000.0,27000.0,0.02,0.418,4.74667,"June 12, 98",0.00418
1998-06-15,4.76,4.8,4.7,4.74,75600.0,75600.0,0.02,0.42,4.74667,"June 15, 98",0.0042
1998-06-16,4.72,4.74,4.68,4.74,9400.0,9400.0,-0.02,-0.424,4.72,"June 16, 98",-0.00424
