date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
1998-01-02,45.47,45.47,45.0,45.03,98000.0,98000.0,0.44,0.968,45.16667,"January 02, 98",0.00968
1998-01-05,44.94,45.31,44.81,45.31,69000.0,69000.0,-0.37,-0.823,45.14333,"January 05, 98",-0.00823
1998-01-06,45.19,45.19,44.38,44.41,217800.0,217800.0,0.78,1.726,44.66,"January 06, 98",0.01726
1998-01-07,45.97,46.31,45.94,46.31,333200.0,333200.0,-0.34,-0.74,46.18667,"January 07, 98",-0.0074
1998-01-08,46.03,46.25,45.81,45.97,210000.0,210000.0,0.06,0.13,46.01,"January 08, 98",0.0013
1998-01-09,45.75,45.88,44.69,44.72,164600.0,164600.0,1.03,2.251,45.09667,"January 09, 98",0.02251
1998-01-12,44.03,44.75,43.88,44.72,111000.0,111000.0,-0.69,-1.567,44.45,"January 12, 98",-0.01567
1998-01-13,44.72,44.72,44.22,44.59,99200.0,99200.0,0.13,0.291,44.51,"January 13, 98",0.00291
1998-01-14,44.72,45.16,44.72,45.09,116600.0,116600.0,-0.37,-0.827,44.99,"January 14, 98",-0.00827
1998-01-15,45.13,45.13,44.84,44.91,113200.0,113200.0,0.22,0.487,44.96,"January 15, 98",0.00487
1998-01-16,46.63,47.47,46.63,47.34,346200.0,346200.0,-0.71,-1.523,47.14667,"January 16, 98",-0.01523
1998-01-20,47.41,47.56,47.16,47.53,104000.0,104000.0,-0.12,-0.253,47.41667,"January 20, 98",-0.00253
1998-01-21,47.28,47.28,46.78,46.91,110200.0,110200.0,0.37,0.783,46.99,"January 21, 98",0.00783
1998-01-22,46.28,46.31,45.72,46.06,167400.0,167400.0,0.22,0.475,46.03,"January 22, 98",0.00475
1998-01-23,47.25,48.09,47.19,48.03,243800.0,243800.0,-0.78,-1.651,47.77,"January 23, 98",-0.01651
1998-01-26,47.5,47.5,46.88,47.09,216600.0,216600.0,0.41,0.863,47.15667,"January 26, 98",0.00863
1998-01-27,45.63,46.25,45.53,46.13,254600.0,254600.0,-0.5,-1.096,45.97,"January 27, 98",-0.01096
1998-01-28,45.31,46.03,45.13,45.94,397200.0,397200.0,-0.63,-1.39,45.7,"January 28, 98",-0.0139
1998-01-29,48.13,48.59,48.0,48.06,359600.0,359600.0,0.07,0.145,48.21667,"January 29, 98",0.00145
1998-01-30,46.5,47.13,46.5,46.94,252200.0,252200.0,-0.44,-0.946,46.85667,"January 30, 98",-0.00946
1998-02-02,47.25,47.75,47.25,47.72,189400.0,189400.0,-0.47,-0.995,47.57333,"February 02, 98",-0.00995
1998-02-03,47.84,48.13,47.72,48.13,112800.0,112800.0,-0.29,-0.606,47.99333,"February 03, 98",-0.00606
1998-02-04,47.69,47.72,47.22,47.41,158400.0,158400.0,0.28,0.587,47.45,"February 04, 98",0.00587
1998-02-05,46.88,47.13,46.75,47.03,189400.0,189400.0,-0.15,-0.32,46.97,"February 05, 98",-0.0032
1998-02-06,46.5,46.59,46.19,46.44,161800.0,161800.0,0.06,0.129,46.40667,"February 06, 98",0.00129
1998-02-09,45.31,45.75,45.25,45.69,274400.0,274400.0,-0.38,-0.839,45.56333,"February 09, 98",-0.00839
1998-02-10,45.44,45.84,45.22,45.41,448000.0,448000.0,0.03,0.066,45.49,"February 10, 98",0.00066
1998-02-11,45.41,45.72,45.34,45.59,171800.0,171800.0,-0.18,-0.396,45.55,"February 11, 98",-0.00396
1998-02-12,45.25,45.25,45.0,45.13,239600.0,239600.0,0.12,0.265,45.12667,"February 12, 98",0.00265
1998-02-13,44.94,44.94,44.56,44.63,125800.0,125800.0,0.31,0.69,44.71,"February 13, 98",0.0069
1998-02-17,45.0,45.28,45.0,45.16,129600.0,129600.0,-0.16,-0.356,45.14667,"February 17, 98",-0.00356
1998-02-18,44.72,44.75,44.5,44.69,221600.0,221600.0,0.03,0.067,44.64667,"February 18, 98",0.00067
1998-02-19,44.22,44.28,44.0,44.0,222200.0,222200.0,0.22,0.498,44.09333,"February 19, 98",0.00498
1998-02-20,43.56,43.75,43.44,43.56,222800.0,222800.0,0.0,0.0,43.58333,"February 20, 98",0.0
1998-02-23,43.88,44.22,43.88,43.97,203200.0,203200.0,-0.09,-0.205,44.02333,"February 23, 98",-0.00205
1998-02-24,43.97,43.97,43.63,43.69,106400.0,106400.0,0.28,0.637,43.76333,"February 24, 98",0.00637
1998-02-25,44.0,44.13,43.81,43.81,196000.0,196000.0,0.19,0.432,43.91667,"February 25, 98",0.00432
1998-02-26,44.25,45.19,44.25,45.09,419600.0,419600.0,-0.84,-1.898,44.84333,"February 26, 98",-0.01898
1998-02-27,45.06,45.31,44.75,45.22,181800.0,181800.0,-0.16,-0.355,45.09333,"February 27, 98",-0.00355
1998-03-02,45.22,45.44,45.09,45.19,149800.0,149800.0,0.03,0.066,45.24,"March 02, 98",0.00066
1998-03-03,45.63,45.72,45.56,45.59,130200.0,130200.0,0.04,0.088,45.62333,"March 03, 98",0.00088
1998-03-04,45.5,45.53,44.97,45.09,143000.0,143000.0,0.41,0.901,45.19667,"March 04, 98",0.00901
