date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-10-24,52.57,52.85,51.45,52.22,464576.0,3252031.0,-0.42,-0.798,52.0607,"Oct 24, 13",0.0
2013-10-25,52.57,52.57,51.73,52.08,435130.0,3045912.0,-0.14,-0.268,52.1588,"Oct 25, 13",-0.002680965147453094
2013-10-28,52.08,53.095,50.75,50.96,508524.0,3559668.0,-1.12,-2.151,51.6929,"Oct 28, 13",-0.024128686327077712
2013-10-29,51.17,51.66,50.7507,51.66,285745.0,2000212.0,0.7,1.374,51.3372,"Oct 29, 13",-0.010723860589812376
2013-10-30,51.73,51.94,49.35,49.49,504381.0,3530668.0,-2.17,-4.201,50.2376,"Oct 30, 13",-0.052278820375335065
2013-10-31,49.35,49.84,48.37,49.21,549189.0,3844322.0,-0.28,-0.566,49.1753,"Oct 31, 13",-0.05764075067024125
2013-11-01,49.14,49.84,48.58,48.79,443367.0,3103568.0,-0.42,-0.853,49.0921,"Nov 1, 13",-0.06568364611260054
2013-11-04,49.14,49.35,48.58,49.35,277991.0,1945935.0,0.56,1.148,49.1037,"Nov 4, 13",-0.05495978552278816
2013-11-05,48.93,50.47,47.74,50.26,540636.0,3784455.0,0.91,1.844,49.4501,"Nov 5, 13",-0.03753351206434318
2013-11-06,50.54,50.61,47.88,48.16,412510.0,2887569.0,-2.1,-4.178,48.6072,"Nov 6, 13",-0.07774798927613946
2013-11-07,48.3,48.51,45.5,46.34,1059725.0,7418075.0,-1.82,-3.779,46.9847,"Nov 7, 13",-0.1126005361930294
2013-11-08,46.34,47.74,46.06,46.76,358425.0,2508976.0,0.42,0.906,46.7408,"Nov 8, 13",-0.10455764075067026
2013-11-11,46.69,46.9,45.92,46.69,317817.0,2224716.0,-0.07,-0.15,46.4289,"Nov 11, 13",-0.10589812332439681
2013-11-12,46.34,47.81,46.2,47.67,318672.0,2230705.0,0.98,2.099,47.2071,"Nov 12, 13",-0.08713136729222515
2013-11-13,47.53,49.84,47.53,49.7,531334.0,3719338.0,2.03,4.258,49.0235,"Nov 13, 13",-0.048257372654155424
2013-11-14,49.49,50.12,48.86,48.86,334115.0,2338808.0,-0.84,-1.69,49.5149,"Nov 14, 13",-0.06434316353887398
2013-11-15,48.51,49.0,47.67,48.16,366669.0,2566685.0,-0.7,-1.433,48.1289,"Nov 15, 13",-0.07774798927613946
2013-11-18,46.48,46.76,43.26,43.96,1419254.0,9934776.0,-4.2,-8.721,44.578,"Nov 18, 13",-0.15817694369973187
2013-11-19,43.33,44.31,43.12,43.54,423847.0,2966928.0,-0.42,-0.955,43.6404,"Nov 19, 13",-0.16621983914209115
2013-11-20,43.47,43.96,42.875,43.33,438971.0,3072794.0,-0.21,-0.482,43.421,"Nov 20, 13",-0.17024128686327078
2013-11-21,43.26,44.415,42.49,43.89,568020.0,3976138.0,0.56,1.292,43.7468,"Nov 21, 13",-0.1595174262734584
2013-11-22,43.75,47.39,43.47,47.04,903086.0,6321601.0,3.15,7.177,45.8129,"Nov 22, 13",-0.09919571045576407
2013-11-25,47.11,47.74,44.24,44.24,485245.0,3396717.0,-2.8,-5.952,45.0888,"Nov 25, 13",-0.15281501340482567
2013-11-26,44.24,45.5,43.54,45.29,602808.0,4219658.0,1.05,2.373,44.5386,"Nov 26, 13",-0.13270777479892762
2013-11-27,45.22,45.71,44.31,45.29,240048.0,1680334.0,0.0,0.0,45.0712,"Nov 27, 13",-0.13270777479892762
2013-11-29,45.64,45.64,44.73,45.15,118993.0,832953.0,-0.14,-0.309,45.1047,"Nov 29, 13",-0.1353887399463807
2013-12-02,45.01,45.92,44.135,45.57,443578.0,3105046.0,0.42,0.93,45.3206,"Dec 2, 13",-0.12734584450402142
2013-12-03,45.22,45.85,44.6593,45.15,391297.0,2739080.0,-0.42,-0.922,45.0526,"Dec 3, 13",-0.1353887399463807
2013-12-04,45.01,46.34,44.625,45.22,318571.0,2229999.0,0.07,0.155,45.4752,"Dec 4, 13",-0.13404825737265416
2013-12-05,44.87,45.22,44.17,44.38,397621.0,2783349.0,-0.84,-1.858,44.6008,"Dec 5, 13",-0.1501340482573726
2013-12-06,45.01,45.29,44.31,44.52,298283.0,2087981.0,0.14,0.315,44.6213,"Dec 6, 13",-0.1474530831099195
2013-12-09,44.8,45.15,44.17,44.17,340572.0,2384005.0,-0.35,-0.786,44.5643,"Dec 9, 13",-0.15415549597855221
2013-12-10,43.96,44.31,42.77,43.47,536770.0,3757392.0,-0.7,-1.585,43.478,"Dec 10, 13",-0.1675603217158177
2013-12-11,43.4,44.94,43.26,43.47,667992.0,4675947.0,0.0,0.0,44.1425,"Dec 11, 13",-0.1675603217158177
2013-12-12,43.4,44.66,43.4,44.17,528674.0,3700715.0,0.7,1.61,44.1235,"Dec 12, 13",-0.15415549597855221
2013-12-13,44.24,45.01,43.75,44.87,266775.0,1867422.0,0.7,1.585,44.5305,"Dec 13, 13",-0.1407506702412869
2013-12-16,44.73,46.34,44.52,46.13,460996.0,3226969.0,1.26,2.808,45.5117,"Dec 16, 13",-0.11662198391420904
2013-12-17,46.2,47.005,45.5,46.83,548458.0,3839207.0,0.7,1.517,46.3435,"Dec 17, 13",-0.10321715817694371
2013-12-18,47.18,48.09,46.06,47.53,659518.0,4616627.0,0.7,1.495,47.1411,"Dec 18, 13",-0.08981233243967825
2013-12-19,47.25,48.3,46.76,48.09,402715.0,2819004.0,0.56,1.178,47.7288,"Dec 19, 13",-0.07908847184986587
2013-12-20,48.23,49.28,48.09,49.14,1214319.0,8500233.0,1.05,2.183,48.9393,"Dec 20, 13",-0.0589812332439678
2013-12-23,49.0,49.14,47.88,48.37,287238.0,2010667.0,-0.77,-1.567,48.5555,"Dec 23, 13",-0.07372654155495982
2013-12-24,47.95,49.28,47.95,49.21,152937.0,1070558.0,0.84,1.737,49.0179,"Dec 24, 13",-0.05764075067024125
2013-12-26,49.385,50.75,49.21,49.21,427532.0,2992721.0,0.0,0.0,50.0327,"Dec 26, 13",-0.05764075067024125
2013-12-27,49.28,49.63,48.16,48.37,271332.0,1899326.0,-0.84,-1.707,48.6701,"Dec 27, 13",-0.07372654155495982
2013-12-30,48.16,49.805,48.09,49.0,419590.0,2937128.0,0.63,1.302,49.1961,"Dec 30, 13",-0.06166219839142089
2013-12-31,48.93,51.1,48.79,51.03,770775.0,5395428.0,2.03,4.143,50.1979,"Dec 31, 13",-0.022788203753351163
2014-01-02,50.68,51.1,49.35,50.89,814750.0,5703250.0,-0.14,-0.274,50.2217,"Jan 2, 14",-0.025469168900804258
