date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
1998-01-02,46.94,47.0,45.25,45.56,139300.0,139300.0,1.38,2.94,45.93667,"January 02, 98",0.0294
1998-01-05,45.5,46.75,45.0,45.38,158900.0,158900.0,0.12,0.264,45.71,"January 05, 98",0.00264
1998-01-06,44.5,44.81,44.0,44.19,176400.0,176400.0,0.31,0.697,44.33333,"January 06, 98",0.00697
1998-01-07,44.13,44.44,43.75,44.19,299100.0,299100.0,-0.06,-0.136,44.12667,"January 07, 98",-0.00136
1998-01-08,44.0,44.25,43.88,44.13,289600.0,289600.0,-0.13,-0.295,44.08667,"January 08, 98",-0.00295
1998-01-09,44.31,44.44,42.75,42.94,203900.0,203900.0,1.37,3.092,43.37667,"January 09, 98",0.03092
1998-01-12,42.25,44.56,42.25,44.0,350800.0,350800.0,-1.75,-4.142,43.60333,"January 12, 98",-0.04142
1998-01-13,44.0,44.13,43.5,43.69,90500.0,90500.0,0.31,0.705,43.77333,"January 13, 98",0.00705
1998-01-14,43.81,43.94,43.13,43.88,110000.0,110000.0,-0.07,-0.16,43.65,"January 14, 98",-0.0016
1998-01-15,43.94,44.06,43.31,43.56,118800.0,118800.0,0.38,0.865,43.64333,"January 15, 98",0.00865
1998-01-16,43.94,44.63,43.63,44.13,182200.0,182200.0,-0.19,-0.432,44.13,"January 16, 98",-0.00432
1998-01-20,44.13,46.06,44.13,46.06,113400.0,113400.0,-1.93,-4.373,45.41667,"January 20, 98",-0.04373
1998-01-21,46.06,46.06,44.88,45.13,229800.0,229800.0,0.93,2.019,45.35667,"January 21, 98",0.02019
1998-01-22,44.88,44.94,44.44,44.56,564800.0,564800.0,0.32,0.713,44.64667,"January 22, 98",0.00713
1998-01-23,44.0,44.81,44.0,44.31,664700.0,664700.0,-0.31,-0.705,44.37333,"January 23, 98",-0.00705
1998-01-26,44.44,45.13,44.38,44.56,342200.0,342200.0,-0.12,-0.27,44.69,"January 26, 98",-0.0027
1998-01-27,44.56,45.06,44.56,44.94,346000.0,346000.0,-0.38,-0.853,44.85333,"January 27, 98",-0.00853
1998-01-28,45.0,45.0,44.19,44.5,72400.0,72400.0,0.5,1.111,44.56333,"January 28, 98",0.01111
1998-01-29,44.25,44.94,44.19,44.69,339800.0,339800.0,-0.44,-0.994,44.60667,"January 29, 98",-0.00994
1998-01-30,44.69,45.0,44.25,44.25,326700.0,326700.0,0.44,0.985,44.5,"January 30, 98",0.00985
1998-02-02,46.0,46.69,46.0,46.25,540200.0,540200.0,-0.25,-0.543,46.31333,"February 02, 98",-0.00543
1998-02-03,46.25,46.25,45.47,45.5,340000.0,340000.0,0.75,1.622,45.74,"February 03, 98",0.01622
1998-02-04,45.25,46.94,45.25,46.94,512900.0,512900.0,-1.69,-3.735,46.37667,"February 04, 98",-0.03735
1998-02-05,46.81,46.81,45.5,45.88,285500.0,285500.0,0.93,1.987,46.06333,"February 05, 98",0.01987
1998-02-06,45.63,46.94,45.63,46.13,253700.0,253700.0,-0.5,-1.096,46.23333,"February 06, 98",-0.01096
1998-02-09,46.13,46.94,46.06,46.44,250000.0,250000.0,-0.31,-0.672,46.48,"February 09, 98",-0.00672
1998-02-10,46.38,46.63,46.31,46.5,136800.0,136800.0,-0.12,-0.259,46.48,"February 10, 98",-0.00259
1998-02-11,46.25,46.44,45.75,46.44,137600.0,137600.0,-0.19,-0.411,46.21,"February 11, 98",-0.00411
1998-02-12,46.31,47.0,46.19,47.0,134900.0,134900.0,-0.69,-1.49,46.73,"February 12, 98",-0.0149
1998-02-13,46.69,46.94,46.31,46.94,139900.0,139900.0,-0.25,-0.535,46.73,"February 13, 98",-0.00535
1998-02-17,46.75,46.94,46.56,46.69,112600.0,112600.0,0.06,0.128,46.73,"February 17, 98",0.00128
1998-02-18,46.75,47.5,46.75,47.0,247700.0,247700.0,-0.25,-0.535,47.08333,"February 18, 98",-0.00535
1998-02-19,46.94,47.25,45.63,46.06,162600.0,162600.0,0.88,1.875,46.31333,"February 19, 98",0.01875
1998-02-20,46.31,46.63,45.88,46.06,142300.0,142300.0,0.25,0.54,46.19,"February 20, 98",0.0054
1998-02-23,46.31,46.56,45.88,46.06,108100.0,108100.0,0.25,0.54,46.16667,"February 23, 98",0.0054
1998-02-24,45.75,46.13,45.75,45.88,162400.0,162400.0,-0.13,-0.284,45.92,"February 24, 98",-0.00284
1998-02-25,45.88,47.13,45.88,47.06,183500.0,183500.0,-1.18,-2.572,46.69,"February 25, 98",-0.02572
1998-02-26,47.19,47.19,46.38,46.94,97800.0,97800.0,0.25,0.53,46.83667,"February 26, 98",0.0053
1998-02-27,46.81,47.94,46.81,47.81,135300.0,135300.0,-1.0,-2.136,47.52,"February 27, 98",-0.02136
1998-03-02,47.81,48.5,47.63,48.38,243400.0,243400.0,-0.57,-1.192,48.17,"March 02, 98",-0.01192
