date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
1998-01-02,37.0,37.59,36.88,37.47,4363200.0,4363200.0,-0.47,-1.27,37.31333,"January 02, 98",-0.0127
1998-01-05,37.0,37.0,35.81,36.41,5904400.0,5904400.0,0.59,1.595,36.40667,"January 05, 98",0.01595
1998-01-06,36.28,36.38,36.03,36.25,5815800.0,5815800.0,0.03,0.083,36.22,"January 06, 98",0.00083
1998-01-07,36.09,36.47,35.84,36.47,4038800.0,4038800.0,-0.38,-1.053,36.26,"January 07, 98",-0.01053
1998-01-08,36.0,36.13,35.63,36.13,3694000.0,3694000.0,-0.13,-0.361,35.96333,"January 08, 98",-0.00361
1998-01-09,36.06,36.44,35.38,35.78,3275200.0,3275200.0,0.28,0.776,35.86667,"January 09, 98",0.00776
1998-01-12,35.5,36.31,35.47,36.31,3206000.0,3206000.0,-0.81,-2.282,36.03,"January 12, 98",-0.02282
1998-01-13,36.5,36.66,36.28,36.66,2641000.0,2641000.0,-0.16,-0.438,36.53333,"January 13, 98",-0.00438
1998-01-14,36.69,36.81,36.56,36.81,2420000.0,2420000.0,-0.12,-0.327,36.72667,"January 14, 98",-0.00327
1998-01-15,36.81,37.13,36.16,36.97,2714800.0,2714800.0,-0.16,-0.435,36.75333,"January 15, 98",-0.00435
1998-01-16,37.13,37.47,37.0,37.13,2946400.0,2946400.0,0.0,0.0,37.2,"January 16, 98",0.0
1998-01-20,37.38,37.81,37.06,37.78,2794200.0,2794200.0,-0.4,-1.07,37.55,"January 20, 98",-0.0107
1998-01-21,37.59,37.59,36.91,37.53,1832200.0,1832200.0,0.06,0.16,37.34333,"January 21, 98",0.0016
1998-01-22,37.41,38.47,37.22,38.47,2518800.0,2518800.0,-1.06,-2.833,38.05333,"January 22, 98",-0.02833
1998-01-23,38.03,38.16,37.5,37.81,2909400.0,2909400.0,0.22,0.578,37.82333,"January 23, 98",0.00578
1998-01-26,37.75,37.97,37.19,37.97,2139600.0,2139600.0,-0.22,-0.583,37.71,"January 26, 98",-0.00583
1998-01-27,38.22,39.5,38.22,38.91,3937600.0,3937600.0,-0.69,-1.805,38.87667,"January 27, 98",-0.01805
1998-01-28,38.97,39.0,38.34,38.5,3462600.0,3462600.0,0.47,1.206,38.61333,"January 28, 98",0.01206
1998-01-29,38.5,39.19,38.47,39.13,4074600.0,4074600.0,-0.63,-1.636,38.93,"January 29, 98",-0.01636
1998-01-30,39.16,39.19,38.81,38.88,2907800.0,2907800.0,0.28,0.715,38.96,"January 30, 98",0.00715
1998-02-02,38.97,39.5,38.97,39.31,3308000.0,3308000.0,-0.34,-0.872,39.26,"February 02, 98",-0.00872
1998-02-03,39.13,39.44,38.78,39.28,2826800.0,2826800.0,-0.15,-0.383,39.16667,"February 03, 98",-0.00383
1998-02-04,39.19,39.38,38.97,39.25,2037000.0,2037000.0,-0.06,-0.153,39.2,"February 04, 98",-0.00153
1998-02-05,39.16,39.31,38.16,38.47,2596400.0,2596400.0,0.69,1.762,38.64667,"February 05, 98",0.01762
1998-02-06,38.59,38.94,38.53,38.84,2039400.0,2039400.0,-0.25,-0.648,38.77,"February 06, 98",-0.00648
1998-02-09,38.88,38.94,38.16,38.63,1664400.0,1664400.0,0.25,0.643,38.57667,"February 09, 98",0.00643
