date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
1998-01-02,9.44,9.47,9.44,9.47,30400.0,30400.0,-0.03,-0.318,9.46,"January 02, 98",-0.00318
1998-01-05,9.47,9.95,9.47,9.78,96400.0,96400.0,-0.31,-3.273,9.73333,"January 05, 98",-0.03273
1998-01-06,9.72,9.8,9.66,9.73,154400.0,154400.0,-0.01,-0.103,9.73,"January 06, 98",-0.00103
1998-01-07,9.69,9.69,9.41,9.47,189200.0,189200.0,0.22,2.27,9.52333,"January 07, 98",0.0227
1998-01-08,9.42,9.45,9.28,9.28,131600.0,131600.0,0.14,1.486,9.33667,"January 08, 98",0.01486
1998-01-09,9.38,9.38,9.06,9.06,86400.0,86400.0,0.32,3.412,9.16667,"January 09, 98",0.03412
1998-01-12,8.81,9.03,8.75,9.03,114800.0,114800.0,-0.22,-2.497,8.93667,"January 12, 98",-0.02497
1998-01-13,9.09,9.23,9.09,9.14,57600.0,57600.0,-0.05,-0.55,9.15333,"January 13, 98",-0.0055
1998-01-14,9.25,9.25,9.06,9.11,58000.0,58000.0,0.14,1.514,9.14,"January 14, 98",0.01514
1998-01-15,9.06,9.06,8.84,8.86,39200.0,39200.0,0.2,2.208,8.92,"January 15, 98",0.02208
1998-01-16,8.94,8.97,8.75,8.94,301200.0,301200.0,0.0,0.0,8.88667,"January 16, 98",0.0
1998-01-20,9.0,9.09,8.98,8.98,75600.0,75600.0,0.02,0.222,9.01667,"January 20, 98",0.00222
1998-01-21,8.91,8.98,8.86,8.94,85200.0,85200.0,-0.03,-0.337,8.92667,"January 21, 98",-0.00337
1998-01-22,8.95,8.95,8.53,8.53,132000.0,132000.0,0.42,4.693,8.67,"January 22, 98",0.04693
1998-01-23,9.44,9.53,9.13,9.28,506000.0,506000.0,0.16,1.695,9.31333,"January 23, 98",0.01695
1998-01-26,9.56,9.94,9.56,9.84,222400.0,222400.0,-0.28,-2.929,9.78,"January 26, 98",-0.02929
1998-01-27,9.84,9.89,9.77,9.81,78800.0,78800.0,0.03,0.305,9.82333,"January 27, 98",0.00305
1998-01-28,9.81,9.84,9.5,9.52,125200.0,125200.0,0.29,2.956,9.62,"January 28, 98",0.02956
1998-01-29,9.42,9.44,9.2,9.25,110400.0,110400.0,0.17,1.805,9.29667,"January 29, 98",0.01805
1998-01-30,9.23,9.23,9.03,9.2,136000.0,136000.0,0.03,0.325,9.15333,"January 30, 98",0.00325
1998-02-02,9.34,9.48,9.34,9.41,123200.0,123200.0,-0.07,-0.749,9.41,"February 02, 98",-0.00749
1998-02-03,9.44,9.61,9.44,9.59,62400.0,62400.0,-0.15,-1.589,9.54667,"February 03, 98",-0.01589
1998-02-04,9.56,9.59,9.34,9.39,72800.0,72800.0,0.17,1.778,9.44,"February 04, 98",0.01778
1998-02-05,9.44,9.64,9.44,9.56,15200.0,15200.0,-0.12,-1.271,9.54667,"February 05, 98",-0.01271
1998-02-06,9.61,9.8,9.61,9.78,110800.0,110800.0,-0.17,-1.769,9.73,"February 06, 98",-0.01769
1998-02-09,9.77,10.03,9.77,10.0,97600.0,97600.0,-0.23,-2.354,9.93333,"February 09, 98",-0.02354
1998-02-10,10.0,10.19,9.98,10.06,82000.0,82000.0,-0.06,-0.6,10.07667,"February 10, 98",-0.006
1998-02-11,10.02,10.13,10.0,10.08,107600.0,107600.0,-0.06,-0.599,10.07,"February 11, 98",-0.00599
1998-02-12,10.02,10.33,10.02,10.33,53200.0,53200.0,-0.31,-3.094,10.22667,"February 12, 98",-0.03094
1998-02-13,10.23,10.63,10.19,10.63,61600.0,61600.0,-0.4,-3.91,10.48333,"February 13, 98",-0.0391
1998-02-17,10.63,10.66,10.5,10.5,112400.0,112400.0,0.13,1.223,10.55333,"February 17, 98",0.01223
1998-02-18,10.5,10.5,10.41,10.47,118800.0,118800.0,0.03,0.286,10.46,"February 18, 98",0.00286
1998-02-19,10.47,10.47,10.28,10.36,57600.0,57600.0,0.11,1.051,10.37,"February 19, 98",0.01051
1998-02-20,10.38,10.69,10.3,10.56,58800.0,58800.0,-0.18,-1.734,10.51667,"February 20, 98",-0.01734
1998-02-23,10.72,10.88,10.67,10.88,117600.0,117600.0,-0.16,-1.493,10.81,"February 23, 98",-0.01493
1998-02-24,11.0,11.19,10.89,10.98,174800.0,174800.0,0.02,0.182,11.02,"February 24, 98",0.00182
1998-02-25,11.0,11.0,10.73,10.86,43600.0,43600.0,0.14,1.273,10.86333,"February 25, 98",0.01273
1998-02-26,10.84,10.92,10.7,10.78,42000.0,42000.0,0.06,0.554,10.8,"February 26, 98",0.00554
1998-02-27,10.77,10.83,10.59,10.59,78400.0,78400.0,0.18,1.671,10.67,"February 27, 98",0.01671
1998-03-02,10.56,10.56,10.44,10.44,80800.0,80800.0,0.12,1.136,10.48,"March 02, 98",0.01136
1998-03-03,10.44,10.44,10.28,10.39,106400.0,106400.0,0.05,0.479,10.37,"March 03, 98",0.00479
1998-03-04,10.36,10.44,10.36,10.39,39600.0,39600.0,-0.03,-0.29,10.39667,"March 04, 98",-0.0029
1998-03-05,10.36,10.56,10.34,10.52,71200.0,71200.0,-0.16,-1.544,10.47333,"March 05, 98",-0.01544
1998-03-06,10.69,10.7,10.5,10.56,28000.0,28000.0,0.13,1.216,10.58667,"March 06, 98",0.01216
1998-03-09,10.59,10.72,10.59,10.69,36000.0,36000.0,-0.1,-0.944,10.66667,"March 09, 98",-0.00944
1998-03-10,10.75,11.0,10.75,11.0,46000.0,46000.0,-0.25,-2.326,10.91667,"March 10, 98",-0.02326
1998-03-11,11.0,11.2,11.0,11.17,77600.0,77600.0,-0.17,-1.545,11.12333,"March 11, 98",-0.01545
1998-03-12,11.23,11.45,11.23,11.42,111600.0,111600.0,-0.19,-1.692,11.36667,"March 12, 98",-0.01692
1998-03-13,11.47,11.58,11.27,11.27,132800.0,132800.0,0.2,1.744,11.37333,"March 13, 98",0.01744
1998-03-16,11.31,11.38,11.27,11.33,86000.0,86000.0,-0.02,-0.177,11.32667,"March 16, 98",-0.00177
1998-03-17,11.33,11.41,11.27,11.41,36000.0,36000.0,-0.08,-0.706,11.36333,"March 17, 98",-0.00706
1998-03-18,11.36,11.39,11.25,11.27,60400.0,60400.0,0.09,0.792,11.30333,"March 18, 98",0.00792
1998-03-19,11.25,11.33,11.25,11.28,71200.0,71200.0,-0.03,-0.267,11.28667,"March 19, 98",-0.00267
1998-03-20,11.25,11.48,11.22,11.25,105600.0,105600.0,0.0,0.0,11.31667,"March 20, 98",0.0
1998-03-23,11.19,11.19,10.95,11.09,83600.0,83600.0,0.1,0.894,11.07667,"March 23, 98",0.00894
1998-03-24,11.09,11.13,11.02,11.08,70000.0,70000.0,0.01,0.09,11.07667,"March 24, 98",0.0009
1998-03-25,11.14,11.31,11.14,11.16,143200.0,143200.0,-0.02,-0.18,11.20333,"March 25, 98",-0.0018
1998-03-26,11.13,11.13,11.03,11.05,34000.0,34000.0,0.08,0.719,11.07,"March 26, 98",0.00719
1998-03-27,11.06,11.08,10.91,11.05,51600.0,51600.0,0.01,0.09,11.01333,"March 27, 98",0.0009
1998-03-30,11.0,11.0,10.86,10.86,27200.0,27200.0,0.14,1.273,10.90667,"March 30, 98",0.01273
1998-03-31,10.86,10.97,10.81,10.84,116400.0,116400.0,0.02,0.184,10.87333,"March 31, 98",0.00184
1998-04-01,10.89,10.94,10.72,10.81,143200.0,143200.0,0.08,0.735,10.82333,"April 01, 98",0.00735
1998-04-02,10.8,10.8,10.66,10.75,131600.0,131600.0,0.05,0.463,10.73667,"April 02, 98",0.00463
