date,1. open,2. high,3. low,4. close,5. volume
1998-01-02,31.56,33.81,31.56,33.75,1088900.0
1998-01-05,33.75,36.19,33.56,34.81,1934700.0
1998-01-06,34.12,34.25,32.88,32.88,1713500.0
1998-01-07,32.75,32.75,30.62,31.38,922100.0
1998-01-08,31.38,33.38,31.0,31.5,1022900.0
1998-01-09,31.62,32.12,28.69,29.31,1102000.0
1998-01-12,28.12,29.62,27.75,28.5,1585300.0
1998-01-13,29.12,31.19,28.81,30.81,3342200.0
1998-01-14,31.44,33.0,31.06,32.94,2529100.0
1998-01-15,32.94,34.62,32.5,33.44,1732600.0
1998-01-16,33.62,34.25,33.31,33.56,1543700.0
1998-01-20,33.75,38.0,33.75,38.0,2217700.0
1998-01-21,37.0,38.06,36.5,37.38,1638900.0
1998-01-22,36.81,37.12,36.0,36.88,604100.0
1998-01-23,36.5,37.81,36.5,37.62,882600.0
1998-01-26,37.62,38.38,37.44,37.44,786700.0
1998-01-27,37.44,38.25,37.0,38.19,1053000.0
1998-01-28,39.06,40.75,38.94,39.69,2775500.0
1998-01-29,39.44,40.94,38.62,40.25,1512700.0
1998-01-30,40.25,40.75,39.12,39.5,778900.0
1998-02-02,41.5,42.31,41.06,42.25,1567100.0
1998-02-03,42.5,44.75,41.75,44.62,1275100.0
1998-02-04,44.38,44.44,43.5,43.94,1447200.0
1998-02-05,44.0,44.44,42.38,42.38,1207200.0
1998-02-06,42.06,43.0,41.56,42.5,669500.0
1998-02-09,42.5,42.62,41.38,41.5,507200.0
1998-02-10,41.75,43.19,41.62,42.69,1102900.0
1998-02-11,43.0,44.12,42.88,43.69,650600.0
1998-02-12,43.88,44.38,43.12,43.94,835200.0
1998-02-13,43.75,44.62,43.0,44.31,904400.0
1998-02-17,44.88,45.25,43.38,43.62,1067500.0
1998-02-18,43.38,45.25,43.19,44.94,928100.0
1998-02-19,45.38,46.31,44.81,45.38,718600.0
1998-02-20,45.69,45.69,43.56,44.25,506500.0
1998-02-23,44.38,45.31,44.38,45.19,516400.0
1998-02-24,45.75,45.75,43.88,43.88,608800.0
1998-02-25,44.75,46.69,44.5,46.44,700500.0
1998-02-26,46.0,48.0,45.81,47.06,1000700.0
1998-02-27,47.5,48.44,47.12,47.19,1376600.0
1998-03-02,41.0,41.5,39.88,41.0,6701300.0
1998-03-03,40.31,40.94,39.75,40.44,1404900.0
1998-03-04,40.19,40.94,40.0,40.81,1350700.0
1998-03-05,39.0,40.12,38.81,39.0,1295000.0
1998-03-06,39.0,41.12,39.0,41.12,1165600.0
1998-03-09,40.5,40.62,39.12,39.19,768300.0
1998-03-10,39.5,40.0,38.5,38.94,866900.0
1998-03-11,39.0,39.25,38.62,38.62,721900.0
1998-03-12,38.62,38.62,37.12,37.25,1580000.0
1998-03-13,37.25,37.88,36.88,37.0,767500.0
1998-03-16,37.12,38.62,37.12,38.5,536300.0
1998-03-17,38.5,38.5,37.31,37.69,781900.0
1998-03-18,37.5,38.0,37.25,37.75,875000.0
1998-03-19,38.62,39.75,38.25,39.75,647100.0
1998-03-20,39.75,39.88,36.81,37.12,1581100.0
1998-03-23,37.06,39.0,37.06,38.56,935300.0
1998-03-24,38.19,39.0,37.88,38.0,1019900.0
1998-03-25,39.5,40.19,38.81,39.56,2113800.0
1998-03-26,39.44,41.25,39.19,41.06,1449200.0
1998-03-27,41.12,41.5,40.62,40.81,858300.0
1998-03-30,41.0,41.12,40.06,40.06,450700.0
1998-03-31,40.25,40.44,40.0,40.06,1294000.0
1998-04-01,40.0,42.44,39.5,42.19,1575200.0
1998-04-02,42.44,43.44,41.81,42.31,1100400.0
1998-04-03,42.56,42.56,40.88,40.88,667400.0
1998-04-06,41.25,41.38,40.56,40.56,502400.0
1998-04-07,40.0,40.06,38.44,38.5,645300.0
1998-04-08,38.62,38.75,37.94,38.25,801400.0
1998-04-09,38.25,38.31,37.56,37.69,350600.0
1998-04-13,38.12,38.25,37.06,37.38,828500.0
1998-04-14,37.38,38.81,37.38,38.69,1126900.0
1998-04-15,39.5,39.5,37.44,38.94,1995400.0
1998-04-16,38.88,39.0,37.75,37.88,1988700.0
1998-04-17,37.62,37.62,36.75,37.06,1352900.0
1998-04-20,36.88,38.56,36.75,37.81,1097200.0
1998-04-21,38.06,38.56,37.5,37.62,427600.0
1998-04-22,37.88,40.5,37.88,39.69,1345600.0
1998-04-23,39.5,39.5,37.88,37.88,819400.0
1998-04-24,37.94,38.75,37.88,38.69,741500.0
1998-04-27,38.0,38.06,37.06,37.62,532200.0
1998-04-28,38.0,38.69,37.88,38.06,1058100.0
1998-04-29,38.0,38.0,36.88,36.94,886200.0
1998-04-30,37.25,37.38,36.5,36.5,658400.0
1998-05-01,36.25,37.19,35.88,36.81,622500.0
1998-05-04,37.31,37.69,36.44,36.44,336600.0
1998-05-05,36.44,38.06,36.25,37.88,857800.0
1998-05-06,37.88,38.0,36.0,36.0,983500.0
1998-05-07,36.0,36.0,34.56,34.62,1520300.0
1998-05-08,34.88,35.5,34.12,34.62,1386800.0
1998-05-11,35.0,35.25,34.5,34.5,930500.0
1998-05-12,34.62,36.56,34.56,36.0,1153500.0
1998-05-13,35.25,35.75,35.0,35.12,816200.0
1998-05-14,34.5,35.75,34.31,34.69,1426800.0
1998-05-15,34.69,34.75,32.75,32.94,1665000.0
1998-05-18,33.38,34.5,32.81,33.12,808100.0
1998-05-19,33.75,34.19,33.12,33.25,669600.0
1998-05-20,34.0,34.0,32.5,32.62,1638400.0
1998-05-21,32.88,33.31,31.88,32.0,1519700.0
1998-05-22,32.25,32.38,31.12,31.56,876500.0
1998-05-26,32.62,32.62,30.25,30.31,936900.0
1998-05-27,30.31,30.88,30.19,30.88,911100.0
1998-05-28,30.88,32.0,30.81,31.5,754400.0
1998-05-29,31.81,32.12,30.75,30.75,1085800.0
1998-06-01,30.75,30.75,28.44,28.69,712700.0
1998-06-02,29.25,30.0,28.69,29.06,1026400.0
1998-06-03,29.75,30.0,28.75,28.75,528100.0
1998-06-04,28.81,28.94,28.25,28.44,809200.0
1998-06-05,28.75,29.25,28.25,28.44,883400.0
1998-06-08,28.62,29.19,28.0,28.0,724000.0
1998-06-09,28.62,29.38,28.12,29.38,661100.0
1998-06-10,28.62,28.62,27.25,27.25,979200.0
1998-06-11,27.38,27.62,26.31,26.31,841100.0
1998-06-12,26.38,26.44,24.62,26.0,1362200.0
1998-06-15,25.62,26.75,25.38,25.81,855500.0
1998-06-16,26.25,27.44,26.12,27.38,743900.0
1998-06-17,27.38,27.62,25.56,25.75,943300.0
1998-06-18,25.88,26.5,25.69,25.94,671100.0
1998-06-19,25.94,26.69,25.62,25.94,822400.0
1998-06-22,26.0,26.94,25.69,26.94,911200.0
1998-06-23,27.5,27.69,26.44,26.94,1226200.0
1998-06-24,27.38,28.5,27.0,28.25,1177100.0
1998-06-25,29.0,29.12,27.62,27.62,509000.0
1998-06-26,27.62,27.62,27.06,27.25,390400.0
1998-06-29,27.19,27.44,26.25,26.38,661400.0
1998-06-30,26.38,27.0,25.69,26.75,973600.0
1998-07-01,27.88,27.88,26.88,27.44,643400.0
1998-07-02,27.44,27.5,27.0,27.38,874800.0
1998-07-06,27.31,27.31,26.5,26.5,283000.0
1998-07-07,26.62,27.69,26.12,27.56,1390800.0
1998-07-08,27.75,28.25,27.0,27.0,1390200.0
1998-07-09,27.0,27.06,26.19,26.25,837700.0
1998-07-10,26.5,26.88,26.25,26.38,312100.0
