date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
1998-01-02,16.98,17.11,16.86,17.06,1450000.0,1450000.0,-0.08,-0.471,17.01,"January 02, 98",-0.00471
1998-01-05,17.08,17.3,17.08,17.28,2584400.0,2584400.0,-0.2,-1.171,17.22,"January 05, 98",-0.01171
1998-01-06,17.03,17.41,17.0,17.33,2236800.0,2236800.0,-0.3,-1.762,17.24667,"January 06, 98",-0.01762
1998-01-07,17.39,17.53,17.03,17.06,4069200.0,4069200.0,0.33,1.898,17.20667,"January 07, 98",0.01898
1998-01-08,17.0,17.38,16.89,17.22,3257200.0,3257200.0,-0.22,-1.294,17.16333,"January 08, 98",-0.01294
1998-01-09,17.22,17.33,16.59,16.73,2875200.0,2875200.0,0.49,2.846,16.88333,"January 09, 98",0.02846
1998-01-12,16.64,17.03,16.39,17.02,3888800.0,3888800.0,-0.38,-2.284,16.81333,"January 12, 98",-0.02284
1998-01-13,17.08,17.44,17.0,17.36,2903600.0,2903600.0,-0.28,-1.639,17.26667,"January 13, 98",-0.01639
1998-01-14,17.41,17.47,17.13,17.44,2032800.0,2032800.0,-0.03,-0.172,17.34667,"January 14, 98",-0.00172
1998-01-15,17.44,17.48,17.2,17.38,1074000.0,1074000.0,0.06,0.344,17.35333,"January 15, 98",0.00344
1998-01-16,17.59,17.7,17.39,17.55,1901600.0,1901600.0,0.04,0.227,17.54667,"January 16, 98",0.00227
1998-01-20,17.61,18.48,17.59,18.42,2053200.0,2053200.0,-0.81,-4.6,18.16333,"January 20, 98",-0.046
1998-01-21,18.17,18.25,17.7,18.19,1878000.0,1878000.0,-0.02,-0.11,18.04667,"January 21, 98",-0.0011
1998-01-22,18.13,18.14,17.88,18.0,1792000.0,1792000.0,0.13,0.717,18.00667,"January 22, 98",0.00717
1998-01-23,18.0,18.11,17.67,18.09,2747200.0,2747200.0,-0.09,-0.5,17.95667,"January 23, 98",-0.005
1998-01-26,18.0,18.08,17.77,17.95,3722400.0,3722400.0,0.05,0.278,17.93333,"January 26, 98",0.00278
1998-01-27,17.92,18.03,17.53,17.59,2477200.0,2477200.0,0.33,1.842,17.71667,"January 27, 98",0.01842
1998-01-28,17.72,18.16,17.59,18.14,2292400.0,2292400.0,-0.42,-2.37,17.96333,"January 28, 98",-0.0237
1998-01-29,18.11,18.63,17.94,18.0,1958400.0,1958400.0,0.11,0.607,18.19,"January 29, 98",0.00607
1998-01-30,18.05,18.38,17.78,17.98,3316000.0,3316000.0,0.07,0.388,18.04667,"January 30, 98",0.00388
1998-02-02,18.22,18.55,18.2,18.55,3381200.0,3381200.0,-0.33,-1.811,18.43333,"February 02, 98",-0.01811
1998-02-03,18.48,18.63,18.47,18.61,2834800.0,2834800.0,-0.13,-0.703,18.57,"February 03, 98",-0.00703
1998-02-04,18.61,18.61,18.42,18.5,3570800.0,3570800.0,0.11,0.591,18.51,"February 04, 98",0.00591
1998-02-05,18.59,18.94,18.59,18.75,3198800.0,3198800.0,-0.16,-0.861,18.76,"February 05, 98",-0.00861
1998-02-06,19.0,19.25,18.84,18.91,3467200.0,3467200.0,0.09,0.474,19.0,"February 06, 98",0.00474
1998-02-09,18.92,18.94,18.16,18.52,2998000.0,2998000.0,0.4,2.114,18.54,"February 09, 98",0.02114
1998-02-10,18.58,18.61,18.41,18.52,5407600.0,5407600.0,0.06,0.323,18.51333,"February 10, 98",0.00323
1998-02-11,18.48,18.48,18.13,18.13,5403600.0,5403600.0,0.35,1.894,18.24667,"February 11, 98",0.01894
1998-02-12,18.19,18.36,18.05,18.25,5944400.0,5944400.0,-0.06,-0.33,18.22,"February 12, 98",-0.0033
1998-02-13,18.28,18.33,18.2,18.25,2661200.0,2661200.0,0.03,0.164,18.26,"February 13, 98",0.00164
1998-02-17,18.44,18.81,18.38,18.77,8192800.0,8192800.0,-0.33,-1.79,18.65333,"February 17, 98",-0.0179
1998-02-18,18.66,18.97,18.53,18.97,3166800.0,3166800.0,-0.31,-1.661,18.82333,"February 18, 98",-0.01661
1998-02-19,18.88,19.06,18.5,18.59,9818800.0,9818800.0,0.29,1.536,18.71667,"February 19, 98",0.01536
1998-02-20,18.88,19.05,18.69,19.0,2652400.0,2652400.0,-0.12,-0.636,18.91333,"February 20, 98",-0.00636
1998-02-23,19.06,19.22,18.89,19.05,2474800.0,2474800.0,0.01,0.052,19.05333,"February 23, 98",0.00052
1998-02-24,19.06,19.09,18.75,18.8,1896400.0,1896400.0,0.26,1.364,18.88,"February 24, 98",0.01364
1998-02-25,19.0,19.47,18.97,19.34,1721200.0,1721200.0,-0.34,-1.789,19.26,"February 25, 98",-0.01789
1998-02-26,19.34,19.52,19.19,19.27,3311600.0,3311600.0,0.07,0.362,19.32667,"February 26, 98",0.00362
1998-02-27,19.23,19.36,19.02,19.33,1453200.0,1453200.0,-0.1,-0.52,19.23667,"February 27, 98",-0.0052
1998-03-02,19.28,19.7,19.28,19.45,2987600.0,2987600.0,-0.17,-0.882,19.47667,"March 02, 98",-0.00882
1998-03-03,19.75,20.06,19.52,20.02,6122800.0,6122800.0,-0.27,-1.367,19.86667,"March 03, 98",-0.01367
1998-03-04,20.25,20.53,20.06,20.11,5523200.0,5523200.0,0.14,0.691,20.23333,"March 04, 98",0.00691
1998-03-05,19.94,20.0,19.59,19.75,3391600.0,3391600.0,0.19,0.953,19.78,"March 05, 98",0.00953
1998-03-06,19.81,20.19,19.69,20.16,5990000.0,5990000.0,-0.35,-1.767,20.01333,"March 06, 98",-0.01767
1998-03-09,20.19,20.41,20.13,20.25,2728000.0,2728000.0,-0.06,-0.297,20.26333,"March 09, 98",-0.00297
1998-03-10,20.38,20.44,20.22,20.28,3438400.0,3438400.0,0.1,0.491,20.31333,"March 10, 98",0.00491
1998-03-11,20.34,20.63,20.14,20.63,3000800.0,3000800.0,-0.29,-1.426,20.46667,"March 11, 98",-0.01426
1998-03-12,20.7,21.06,20.63,20.98,5335600.0,5335600.0,-0.28,-1.353,20.89,"March 12, 98",-0.01353
1998-03-13,21.25,21.63,21.19,21.42,4373200.0,4373200.0,-0.17,-0.8,21.41333,"March 13, 98",-0.008
1998-03-16,21.53,21.69,21.45,21.5,2747600.0,2747600.0,0.03,0.139,21.54667,"March 16, 98",0.00139
1998-03-17,21.5,21.89,21.41,21.48,2747600.0,2747600.0,0.02,0.093,21.59333,"March 17, 98",0.00093
1998-03-18,21.55,21.73,21.28,21.33,2176400.0,2176400.0,0.22,1.021,21.44667,"March 18, 98",0.01021
1998-03-19,21.33,21.55,21.22,21.31,1992000.0,1992000.0,0.02,0.094,21.36,"March 19, 98",0.00094
1998-03-20,21.38,21.38,21.13,21.27,2483200.0,2483200.0,0.11,0.514,21.26,"March 20, 98",0.00514
1998-03-23,21.19,21.19,20.84,21.02,2136400.0,2136400.0,0.17,0.802,21.01667,"March 23, 98",0.00802
1998-03-24,21.0,21.61,21.0,21.53,1826000.0,1826000.0,-0.53,-2.524,21.38,"March 24, 98",-0.02524
1998-03-25,21.84,21.98,21.27,21.56,4817600.0,4817600.0,0.28,1.282,21.60333,"March 25, 98",0.01282
1998-03-26,21.56,21.73,21.42,21.67,2250000.0,2250000.0,-0.11,-0.51,21.60667,"March 26, 98",-0.0051
1998-03-27,21.81,22.09,21.69,21.92,2256000.0,2256000.0,-0.11,-0.504,21.9,"March 27, 98",-0.00504
1998-03-30,21.86,21.91,21.69,21.8,1866800.0,1866800.0,0.06,0.274,21.8,"March 30, 98",0.00274
1998-03-31,21.83,22.31,21.75,22.0,2509600.0,2509600.0,-0.17,-0.779,22.02,"March 31, 98",-0.00779
1998-04-01,22.0,22.47,21.97,22.41,2732400.0,2732400.0,-0.41,-1.864,22.28333,"April 01, 98",-0.01864
1998-04-02,22.41,22.41,22.11,22.22,2136800.0,2136800.0,0.19,0.848,22.24667,"April 02, 98",0.00848
1998-04-03,21.94,22.34,21.94,22.03,2690400.0,2690400.0,-0.09,-0.41,22.10333,"April 03, 98",-0.0041
1998-04-06,22.09,22.31,21.86,21.92,2133600.0,2133600.0,0.17,0.77,22.03,"April 06, 98",0.0077
1998-04-07,21.72,21.88,21.38,21.47,2251200.0,2251200.0,0.25,1.151,21.57667,"April 07, 98",0.01151
1998-04-08,21.41,21.59,21.05,21.22,2663600.0,2663600.0,0.19,0.887,21.28667,"April 08, 98",0.00887
1998-04-09,21.25,21.48,21.23,21.36,2277600.0,2277600.0,-0.11,-0.518,21.35667,"April 09, 98",-0.00518
1998-04-13,21.31,21.34,21.19,21.28,1911600.0,1911600.0,0.03,0.141,21.27,"April 13, 98",0.00141
1998-04-14,21.34,21.41,21.17,21.23,1575200.0,1575200.0,0.11,0.515,21.27,"April 14, 98",0.00515
1998-04-15,21.34,21.77,21.23,21.72,2388000.0,2388000.0,-0.38,-1.781,21.57333,"April 15, 98",-0.01781
1998-04-16,21.69,21.69,21.31,21.56,2253200.0,2253200.0,0.13,0.599,21.52,"April 16, 98",0.00599
1998-04-17,21.56,21.56,21.3,21.34,1048800.0,1048800.0,0.22,1.02,21.4,"April 17, 98",0.0102
1998-04-20,21.36,21.36,20.59,20.89,3411600.0,3411600.0,0.47,2.2,20.94667,"April 20, 98",0.022
1998-04-21,21.08,21.08,20.72,20.94,3703200.0,3703200.0,0.14,0.664,20.91333,"April 21, 98",0.00664
1998-04-22,21.0,21.05,20.88,20.94,2752800.0,2752800.0,0.06,0.286,20.95667,"April 22, 98",0.00286
1998-04-23,20.78,21.19,20.67,21.09,1540000.0,1540000.0,-0.31,-1.492,20.98333,"April 23, 98",-0.01492
1998-04-24,21.06,21.36,20.61,20.81,2077600.0,2077600.0,0.25,1.187,20.92667,"April 24, 98",0.01187
1998-04-27,20.75,20.92,20.38,20.58,3635600.0,3635600.0,0.17,0.819,20.62667,"April 27, 98",0.00819
1998-04-28,20.75,20.8,20.38,20.47,2797200.0,2797200.0,0.28,1.349,20.55,"April 28, 98",0.01349
1998-04-29,20.63,21.31,20.53,21.16,2770000.0,2770000.0,-0.53,-2.569,21.0,"April 29, 98",-0.02569
1998-04-30,21.5,21.94,21.44,21.83,2450000.0,2450000.0,-0.33,-1.535,21.73667,"April 30, 98",-0.01535
1998-05-01,22.0,22.47,21.66,22.31,2350200.0,2350200.0,-0.31,-1.409,22.14667,"May 01, 98",-0.01409
1998-05-04,22.5,22.63,22.16,22.16,2477000.0,2477000.0,0.34,1.511,22.31667,"May 04, 98",0.01511
1998-05-05,21.91,22.13,21.44,21.75,2747600.0,2747600.0,0.16,0.73,21.77333,"May 05, 98",0.0073
1998-05-06,21.63,21.69,21.28,21.63,1853400.0,1853400.0,0.0,0.0,21.53333,"May 06, 98",0.0
1998-05-07,21.81,21.97,21.41,21.44,1740600.0,1740600.0,0.37,1.696,21.60667,"May 07, 98",0.01696
1998-05-08,21.31,21.81,21.0,21.25,1626600.0,1626600.0,0.06,0.282,21.35333,"May 08, 98",0.00282
1998-05-11,21.44,21.56,21.25,21.38,1266200.0,1266200.0,0.06,0.28,21.39667,"May 11, 98",0.0028
1998-05-12,21.47,22.06,21.34,22.0,2667200.0,2667200.0,-0.53,-2.469,21.8,"May 12, 98",-0.02469
1998-05-13,22.09,22.66,21.94,22.53,3448600.0,3448600.0,-0.44,-1.992,22.37667,"May 13, 98",-0.01992
1998-05-14,22.56,22.88,22.03,22.16,1953000.0,1953000.0,0.4,1.773,22.35667,"May 14, 98",0.01773
1998-05-15,22.19,22.31,21.66,21.72,1565000.0,1565000.0,0.47,2.118,21.89667,"May 15, 98",0.02118
1998-05-18,22.06,22.16,21.84,22.06,2108200.0,2108200.0,0.0,0.0,22.02,"May 18, 98",0.0
1998-05-19,22.19,23.25,21.84,22.84,2956200.0,2956200.0,-0.65,-2.929,22.64333,"May 19, 98",-0.02929
1998-05-20,22.94,23.34,22.72,23.34,1937400.0,1937400.0,-0.4,-1.744,23.13333,"May 20, 98",-0.01744
1998-05-21,23.34,23.38,22.91,23.03,2229600.0,2229600.0,0.31,1.328,23.10667,"May 21, 98",0.01328
1998-05-22,22.84,23.25,22.84,23.06,1137200.0,1137200.0,-0.22,-0.963,23.05,"May 22, 98",-0.00963
1998-05-26,23.06,23.25,22.66,22.72,1494600.0,1494600.0,0.34,1.474,22.87667,"May 26, 98",0.01474
1998-05-27,22.63,22.63,22.06,22.38,1630800.0,1630800.0,0.25,1.105,22.35667,"May 27, 98",0.01105
1998-05-28,22.44,23.19,22.13,23.0,1741000.0,1741000.0,-0.56,-2.496,22.77333,"May 28, 98",-0.02496
1998-05-29,23.06,23.94,23.03,23.19,2836600.0,2836600.0,-0.13,-0.564,23.38667,"May 29, 98",-0.00564
1998-06-01,23.19,24.16,23.19,23.97,2236200.0,2236200.0,-0.78,-3.364,23.77333,"June 01, 98",-0.03364
1998-06-02,24.25,24.34,23.88,24.16,1682800.0,1682800.0,0.09,0.371,24.12667,"June 02, 98",0.00371
1998-06-03,24.25,24.31,23.94,24.16,2038200.0,2038200.0,0.09,0.371,24.13667,"June 03, 98",0.00371
1998-06-04,24.13,24.56,23.41,24.34,2010800.0,2010800.0,-0.21,-0.87,24.10333,"June 04, 98",-0.0087
1998-06-05,24.38,25.56,24.38,25.53,2023200.0,2023200.0,-1.15,-4.717,25.15667,"June 05, 98",-0.04717
1998-06-08,25.56,25.75,25.0,25.56,2806200.0,2806200.0,0.0,0.0,25.43667,"June 08, 98",0.0
1998-06-09,25.0,25.59,24.91,25.56,2597000.0,2597000.0,-0.56,-2.24,25.35333,"June 09, 98",-0.0224
1998-06-10,25.56,26.5,25.38,26.06,3139600.0,3139600.0,-0.5,-1.956,25.98,"June 10, 98",-0.01956
1998-06-11,26.03,26.06,25.25,25.25,2482800.0,2482800.0,0.78,2.997,25.52,"June 11, 98",0.02997
1998-06-12,25.31,25.44,24.91,25.31,2308800.0,2308800.0,0.0,0.0,25.22,"June 12, 98",0.0
1998-06-15,24.94,25.47,24.38,24.47,2660000.0,2660000.0,0.47,1.885,24.77333,"June 15, 98",0.01885
1998-06-16,24.5,24.72,23.41,24.19,4290600.0,4290600.0,0.31,1.265,24.10667,"June 16, 98",0.01265
1998-06-17,24.16,24.59,24.06,24.59,4414800.0,4414800.0,-0.43,-1.78,24.41333,"June 17, 98",-0.0178
1998-06-18,24.47,24.84,24.19,24.56,2258800.0,2258800.0,-0.09,-0.368,24.53,"June 18, 98",-0.00368
1998-06-19,24.44,24.53,23.63,23.97,4476400.0,4476400.0,0.47,1.923,24.04333,"June 19, 98",0.01923
1998-06-22,24.09,24.53,23.84,24.47,2074800.0,2074800.0,-0.38,-1.577,24.28,"June 22, 98",-0.01577
1998-06-23,24.56,24.94,24.38,24.81,2238200.0,2238200.0,-0.25,-1.018,24.71,"June 23, 98",-0.01018
1998-06-24,24.63,24.88,24.34,24.84,1681000.0,1681000.0,-0.21,-0.853,24.68667,"June 24, 98",-0.00853
1998-06-25,24.88,24.94,24.28,24.31,3063600.0,3063600.0,0.57,2.291,24.51,"June 25, 98",0.02291
1998-06-26,24.16,24.5,24.13,24.38,1704400.0,1704400.0,-0.22,-0.911,24.33667,"June 26, 98",-0.00911
1998-06-29,24.5,24.81,24.28,24.75,3468600.0,3468600.0,-0.25,-1.02,24.61333,"June 29, 98",-0.0102
1998-06-30,24.63,24.63,24.25,24.25,3090600.0,3090600.0,0.38,1.543,24.37667,"June 30, 98",0.01543
1998-07-01,24.63,25.19,24.63,25.0,2688800.0,2688800.0,-0.37,-1.502,24.94,"July 01, 98",-0.01502
1998-07-02,25.69,25.69,24.91,25.19,1484000.0,1484000.0,0.5,1.946,25.26333,"July 02, 98",0.01946
1998-07-06,25.38,26.13,25.25,26.13,2164800.0,2164800.0,-0.75,-2.955,25.83667,"July 06, 98",-0.02955
1998-07-07,26.06,26.22,25.03,25.25,2111200.0,2111200.0,0.81,3.108,25.5,"July 07, 98",0.03108
1998-07-08,25.44,25.94,25.41,25.66,1417400.0,1417400.0,-0.22,-0.865,25.67,"July 08, 98",-0.00865
1998-07-09,25.78,25.88,24.72,24.97,3653000.0,3653000.0,0.81,3.142,25.19,"July 09, 98",0.03142
1998-07-10,24.97,25.0,24.19,24.97,3845000.0,3845000.0,0.0,0.0,24.72,"July 10, 98",0.0
1998-07-13,24.97,25.06,24.38,25.03,2689400.0,2689400.0,-0.06,-0.24,24.82333,"July 13, 98",-0.0024
1998-07-14,25.0,26.25,25.0,26.03,4170400.0,4170400.0,-1.03,-4.12,25.76,"July 14, 98",-0.0412
1998-07-15,25.84,26.19,25.84,25.88,2515800.0,2515800.0,-0.04,-0.155,25.97,"July 15, 98",-0.00155
1998-07-16,25.81,26.16,25.75,26.16,1878200.0,1878200.0,-0.35,-1.356,26.02333,"July 16, 98",-0.01356
1998-07-17,26.16,26.75,26.09,26.28,1904200.0,1904200.0,-0.12,-0.459,26.37333,"July 17, 98",-0.00459
1998-07-20,26.28,26.69,25.88,26.31,2025400.0,2025400.0,-0.03,-0.114,26.29333,"July 20, 98",-0.00114
1998-07-21,26.28,26.5,25.63,26.13,2414400.0,2414400.0,0.15,0.571,26.08667,"July 21, 98",0.00571
1998-07-22,26.5,26.59,25.91,26.03,3626600.0,3626600.0,0.47,1.774,26.17667,"July 22, 98",0.01774
1998-07-23,26.0,26.0,24.41,24.53,3153600.0,3153600.0,1.47,5.654,24.98,"July 23, 98",0.05654
1998-07-24,24.41,24.5,23.97,24.34,5371200.0,5371200.0,0.07,0.287,24.27,"July 24, 98",0.00287
1998-07-27,24.34,25.0,24.13,24.88,2570400.0,2570400.0,-0.54,-2.219,24.67,"July 27, 98",-0.02219
1998-07-28,24.63,25.38,24.44,24.5,3025400.0,3025400.0,0.13,0.528,24.77333,"July 28, 98",0.00528
1998-07-29,24.59,24.84,23.38,23.81,2320200.0,2320200.0,0.78,3.172,24.01,"July 29, 98",0.03172
1998-07-30,24.0,24.69,23.84,24.47,2773000.0,2773000.0,-0.47,-1.958,24.33333,"July 30, 98",-0.01958
1998-07-31,24.47,24.75,23.78,23.91,1514000.0,1514000.0,0.56,2.289,24.14667,"July 31, 98",0.02289
1998-08-03,24.03,24.5,23.53,23.81,2358600.0,2358600.0,0.22,0.916,23.94667,"August 03, 98",0.00916
