date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
1998-01-02,57.0,57.5,57.0,57.5,81700.0,81700.0,-0.5,-0.877,57.33333,"January 02, 98",-0.00877
1998-01-05,54.88,54.88,54.56,54.56,18100.0,18100.0,0.32,0.583,54.66667,"January 05, 98",0.00583
1998-01-06,54.5,54.88,54.5,54.63,7200.0,7200.0,-0.13,-0.239,54.67,"January 06, 98",-0.00239
1998-01-07,55.88,55.88,55.31,55.63,33600.0,33600.0,0.25,0.447,55.60667,"January 07, 98",0.00447
1998-01-08,55.63,55.63,55.0,55.56,14000.0,14000.0,0.07,0.126,55.39667,"January 08, 98",0.00126
1998-01-09,55.63,55.94,54.88,55.13,23200.0,23200.0,0.5,0.899,55.31667,"January 09, 98",0.00899
1998-01-12,54.75,55.69,54.75,55.69,55000.0,55000.0,-0.94,-1.717,55.37667,"January 12, 98",-0.01717
1998-01-13,55.13,55.81,55.13,55.81,4500.0,4500.0,-0.68,-1.233,55.58333,"January 13, 98",-0.01233
1998-01-14,56.88,56.88,56.25,56.5,10900.0,10900.0,0.38,0.668,56.54333,"January 14, 98",0.00668
1998-01-15,56.75,56.75,56.25,56.25,8000.0,8000.0,0.5,0.881,56.41667,"January 15, 98",0.00881
1998-01-16,58.88,59.63,58.75,58.75,26100.0,26100.0,0.13,0.221,59.04333,"January 16, 98",0.00221
1998-01-20,58.75,58.75,58.25,58.75,14000.0,14000.0,0.0,0.0,58.58333,"January 20, 98",0.0
1998-01-21,58.75,58.75,58.13,58.5,5100.0,5100.0,0.25,0.426,58.46,"January 21, 98",0.00426
1998-01-22,56.75,57.25,56.63,56.63,4200.0,4200.0,0.12,0.211,56.83667,"January 22, 98",0.00211
1998-01-23,58.0,58.13,57.38,57.63,8700.0,8700.0,0.37,0.638,57.71333,"January 23, 98",0.00638
1998-01-26,57.63,58.25,57.63,57.75,9800.0,9800.0,-0.12,-0.208,57.87667,"January 26, 98",-0.00208
1998-01-27,57.13,57.25,56.63,57.0,8200.0,8200.0,0.13,0.228,56.96,"January 27, 98",0.00228
1998-01-28,56.63,56.69,55.88,56.69,20600.0,20600.0,-0.06,-0.106,56.42,"January 28, 98",-0.00106
