date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2013-11-07,45.1,50.09,44.0,44.9,117701600.0,117701600.0,0.2,0.443,46.33,"November 07, 13",0.00443
2013-11-08,45.93,46.94,40.69,41.65,27925300.0,27925300.0,4.28,9.319,43.09333,"November 08, 13",0.09319
2013-11-11,40.5,43.0,39.4,42.9,16113900.0,16113900.0,-2.4,-5.926,41.76667,"November 11, 13",-0.05926
2013-11-12,43.66,43.78,41.83,41.9,6316700.0,6316700.0,1.76,4.031,42.50333,"November 12, 13",0.04031
2013-11-13,41.03,42.87,40.76,42.6,8688300.0,8688300.0,-1.57,-3.826,42.07667,"November 13, 13",-0.03826
2013-11-14,42.34,45.67,42.24,44.69,11099400.0,11099400.0,-2.35,-5.55,44.2,"November 14, 13",-0.0555
2013-11-15,45.25,45.27,43.43,43.98,8010600.0,8010600.0,1.27,2.807,44.22667,"November 15, 13",0.02807
2013-11-18,43.5,43.95,40.85,41.14,12810600.0,12810600.0,2.36,5.425,41.98,"November 18, 13",0.05425
2013-11-19,41.39,41.9,40.0,41.75,7436600.0,7436600.0,-0.36,-0.87,41.21667,"November 19, 13",-0.0087
2013-11-20,41.4,41.75,40.51,41.05,5767300.0,5767300.0,0.35,0.845,41.10333,"November 20, 13",0.00845
2013-11-21,41.25,42.49,40.37,42.06,8324700.0,8324700.0,-0.81,-1.964,41.64,"November 21, 13",-0.01964
2013-11-22,41.81,42.28,40.97,41.0,6185200.0,6185200.0,0.81,1.937,41.41667,"November 22, 13",0.01937
2013-11-25,41.08,41.14,38.8,39.06,14333300.0,14333300.0,2.02,4.917,39.66667,"November 25, 13",0.04917
2013-11-26,39.16,40.55,38.92,40.18,9828400.0,9828400.0,-1.02,-2.605,39.88333,"November 26, 13",-0.02605
2013-11-27,40.47,41.4,40.35,40.9,5536300.0,5536300.0,-0.43,-1.063,40.88333,"November 27, 13",-0.01063
2013-11-29,41.4,41.58,40.9,41.57,4107000.0,4107000.0,-0.17,-0.411,41.35,"November 29, 13",-0.00411
2013-12-02,41.79,42.0,40.4,40.78,6424300.0,6424300.0,1.01,2.417,41.06,"December 02, 13",0.02417
2013-12-03,40.69,41.6,40.54,41.37,5771000.0,5771000.0,-0.68,-1.671,41.17,"December 03, 13",-0.01671
2013-12-04,41.27,43.92,41.27,43.69,11014900.0,11014900.0,-2.42,-5.864,42.96,"December 04, 13",-0.05864
2013-12-05,43.45,46.35,42.83,45.62,11729400.0,11729400.0,-2.17,-4.994,44.93333,"December 05, 13",-0.04994
2013-12-06,45.75,45.8,44.54,44.95,6230000.0,6230000.0,0.8,1.749,45.09667,"December 06, 13",0.01749
2013-12-09,45.59,49.84,45.02,49.14,17366600.0,17366600.0,-3.55,-7.787,48.0,"December 09, 13",-0.07787
2013-12-10,48.9,52.58,48.7,51.99,25792000.0,25792000.0,-3.09,-6.319,51.09,"December 10, 13",-0.06319
2013-12-11,52.4,53.87,51.0,52.34,26631500.0,26631500.0,0.06,0.115,52.40333,"December 11, 13",0.00115
2013-12-12,52.2,55.87,50.69,55.33,23446900.0,23446900.0,-3.13,-5.996,53.96333,"December 12, 13",-0.05996
2013-12-13,56.2,59.41,55.45,59.0,38979600.0,38979600.0,-2.8,-4.982,57.95333,"December 13, 13",-0.04982
2013-12-16,57.86,60.24,55.76,56.61,39310800.0,39310800.0,1.25,2.16,57.53667,"December 16, 13",0.0216
2013-12-17,56.97,57.38,54.62,56.45,22115200.0,22115200.0,0.52,0.913,56.15,"December 17, 13",0.00913
2013-12-18,57.0,57.0,54.23,55.51,16659800.0,16659800.0,1.49,2.614,55.58,"December 18, 13",0.02614
2013-12-19,55.08,57.75,55.0,57.49,13152500.0,13152500.0,-2.41,-4.375,56.74667,"December 19, 13",-0.04375
2013-12-20,58.51,60.25,58.01,60.01,26207400.0,26207400.0,-1.5,-2.564,59.42333,"December 20, 13",-0.02564
2013-12-23,59.85,64.99,59.7,64.54,22163800.0,22163800.0,-4.69,-7.836,63.07667,"December 23, 13",-0.07836
2013-12-24,66.34,70.87,65.56,69.96,35802700.0,35802700.0,-3.62,-5.457,68.79667,"December 24, 13",-0.05457
2013-12-26,72.88,74.73,69.13,73.31,82761100.0,82761100.0,-0.43,-0.59,72.39,"December 26, 13",-0.0059
