date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
1998-01-02,11.07,11.18,10.88,11.08,5400000,5400000,0.01,-0.98,11.08,2-Jan-98,-0.000903342
1998-01-05,11.08,11.3,10.98,11.27,9950000,9950000,0.19,1.71,11.27,5-Jan-98,-0.017148014
1998-01-06,11.18,11.53,11.13,11.13,15920000,15920000,-0.05,-1.24,11.13,6-Jan-98,0.004472272
1998-01-07,11.1,11.12,10.85,11.12,10980000,10980000,0.02,-0.09,11.12,7-Jan-98,-0.001801802
1998-01-08,11.12,11.32,11.01,11.02,8010000,8010000,-0.1,-0.9,11.02,8-Jan-98,0.008992806
1998-01-09,11.03,11.04,10.42,10.56,11220000,11220000,-0.47,-4.17,10.56,9-Jan-98,0.042611061
1998-01-12,10.33,10.65,10.2,10.51,11040000,11040000,0.18,-0.47,10.51,12-Jan-98,-0.017424976
1998-01-13,10.57,11.06,10.57,11.04,10210000,10210000,0.47,5.04,11.04,13-Jan-98,-0.044465468
1998-01-14,11.04,11.25,10.83,11.22,10570000,10570000,0.18,1.63,11.22,14-Jan-98,-0.016304348
1998-01-15,11.15,11.53,11.1,11.48,15140000,15140000,0.33,2.32,11.48,15-Jan-98,-0.029596413
1998-01-16,11.48,11.6,11.38,11.5,7570000,7570000,0.02,0.17,11.5,16-Jan-98,-0.00174216
1998-01-20,11.53,11.9,11.53,11.86,9150000,9150000,0.33,3.13,11.86,20-Jan-98,-0.028620989
1998-01-21,11.81,12.03,11.7,11.78,8820000,8820000,-0.03,-0.67,11.78,21-Jan-98,0.00254022
1998-01-22,11.75,11.94,11.55,11.8,6770000,6770000,0.05,0.17,11.8,22-Jan-98,-0.004255319
1998-01-23,11.87,11.97,11.63,11.78,4280000,4280000,-0.09,-0.17,11.78,23-Jan-98,0.00758214
1998-01-26,11.75,11.91,11.4,11.4,6000000,6000000,-0.35,-3.23,11.4,26-Jan-98,0.029787234
1998-01-27,11.39,11.52,11.26,11.29,7220000,7220000,-0.1,-0.96,11.29,27-Jan-98,0.008779631
1998-01-28,11.35,11.73,11.35,11.7,8450000,8450000,0.35,3.63,11.7,28-Jan-98,-0.030837004
1998-01-29,11.65,11.9,11.63,11.74,7930000,7930000,0.09,0.34,11.74,29-Jan-98,-0.007725322
1998-01-30,11.84,12.06,11.8,11.83,5340000,5340000,-0.01,0.77,11.83,30-Jan-98,0.000844595
1998-02-02,12.12,12.43,12.07,12.38,15350000,15350000,0.26,4.65,12.38,2-Feb-98,-0.021452145
1998-02-03,12.38,12.42,12.22,12.34,7970000,7970000,-0.04,-0.32,12.34,3-Feb-98,0.003231018
1998-02-04,12.28,12.56,12.19,12.46,6780000,6780000,0.18,0.97,12.46,4-Feb-98,-0.01465798
1998-02-05,12.58,12.58,12.11,12.12,7080000,7080000,-0.46,-2.73,12.12,5-Feb-98,0.036565978
1998-02-06,12.06,12.31,11.95,12.18,6500000,6500000,0.12,0.5,12.18,6-Feb-98,-0.009950249
1998-02-09,12.37,13.85,12.31,13.66,37030000,37030000,1.29,12.15,13.66,9-Feb-98,-0.104284559
1998-02-10,13.79,14.16,13.48,13.48,33480000,33480000,-0.31,-1.32,13.48,10-Feb-98,0.022480058
1998-02-11,13.9,14.28,13.73,14.16,18140000,18140000,0.26,5.04,14.16,11-Feb-98,-0.018705036
1998-02-12,14.13,14.58,14.04,14.47,17480000,17480000,0.34,2.19,14.47,12-Feb-98,-0.024062279
1998-02-13,14.41,14.49,14.1,14.13,16060000,16060000,-0.28,-2.35,14.13,13-Feb-98,0.019430951
1998-02-17,14.25,14.3,13.73,13.85,13590000,13590000,-0.4,-1.98,13.85,17-Feb-98,0.028070175
1998-02-18,13.85,13.98,13.74,13.91,7510000,7510000,0.06,0.43,13.91,18-Feb-98,-0.00433213
1998-02-19,13.99,14.55,13.94,14.55,12520000,12520000,0.56,4.6,14.55,19-Feb-98,-0.040028592
1998-02-20,14.66,14.82,14.48,14.77,10400000,10400000,0.11,1.51,14.77,20-Feb-98,-0.007503411
1998-02-23,14.9,15.46,14.84,15.32,12790000,12790000,0.42,3.72,15.32,23-Feb-98,-0.028187919
1998-02-24,15.29,15.31,14.73,14.73,11120000,11120000,-0.56,-3.85,14.73,24-Feb-98,0.036625245
1998-02-25,14.87,15.08,14.59,14.71,18420000,18420000,-0.16,-0.14,14.71,25-Feb-98,0.010759919
1998-02-26,14.98,15.34,14.82,15.31,13610000,13610000,0.33,4.08,15.31,26-Feb-98,-0.022029372
1998-02-27,15.31,15.31,14.97,15.01,16220000,16220000,-0.3,-1.96,15.01,27-Feb-98,0.019595036
1998-03-02,15,15.06,14.54,14.55,10190000,10190000,-0.45,-3.06,14.55,2-Mar-98,0.03
1998-03-03,14.55,14.64,13.98,14.49,14020000,14020000,-0.06,-0.41,14.49,3-Mar-98,0.004123711
1998-03-04,14.35,14.66,13.98,13.98,8220000,8220000,-0.37,-3.52,13.98,4-Mar-98,0.025783972
1998-03-05,14.1,14.45,14.1,14.36,12910000,12910000,0.26,2.72,14.36,5-Mar-98,-0.018439716
