date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2019-05-10,42.0,45.0,41.06,41.57,186322500.0,186322500.0,0.43,1.024,42.54333,"May 10, 19",0.01024
2019-05-13,38.79,39.24,36.08,37.1,79442400.0,79442400.0,1.69,4.357,37.47333,"May 13, 19",0.04357
2019-05-14,38.31,39.96,36.85,39.96,46661100.0,46661100.0,-1.65,-4.307,38.92333,"May 14, 19",-0.04307
2019-05-15,39.37,41.88,38.95,41.29,36086100.0,36086100.0,-1.92,-4.877,40.70667,"May 15, 19",-0.04877
2019-05-16,41.48,44.06,41.25,43.0,38115500.0,38115500.0,-1.52,-3.664,42.77,"May 16, 19",-0.03664
2019-05-17,41.98,43.29,41.27,41.91,20225700.0,20225700.0,0.07,0.167,42.15667,"May 17, 19",0.00167
2019-05-20,41.19,41.68,39.46,41.59,29222300.0,29222300.0,-0.4,-0.971,40.91,"May 20, 19",-0.00971
2019-05-21,42.0,42.24,41.25,41.5,10802900.0,10802900.0,0.5,1.19,41.66333,"May 21, 19",0.0119
2019-05-22,41.05,41.28,40.5,41.25,9089500.0,9089500.0,-0.2,-0.487,41.01,"May 22, 19",-0.00487
2019-05-23,40.8,41.09,40.02,40.47,11119900.0,11119900.0,0.33,0.809,40.52667,"May 23, 19",0.00809
2019-05-24,41.28,41.51,40.5,41.51,8786800.0,8786800.0,-0.23,-0.557,41.17333,"May 24, 19",-0.00557
2019-05-28,41.7,41.8,40.6,40.95,13391600.0,13391600.0,0.75,1.799,41.11667,"May 28, 19",0.01799
2019-05-29,40.52,40.71,39.15,39.94,14060400.0,14060400.0,0.58,1.431,39.93333,"May 29, 19",0.01431
2019-05-30,40.07,40.38,39.5,39.8,26451900.0,26451900.0,0.27,0.674,39.89333,"May 30, 19",0.00674
2019-05-31,41.15,41.57,39.41,40.41,23209800.0,23209800.0,0.74,1.798,40.46333,"May 31, 19",0.01798
2019-06-03,40.74,41.85,40.24,41.25,16605300.0,16605300.0,-0.51,-1.252,41.11333,"June 03, 19",-0.01252
2019-06-04,42.56,42.88,40.7,42.75,23432100.0,23432100.0,-0.19,-0.446,42.11,"June 04, 19",-0.00446
2019-06-05,42.87,45.66,42.5,45.0,28609600.0,28609600.0,-2.13,-4.969,44.38667,"June 05, 19",-0.04969
2019-06-06,45.0,45.75,44.28,44.92,16403700.0,16403700.0,0.08,0.178,44.98333,"June 06, 19",0.00178
2019-06-07,44.92,45.67,44.13,44.16,12654700.0,12654700.0,0.76,1.692,44.65333,"June 07, 19",0.01692
2019-06-10,44.02,44.59,42.53,42.61,11618700.0,11618700.0,1.41,3.203,43.24333,"June 10, 19",0.03203
2019-06-11,43.22,43.65,41.8,42.45,9095000.0,9095000.0,0.77,1.782,42.63333,"June 11, 19",0.01782
2019-06-12,42.52,42.65,41.71,42.17,5965300.0,5965300.0,0.35,0.823,42.17667,"June 12, 19",0.00823
2019-06-13,43.05,44.35,42.8,44.31,10178900.0,10178900.0,-1.26,-2.927,43.82,"June 13, 19",-0.02927
2019-06-14,44.75,44.8,43.11,43.23,7902200.0,7902200.0,1.52,3.397,43.71333,"June 14, 19",0.03397
