date,1. open,2. high,3. low,4. close,5. volume
2008-11-25,5.0,5.0,5.0,5.0,100.0
2008-11-26,5.0,5.0,5.0,5.0,0.0
2008-11-28,5.0,5.0,5.0,5.0,0.0
2008-12-01,5.0,5.0,5.0,5.0,0.0
2008-12-02,5.0,5.0,5.0,5.0,0.0
2008-12-03,5.0,5.0,5.0,5.0,0.0
2008-12-04,5.0,5.0,5.0,5.0,0.0
2008-12-05,5.0,5.0,5.0,5.0,0.0
2008-12-08,5.0,5.0,5.0,5.0,0.0
2008-12-09,5.0,5.0,5.0,5.0,0.0
2008-12-10,5.0,5.0,5.0,5.0,0.0
2008-12-11,5.0,5.0,5.0,5.0,0.0
2008-12-12,5.0,5.0,5.0,5.0,0.0
2008-12-15,5.0,5.0,5.0,5.0,0.0
2008-12-16,5.0,5.0,5.0,5.0,0.0
2008-12-17,5.0,5.0,5.0,5.0,0.0
2008-12-18,5.0,5.0,5.0,5.0,0.0
2008-12-19,5.0,5.0,5.0,5.0,0.0
2008-12-22,5.0,5.0,5.0,5.0,0.0
2008-12-23,5.0,5.0,5.0,5.0,0.0
2008-12-24,5.0,5.0,5.0,5.0,0.0
2008-12-26,5.0,5.0,5.0,5.0,0.0
2008-12-29,5.0,5.0,5.0,5.0,0.0
2008-12-30,5.0,5.0,5.0,5.0,0.0
2008-12-31,5.0,5.0,5.0,5.0,0.0
2009-01-02,5.0,5.0,5.0,5.0,0.0
2009-01-05,5.0,5.0,5.0,5.0,0.0
2009-01-06,5.0,5.0,5.0,5.0,0.0
2009-01-07,5.0,5.0,5.0,5.0,0.0
2009-01-08,5.0,5.0,5.0,5.0,0.0
2009-01-09,5.0,5.0,5.0,5.0,0.0
2009-01-12,5.0,5.0,5.0,5.0,0.0
2009-01-13,5.0,5.0,5.0,5.0,0.0
2009-01-14,3.75,3.75,3.75,3.75,1500.0
2009-01-15,3.75,3.75,3.75,3.75,0.0
2009-01-16,3.75,3.75,3.75,3.75,0.0
2009-01-20,3.75,3.75,3.75,3.75,0.0
2009-01-21,3.64,3.64,3.64,3.64,500.0
2009-01-22,3.64,3.64,3.64,3.64,0.0
2009-01-23,3.02,3.02,3.02,3.02,850.0
2009-01-26,3.02,3.02,3.02,3.02,0.0
2009-01-27,3.02,3.02,3.02,3.02,0.0
2009-01-28,3.02,3.02,3.02,3.02,0.0
2009-01-29,3.13,3.13,3.13,3.13,118.0
2009-01-30,3.13,3.13,3.13,3.13,0.0
2009-02-02,3.05,3.05,3.05,3.05,103950.0
2009-02-03,3.05,3.05,3.05,3.05,0.0
2009-02-04,3.05,3.05,3.05,3.05,0.0
2009-02-05,3.05,3.05,3.05,3.05,0.0
2009-02-06,3.29,3.29,3.29,3.29,224.0
2009-02-09,3.46,3.46,3.46,3.46,468.0
2009-02-10,3.22,3.22,3.22,3.22,300.0
2009-02-11,3.22,3.22,3.22,3.22,0.0
2009-02-12,3.22,3.22,3.22,3.22,0.0
2009-02-13,3.22,3.22,3.22,3.22,0.0
2009-02-17,3.2,3.2,3.2,3.2,880.0
2009-02-18,3.2,3.2,3.2,3.2,0.0
2009-02-19,3.2,3.2,3.2,3.2,0.0
2009-02-20,3.2,3.2,3.2,3.2,0.0
2009-02-23,3.2,3.2,3.2,3.2,0.0
2009-02-24,3.2,3.2,3.2,3.2,0.0
2009-02-25,3.2,3.2,3.2,3.2,0.0
2009-02-26,3.2,3.2,3.2,3.2,0.0
2009-02-27,3.2,3.2,3.2,3.2,0.0
2009-03-02,3.06,3.06,3.06,3.06,250.0
2009-03-03,3.06,3.06,3.06,3.06,0.0
2009-03-04,3.06,3.25,3.06,3.25,500.0
2009-03-05,3.15,3.15,3.15,3.15,500.0
2009-03-06,3.15,3.15,3.15,3.15,0.0
2009-03-09,3.15,3.15,3.15,3.15,0.0
2009-03-10,3.15,3.15,3.15,3.15,0.0
2009-03-11,3.1,3.25,3.1,3.25,2500.0
2009-03-12,3.05,3.21,3.05,3.21,1112.0
2009-03-13,3.05,3.21,3.05,3.21,0.0
2009-03-16,3.48,3.48,3.48,3.48,1250.0
2009-03-17,3.48,3.48,3.48,3.48,0.0
2009-03-18,3.48,3.48,3.48,3.48,0.0
2009-03-19,3.48,3.48,3.48,3.48,0.0
2009-03-20,3.48,3.48,3.48,3.48,0.0
2009-03-23,4.05,4.05,4.05,4.05,2310.0
2009-03-24,3.91,3.91,3.91,3.91,2000.0
2009-03-25,3.98,3.98,3.8,3.8,1950.0
2009-03-26,3.98,3.98,3.8,3.8,0.0
2009-03-27,3.98,3.98,3.8,3.8,0.0
2009-03-30,3.98,3.98,3.8,3.8,0.0
2009-03-31,3.98,3.98,3.8,3.8,0.0
2009-04-01,3.98,3.98,3.8,3.8,0.0
2009-04-02,3.98,3.98,3.8,3.8,0.0
2009-04-03,3.98,3.98,3.8,3.8,0.0
2009-04-06,3.98,3.98,3.8,3.8,0.0
2009-04-07,3.98,3.98,3.8,3.8,0.0
2009-04-08,3.98,3.98,3.8,3.8,0.0
2009-04-09,3.98,3.98,3.8,3.8,0.0
2009-04-13,3.98,3.98,3.8,3.8,0.0
2009-04-14,4.21,4.21,4.21,4.21,118.0
2009-04-15,4.21,4.21,4.21,4.21,0.0
2009-04-16,4.21,4.21,4.21,4.21,0.0
2009-04-17,4.21,4.21,4.21,4.21,0.0
2009-04-20,4.21,4.21,4.21,4.21,0.0
2009-04-21,4.21,4.21,4.21,4.21,0.0
2009-04-22,4.21,4.21,4.21,4.21,0.0
2009-04-23,4.6,4.6,4.6,4.6,200.0
2009-04-24,4.6,4.6,4.6,4.6,0.0
2009-04-27,4.6,4.6,4.6,4.6,0.0
2009-04-28,4.6,4.6,4.6,4.6,0.0
2009-04-29,4.6,4.6,4.6,4.6,0.0
2009-04-30,4.6,4.6,4.6,4.6,0.0
2009-05-01,4.6,4.6,4.6,4.6,0.0
2009-05-04,4.6,4.6,4.6,4.6,0.0
2009-05-05,4.6,4.6,4.6,4.6,0.0
2009-05-06,4.6,4.6,4.6,4.6,0.0
2009-05-07,4.6,4.6,4.6,4.6,0.0
2009-05-08,3.85,3.85,3.85,3.85,400.0
2009-05-11,3.85,3.85,3.85,3.85,0.0
2009-05-12,3.85,3.85,3.85,3.85,0.0
2009-05-13,3.85,3.85,3.85,3.85,0.0
2009-05-14,3.85,3.85,3.85,3.85,0.0
2009-05-15,3.85,3.85,3.85,3.85,0.0
2009-05-18,3.85,3.85,3.85,3.85,0.0
2009-05-19,3.85,3.85,3.85,3.85,0.0
2009-05-20,3.85,3.85,3.85,3.85,0.0
2009-05-21,3.85,3.85,3.85,3.85,0.0
2009-05-22,3.85,3.85,3.85,3.85,0.0
2009-05-26,3.85,3.85,3.85,3.85,0.0
2009-05-27,3.85,3.85,3.85,3.85,0.0
2009-05-28,3.85,3.85,3.85,3.85,0.0
2009-05-29,3.85,3.85,3.85,3.85,0.0
2009-06-01,3.85,3.85,3.85,3.85,0.0
2009-06-02,4.48,4.48,4.48,4.48,100.0
2009-06-03,4.48,4.48,4.48,4.48,0.0
2009-06-04,4.48,4.48,4.48,4.48,0.0
2009-06-05,4.48,4.48,4.48,4.48,0.0
2009-06-08,4.45,4.45,4.45,4.45,500.0
2009-06-09,4.45,4.45,4.45,4.45,0.0
2009-06-10,4.9,5.0,4.9,5.0,1500.0
2009-06-11,4.9,5.0,4.9,5.0,0.0
2009-06-12,4.9,5.0,4.9,5.0,0.0
2009-06-15,4.71,4.71,4.71,4.71,500.0
2009-06-16,4.71,4.71,4.71,4.71,0.0
2009-06-17,4.75,4.75,4.75,4.75,1000.0
2009-06-18,4.75,4.75,4.75,4.75,0.0
2009-06-19,4.75,4.75,4.75,4.75,0.0
2009-06-22,4.71,4.71,4.71,4.71,4000.0
2009-06-23,4.55,4.65,4.55,4.65,1325.0
2009-06-24,4.56,4.56,4.55,4.55,1112.0
2009-06-25,4.58,4.64,4.58,4.63,4921.0
2009-06-26,4.75,4.91,4.75,4.91,1200.0
2009-06-29,4.78,4.8,4.78,4.8,1000.0
2009-06-30,4.92,4.95,4.92,4.95,1888.0
2009-07-01,4.9,4.9,4.9,4.9,500.0
2009-07-02,4.9,4.9,4.9,4.9,0.0
2009-07-06,4.9,4.9,4.9,4.9,0.0
2009-07-07,4.9,4.9,4.9,4.9,0.0
2009-07-08,4.9,4.9,4.9,4.9,0.0
2009-07-09,4.9,4.9,4.9,4.9,0.0
2009-07-10,4.9,4.9,4.9,4.9,0.0
2009-07-13,4.9,4.9,4.9,4.9,0.0
2009-07-14,4.9,4.9,4.9,4.9,0.0
2009-07-15,4.2,4.2,4.2,4.2,1500.0
2009-07-16,4.2,4.2,4.2,4.2,0.0
2009-07-17,4.07,4.07,4.07,4.07,1500.0
2009-07-20,4.07,4.07,4.07,4.07,0.0
2009-07-21,4.07,4.07,4.07,4.07,0.0
2009-07-22,4.05,4.05,4.05,4.05,1000.0
2009-07-23,4.05,4.05,4.05,4.05,0.0
2009-07-24,4.05,4.05,4.05,4.05,0.0
2009-07-27,4.05,4.05,4.05,4.05,0.0
2009-07-28,3.25,3.45,3.25,3.45,5000.0
2009-07-29,3.25,3.45,3.25,3.45,0.0
2009-07-30,3.25,3.45,3.25,3.45,0.0
2009-07-31,3.45,3.45,3.45,3.45,100.0
2009-08-03,3.63,3.64,3.6,3.6,6000.0
2009-08-04,3.66,3.68,3.66,3.68,4424.0
2009-08-05,3.68,3.68,3.68,3.68,250.0
2009-08-06,3.6,3.6,3.6,3.6,2380.0
2009-08-07,3.53,3.53,3.51,3.51,2000.0
2009-08-10,3.53,3.53,3.51,3.51,0.0
2009-08-11,3.48,3.48,3.47,3.47,2470.0
2009-08-12,3.48,3.48,3.47,3.47,0.0
2009-08-13,3.61,3.61,3.6,3.6,500.0
2009-08-14,3.61,3.61,3.6,3.6,0.0
2009-08-17,3.5,3.5,3.5,3.5,200.0
2009-08-18,3.5,3.5,3.5,3.5,0.0
2009-08-19,3.5,3.5,3.5,3.5,0.0
2009-08-20,3.5,3.5,3.5,3.5,0.0
2009-08-21,3.5,3.5,3.5,3.5,0.0
2009-08-24,3.56,3.56,3.56,3.56,500.0
2009-08-25,3.56,3.56,3.56,3.56,0.0
2009-08-26,3.45,3.45,3.45,3.45,254.0
2009-08-27,3.65,3.65,3.65,3.65,1200.0
2009-08-28,3.65,3.65,3.65,3.65,0.0
2009-08-31,3.63,3.63,3.63,3.63,1150.0
2009-09-01,3.63,3.63,3.63,3.63,0.0
2009-09-02,3.63,3.63,3.63,3.63,0.0
2009-09-03,3.8,3.8,3.8,3.8,150.0
2009-09-04,3.8,3.8,3.8,3.8,0.0
2009-09-08,3.8,3.8,3.8,3.8,0.0
2009-09-09,3.8,3.8,3.8,3.8,0.0
2009-09-10,3.8,3.8,3.8,3.8,0.0
2009-09-11,3.8,3.8,3.8,3.8,0.0
2009-09-14,3.8,3.8,3.8,3.8,0.0
2009-09-15,3.8,3.8,3.8,3.8,0.0
2009-09-16,3.8,3.8,3.8,3.8,0.0
2009-09-17,3.8,3.8,3.8,3.8,0.0
2009-09-18,3.8,3.8,3.8,3.8,0.0
2009-09-21,3.8,3.8,3.8,3.8,0.0
2009-09-22,3.8,3.8,3.8,3.8,0.0
2009-09-23,3.8,3.8,3.8,3.8,0.0
2009-09-24,3.8,3.8,3.8,3.8,0.0
2009-09-25,3.8,3.8,3.8,3.8,0.0
2009-09-28,3.8,3.8,3.8,3.8,0.0
2009-09-29,3.8,3.8,3.8,3.8,0.0
2009-09-30,3.8,3.8,3.8,3.8,0.0
2009-10-01,3.8,3.8,3.8,3.8,0.0
2009-10-02,3.8,3.8,3.8,3.8,0.0
2009-10-05,3.8,3.8,3.8,3.8,0.0
2009-10-06,3.8,3.8,3.8,3.8,0.0
2009-10-07,3.8,3.8,3.8,3.8,0.0
2009-10-08,3.8,3.8,3.8,3.8,0.0
2009-10-09,3.8,3.8,3.8,3.8,0.0
2009-10-12,3.8,3.8,3.8,3.8,0.0
2009-10-13,3.8,3.8,3.8,3.8,0.0
2009-10-14,3.8,3.8,3.8,3.8,0.0
2009-10-15,3.8,3.8,3.8,3.8,0.0
