date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
1998-01-02,6.56,6.56,6.26,6.32,210900.0,210900.0,0.24,3.659,6.38,"January 02, 98",0.03659
1998-01-05,6.43,6.61,6.33,6.33,372000.0,372000.0,0.1,1.555,6.42333,"January 05, 98",0.01555
1998-01-06,6.28,6.29,6.22,6.28,153900.0,153900.0,0.0,0.0,6.26333,"January 06, 98",0.0
1998-01-07,6.28,6.36,6.21,6.22,327000.0,327000.0,0.06,0.955,6.26333,"January 07, 98",0.00955
1998-01-08,6.19,6.28,6.15,6.26,233400.0,233400.0,-0.07,-1.131,6.23,"January 08, 98",-0.01131
1998-01-09,6.24,6.26,6.14,6.17,323400.0,323400.0,0.07,1.122,6.19,"January 09, 98",0.01122
1998-01-12,6.11,6.29,6.11,6.26,201900.0,201900.0,-0.15,-2.455,6.22,"January 12, 98",-0.02455
1998-01-13,6.22,6.33,6.22,6.33,405000.0,405000.0,-0.11,-1.768,6.29333,"January 13, 98",-0.01768
1998-01-14,6.33,6.39,6.29,6.36,344100.0,344100.0,-0.03,-0.474,6.34667,"January 14, 98",-0.00474
1998-01-15,6.32,6.42,6.32,6.39,161100.0,161100.0,-0.07,-1.108,6.37667,"January 15, 98",-0.01108
1998-01-16,6.44,6.47,6.36,6.36,608700.0,608700.0,0.08,1.242,6.39667,"January 16, 98",0.01242
1998-01-20,6.36,6.53,6.36,6.53,194400.0,194400.0,-0.17,-2.673,6.47333,"January 20, 98",-0.02673
1998-01-21,6.47,6.47,6.4,6.44,336900.0,336900.0,0.03,0.464,6.43667,"January 21, 98",0.00464
1998-01-22,6.4,6.44,6.39,6.39,222600.0,222600.0,0.01,0.156,6.40667,"January 22, 98",0.00156
1998-01-23,6.4,6.43,6.4,6.4,84000.0,84000.0,0.0,0.0,6.41,"January 23, 98",0.0
1998-01-26,6.39,6.42,6.35,6.38,273900.0,273900.0,0.01,0.156,6.38333,"January 26, 98",0.00156
1998-01-27,6.36,6.42,6.28,6.33,237900.0,237900.0,0.03,0.472,6.34333,"January 27, 98",0.00472
1998-01-28,6.33,6.4,6.28,6.31,236100.0,236100.0,0.02,0.316,6.33,"January 28, 98",0.00316
1998-01-29,6.29,6.39,6.29,6.36,207900.0,207900.0,-0.07,-1.113,6.34667,"January 29, 98",-0.01113
1998-01-30,6.32,6.39,6.24,6.29,243000.0,243000.0,0.03,0.475,6.30667,"January 30, 98",0.00475
1998-02-02,6.29,6.42,6.29,6.39,494400.0,494400.0,-0.1,-1.59,6.36667,"February 02, 98",-0.0159
1998-02-03,6.36,6.49,6.35,6.46,134400.0,134400.0,-0.1,-1.572,6.43333,"February 03, 98",-0.01572
1998-02-04,6.42,6.47,6.39,6.4,218100.0,218100.0,0.02,0.312,6.42,"February 04, 98",0.00312
1998-02-05,6.4,6.49,6.4,6.49,300900.0,300900.0,-0.09,-1.406,6.46,"February 05, 98",-0.01406
1998-02-06,6.44,6.49,6.44,6.46,196500.0,196500.0,-0.02,-0.311,6.46333,"February 06, 98",-0.00311
1998-02-09,6.4,6.44,6.36,6.4,227700.0,227700.0,0.0,0.0,6.4,"February 09, 98",0.0
1998-02-10,6.44,6.46,6.4,6.4,297900.0,297900.0,0.04,0.621,6.42,"February 10, 98",0.00621
1998-02-11,6.4,6.46,6.39,6.4,186300.0,186300.0,0.0,0.0,6.41667,"February 11, 98",0.0
1998-02-12,6.4,6.46,6.38,6.46,200700.0,200700.0,-0.06,-0.938,6.43333,"February 12, 98",-0.00938
1998-02-13,6.51,6.51,6.38,6.4,254100.0,254100.0,0.11,1.69,6.43,"February 13, 98",0.0169
1998-02-17,6.42,6.53,6.4,6.53,188100.0,188100.0,-0.11,-1.713,6.48667,"February 17, 98",-0.01713
1998-02-18,6.49,6.53,6.36,6.4,210600.0,210600.0,0.09,1.387,6.43,"February 18, 98",0.01387
1998-02-19,6.43,6.43,6.36,6.39,195600.0,195600.0,0.04,0.622,6.39333,"February 19, 98",0.00622
1998-02-20,6.38,6.38,6.22,6.38,187200.0,187200.0,0.0,0.0,6.32667,"February 20, 98",0.0
1998-02-23,6.4,6.4,6.28,6.36,245700.0,245700.0,0.04,0.625,6.34667,"February 23, 98",0.00625
1998-02-24,6.32,6.39,6.32,6.35,132600.0,132600.0,-0.03,-0.475,6.35333,"February 24, 98",-0.00475
1998-02-25,6.32,6.42,6.28,6.39,207900.0,207900.0,-0.07,-1.108,6.36333,"February 25, 98",-0.01108
1998-02-26,6.36,6.38,6.32,6.32,75900.0,75900.0,0.04,0.629,6.34,"February 26, 98",0.00629
