date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
1998-01-02,137.5,138.13,133.13,136.88,122200.0,122200.0,0.62,0.451,136.04667,"January 02, 98",0.00451
1998-01-05,136.88,139.38,135.0,136.88,116900.0,116900.0,0.0,0.0,137.08667,"January 05, 98",0.0
1998-01-06,136.88,148.75,136.88,143.13,435500.0,435500.0,-6.25,-4.566,142.92,"January 06, 98",-0.04566
1998-01-07,144.38,152.5,142.5,150.63,474900.0,474900.0,-6.25,-4.329,148.54333,"January 07, 98",-0.04329
1998-01-08,147.5,155.63,146.25,149.38,461100.0,461100.0,-1.88,-1.275,150.42,"January 08, 98",-0.01275
1998-01-09,149.38,152.5,145.63,147.5,408800.0,408800.0,1.88,1.259,148.54333,"January 09, 98",0.01259
1998-01-12,140.0,156.25,140.0,153.75,454300.0,454300.0,-13.75,-9.821,150.0,"January 12, 98",-0.09821
1998-01-13,156.25,158.59,154.38,155.0,269300.0,269300.0,1.25,0.8,155.99,"January 13, 98",0.008
1998-01-14,156.25,164.38,155.63,160.63,521500.0,521500.0,-4.38,-2.803,160.21333,"January 14, 98",-0.02803
1998-01-15,154.38,161.88,148.75,153.75,582800.0,582800.0,0.63,0.408,154.79333,"January 15, 98",0.00408
1998-01-16,154.38,161.25,153.75,158.75,389200.0,389200.0,-4.37,-2.831,157.91667,"January 16, 98",-0.02831
1998-01-20,160.0,161.25,158.13,160.63,249500.0,249500.0,-0.63,-0.394,160.00333,"January 20, 98",-0.00394
1998-01-21,160.0,161.25,157.5,160.0,172300.0,172300.0,0.0,0.0,159.58333,"January 21, 98",0.0
1998-01-22,156.25,159.38,155.0,156.25,131900.0,131900.0,0.0,0.0,156.87667,"January 22, 98",0.0
1998-01-23,157.5,158.75,154.38,156.88,131300.0,131300.0,0.62,0.394,156.67,"January 23, 98",0.00394
1998-01-26,160.0,160.63,152.5,154.38,177800.0,177800.0,5.62,3.513,155.83667,"January 26, 98",0.03513
1998-01-27,155.0,162.5,155.0,159.38,219900.0,219900.0,-4.38,-2.826,158.96,"January 27, 98",-0.02826
1998-01-28,160.63,169.38,160.63,165.63,483600.0,483600.0,-5.0,-3.113,165.21333,"January 28, 98",-0.03113
1998-01-29,165.63,167.5,161.25,161.88,159200.0,159200.0,3.75,2.264,163.54333,"January 29, 98",0.02264
1998-01-30,163.13,166.88,160.63,165.0,173100.0,173100.0,-1.87,-1.146,164.17,"January 30, 98",-0.01146
1998-02-02,166.88,171.25,166.88,169.38,335800.0,335800.0,-2.5,-1.498,169.17,"February 02, 98",-0.01498
1998-02-03,170.0,177.5,168.75,177.5,272200.0,272200.0,-7.5,-4.412,174.58333,"February 03, 98",-0.04412
1998-02-04,177.5,180.0,173.75,176.88,242100.0,242100.0,0.62,0.349,176.87667,"February 04, 98",0.00349
1998-02-05,179.38,180.63,176.88,177.5,197600.0,197600.0,1.88,1.048,178.33667,"February 05, 98",0.01048
1998-02-06,176.88,180.63,176.88,180.0,287900.0,287900.0,-3.12,-1.764,179.17,"February 06, 98",-0.01764
1998-02-09,182.5,182.5,178.13,180.0,235600.0,235600.0,2.5,1.37,180.21,"February 09, 98",0.0137
1998-02-10,180.0,186.25,180.0,181.88,360300.0,360300.0,-1.88,-1.044,182.71,"February 10, 98",-0.01044
1998-02-11,181.25,187.5,181.25,185.63,267800.0,267800.0,-4.38,-2.417,184.79333,"February 11, 98",-0.02417
1998-02-12,185.63,185.63,176.25,183.75,324700.0,324700.0,1.88,1.013,181.87667,"February 12, 98",0.01013
1998-02-13,179.38,185.0,179.38,183.75,252000.0,252000.0,-4.37,-2.436,182.71,"February 13, 98",-0.02436
1998-02-17,182.5,183.75,172.5,172.5,264800.0,264800.0,10.0,5.479,176.25,"February 17, 98",0.05479
1998-02-18,175.0,180.0,174.38,178.13,219000.0,219000.0,-3.13,-1.789,177.50333,"February 18, 98",-0.01789
1998-02-19,177.5,181.25,176.88,180.0,230100.0,230100.0,-2.5,-1.408,179.37667,"February 19, 98",-0.01408
1998-02-20,180.0,180.63,177.5,180.0,212100.0,212100.0,0.0,0.0,179.37667,"February 20, 98",0.0
1998-02-23,181.25,183.75,180.0,180.63,138400.0,138400.0,0.62,0.342,181.46,"February 23, 98",0.00342
1998-02-24,180.0,180.63,177.5,180.63,145400.0,145400.0,-0.63,-0.35,179.58667,"February 24, 98",-0.0035
