date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
1998-01-02,6.22,6.34,6.18,6.21,4058400.0,4058400.0,0.01,0.161,6.24333,"January 02, 98",0.00161
1998-01-05,6.21,6.29,6.2,6.2,6488800.0,6488800.0,0.01,0.161,6.23,"January 05, 98",0.00161
1998-01-06,6.14,6.25,6.05,6.23,7586400.0,7586400.0,-0.09,-1.466,6.17667,"January 06, 98",-0.01466
1998-01-07,6.23,6.31,6.19,6.29,8560000.0,8560000.0,-0.06,-0.963,6.26333,"January 07, 98",-0.00963
1998-01-08,6.29,6.38,6.27,6.31,9160800.0,9160800.0,-0.02,-0.318,6.32,"January 08, 98",-0.00318
1998-01-09,6.31,6.33,6.19,6.19,8975200.0,8975200.0,0.12,1.902,6.23667,"January 09, 98",0.01902
1998-01-12,6.0,6.22,6.0,6.08,10134400.0,10134400.0,-0.08,-1.333,6.1,"January 12, 98",-0.01333
1998-01-13,6.08,6.08,5.98,6.0,8431200.0,8431200.0,0.08,1.316,6.02,"January 13, 98",0.01316
1998-01-14,6.03,6.18,6.01,6.11,5257600.0,5257600.0,-0.08,-1.327,6.1,"January 14, 98",-0.01327
1998-01-15,6.0,6.02,5.88,5.88,12656800.0,12656800.0,0.12,2.0,5.92667,"January 15, 98",0.02
1998-01-16,5.88,6.1,5.87,6.02,8945600.0,8945600.0,-0.14,-2.381,5.99667,"January 16, 98",-0.02381
1998-01-20,6.03,6.05,5.91,5.99,9444800.0,9444800.0,0.04,0.663,5.98333,"January 20, 98",0.00663
1998-01-21,5.97,6.08,5.94,5.99,7494400.0,7494400.0,-0.02,-0.335,6.00333,"January 21, 98",-0.00335
1998-01-22,5.98,6.08,5.91,6.0,5034400.0,5034400.0,-0.02,-0.334,5.99667,"January 22, 98",-0.00334
1998-01-23,5.99,6.05,5.86,5.91,9566400.0,9566400.0,0.08,1.336,5.94,"January 23, 98",0.01336
1998-01-26,5.91,5.92,5.82,5.85,4848000.0,4848000.0,0.06,1.015,5.86333,"January 26, 98",0.01015
1998-01-27,5.84,6.04,5.84,6.0,8758400.0,8758400.0,-0.16,-2.74,5.96,"January 27, 98",-0.0274
1998-01-28,6.02,6.12,6.02,6.09,7218400.0,7218400.0,-0.07,-1.163,6.07667,"January 28, 98",-0.01163
1998-01-29,6.11,6.22,6.1,6.19,5391200.0,5391200.0,-0.08,-1.309,6.17,"January 29, 98",-0.01309
1998-01-30,6.27,6.41,6.22,6.41,7356000.0,7356000.0,-0.14,-2.233,6.34667,"January 30, 98",-0.02233
1998-02-02,6.61,6.63,6.51,6.55,9916000.0,9916000.0,0.06,0.908,6.56333,"February 02, 98",0.00908
1998-02-03,6.5,6.52,6.41,6.52,6534400.0,6534400.0,-0.02,-0.308,6.48333,"February 03, 98",-0.00308
1998-02-04,6.5,6.56,6.46,6.55,6724800.0,6724800.0,-0.05,-0.769,6.52333,"February 04, 98",-0.00769
1998-02-05,6.54,6.65,6.5,6.52,5368000.0,5368000.0,0.02,0.306,6.55667,"February 05, 98",0.00306
1998-02-06,6.55,6.55,6.46,6.53,3493600.0,3493600.0,0.02,0.305,6.51333,"February 06, 98",0.00305
1998-02-09,6.5,6.81,6.5,6.77,10347200.0,10347200.0,-0.27,-4.154,6.69333,"February 09, 98",-0.04154
1998-02-10,6.84,6.96,6.73,6.8,8953600.0,8953600.0,0.04,0.585,6.83,"February 10, 98",0.00585
1998-02-11,6.78,6.83,6.7,6.71,4455200.0,4455200.0,0.07,1.032,6.74667,"February 11, 98",0.01032
1998-02-12,6.81,7.03,6.62,7.0,17620000.0,17620000.0,-0.19,-2.79,6.88333,"February 12, 98",-0.0279
1998-02-13,7.02,7.38,7.02,7.27,31290400.0,31290400.0,-0.25,-3.561,7.22333,"February 13, 98",-0.03561
1998-02-17,7.24,7.33,7.07,7.1,10353600.0,10353600.0,0.14,1.934,7.16667,"February 17, 98",0.01934
1998-02-18,7.1,7.34,7.1,7.3,17975200.0,17975200.0,-0.2,-2.817,7.24667,"February 18, 98",-0.02817
1998-02-19,7.28,7.37,7.24,7.33,5607200.0,5607200.0,-0.05,-0.687,7.31333,"February 19, 98",-0.00687
1998-02-20,7.37,7.41,7.3,7.33,6608000.0,6608000.0,0.04,0.543,7.34667,"February 20, 98",0.00543
1998-02-23,7.32,7.46,7.3,7.45,6108000.0,6108000.0,-0.13,-1.776,7.40333,"February 23, 98",-0.01776
1998-02-24,7.53,7.72,7.41,7.45,17188000.0,17188000.0,0.08,1.062,7.52667,"February 24, 98",0.01062
1998-02-25,7.5,7.64,7.5,7.56,8200800.0,8200800.0,-0.06,-0.8,7.56667,"February 25, 98",-0.008
1998-02-26,7.59,7.64,7.56,7.61,5354400.0,5354400.0,-0.02,-0.264,7.60333,"February 26, 98",-0.00264
1998-02-27,7.58,7.66,7.54,7.59,2713600.0,2713600.0,-0.01,-0.132,7.59667,"February 27, 98",-0.00132
1998-03-02,7.5,7.66,7.49,7.65,6292000.0,6292000.0,-0.15,-2.0,7.6,"March 02, 98",-0.02
1998-03-03,7.63,7.88,7.63,7.84,13246400.0,13246400.0,-0.21,-2.752,7.78333,"March 03, 98",-0.02752
1998-03-04,7.81,8.11,7.7,8.03,11158400.0,11158400.0,-0.22,-2.817,7.94667,"March 04, 98",-0.02817
1998-03-05,7.88,7.96,7.85,7.92,7887200.0,7887200.0,-0.04,-0.508,7.91,"March 05, 98",-0.00508
1998-03-06,8.03,8.07,7.98,8.0,9938400.0,9938400.0,0.03,0.374,8.01667,"March 06, 98",0.00374
1998-03-09,7.98,8.11,7.98,8.07,8960800.0,8960800.0,-0.09,-1.128,8.05333,"March 09, 98",-0.01128
1998-03-10,8.13,8.27,8.13,8.27,12426400.0,12426400.0,-0.14,-1.722,8.22333,"March 10, 98",-0.01722
1998-03-11,8.23,8.27,8.12,8.22,8944000.0,8944000.0,0.01,0.122,8.20333,"March 11, 98",0.00122
1998-03-12,8.16,8.39,8.16,8.35,8256800.0,8256800.0,-0.19,-2.328,8.3,"March 12, 98",-0.02328
1998-03-13,8.34,8.35,8.19,8.2,5133600.0,5133600.0,0.14,1.679,8.24667,"March 13, 98",0.01679
1998-03-16,8.16,8.2,8.13,8.15,3982400.0,3982400.0,0.01,0.123,8.16,"March 16, 98",0.00123
1998-03-17,8.16,8.16,8.08,8.13,5104000.0,5104000.0,0.03,0.368,8.12333,"March 17, 98",0.00368
1998-03-18,8.09,8.23,8.08,8.2,4529600.0,4529600.0,-0.11,-1.36,8.17,"March 18, 98",-0.0136
1998-03-19,8.23,8.29,8.02,8.1,5608800.0,5608800.0,0.13,1.58,8.13667,"March 19, 98",0.0158
1998-03-20,8.13,8.14,8.0,8.02,5010400.0,5010400.0,0.11,1.353,8.05333,"March 20, 98",0.01353
1998-03-23,7.98,8.09,7.91,8.09,6254400.0,6254400.0,-0.11,-1.378,8.03,"March 23, 98",-0.01378
1998-03-24,8.14,8.31,8.11,8.29,7507200.0,7507200.0,-0.15,-1.843,8.23667,"March 24, 98",-0.01843
1998-03-25,8.29,8.36,8.21,8.33,6143200.0,6143200.0,-0.04,-0.483,8.3,"March 25, 98",-0.00483
1998-03-26,8.3,8.38,8.26,8.34,5626400.0,5626400.0,-0.04,-0.482,8.32667,"March 26, 98",-0.00482
1998-03-27,8.38,8.41,8.2,8.23,5865600.0,5865600.0,0.15,1.79,8.28,"March 27, 98",0.0179
1998-03-30,8.16,8.2,8.06,8.14,5004000.0,5004000.0,0.02,0.245,8.13333,"March 30, 98",0.00245
1998-03-31,8.17,8.21,8.03,8.09,7468000.0,7468000.0,0.08,0.979,8.11,"March 31, 98",0.00979
1998-04-01,7.94,8.12,7.94,8.07,6633600.0,6633600.0,-0.13,-1.637,8.04333,"April 01, 98",-0.01637
1998-04-02,8.22,8.63,8.22,8.58,14141600.0,14141600.0,-0.36,-4.38,8.47667,"April 02, 98",-0.0438
1998-04-03,8.56,8.75,8.52,8.72,12502400.0,12502400.0,-0.16,-1.869,8.66333,"April 03, 98",-0.01869
1998-04-06,8.72,8.74,8.48,8.58,6416800.0,6416800.0,0.14,1.606,8.6,"April 06, 98",0.01606
1998-04-07,8.58,8.58,8.48,8.52,4441600.0,4441600.0,0.06,0.699,8.52667,"April 07, 98",0.00699
