date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
1999-11-10,65.0,70.31,64.5,68.25,80793700.0,80793700.0,-3.25,-5.0,67.68667,"November 10, 99",-0.05
1999-11-11,68.75,76.94,68.75,75.0,28309000.0,28309000.0,-6.25,-9.091,73.56333,"November 11, 99",-0.09091
1999-11-12,76.0,76.63,69.25,70.5,14768100.0,14768100.0,5.5,7.237,72.12667,"November 12, 99",0.07237
1999-11-15,70.5,70.88,67.31,69.0,8675100.0,8675100.0,1.5,2.128,69.06333,"November 15, 99",0.02128
1999-11-16,67.88,68.0,65.0,66.0,6978600.0,6978600.0,1.88,2.77,66.33333,"November 16, 99",0.0277
1999-11-17,65.56,68.19,65.13,67.69,5806900.0,5806900.0,-2.13,-3.249,67.00333,"November 17, 99",-0.03249
1999-11-18,67.94,68.94,66.13,66.31,4718700.0,4718700.0,1.63,2.399,67.12667,"November 18, 99",0.02399
1999-11-19,66.31,66.31,64.25,65.0,5091100.0,5091100.0,1.31,1.976,65.18667,"November 19, 99",0.01976
1999-11-22,64.06,64.25,61.0,63.13,4785400.0,4785400.0,0.93,1.452,62.79333,"November 22, 99",0.01452
1999-11-23,63.38,67.0,63.25,66.19,2832200.0,2832200.0,-2.81,-4.434,65.48,"November 23, 99",-0.04434
1999-11-24,66.0,68.19,65.94,67.69,2179400.0,2179400.0,-1.69,-2.561,67.27333,"November 24, 99",-0.02561
1999-11-26,68.44,69.44,68.19,69.13,1322500.0,1322500.0,-0.69,-1.008,68.92,"November 26, 99",-0.01008
1999-11-29,70.0,70.25,67.0,68.13,1987000.0,1987000.0,1.87,2.671,68.46,"November 29, 99",0.02671
1999-11-30,67.38,67.63,66.06,66.06,1686100.0,1686100.0,1.32,1.959,66.58333,"November 30, 99",0.01959
1999-12-01,66.25,67.38,65.63,65.88,1405700.0,1405700.0,0.37,0.558,66.29667,"December 01, 99",0.00558
1999-12-02,66.0,67.06,65.88,67.06,1391000.0,1391000.0,-1.06,-1.606,66.66667,"December 02, 99",-0.01606
1999-12-03,67.44,67.69,66.31,66.44,1753500.0,1753500.0,1.0,1.483,66.81333,"December 03, 99",0.01483
1999-12-06,66.5,66.5,65.38,66.25,1398900.0,1398900.0,0.25,0.376,66.04333,"December 06, 99",0.00376
1999-12-07,65.94,68.0,65.88,68.0,1793100.0,1793100.0,-2.06,-3.124,67.29333,"December 07, 99",-0.03124
1999-12-08,68.0,68.38,66.75,68.38,1774000.0,1774000.0,-0.38,-0.559,67.83667,"December 08, 99",-0.00559
