date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2007-08-15,52.11,59.87,51.5,57.71,10678500.0,10678500.0,-5.6,-10.746,56.36,"August 15, 07",-0.10746
2007-08-16,60.99,61.49,52.71,56.99,6919500.0,6919500.0,4.0,6.558,57.06333,"August 16, 07",0.06558
2007-08-17,59.0,59.0,54.45,55.55,3086100.0,3086100.0,3.45,5.847,56.33333,"August 17, 07",0.05847
2007-08-20,56.05,57.5,55.61,57.33,2140900.0,2140900.0,-1.28,-2.284,56.81333,"August 20, 07",-0.02284
2007-08-21,57.25,66.59,56.5,65.99,7369700.0,7369700.0,-8.74,-15.266,63.02667,"August 21, 07",-0.15266
2007-08-22,70.18,73.95,66.56,66.85,10144400.0,10144400.0,3.33,4.745,69.12,"August 22, 07",0.04745
2007-08-23,68.07,70.88,65.01,70.2,4347000.0,4347000.0,-2.13,-3.129,68.69667,"August 23, 07",-0.03129
2007-08-24,70.2,72.65,69.45,71.3,3812400.0,3812400.0,-1.1,-1.567,71.13333,"August 24, 07",-0.01567
2007-08-27,71.73,73.35,71.01,72.3,2393300.0,2393300.0,-0.57,-0.795,72.22,"August 27, 07",-0.00795
2007-08-28,71.9,72.1,66.5,69.78,3664100.0,3664100.0,2.12,2.949,69.46,"August 28, 07",0.02949
2007-08-29,72.0,72.48,67.15,68.2,3580700.0,3580700.0,3.8,5.278,69.27667,"August 29, 07",0.05278
2007-08-30,67.58,70.0,66.25,68.46,1731300.0,1731300.0,-0.88,-1.302,68.23667,"August 30, 07",-0.01302
2007-08-31,69.82,70.11,68.54,68.89,921700.0,921700.0,0.93,1.332,69.18,"August 31, 07",0.01332
2007-09-04,69.06,69.13,67.25,67.45,1353800.0,1353800.0,1.61,2.331,67.94333,"September 04, 07",0.02331
2007-09-05,66.55,66.59,63.65,64.21,2245400.0,2245400.0,2.34,3.516,64.81667,"September 05, 07",0.03516
2007-09-06,64.6,70.1,64.09,69.79,2599400.0,2599400.0,-5.19,-8.034,67.99333,"September 06, 07",-0.08034
2007-09-07,67.01,71.3,66.8,69.5,2668300.0,2668300.0,-2.49,-3.716,69.2,"September 07, 07",-0.03716
2007-09-10,71.99,79.15,68.85,76.76,6667400.0,6667400.0,-4.77,-6.626,74.92,"September 10, 07",-0.06626
2007-09-11,78.7,82.75,76.5,76.65,10613600.0,10613600.0,2.05,2.605,78.63333,"September 11, 07",0.02605
2007-09-12,78.44,80.65,77.06,78.3,6005300.0,6005300.0,0.14,0.178,78.67,"September 12, 07",0.00178
2007-09-13,79.55,80.55,76.53,77.79,3253800.0,3253800.0,1.76,2.212,78.29,"September 13, 07",0.02212
2007-09-14,77.22,79.55,76.55,77.92,3093300.0,3093300.0,-0.7,-0.907,78.00667,"September 14, 07",-0.00907
2007-09-17,76.15,77.6,73.19,73.7,4773600.0,4773600.0,2.45,3.217,74.83,"September 17, 07",0.03217
2007-09-18,75.35,75.75,72.8,73.9,2931900.0,2931900.0,1.45,1.924,74.15,"September 18, 07",0.01924
2007-09-19,75.3,78.83,74.86,77.6,4228400.0,4228400.0,-2.3,-3.054,77.09667,"September 19, 07",-0.03054
2007-09-20,77.66,79.27,76.17,76.65,2464600.0,2464600.0,1.01,1.301,77.36333,"September 20, 07",0.01301
2007-09-21,77.35,79.31,76.6,79.31,4114400.0,4114400.0,-1.96,-2.534,78.40667,"September 21, 07",-0.02534
2007-09-24,81.0,85.17,80.32,83.83,5649300.0,5649300.0,-2.83,-3.494,83.10667,"September 24, 07",-0.03494
2007-09-25,82.31,85.0,82.0,83.23,2964600.0,2964600.0,-0.92,-1.118,83.41,"September 25, 07",-0.01118
2007-09-26,83.99,84.4,82.11,82.36,1539200.0,1539200.0,1.63,1.941,82.95667,"September 26, 07",0.01941
2007-09-27,83.05,84.05,82.05,83.12,1855400.0,1855400.0,-0.07,-0.084,83.07333,"September 27, 07",-0.00084
2007-09-28,83.89,85.52,82.5,85.0,3419300.0,3419300.0,-1.11,-1.323,84.34,"September 28, 07",-0.01323
2007-10-01,84.75,89.23,83.62,88.62,3845800.0,3845800.0,-3.87,-4.566,87.15667,"October 01, 07",-0.04566
2007-10-02,88.97,92.52,88.36,92.42,2869600.0,2869600.0,-3.45,-3.878,91.1,"October 02, 07",-0.03878
2007-10-03,92.43,93.98,87.5,88.25,3965800.0,3965800.0,4.18,4.522,89.91,"October 03, 07",0.04522
2007-10-04,89.15,90.5,88.0,89.57,1754900.0,1754900.0,-0.42,-0.471,89.35667,"October 04, 07",-0.00471
2007-10-05,92.15,92.15,89.22,91.13,1881600.0,1881600.0,1.02,1.107,90.83333,"October 05, 07",0.01107
2007-10-08,91.21,95.9,91.15,95.09,3030600.0,3030600.0,-3.88,-4.254,94.04667,"October 08, 07",-0.04254
2007-10-09,97.22,101.89,96.11,101.61,5864000.0,5864000.0,-4.39,-4.516,99.87,"October 09, 07",-0.04516
2007-10-10,102.51,107.49,101.61,107.04,4765700.0,4765700.0,-4.53,-4.419,105.38,"October 10, 07",-0.04419
2007-10-11,109.98,114.88,99.06,102.69,11110400.0,11110400.0,7.29,6.628,105.54333,"October 11, 07",0.06628
2007-10-12,103.13,107.37,98.05,102.98,6356900.0,6356900.0,0.15,0.145,102.8,"October 12, 07",0.00145
2007-10-15,104.49,105.5,96.29,98.76,4837100.0,4837100.0,5.73,5.484,100.18333,"October 15, 07",0.05484
2007-10-16,97.1,101.18,95.02,99.9,4283100.0,4283100.0,-2.8,-2.884,98.7,"October 16, 07",-0.02884
2007-10-17,103.04,105.4,101.51,103.95,4329700.0,4329700.0,-0.91,-0.883,103.62,"October 17, 07",-0.00883
2007-10-18,102.0,103.6,100.24,101.55,1942000.0,1942000.0,0.45,0.441,101.79667,"October 18, 07",0.00441
