date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
1998-01-02,16.89,17.24,16.88,17.1,281500.0,281500.0,-0.21,-1.243,17.07333,"January 02, 98",-0.01243
1998-01-05,17.5,17.61,17.5,17.58,619600.0,619600.0,-0.08,-0.457,17.56333,"January 05, 98",-0.00457
1998-01-06,17.56,17.62,17.24,17.26,514100.0,514100.0,0.3,1.708,17.37333,"January 06, 98",0.01708
1998-01-07,16.98,17.01,16.69,16.73,992600.0,992600.0,0.25,1.472,16.81,"January 07, 98",0.01472
1998-01-08,16.78,16.78,16.6,16.75,177600.0,177600.0,0.03,0.179,16.71,"January 08, 98",0.00179
1998-01-09,16.16,16.28,15.92,15.97,771600.0,771600.0,0.19,1.176,16.05667,"January 09, 98",0.01176
1998-01-12,16.05,16.3,16.05,16.3,941500.0,941500.0,-0.25,-1.558,16.21667,"January 12, 98",-0.01558
1998-01-13,16.37,16.43,16.19,16.31,446300.0,446300.0,0.06,0.367,16.31,"January 13, 98",0.00367
1998-01-14,16.7,16.78,16.63,16.66,521400.0,521400.0,0.04,0.24,16.69,"January 14, 98",0.0024
1998-01-15,17.1,17.1,16.98,17.04,786600.0,786600.0,0.06,0.351,17.04,"January 15, 98",0.00351
1998-01-16,18.06,18.26,17.91,18.0,1648400.0,1648400.0,0.06,0.332,18.05667,"January 16, 98",0.00332
1998-01-20,18.19,18.32,18.19,18.29,1117100.0,1117100.0,-0.1,-0.55,18.26667,"January 20, 98",-0.0055
1998-01-21,18.17,18.3,18.17,18.28,771100.0,771100.0,-0.11,-0.605,18.25,"January 21, 98",-0.00605
1998-01-22,18.55,18.71,18.45,18.64,524400.0,524400.0,-0.09,-0.485,18.6,"January 22, 98",-0.00485
1998-01-23,18.61,18.61,17.97,18.06,729100.0,729100.0,0.55,2.955,18.21333,"January 23, 98",0.02955
1998-01-26,18.42,18.55,18.35,18.38,277600.0,277600.0,0.04,0.217,18.42667,"January 26, 98",0.00217
1998-01-27,18.35,18.41,18.12,18.13,546700.0,546700.0,0.22,1.199,18.22,"January 27, 98",0.01199
1998-01-28,18.13,18.29,18.03,18.06,1003300.0,1003300.0,0.07,0.386,18.12667,"January 28, 98",0.00386
1998-01-29,17.93,18.09,17.88,17.88,1438600.0,1438600.0,0.05,0.279,17.95,"January 29, 98",0.00279
1998-01-30,17.98,17.98,17.52,17.53,2755700.0,2755700.0,0.45,2.503,17.67667,"January 30, 98",0.02503
1998-02-02,18.17,18.17,17.96,18.16,2006400.0,2006400.0,0.01,0.055,18.09667,"February 02, 98",0.00055
1998-02-03,18.38,18.64,18.32,18.63,1040300.0,1040300.0,-0.25,-1.36,18.53,"February 03, 98",-0.0136
1998-02-04,19.08,19.51,19.05,19.47,1492600.0,1492600.0,-0.39,-2.044,19.34333,"February 04, 98",-0.02044
1998-02-05,19.8,19.88,19.5,19.63,894300.0,894300.0,0.17,0.859,19.67,"February 05, 98",0.00859
1998-02-06,19.56,19.6,19.48,19.48,786200.0,786200.0,0.08,0.409,19.52,"February 06, 98",0.00409
1998-02-09,19.54,19.63,19.22,19.28,1559500.0,1559500.0,0.26,1.331,19.37667,"February 09, 98",0.01331
1998-02-10,19.27,19.46,19.25,19.43,533800.0,533800.0,-0.16,-0.83,19.38,"February 10, 98",-0.0083
1998-02-11,19.63,19.8,19.63,19.76,594300.0,594300.0,-0.13,-0.662,19.73,"February 11, 98",-0.00662
1998-02-12,20.05,20.71,20.05,20.49,1294800.0,1294800.0,-0.44,-2.195,20.41667,"February 12, 98",-0.02195
1998-02-13,20.55,20.62,20.4,20.43,937700.0,937700.0,0.12,0.584,20.48333,"February 13, 98",0.00584
1998-02-17,20.43,20.43,20.34,20.4,405500.0,405500.0,0.03,0.147,20.39,"February 17, 98",0.00147
1998-02-18,20.29,20.36,20.13,20.15,901200.0,901200.0,0.14,0.69,20.21333,"February 18, 98",0.0069
1998-02-19,19.86,19.86,19.31,19.34,848400.0,848400.0,0.52,2.618,19.50333,"February 19, 98",0.02618
1998-02-20,19.82,20.07,19.8,19.98,1484000.0,1484000.0,-0.16,-0.807,19.95,"February 20, 98",-0.00807
1998-02-23,20.18,20.24,19.98,20.07,876300.0,876300.0,0.11,0.545,20.09667,"February 23, 98",0.00545
1998-02-24,20.26,20.45,20.24,20.31,1234600.0,1234600.0,-0.05,-0.247,20.33333,"February 24, 98",-0.00247
1998-02-25,20.56,20.74,20.47,20.63,515800.0,515800.0,-0.07,-0.34,20.61333,"February 25, 98",-0.0034
1998-02-26,20.66,20.91,20.66,20.78,493900.0,493900.0,-0.12,-0.581,20.78333,"February 26, 98",-0.00581
1998-02-27,20.84,20.84,20.59,20.62,205500.0,205500.0,0.22,1.056,20.68333,"February 27, 98",0.01056
1998-03-02,20.88,21.06,20.88,21.06,375000.0,375000.0,-0.18,-0.862,21.0,"March 02, 98",-0.00862
1998-03-03,21.13,21.32,21.13,21.17,381100.0,381100.0,-0.04,-0.189,21.20667,"March 03, 98",-0.00189
1998-03-04,20.62,20.72,19.98,20.15,950100.0,950100.0,0.47,2.279,20.28333,"March 04, 98",0.02279
1998-03-05,19.59,19.85,19.59,19.69,1039400.0,1039400.0,-0.1,-0.51,19.71,"March 05, 98",-0.0051
1998-03-06,20.37,20.55,20.37,20.49,962100.0,962100.0,-0.12,-0.589,20.47,"March 06, 98",-0.00589
1998-03-09,20.66,20.91,20.65,20.72,532500.0,532500.0,-0.06,-0.29,20.76,"March 09, 98",-0.0029
1998-03-10,21.14,21.2,20.68,20.88,678900.0,678900.0,0.26,1.23,20.92,"March 10, 98",0.0123
1998-03-11,21.2,21.26,21.07,21.19,1463000.0,1463000.0,0.01,0.047,21.17333,"March 11, 98",0.00047
1998-03-12,21.22,21.32,21.07,21.17,1766000.0,1766000.0,0.05,0.236,21.18667,"March 12, 98",0.00236
1998-03-13,21.54,21.67,21.35,21.49,917100.0,917100.0,0.05,0.232,21.50333,"March 13, 98",0.00232
1998-03-16,21.65,21.76,21.54,21.68,442900.0,442900.0,-0.03,-0.139,21.66,"March 16, 98",-0.00139
1998-03-17,22.11,22.4,21.99,22.37,464300.0,464300.0,-0.26,-1.176,22.25333,"March 17, 98",-0.01176
1998-03-18,22.38,22.76,22.38,22.66,286600.0,286600.0,-0.28,-1.251,22.6,"March 18, 98",-0.01251
1998-03-19,23.74,24.06,23.55,23.68,1541100.0,1541100.0,0.06,0.253,23.76333,"March 19, 98",0.00253
1998-03-20,24.33,24.33,23.77,23.93,1306000.0,1306000.0,0.4,1.644,24.01,"March 20, 98",0.01644
1998-03-23,23.71,23.75,22.98,23.04,540700.0,540700.0,0.67,2.826,23.25667,"March 23, 98",0.02826
1998-03-24,23.01,23.01,22.63,22.72,602900.0,602900.0,0.29,1.26,22.78667,"March 24, 98",0.0126
1998-03-25,22.37,22.46,22.05,22.13,1487000.0,1487000.0,0.24,1.073,22.21333,"March 25, 98",0.01073
1998-03-26,22.89,23.24,22.83,23.13,660500.0,660500.0,-0.24,-1.048,23.06667,"March 26, 98",-0.01048
1998-03-27,23.98,24.17,23.53,23.63,1295200.0,1295200.0,0.35,1.46,23.77667,"March 27, 98",0.0146
1998-03-30,23.82,23.88,23.47,23.56,633400.0,633400.0,0.26,1.092,23.63667,"March 30, 98",0.01092
1998-03-31,24.23,24.35,24.14,24.2,564700.0,564700.0,0.03,0.124,24.23,"March 31, 98",0.00124
1998-04-01,24.87,24.87,24.35,24.65,1241100.0,1241100.0,0.22,0.885,24.62333,"April 01, 98",0.00885
1998-04-02,24.55,24.61,24.36,24.49,1067300.0,1067300.0,0.06,0.244,24.48667,"April 02, 98",0.00244
1998-04-03,25.06,25.57,25.05,25.32,2186600.0,2186600.0,-0.26,-1.038,25.31333,"April 03, 98",-0.01038
1998-04-06,25.75,25.86,25.46,25.6,535100.0,535100.0,0.15,0.583,25.64,"April 06, 98",0.00583
1998-04-07,25.51,25.54,25.16,25.28,720100.0,720100.0,0.23,0.902,25.32667,"April 07, 98",0.00902
1998-04-08,24.95,24.95,24.25,24.38,859100.0,859100.0,0.57,2.285,24.52667,"April 08, 98",0.02285
1998-04-09,24.2,24.26,24.09,24.19,377100.0,377100.0,0.01,0.041,24.18,"April 09, 98",0.00041
1998-04-13,23.96,24.12,23.93,24.0,234200.0,234200.0,-0.04,-0.167,24.01667,"April 13, 98",-0.00167
1998-04-14,24.41,24.7,24.36,24.7,198200.0,198200.0,-0.29,-1.188,24.58667,"April 14, 98",-0.01188
1998-04-15,24.45,24.45,24.19,24.35,383100.0,383100.0,0.1,0.409,24.33,"April 15, 98",0.00409
1998-04-16,24.58,24.58,24.0,24.17,1137700.0,1137700.0,0.41,1.668,24.25,"April 16, 98",0.01668
1998-04-17,24.0,24.04,23.82,24.01,1578500.0,1578500.0,-0.01,-0.042,23.95667,"April 17, 98",-0.00042
1998-04-20,23.53,23.94,23.52,23.78,423500.0,423500.0,-0.25,-1.062,23.74667,"April 20, 98",-0.01062
1998-04-21,23.82,23.88,23.65,23.66,629100.0,629100.0,0.16,0.672,23.73,"April 21, 98",0.00672
1998-04-22,23.88,23.94,23.56,23.62,1137200.0,1137200.0,0.26,1.089,23.70667,"April 22, 98",0.01089
1998-04-23,24.0,24.26,23.97,24.06,1257900.0,1257900.0,-0.06,-0.25,24.09667,"April 23, 98",-0.0025
1998-04-24,24.32,24.7,24.32,24.54,1420900.0,1420900.0,-0.22,-0.905,24.52,"April 24, 98",-0.00905
1998-04-27,23.82,23.88,23.47,23.53,501200.0,501200.0,0.29,1.217,23.62667,"April 27, 98",0.01217
1998-04-28,24.06,24.41,23.98,24.33,671500.0,671500.0,-0.27,-1.122,24.24,"April 28, 98",-0.01122
1998-04-29,24.77,24.93,24.77,24.81,440700.0,440700.0,-0.04,-0.161,24.83667,"April 29, 98",-0.00161
1998-04-30,25.41,25.72,25.4,25.62,1630000.0,1630000.0,-0.21,-0.826,25.58,"April 30, 98",-0.00826
1998-05-01,25.78,26.04,25.78,25.95,399000.0,399000.0,-0.17,-0.659,25.92333,"May 01, 98",-0.00659
1998-05-04,25.95,26.33,25.86,26.3,933000.0,933000.0,-0.35,-1.349,26.16333,"May 04, 98",-0.01349
